Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
buscan primer empleo;2 o más;varones;1991TI;88,5
buscan primer empleo;2 o más;varones;1990TIV;91,1
buscan primer empleo;2 o más;varones;1990TIII;107,2
buscan primer empleo;2 o más;varones;1990TII;114,5
buscan primer empleo;2 o más;varones;1990TI;113,8
buscan primer empleo;2 o más;varones;1989TIV;116,4
buscan primer empleo;2 o más;varones;1989TIII;128,9
buscan primer empleo;2 o más;varones;1989TII;144,9
buscan primer empleo;2 o más;varones;1989TI;153,9
buscan primer empleo;2 o más;varones;1988TIV;153,5
buscan primer empleo;2 o más;varones;1988TIII;179,1
buscan primer empleo;2 o más;varones;1988TII;195,2
buscan primer empleo;2 o más;varones;1988TI;195,0
buscan primer empleo;2 o más;varones;1987TIV;202,6
buscan primer empleo;2 o más;varones;1987TIII;227,9
buscan primer empleo;2 o más;varones;1987TII;244,3
buscan primer empleo;2 o más;varones;1987TI;234,1
buscan primer empleo;2 o más;varones;1986TIV;221,1
buscan primer empleo;2 o más;varones;1986TIII;227,7
buscan primer empleo;2 o más;varones;1986TII;238,8
buscan primer empleo;2 o más;varones;1986TI;227,7
buscan primer empleo;2 o más;varones;1985TIV;206,3
buscan primer empleo;2 o más;varones;1985TIII;219,4
buscan primer empleo;2 o más;varones;1985TII;213,6
buscan primer empleo;2 o más;varones;1985TI;207,5
buscan primer empleo;2 o más;varones;1984TIV;196,5
buscan primer empleo;2 o más;varones;1984TIII;170,8
buscan primer empleo;2 o más;varones;1984TII;176,2
buscan primer empleo;2 o más;varones;1984TI;177,6
buscan primer empleo;2 o más;varones;1983TIV;150,9
buscan primer empleo;2 o más;varones;1983TIII;149,8
buscan primer empleo;2 o más;varones;1983TII;134,7
buscan primer empleo;2 o más;varones;1983TI;135,1
buscan primer empleo;2 o más;varones;1982TIV;121,5
buscan primer empleo;2 o más;varones;1982TIII;113,7
buscan primer empleo;2 o más;varones;1982TII;98,7
buscan primer empleo;2 o más;varones;1982TI;84,6
buscan primer empleo;2 o más;varones;1981TIV;77,7
buscan primer empleo;2 o más;varones;1981TIII;75,7
buscan primer empleo;2 o más;varones;1981TII;59,1
buscan primer empleo;2 o más;varones;1981TI;49,5
buscan primer empleo;2 o más;varones;1980TIV;44,4
buscan primer empleo;2 o más;varones;1980TIII;36,9
buscan primer empleo;2 o más;varones;1980TII;30,1
buscan primer empleo;2 o más;varones;1980TI;25,1
buscan primer empleo;2 o más;varones;1979TIV;21,5
buscan primer empleo;2 o más;varones;1979TIII;20,5
buscan primer empleo;2 o más;varones;1979TII;19,5
buscan primer empleo;2 o más;varones;1979TI;18,2
buscan primer empleo;2 o más;varones;1978TIV;13,6
buscan primer empleo;2 o más;varones;1978TIII;13,3
buscan primer empleo;2 o más;varones;1978TII;9,9
buscan primer empleo;2 o más;varones;1978TI;9,1
buscan primer empleo;2 o más;varones;1977TIV;7,6
buscan primer empleo;2 o más;varones;1977TIII;8,6
buscan primer empleo;2 o más;varones;1977TII;7,3
buscan primer empleo;2 o más;varones;1977TI;6,4
buscan primer empleo;2 o más;varones;1976TIV;6,5
buscan primer empleo;2 o más;varones;1976TIII;6,3
buscan primer empleo;2 o más;mujeres;1995TIV;257,6
buscan primer empleo;2 o más;mujeres;1995TIII;268,9
buscan primer empleo;2 o más;mujeres;1995TII;262,3
buscan primer empleo;2 o más;mujeres;1995TI;271,3
buscan primer empleo;2 o más;mujeres;1994TIV;261,8
buscan primer empleo;2 o más;mujeres;1994TIII;263,1
buscan primer empleo;2 o más;mujeres;1994TII;246,9
buscan primer empleo;2 o más;mujeres;1994TI;251,3
buscan primer empleo;2 o más;mujeres;1993TIV;234,4
buscan primer empleo;2 o más;mujeres;1993TIII;234,4
buscan primer empleo;2 o más;mujeres;1993TII;215,7
buscan primer empleo;2 o más;mujeres;1993TI;212,6
buscan primer empleo;2 o más;mujeres;1992TIV;213,9
buscan primer empleo;2 o más;mujeres;1992TIII;200,4
buscan primer empleo;2 o más;mujeres;1992TII;209,6
buscan primer empleo;2 o más;mujeres;1992TI;230,5
buscan primer empleo;2 o más;mujeres;1991TIV;235,6
buscan primer empleo;2 o más;mujeres;1991TIII;236,5
buscan primer empleo;2 o más;mujeres;1991TII;230,6
buscan primer empleo;2 o más;mujeres;1991TI;231,8
buscan primer empleo;2 o más;mujeres;1990TIV;243,4
buscan primer empleo;2 o más;mujeres;1990TIII;262,9
buscan primer empleo;2 o más;mujeres;1990TII;271,5
buscan primer empleo;2 o más;mujeres;1990TI;283,4
buscan primer empleo;2 o más;mujeres;1989TIV;296,5
buscan primer empleo;2 o más;mujeres;1989TIII;316,9
buscan primer empleo;2 o más;mujeres;1989TII;333,2
buscan primer empleo;2 o más;mujeres;1989TI;345,6
buscan primer empleo;2 o más;mujeres;1988TIV;344,4
buscan primer empleo;2 o más;mujeres;1988TIII;365,7
buscan primer empleo;2 o más;mujeres;1988TII;386,1
buscan primer empleo;2 o más;mujeres;1988TI;379,8
buscan primer empleo;2 o más;mujeres;1987TIV;371,2
buscan primer empleo;2 o más;mujeres;1987TIII;369,6
buscan primer empleo;2 o más;mujeres;1987TII;400,1
buscan primer empleo;2 o más;mujeres;1987TI;296,4
buscan primer empleo;2 o más;mujeres;1986TIV;295,9
buscan primer empleo;2 o más;mujeres;1986TIII;277,1
buscan primer empleo;2 o más;mujeres;1986TII;289,4
buscan primer empleo;2 o más;mujeres;1986TI;274,0
buscan primer empleo;2 o más;mujeres;1985TIV;277,8
buscan primer empleo;2 o más;mujeres;1985TIII;259,8
buscan primer empleo;2 o más;mujeres;1985TII;262,8
buscan primer empleo;2 o más;mujeres;1985TI;246,8
buscan primer empleo;2 o más;mujeres;1984TIV;235,2
buscan primer empleo;2 o más;mujeres;1984TIII;213,5
buscan primer empleo;2 o más;mujeres;1984TII;210,2
buscan primer empleo;2 o más;mujeres;1984TI;211,6
buscan primer empleo;2 o más;mujeres;1983TIV;190,5
buscan primer empleo;2 o más;mujeres;1983TIII;182,4
buscan primer empleo;2 o más;mujeres;1983TII;165,8
buscan primer empleo;2 o más;mujeres;1983TI;158,3
buscan primer empleo;2 o más;mujeres;1982TIV;150,2
buscan primer empleo;2 o más;mujeres;1982TIII;134,0
buscan primer empleo;2 o más;mujeres;1982TII;124,2
buscan primer empleo;2 o más;mujeres;1982TI;102,2
buscan primer empleo;2 o más;mujeres;1981TIV;100,2
buscan primer empleo;2 o más;mujeres;1981TIII;84,4
buscan primer empleo;2 o más;mujeres;1981TII;73,4
buscan primer empleo;2 o más;mujeres;1981TI;63,9
buscan primer empleo;2 o más;mujeres;1980TIV;55,6
buscan primer empleo;2 o más;mujeres;1980TIII;48,1
buscan primer empleo;2 o más;mujeres;1980TII;43,7
buscan primer empleo;2 o más;mujeres;1980TI;41,5
buscan primer empleo;2 o más;mujeres;1979TIV;34,8
buscan primer empleo;2 o más;mujeres;1979TIII;30,8
buscan primer empleo;2 o más;mujeres;1979TII;28,1
buscan primer empleo;2 o más;mujeres;1979TI;28,8
buscan primer empleo;2 o más;mujeres;1978TIV;25,3
buscan primer empleo;2 o más;mujeres;1978TIII;22,7
buscan primer empleo;2 o más;mujeres;1978TII;21,1
buscan primer empleo;2 o más;mujeres;1978TI;14,4
buscan primer empleo;2 o más;mujeres;1977TIV;11,5
buscan primer empleo;2 o más;mujeres;1977TIII;12,6
buscan primer empleo;2 o más;mujeres;1977TII;10,1
buscan primer empleo;2 o más;mujeres;1977TI;9,0
buscan primer empleo;2 o más;mujeres;1976TIV;9,3
buscan primer empleo;2 o más;mujeres;1976TIII;8,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1995TIV;4,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1995TIII;6,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1995TII;4,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1995TI;5,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1994TIV;3,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1994TIII;5,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1994TII;5,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1994TI;4,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1993TIV;6,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1993TIII;7,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1993TII;3,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1993TI;4,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1992TIV;6,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1992TIII;8,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1992TII;8,1
buscan primer empleo;ya lo ha encontrado;ambos sexos;1992TI;9,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1991TIV;8,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1991TIII;12,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1991TII;5,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1991TI;6,1
buscan primer empleo;ya lo ha encontrado;ambos sexos;1990TIV;8,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1990TIII;13,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1990TII;9,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1990TI;11,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1989TIV;10,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1989TIII;15,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1989TII;10,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1989TI;10,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1988TIV;8,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1988TIII;16,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1988TII;9,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1988TI;7,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1987TIV;8,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1987TIII;9,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1987TII;7,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1987TI;5,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1986TIV;9,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1986TIII;11,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1986TII;6,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1986TI;6,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1985TIV;6,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1985TIII;9,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1985TII;6,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1985TI;4,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1984TIV;4,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1984TIII;9,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1984TII;3,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1984TI;4,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1983TIV;5,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1983TIII;7,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1983TII;5,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1983TI;5,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1982TIV;3,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1982TIII;5,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1982TII;3,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1982TI;5,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1981TIV;4,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1981TIII;8,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1981TII;2,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1981TI;3,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1980TIV;5,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1980TIII;5,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1980TII;4,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1980TI;2,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1979TIV;4,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1979TIII;8,1
buscan primer empleo;ya lo ha encontrado;ambos sexos;1979TII;3,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1979TI;2,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1978TIV;2,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1978TIII;7,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1978TII;4,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1978TI;4,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1977TIV;5,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1977TIII;7,1
buscan primer empleo;ya lo ha encontrado;ambos sexos;1977TII;4,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1977TI;3,2
buscan primer empleo;ya lo ha encontrado;ambos sexos;1976TIV;3,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1976TIII;4,6
buscan primer empleo;ya lo ha encontrado;varones;1995TIV;2,6
buscan primer empleo;ya lo ha encontrado;varones;1995TIII;3,3
buscan primer empleo;ya lo ha encontrado;varones;1995TII;2,9
buscan primer empleo;ya lo ha encontrado;varones;1995TI;3,0
buscan primer empleo;ya lo ha encontrado;varones;1994TIV;0,8
buscan primer empleo;ya lo ha encontrado;varones;1994TIII;3,7
buscan primer empleo;ya lo ha encontrado;varones;1994TII;3,9
buscan primer empleo;ya lo ha encontrado;varones;1994TI;2,5
buscan primer empleo;ya lo ha encontrado;varones;1993TIV;2,2
buscan primer empleo;ya lo ha encontrado;varones;1993TIII;4,2
buscan primer empleo;ya lo ha encontrado;varones;1993TII;2,2
buscan primer empleo;ya lo ha encontrado;varones;1993TI;1,9
buscan primer empleo;ya lo ha encontrado;varones;1992TIV;2,8
buscan primer empleo;ya lo ha encontrado;varones;1992TIII;4,2
buscan primer empleo;ya lo ha encontrado;varones;1992TII;4,7
buscan primer empleo;ya lo ha encontrado;varones;1992TI;3,6
buscan primer empleo;ya lo ha encontrado;varones;1991TIV;2,2
buscan primer empleo;ya lo ha encontrado;varones;1991TIII;3,2
buscan primer empleo;ya lo ha encontrado;varones;1991TII;2,6
buscan primer empleo;ya lo ha encontrado;varones;1991TI;2,5
buscan primer empleo;ya lo ha encontrado;varones;1990TIV;4,3
buscan primer empleo;ya lo ha encontrado;varones;1990TIII;6,5
buscan primer empleo;ya lo ha encontrado;varones;1990TII;4,9
buscan primer empleo;ya lo ha encontrado;varones;1990TI;5,2
buscan primer empleo;ya lo ha encontrado;varones;1989TIV;4,1
buscan primer empleo;ya lo ha encontrado;varones;1989TIII;7,2
buscan primer empleo;ya lo ha encontrado;varones;1989TII;4,0
buscan primer empleo;ya lo ha encontrado;varones;1989TI;3,9
buscan primer empleo;ya lo ha encontrado;varones;1988TIV;4,6
buscan primer empleo;ya lo ha encontrado;varones;1988TIII;10,6
buscan primer empleo;ya lo ha encontrado;varones;1988TII;5,2
buscan primer empleo;ya lo ha encontrado;varones;1988TI;4,9
buscan primer empleo;ya lo ha encontrado;varones;1987TIV;5,7
buscan primer empleo;ya lo ha encontrado;varones;1987TIII;6,2
buscan primer empleo;ya lo ha encontrado;varones;1987TII;4,0
buscan primer empleo;ya lo ha encontrado;varones;1987TI;3,8
buscan primer empleo;ya lo ha encontrado;varones;1986TIV;6,0
buscan primer empleo;ya lo ha encontrado;varones;1986TIII;7,1
buscan primer empleo;ya lo ha encontrado;varones;1986TII;2,9
buscan primer empleo;ya lo ha encontrado;varones;1986TI;2,8
buscan primer empleo;ya lo ha encontrado;varones;1985TIV;3,8
buscan primer empleo;ya lo ha encontrado;varones;1985TIII;4,0
buscan primer empleo;ya lo ha encontrado;varones;1985TII;3,1
buscan primer empleo;ya lo ha encontrado;varones;1985TI;2,2
buscan primer empleo;ya lo ha encontrado;varones;1984TIV;1,9
buscan primer empleo;ya lo ha encontrado;varones;1984TIII;3,9
buscan primer empleo;ya lo ha encontrado;varones;1984TII;2,1
buscan primer empleo;ya lo ha encontrado;varones;1984TI;3,2
buscan primer empleo;ya lo ha encontrado;varones;1983TIV;3,1
buscan primer empleo;ya lo ha encontrado;varones;1983TIII;3,2
buscan primer empleo;ya lo ha encontrado;varones;1983TII;1,9
buscan primer empleo;ya lo ha encontrado;varones;1983TI;2,1
buscan primer empleo;ya lo ha encontrado;varones;1982TIV;1,3
buscan primer empleo;ya lo ha encontrado;varones;1982TIII;3,5
buscan primer empleo;ya lo ha encontrado;varones;1982TII;2,5
buscan primer empleo;ya lo ha encontrado;varones;1982TI;2,6
buscan primer empleo;ya lo ha encontrado;varones;1981TIV;1,8
buscan primer empleo;ya lo ha encontrado;varones;1981TIII;5,4
buscan primer empleo;ya lo ha encontrado;varones;1981TII;1,5
buscan primer empleo;ya lo ha encontrado;varones;1981TI;2,0
buscan primer empleo;ya lo ha encontrado;varones;1980TIV;2,5
buscan primer empleo;ya lo ha encontrado;varones;1980TIII;2,4
buscan primer empleo;ya lo ha encontrado;varones;1980TII;2,1
buscan primer empleo;ya lo ha encontrado;varones;1980TI;1,3
buscan primer empleo;ya lo ha encontrado;varones;1979TIV;2,9
buscan primer empleo;ya lo ha encontrado;varones;1979TIII;5,0
buscan primer empleo;ya lo ha encontrado;varones;1979TII;2,4
buscan primer empleo;ya lo ha encontrado;varones;1979TI;2,3
buscan primer empleo;ya lo ha encontrado;varones;1978TIV;1,9
buscan primer empleo;ya lo ha encontrado;varones;1978TIII;3,3
buscan primer empleo;ya lo ha encontrado;varones;1978TII;3,3
buscan primer empleo;ya lo ha encontrado;varones;1978TI;1,9
buscan primer empleo;ya lo ha encontrado;varones;1977TIV;4,1
buscan primer empleo;ya lo ha encontrado;varones;1977TIII;3,6
buscan primer empleo;ya lo ha encontrado;varones;1977TII;2,6
buscan primer empleo;ya lo ha encontrado;varones;1977TI;1,8
buscan primer empleo;ya lo ha encontrado;varones;1976TIV;1,1
buscan primer empleo;ya lo ha encontrado;varones;1976TIII;1,9
buscan primer empleo;ya lo ha encontrado;mujeres;1995TIV;1,4
buscan primer empleo;ya lo ha encontrado;mujeres;1995TIII;2,9
buscan primer empleo;ya lo ha encontrado;mujeres;1995TII;1,2
buscan primer empleo;ya lo ha encontrado;mujeres;1995TI;2,6
buscan primer empleo;ya lo ha encontrado;mujeres;1994TIV;2,5
buscan primer empleo;ya lo ha encontrado;mujeres;1994TIII;2,0
buscan primer empleo;ya lo ha encontrado;mujeres;1994TII;2,0
buscan primer empleo;ya lo ha encontrado;mujeres;1994TI;1,9
buscan primer empleo;ya lo ha encontrado;mujeres;1993TIV;4,6
buscan primer empleo;ya lo ha encontrado;mujeres;1993TIII;3,0
buscan primer empleo;ya lo ha encontrado;mujeres;1993TII;1,4
buscan primer empleo;ya lo ha encontrado;mujeres;1993TI;2,8
buscan primer empleo;ya lo ha encontrado;mujeres;1992TIV;4,0
buscan primer empleo;ya lo ha encontrado;mujeres;1992TIII;4,3
buscan primer empleo;ya lo ha encontrado;mujeres;1992TII;3,4
buscan primer empleo;ya lo ha encontrado;mujeres;1992TI;5,3
buscan primer empleo;ya lo ha encontrado;mujeres;1991TIV;6,2
buscan primer empleo;ya lo ha encontrado;mujeres;1991TIII;8,8
buscan primer empleo;ya lo ha encontrado;mujeres;1991TII;2,7
buscan primer empleo;ya lo ha encontrado;mujeres;1991TI;3,6
buscan primer empleo;ya lo ha encontrado;mujeres;1990TIV;4,2
buscan primer empleo;ya lo ha encontrado;mujeres;1990TIII;6,9
buscan primer empleo;ya lo ha encontrado;mujeres;1990TII;4,4
buscan primer empleo;ya lo ha encontrado;mujeres;1990TI;6,3
buscan primer empleo;ya lo ha encontrado;mujeres;1989TIV;6,4
buscan primer empleo;ya lo ha encontrado;mujeres;1989TIII;8,2
buscan primer empleo;ya lo ha encontrado;mujeres;1989TII;6,0
buscan primer empleo;ya lo ha encontrado;mujeres;1989TI;6,3
buscan primer empleo;ya lo ha encontrado;mujeres;1988TIV;4,2
buscan primer empleo;ya lo ha encontrado;mujeres;1988TIII;6,2
buscan primer empleo;ya lo ha encontrado;mujeres;1988TII;4,5
buscan primer empleo;ya lo ha encontrado;mujeres;1988TI;2,9
buscan primer empleo;ya lo ha encontrado;mujeres;1987TIV;3,1
buscan primer empleo;ya lo ha encontrado;mujeres;1987TIII;3,5
buscan primer empleo;ya lo ha encontrado;mujeres;1987TII;3,6
buscan primer empleo;ya lo ha encontrado;mujeres;1987TI;1,7
buscan primer empleo;ya lo ha encontrado;mujeres;1986TIV;3,7
buscan primer empleo;ya lo ha encontrado;mujeres;1986TIII;4,8
buscan primer empleo;ya lo ha encontrado;mujeres;1986TII;3,3
buscan primer empleo;ya lo ha encontrado;mujeres;1986TI;3,5
buscan primer empleo;ya lo ha encontrado;mujeres;1985TIV;3,2
buscan primer empleo;ya lo ha encontrado;mujeres;1985TIII;5,3
buscan primer empleo;ya lo ha encontrado;mujeres;1985TII;3,5
buscan primer empleo;ya lo ha encontrado;mujeres;1985TI;2,5
buscan primer empleo;ya lo ha encontrado;mujeres;1984TIV;2,4
buscan primer empleo;ya lo ha encontrado;mujeres;1984TIII;5,3
buscan primer empleo;ya lo ha encontrado;mujeres;1984TII;1,8
buscan primer empleo;ya lo ha encontrado;mujeres;1984TI;1,4
buscan primer empleo;ya lo ha encontrado;mujeres;1983TIV;1,9
buscan primer empleo;ya lo ha encontrado;mujeres;1983TIII;4,2
buscan primer empleo;ya lo ha encontrado;mujeres;1983TII;3,9
buscan primer empleo;ya lo ha encontrado;mujeres;1983TI;3,1
buscan primer empleo;ya lo ha encontrado;mujeres;1982TIV;2,4
buscan primer empleo;ya lo ha encontrado;mujeres;1982TIII;2,1
buscan primer empleo;ya lo ha encontrado;mujeres;1982TII;0,8
buscan primer empleo;ya lo ha encontrado;mujeres;1982TI;2,4
buscan primer empleo;ya lo ha encontrado;mujeres;1981TIV;2,4
buscan primer empleo;ya lo ha encontrado;mujeres;1981TIII;2,9
buscan primer empleo;ya lo ha encontrado;mujeres;1981TII;1,1
buscan primer empleo;ya lo ha encontrado;mujeres;1981TI;1,6
buscan primer empleo;ya lo ha encontrado;mujeres;1980TIV;2,8
buscan primer empleo;ya lo ha encontrado;mujeres;1980TIII;3,1
buscan primer empleo;ya lo ha encontrado;mujeres;1980TII;2,0
buscan primer empleo;ya lo ha encontrado;mujeres;1980TI;1,5
buscan primer empleo;ya lo ha encontrado;mujeres;1979TIV;1,9
buscan primer empleo;ya lo ha encontrado;mujeres;1979TIII;3,0
buscan primer empleo;ya lo ha encontrado;mujeres;1979TII;1,4
buscan primer empleo;ya lo ha encontrado;mujeres;1979TI;0,6
buscan primer empleo;ya lo ha encontrado;mujeres;1978TIV;1,0
buscan primer empleo;ya lo ha encontrado;mujeres;1978TIII;4,5
buscan primer empleo;ya lo ha encontrado;mujeres;1978TII;1,2
buscan primer empleo;ya lo ha encontrado;mujeres;1978TI;2,6
buscan primer empleo;ya lo ha encontrado;mujeres;1977TIV;1,7
buscan primer empleo;ya lo ha encontrado;mujeres;1977TIII;3,6
buscan primer empleo;ya lo ha encontrado;mujeres;1977TII;1,6
buscan primer empleo;ya lo ha encontrado;mujeres;1977TI;1,4
buscan primer empleo;ya lo ha encontrado;mujeres;1976TIV;2,6
buscan primer empleo;ya lo ha encontrado;mujeres;1976TIII;2,7
