Sexo;Grupo de edad (4);Sector económico ( 5);Periodo;Total
ambos sexos;de 16 a 19;agricultura;1990TIII;10,71
ambos sexos;de 16 a 19;agricultura;1990TII;8,79
ambos sexos;de 16 a 19;agricultura;1990TI;10,34
ambos sexos;de 16 a 19;agricultura;1989TIV;9,36
ambos sexos;de 16 a 19;agricultura;1989TIII;8,59
ambos sexos;de 16 a 19;agricultura;1989TII;9,74
ambos sexos;de 16 a 19;agricultura;1989TI;10,29
ambos sexos;de 16 a 19;agricultura;1988TIV;9,29
ambos sexos;de 16 a 19;agricultura;1988TIII;9,24
ambos sexos;de 16 a 19;agricultura;1988TII;10,28
ambos sexos;de 16 a 19;agricultura;1988TI;12,80
ambos sexos;de 16 a 19;agricultura;1987TIV;12,00
ambos sexos;de 16 a 19;agricultura;1987TIII;11,31
ambos sexos;de 16 a 19;agricultura;1987TII;10,28
ambos sexos;de 16 a 19;agricultura;1987TI;8,86
ambos sexos;de 16 a 19;agricultura;1986TIV;7,60
ambos sexos;de 16 a 19;agricultura;1986TIII;6,58
ambos sexos;de 16 a 19;agricultura;1986TII;7,33
ambos sexos;de 16 a 19;agricultura;1986TI;8,73
ambos sexos;de 16 a 19;agricultura;1985TIV;9,48
ambos sexos;de 16 a 19;agricultura;1985TIII;9,86
ambos sexos;de 16 a 19;agricultura;1985TII;10,06
ambos sexos;de 16 a 19;agricultura;1985TI;11,67
ambos sexos;de 16 a 19;agricultura;1984TIV;10,69
ambos sexos;de 16 a 19;agricultura;1984TIII;9,93
ambos sexos;de 16 a 19;agricultura;1984TII;11,48
ambos sexos;de 16 a 19;agricultura;1984TI;12,76
ambos sexos;de 16 a 19;agricultura;1983TIV;15,33
ambos sexos;de 16 a 19;agricultura;1983TIII;17,63
ambos sexos;de 16 a 19;agricultura;1983TII;17,37
ambos sexos;de 16 a 19;agricultura;1983TI;16,42
ambos sexos;de 16 a 19;agricultura;1982TIV;18,16
ambos sexos;de 16 a 19;agricultura;1982TIII;19,36
ambos sexos;de 16 a 19;agricultura;1982TII;20,50
ambos sexos;de 16 a 19;agricultura;1982TI;21,00
ambos sexos;de 16 a 19;agricultura;1981TIV;20,90
ambos sexos;de 16 a 19;agricultura;1981TIII;22,96
ambos sexos;de 16 a 19;agricultura;1981TII;20,58
ambos sexos;de 16 a 19;agricultura;1981TI;19,96
ambos sexos;de 16 a 19;agricultura;1980TIV;20,17
ambos sexos;de 16 a 19;agricultura;1980TIII;18,27
ambos sexos;de 16 a 19;agricultura;1980TII;17,72
ambos sexos;de 16 a 19;agricultura;1980TI;16,39
ambos sexos;de 16 a 19;agricultura;1979TIV;21,36
ambos sexos;de 16 a 19;agricultura;1979TIII;19,60
ambos sexos;de 16 a 19;agricultura;1979TII;21,19
ambos sexos;de 16 a 19;agricultura;1979TI;18,02
ambos sexos;de 16 a 19;agricultura;1978TIV;19,27
ambos sexos;de 16 a 19;agricultura;1978TIII;21,50
ambos sexos;de 16 a 19;agricultura;1978TII;20,36
ambos sexos;de 16 a 19;agricultura;1978TI;23,65
ambos sexos;de 16 a 19;agricultura;1977TIV;20,83
ambos sexos;de 16 a 19;agricultura;1977TIII;23,39
ambos sexos;de 16 a 19;agricultura;1977TII;22,32
ambos sexos;de 16 a 19;agricultura;1977TI;21,19
ambos sexos;de 16 a 19;agricultura;1976TIV;18,76
ambos sexos;de 16 a 19;agricultura;1976TIII;22,57
ambos sexos;de 16 a 19;industria;1995TIV;5,63
ambos sexos;de 16 a 19;industria;1995TIII;7,48
ambos sexos;de 16 a 19;industria;1995TII;6,35
ambos sexos;de 16 a 19;industria;1995TI;6,57
ambos sexos;de 16 a 19;industria;1994TIV;6,29
ambos sexos;de 16 a 19;industria;1994TIII;6,96
ambos sexos;de 16 a 19;industria;1994TII;6,14
ambos sexos;de 16 a 19;industria;1994TI;6,92
ambos sexos;de 16 a 19;industria;1993TIV;7,26
ambos sexos;de 16 a 19;industria;1993TIII;8,72
ambos sexos;de 16 a 19;industria;1993TII;8,97
ambos sexos;de 16 a 19;industria;1993TI;8,76
ambos sexos;de 16 a 19;industria;1992TIV;7,54
ambos sexos;de 16 a 19;industria;1992TIII;8,20
ambos sexos;de 16 a 19;industria;1992TII;7,48
ambos sexos;de 16 a 19;industria;1992TI;8,49
ambos sexos;de 16 a 19;industria;1991TIV;7,81
ambos sexos;de 16 a 19;industria;1991TIII;8,47
ambos sexos;de 16 a 19;industria;1991TII;9,20
ambos sexos;de 16 a 19;industria;1991TI;9,12
ambos sexos;de 16 a 19;industria;1990TIV;9,27
ambos sexos;de 16 a 19;industria;1990TIII;11,44
ambos sexos;de 16 a 19;industria;1990TII;9,47
ambos sexos;de 16 a 19;industria;1990TI;10,35
ambos sexos;de 16 a 19;industria;1989TIV;9,07
ambos sexos;de 16 a 19;industria;1989TIII;10,65
ambos sexos;de 16 a 19;industria;1989TII;10,26
ambos sexos;de 16 a 19;industria;1989TI;10,65
ambos sexos;de 16 a 19;industria;1988TIV;11,22
ambos sexos;de 16 a 19;industria;1988TIII;12,45
ambos sexos;de 16 a 19;industria;1988TII;11,80
ambos sexos;de 16 a 19;industria;1988TI;9,67
ambos sexos;de 16 a 19;industria;1987TIV;9,73
ambos sexos;de 16 a 19;industria;1987TIII;8,87
ambos sexos;de 16 a 19;industria;1987TII;8,99
ambos sexos;de 16 a 19;industria;1987TI;5,65
ambos sexos;de 16 a 19;industria;1986TIV;4,75
ambos sexos;de 16 a 19;industria;1986TIII;4,70
ambos sexos;de 16 a 19;industria;1986TII;4,25
ambos sexos;de 16 a 19;industria;1986TI;4,68
ambos sexos;de 16 a 19;industria;1985TIV;4,26
ambos sexos;de 16 a 19;industria;1985TIII;4,27
ambos sexos;de 16 a 19;industria;1985TII;4,08
ambos sexos;de 16 a 19;industria;1985TI;5,37
ambos sexos;de 16 a 19;industria;1984TIV;5,75
ambos sexos;de 16 a 19;industria;1984TIII;6,10
ambos sexos;de 16 a 19;industria;1984TII;5,85
ambos sexos;de 16 a 19;industria;1984TI;6,64
ambos sexos;de 16 a 19;industria;1983TIV;5,82
ambos sexos;de 16 a 19;industria;1983TIII;6,56
ambos sexos;de 16 a 19;industria;1983TII;7,75
ambos sexos;de 16 a 19;industria;1983TI;8,16
ambos sexos;de 16 a 19;industria;1982TIV;9,13
ambos sexos;de 16 a 19;industria;1982TIII;9,39
ambos sexos;de 16 a 19;industria;1982TII;10,35
ambos sexos;de 16 a 19;industria;1982TI;10,28
ambos sexos;de 16 a 19;industria;1981TIV;11,50
ambos sexos;de 16 a 19;industria;1981TIII;12,20
ambos sexos;de 16 a 19;industria;1981TII;12,85
ambos sexos;de 16 a 19;industria;1981TI;14,13
ambos sexos;de 16 a 19;industria;1980TIV;15,97
ambos sexos;de 16 a 19;industria;1980TIII;15,27
ambos sexos;de 16 a 19;industria;1980TII;14,73
ambos sexos;de 16 a 19;industria;1980TI;16,36
ambos sexos;de 16 a 19;industria;1979TIV;16,25
ambos sexos;de 16 a 19;industria;1979TIII;17,36
ambos sexos;de 16 a 19;industria;1979TII;16,96
ambos sexos;de 16 a 19;industria;1979TI;18,13
ambos sexos;de 16 a 19;industria;1978TIV;18,69
ambos sexos;de 16 a 19;industria;1978TIII;19,34
ambos sexos;de 16 a 19;industria;1978TII;19,58
ambos sexos;de 16 a 19;industria;1978TI;21,92
ambos sexos;de 16 a 19;industria;1977TIV;22,89
ambos sexos;de 16 a 19;industria;1977TIII;21,11
ambos sexos;de 16 a 19;industria;1977TII;25,26
ambos sexos;de 16 a 19;industria;1977TI;26,65
ambos sexos;de 16 a 19;industria;1976TIV;23,55
ambos sexos;de 16 a 19;industria;1976TIII;18,92
ambos sexos;de 16 a 19;construcción;1995TIV;3,28
ambos sexos;de 16 a 19;construcción;1995TIII;3,67
ambos sexos;de 16 a 19;construcción;1995TII;3,78
ambos sexos;de 16 a 19;construcción;1995TI;3,33
ambos sexos;de 16 a 19;construcción;1994TIV;2,82
ambos sexos;de 16 a 19;construcción;1994TIII;3,48
ambos sexos;de 16 a 19;construcción;1994TII;3,35
ambos sexos;de 16 a 19;construcción;1994TI;3,63
ambos sexos;de 16 a 19;construcción;1993TIV;4,28
ambos sexos;de 16 a 19;construcción;1993TIII;4,95
ambos sexos;de 16 a 19;construcción;1993TII;4,95
ambos sexos;de 16 a 19;construcción;1993TI;5,50
ambos sexos;de 16 a 19;construcción;1992TIV;5,17
ambos sexos;de 16 a 19;construcción;1992TIII;4,69
ambos sexos;de 16 a 19;construcción;1992TII;3,90
ambos sexos;de 16 a 19;construcción;1992TI;4,61
ambos sexos;de 16 a 19;construcción;1991TIV;4,14
ambos sexos;de 16 a 19;construcción;1991TIII;5,70
ambos sexos;de 16 a 19;construcción;1991TII;4,83
ambos sexos;de 16 a 19;construcción;1991TI;4,96
ambos sexos;de 16 a 19;construcción;1990TIV;4,52
ambos sexos;de 16 a 19;construcción;1990TIII;4,80
ambos sexos;de 16 a 19;construcción;1990TII;4,72
ambos sexos;de 16 a 19;construcción;1990TI;4,42
ambos sexos;de 16 a 19;construcción;1989TIV;3,63
ambos sexos;de 16 a 19;construcción;1989TIII;3,19
ambos sexos;de 16 a 19;construcción;1989TII;2,55
ambos sexos;de 16 a 19;construcción;1989TI;3,99
ambos sexos;de 16 a 19;construcción;1988TIV;3,50
ambos sexos;de 16 a 19;construcción;1988TIII;3,43
ambos sexos;de 16 a 19;construcción;1988TII;4,25
ambos sexos;de 16 a 19;construcción;1988TI;4,33
ambos sexos;de 16 a 19;construcción;1987TIV;3,57
ambos sexos;de 16 a 19;construcción;1987TIII;3,21
ambos sexos;de 16 a 19;construcción;1987TII;2,84
ambos sexos;de 16 a 19;construcción;1987TI;2,66
ambos sexos;de 16 a 19;construcción;1986TIV;2,81
ambos sexos;de 16 a 19;construcción;1986TIII;2,64
ambos sexos;de 16 a 19;construcción;1986TII;2,64
ambos sexos;de 16 a 19;construcción;1986TI;2,18
ambos sexos;de 16 a 19;construcción;1985TIV;2,68
ambos sexos;de 16 a 19;construcción;1985TIII;2,05
ambos sexos;de 16 a 19;construcción;1985TII;2,05
ambos sexos;de 16 a 19;construcción;1985TI;3,07
ambos sexos;de 16 a 19;construcción;1984TIV;2,78
ambos sexos;de 16 a 19;construcción;1984TIII;3,61
ambos sexos;de 16 a 19;construcción;1984TII;3,80
ambos sexos;de 16 a 19;construcción;1984TI;4,17
ambos sexos;de 16 a 19;construcción;1983TIV;5,02
ambos sexos;de 16 a 19;construcción;1983TIII;4,81
ambos sexos;de 16 a 19;construcción;1983TII;4,90
ambos sexos;de 16 a 19;construcción;1983TI;5,86
ambos sexos;de 16 a 19;construcción;1982TIV;5,34
ambos sexos;de 16 a 19;construcción;1982TIII;5,52
ambos sexos;de 16 a 19;construcción;1982TII;4,55
ambos sexos;de 16 a 19;construcción;1982TI;5,06
ambos sexos;de 16 a 19;construcción;1981TIV;5,02
