Sexo;Edad;Tiempo de búsqueda de empleo;Periodo;Total
Ambos sexos;Total;Total;2003T2;2.216
Ambos sexos;Total;Total;2003T1;2.328,5
Ambos sexos;Total;Total;2002T4;2.232,4
Ambos sexos;Total;Total;2002T3;2.196
Ambos sexos;Total;Total;2002T2;2.103,3
Ambos sexos;Total;Total;2002T1;2.152,8
Ambos sexos;Total;Ya ha encontrado empleo;2025T4;145,8
Ambos sexos;Total;Ya ha encontrado empleo;2025T3;256,2
Ambos sexos;Total;Ya ha encontrado empleo;2025T2;167,4
Ambos sexos;Total;Ya ha encontrado empleo;2025T1;232
Ambos sexos;Total;Ya ha encontrado empleo;2024T4;161,2
Ambos sexos;Total;Ya ha encontrado empleo;2024T3;241,2
Ambos sexos;Total;Ya ha encontrado empleo;2024T2;190,1
Ambos sexos;Total;Ya ha encontrado empleo;2024T1;233,3
Ambos sexos;Total;Ya ha encontrado empleo;2023T4;181,2
Ambos sexos;Total;Ya ha encontrado empleo;2023T3;261,9
Ambos sexos;Total;Ya ha encontrado empleo;2023T2;169,5
Ambos sexos;Total;Ya ha encontrado empleo;2023T1;234,1
Ambos sexos;Total;Ya ha encontrado empleo;2022T4;160,5
Ambos sexos;Total;Ya ha encontrado empleo;2022T3;270,9
Ambos sexos;Total;Ya ha encontrado empleo;2022T2;156,4
Ambos sexos;Total;Ya ha encontrado empleo;2022T1;180,7
Ambos sexos;Total;Ya ha encontrado empleo;2021T4;158,9
Ambos sexos;Total;Ya ha encontrado empleo;2021T3;243,5
Ambos sexos;Total;Ya ha encontrado empleo;2021T2;159,9
Ambos sexos;Total;Ya ha encontrado empleo;2021T1;131,1
Ambos sexos;Total;Ya ha encontrado empleo;2020T4;258,2
Ambos sexos;Total;Ya ha encontrado empleo;2020T3;349,2
Ambos sexos;Total;Ya ha encontrado empleo;2020T2;323,9
Ambos sexos;Total;Ya ha encontrado empleo;2020T1;314,8
Ambos sexos;Total;Ya ha encontrado empleo;2019T4;307,2
Ambos sexos;Total;Ya ha encontrado empleo;2019T3;363,2
Ambos sexos;Total;Ya ha encontrado empleo;2019T2;336,9
Ambos sexos;Total;Ya ha encontrado empleo;2019T1;323,4
Ambos sexos;Total;Ya ha encontrado empleo;2018T4;254,5
Ambos sexos;Total;Ya ha encontrado empleo;2018T3;351,9
Ambos sexos;Total;Ya ha encontrado empleo;2018T2;317,5
Ambos sexos;Total;Ya ha encontrado empleo;2018T1;288,2
Ambos sexos;Total;Ya ha encontrado empleo;2017T4;263,6
Ambos sexos;Total;Ya ha encontrado empleo;2017T3;356
Ambos sexos;Total;Ya ha encontrado empleo;2017T2;311,4
Ambos sexos;Total;Ya ha encontrado empleo;2017T1;280
Ambos sexos;Total;Ya ha encontrado empleo;2016T4;279,4
Ambos sexos;Total;Ya ha encontrado empleo;2016T3;325,5
Ambos sexos;Total;Ya ha encontrado empleo;2016T2;294,9
Ambos sexos;Total;Ya ha encontrado empleo;2016T1;226,5
Ambos sexos;Total;Ya ha encontrado empleo;2015T4;230,2
