Edad;Sexo;Periodo;Total
De 60 a 64 años;Hombres;2019T1;52,26
De 60 a 64 años;Hombres;2018T4;52,97
De 60 a 64 años;Hombres;2018T3;52,01
De 60 a 64 años;Hombres;2018T2;52,13
De 60 a 64 años;Hombres;2018T1;50,69
De 60 a 64 años;Hombres;2017T4;51,52
De 60 a 64 años;Hombres;2017T3;51,88
De 60 a 64 años;Hombres;2017T2;51,5
De 60 a 64 años;Hombres;2017T1;49,7
De 60 a 64 años;Hombres;2016T4;49,08
De 60 a 64 años;Hombres;2016T3;49,8
De 60 a 64 años;Hombres;2016T2;50,14
De 60 a 64 años;Hombres;2016T1;50,32
De 60 a 64 años;Hombres;2015T4;50,54
De 60 a 64 años;Hombres;2015T3;50,04
De 60 a 64 años;Hombres;2015T2;48,85
De 60 a 64 años;Hombres;2015T1;48,06
De 60 a 64 años;Hombres;2014T4;47,83
De 60 a 64 años;Hombres;2014T3;47,66
De 60 a 64 años;Hombres;2014T2;46,09
De 60 a 64 años;Hombres;2014T1;44,83
De 60 a 64 años;Hombres;2013T4;44,96
De 60 a 64 años;Hombres;2013T3;45,56
De 60 a 64 años;Hombres;2013T2;44,74
De 60 a 64 años;Hombres;2013T1;43,8
De 60 a 64 años;Hombres;2012T4;44,94
De 60 a 64 años;Hombres;2012T3;45,73
De 60 a 64 años;Hombres;2012T2;46,33
De 60 a 64 años;Hombres;2012T1;45,52
De 60 a 64 años;Hombres;2011T4;46,54
De 60 a 64 años;Hombres;2011T3;46,27
De 60 a 64 años;Hombres;2011T2;46,53
De 60 a 64 años;Hombres;2011T1;47,18
De 60 a 64 años;Hombres;2010T4;46,06
De 60 a 64 años;Hombres;2010T3;46,62
De 60 a 64 años;Hombres;2010T2;46,93
De 60 a 64 años;Hombres;2010T1;46,54
De 60 a 64 años;Hombres;2009T4;46,47
De 60 a 64 años;Hombres;2009T3;47,18
De 60 a 64 años;Hombres;2009T2;49,22
De 60 a 64 años;Hombres;2009T1;49,29
De 60 a 64 años;Hombres;2008T4;49,99
De 60 a 64 años;Hombres;2008T3;50,45
De 60 a 64 años;Hombres;2008T2;49,91
De 60 a 64 años;Hombres;2008T1;48,96
De 60 a 64 años;Hombres;2007T4;48,58
De 60 a 64 años;Hombres;2007T3;47,73
De 60 a 64 años;Hombres;2007T2;47,37
De 60 a 64 años;Hombres;2007T1;46,99
De 60 a 64 años;Hombres;2006T4;47,61
De 60 a 64 años;Hombres;2006T3;48,2
De 60 a 64 años;Hombres;2006T2;49,29
De 60 a 64 años;Hombres;2006T1;49,77
De 60 a 64 años;Hombres;2005T4;49,09
De 60 a 64 años;Hombres;2005T3;48,3
De 60 a 64 años;Hombres;2005T2;48,74
De 60 a 64 años;Hombres;2005T1;48,06
De 60 a 64 años;Hombres;2004T4;48,15
De 60 a 64 años;Hombres;2004T3;47,96
De 60 a 64 años;Hombres;2004T2;47,19
De 60 a 64 años;Hombres;2004T1;46,78
De 60 a 64 años;Hombres;2003T4;48,3
De 60 a 64 años;Hombres;2003T3;48,08
De 60 a 64 años;Hombres;2003T2;48,33
De 60 a 64 años;Hombres;2003T1;48,4
De 60 a 64 años;Hombres;2002T4;47,53
De 60 a 64 años;Hombres;2002T3;46,88
De 60 a 64 años;Hombres;2002T2;46,14
De 60 a 64 años;Hombres;2002T1;45,76
De 60 a 64 años;Mujeres;2025T4;55,69
De 60 a 64 años;Mujeres;2025T3;55,03
De 60 a 64 años;Mujeres;2025T2;54,38
De 60 a 64 años;Mujeres;2025T1;53,42
De 60 a 64 años;Mujeres;2024T4;51,69
De 60 a 64 años;Mujeres;2024T3;51,2
De 60 a 64 años;Mujeres;2024T2;52,58
De 60 a 64 años;Mujeres;2024T1;52,3
De 60 a 64 años;Mujeres;2023T4;52,67
De 60 a 64 años;Mujeres;2023T3;50,82
De 60 a 64 años;Mujeres;2023T2;50,69
De 60 a 64 años;Mujeres;2023T1;49,53
De 60 a 64 años;Mujeres;2022T4;48,3
De 60 a 64 años;Mujeres;2022T3;48,6
De 60 a 64 años;Mujeres;2022T2;48,71
De 60 a 64 años;Mujeres;2022T1;48,5
De 60 a 64 años;Mujeres;2021T4;47,65
De 60 a 64 años;Mujeres;2021T3;47,44
De 60 a 64 años;Mujeres;2021T2;46,42
De 60 a 64 años;Mujeres;2021T1;44,61
De 60 a 64 años;Mujeres;2020T4;44,28
De 60 a 64 años;Mujeres;2020T3;42,98
De 60 a 64 años;Mujeres;2020T2;41,82
De 60 a 64 años;Mujeres;2020T1;43,25
De 60 a 64 años;Mujeres;2019T4;42,7
De 60 a 64 años;Mujeres;2019T3;40,91
De 60 a 64 años;Mujeres;2019T2;41,3
De 60 a 64 años;Mujeres;2019T1;40,25
De 60 a 64 años;Mujeres;2018T4;39,89
De 60 a 64 años;Mujeres;2018T3;38,8
De 60 a 64 años;Mujeres;2018T2;39,19
De 60 a 64 años;Mujeres;2018T1;38,81
De 60 a 64 años;Mujeres;2017T4;38,66
De 60 a 64 años;Mujeres;2017T3;38,75
De 60 a 64 años;Mujeres;2017T2;38,73
De 60 a 64 años;Mujeres;2017T1;38,05
De 60 a 64 años;Mujeres;2016T4;38,38
De 60 a 64 años;Mujeres;2016T3;38,24
De 60 a 64 años;Mujeres;2016T2;38,36
De 60 a 64 años;Mujeres;2016T1;37,85
De 60 a 64 años;Mujeres;2015T4;37,49
De 60 a 64 años;Mujeres;2015T3;35,42
De 60 a 64 años;Mujeres;2015T2;35,51
De 60 a 64 años;Mujeres;2015T1;34,07
De 60 a 64 años;Mujeres;2014T4;34,02
De 60 a 64 años;Mujeres;2014T3;32,69
De 60 a 64 años;Mujeres;2014T2;33,58
De 60 a 64 años;Mujeres;2014T1;32,81
De 60 a 64 años;Mujeres;2013T4;31,7
De 60 a 64 años;Mujeres;2013T3;31,57
De 60 a 64 años;Mujeres;2013T2;30,12
De 60 a 64 años;Mujeres;2013T1;30,91
De 60 a 64 años;Mujeres;2012T4;30,42
De 60 a 64 años;Mujeres;2012T3;30,93
De 60 a 64 años;Mujeres;2012T2;31,25
De 60 a 64 años;Mujeres;2012T1;29,7
De 60 a 64 años;Mujeres;2011T4;30,02
De 60 a 64 años;Mujeres;2011T3;30,65
De 60 a 64 años;Mujeres;2011T2;29,42
De 60 a 64 años;Mujeres;2011T1;28,02
De 60 a 64 años;Mujeres;2010T4;28,43
De 60 a 64 años;Mujeres;2010T3;27,33
De 60 a 64 años;Mujeres;2010T2;27,07
De 60 a 64 años;Mujeres;2010T1;26,87
De 60 a 64 años;Mujeres;2009T4;26,18
De 60 a 64 años;Mujeres;2009T3;25,87
De 60 a 64 años;Mujeres;2009T2;26,39
De 60 a 64 años;Mujeres;2009T1;24,82
De 60 a 64 años;Mujeres;2008T4;24,48
De 60 a 64 años;Mujeres;2008T3;23,38
De 60 a 64 años;Mujeres;2008T2;23,4
De 60 a 64 años;Mujeres;2008T1;23,47
De 60 a 64 años;Mujeres;2007T4;22,72
De 60 a 64 años;Mujeres;2007T3;22,67
De 60 a 64 años;Mujeres;2007T2;23,54
De 60 a 64 años;Mujeres;2007T1;22,84
De 60 a 64 años;Mujeres;2006T4;21,93
De 60 a 64 años;Mujeres;2006T3;21,04
De 60 a 64 años;Mujeres;2006T2;21,53
De 60 a 64 años;Mujeres;2006T1;21,79
De 60 a 64 años;Mujeres;2005T4;20,84
De 60 a 64 años;Mujeres;2005T3;21,24
De 60 a 64 años;Mujeres;2005T2;20,34
De 60 a 64 años;Mujeres;2005T1;20,26
De 60 a 64 años;Mujeres;2004T4;19,52
De 60 a 64 años;Mujeres;2004T3;19,74
De 60 a 64 años;Mujeres;2004T2;19,83
De 60 a 64 años;Mujeres;2004T1;19,65
De 60 a 64 años;Mujeres;2003T4;18,95
De 60 a 64 años;Mujeres;2003T3;18,79
De 60 a 64 años;Mujeres;2003T2;18,46
De 60 a 64 años;Mujeres;2003T1;17,81
De 60 a 64 años;Mujeres;2002T4;17,04
De 60 a 64 años;Mujeres;2002T3;17,17
De 60 a 64 años;Mujeres;2002T2;17,58
De 60 a 64 años;Mujeres;2002T1;16,71
De 65 a 69 años;Ambos sexos;2025T4;13,86
De 65 a 69 años;Ambos sexos;2025T3;12,89
De 65 a 69 años;Ambos sexos;2025T2;13,28
De 65 a 69 años;Ambos sexos;2025T1;12,77
De 65 a 69 años;Ambos sexos;2024T4;12,01
De 65 a 69 años;Ambos sexos;2024T3;11,59
De 65 a 69 años;Ambos sexos;2024T2;11,25
De 65 a 69 años;Ambos sexos;2024T1;11,23
De 65 a 69 años;Ambos sexos;2023T4;10,87
De 65 a 69 años;Ambos sexos;2023T3;10,89
De 65 a 69 años;Ambos sexos;2023T2;10,92
De 65 a 69 años;Ambos sexos;2023T1;10,43
De 65 a 69 años;Ambos sexos;2022T4;10,21
De 65 a 69 años;Ambos sexos;2022T3;10,33
De 65 a 69 años;Ambos sexos;2022T2;10,09
De 65 a 69 años;Ambos sexos;2022T1;10,03
De 65 a 69 años;Ambos sexos;2021T4;9,81
De 65 a 69 años;Ambos sexos;2021T3;9,55
De 65 a 69 años;Ambos sexos;2021T2;9,85
De 65 a 69 años;Ambos sexos;2021T1;9,35
De 65 a 69 años;Ambos sexos;2020T4;9,16
De 65 a 69 años;Ambos sexos;2020T3;8,48
De 65 a 69 años;Ambos sexos;2020T2;7,5
De 65 a 69 años;Ambos sexos;2020T1;7,39
De 65 a 69 años;Ambos sexos;2019T4;7,03
De 65 a 69 años;Ambos sexos;2019T3;7,18
De 65 a 69 años;Ambos sexos;2019T2;7,14
De 65 a 69 años;Ambos sexos;2019T1;6,38
De 65 a 69 años;Ambos sexos;2018T4;6,51
De 65 a 69 años;Ambos sexos;2018T3;6,7
De 65 a 69 años;Ambos sexos;2018T2;6,48
De 65 a 69 años;Ambos sexos;2018T1;6,06
De 65 a 69 años;Ambos sexos;2017T4;6,03
De 65 a 69 años;Ambos sexos;2017T3;6,14
De 65 a 69 años;Ambos sexos;2017T2;5,88
De 65 a 69 años;Ambos sexos;2017T1;5,66
De 65 a 69 años;Ambos sexos;2016T4;5,63
De 65 a 69 años;Ambos sexos;2016T3;5,64
De 65 a 69 años;Ambos sexos;2016T2;5,63
De 65 a 69 años;Ambos sexos;2016T1;5,25
De 65 a 69 años;Ambos sexos;2015T4;5,67
De 65 a 69 años;Ambos sexos;2015T3;5,26
De 65 a 69 años;Ambos sexos;2015T2;4,97
De 65 a 69 años;Ambos sexos;2015T1;4,85
De 65 a 69 años;Ambos sexos;2014T4;4,61
De 65 a 69 años;Ambos sexos;2014T3;4,84
De 65 a 69 años;Ambos sexos;2014T2;4,44
De 65 a 69 años;Ambos sexos;2014T1;4,5
De 65 a 69 años;Ambos sexos;2013T4;4,92
De 65 a 69 años;Ambos sexos;2013T3;4,92
De 65 a 69 años;Ambos sexos;2013T2;4,98
De 65 a 69 años;Ambos sexos;2013T1;5,19
De 65 a 69 años;Ambos sexos;2012T4;5,64
De 65 a 69 años;Ambos sexos;2012T3;5,64
De 65 a 69 años;Ambos sexos;2012T2;5,43
De 65 a 69 años;Ambos sexos;2012T1;5,18
De 65 a 69 años;Ambos sexos;2011T4;5,68
De 65 a 69 años;Ambos sexos;2011T3;4,89
De 65 a 69 años;Ambos sexos;2011T2;5,09
De 65 a 69 años;Ambos sexos;2011T1;5,1
De 65 a 69 años;Ambos sexos;2010T4;5,42
De 65 a 69 años;Ambos sexos;2010T3;5,38
De 65 a 69 años;Ambos sexos;2010T2;5,66
De 65 a 69 años;Ambos sexos;2010T1;5,41
De 65 a 69 años;Ambos sexos;2009T4;6,02
De 65 a 69 años;Ambos sexos;2009T3;5,57
De 65 a 69 años;Ambos sexos;2009T2;5,56
De 65 a 69 años;Ambos sexos;2009T1;5,8
De 65 a 69 años;Ambos sexos;2008T4;6,25
De 65 a 69 años;Ambos sexos;2008T3;6,15
De 65 a 69 años;Ambos sexos;2008T2;6,32
De 65 a 69 años;Ambos sexos;2008T1;6,02
De 65 a 69 años;Ambos sexos;2007T4;5,56
De 65 a 69 años;Ambos sexos;2007T3;5,7
De 65 a 69 años;Ambos sexos;2007T2;5,15
De 65 a 69 años;Ambos sexos;2007T1;5,37
De 65 a 69 años;Ambos sexos;2006T4;5,26
De 65 a 69 años;Ambos sexos;2006T3;5,5
De 65 a 69 años;Ambos sexos;2006T2;5,66
De 65 a 69 años;Ambos sexos;2006T1;4,93
De 65 a 69 años;Ambos sexos;2005T4;4,85
De 65 a 69 años;Ambos sexos;2005T3;4,75
De 65 a 69 años;Ambos sexos;2005T2;4,59
De 65 a 69 años;Ambos sexos;2005T1;4,74
De 65 a 69 años;Ambos sexos;2004T4;4
De 65 a 69 años;Ambos sexos;2004T3;4,06
De 65 a 69 años;Ambos sexos;2004T2;4,43
De 65 a 69 años;Ambos sexos;2004T1;4,18
De 65 a 69 años;Ambos sexos;2003T4;3,98
De 65 a 69 años;Ambos sexos;2003T3;3,9
De 65 a 69 años;Ambos sexos;2003T2;4,05
De 65 a 69 años;Ambos sexos;2003T1;4,09
De 65 a 69 años;Ambos sexos;2002T4;3,54
De 65 a 69 años;Ambos sexos;2002T3;3,78
De 65 a 69 años;Ambos sexos;2002T2;3,9
De 65 a 69 años;Ambos sexos;2002T1;4,11
De 65 a 69 años;Hombres;2025T4;14,8
De 65 a 69 años;Hombres;2025T3;14,36
De 65 a 69 años;Hombres;2025T2;14,31
De 65 a 69 años;Hombres;2025T1;13,5
De 65 a 69 años;Hombres;2024T4;13,52
De 65 a 69 años;Hombres;2024T3;12,56
De 65 a 69 años;Hombres;2024T2;12,63
De 65 a 69 años;Hombres;2024T1;12,32
De 65 a 69 años;Hombres;2023T4;11,52
De 65 a 69 años;Hombres;2023T3;11,82
De 65 a 69 años;Hombres;2023T2;11,88
De 65 a 69 años;Hombres;2023T1;11,59
De 65 a 69 años;Hombres;2022T4;11,15
De 65 a 69 años;Hombres;2022T3;11,92
De 65 a 69 años;Hombres;2022T2;11,26
De 65 a 69 años;Hombres;2022T1;11,34
De 65 a 69 años;Hombres;2021T4;11,34
De 65 a 69 años;Hombres;2021T3;11,02
De 65 a 69 años;Hombres;2021T2;11,45
De 65 a 69 años;Hombres;2021T1;10,7
De 65 a 69 años;Hombres;2020T4;10,56
De 65 a 69 años;Hombres;2020T3;10,28
De 65 a 69 años;Hombres;2020T2;8,85
De 65 a 69 años;Hombres;2020T1;8,76
De 65 a 69 años;Hombres;2019T4;8,55
De 65 a 69 años;Hombres;2019T3;8,41
De 65 a 69 años;Hombres;2019T2;8,16
De 65 a 69 años;Hombres;2019T1;7,12
De 65 a 69 años;Hombres;2018T4;7,28
De 65 a 69 años;Hombres;2018T3;7,87
De 65 a 69 años;Hombres;2018T2;7,85
De 65 a 69 años;Hombres;2018T1;7,88
De 65 a 69 años;Hombres;2017T4;7,53
De 65 a 69 años;Hombres;2017T3;7,88
De 65 a 69 años;Hombres;2017T2;7,37
De 65 a 69 años;Hombres;2017T1;7,11
De 65 a 69 años;Hombres;2016T4;6,99
De 65 a 69 años;Hombres;2016T3;6,6
De 65 a 69 años;Hombres;2016T2;6,43
De 65 a 69 años;Hombres;2016T1;5,88
De 65 a 69 años;Hombres;2015T4;6,58
De 65 a 69 años;Hombres;2015T3;5,73
De 65 a 69 años;Hombres;2015T2;5,9
De 65 a 69 años;Hombres;2015T1;5,99
De 65 a 69 años;Hombres;2014T4;5,59
De 65 a 69 años;Hombres;2014T3;6,05
De 65 a 69 años;Hombres;2014T2;5,55
De 65 a 69 años;Hombres;2014T1;5,25
De 65 a 69 años;Hombres;2013T4;5,68
De 65 a 69 años;Hombres;2013T3;5,98
De 65 a 69 años;Hombres;2013T2;6,02
De 65 a 69 años;Hombres;2013T1;6,57
De 65 a 69 años;Hombres;2012T4;6,86
De 65 a 69 años;Hombres;2012T3;6,78
De 65 a 69 años;Hombres;2012T2;6,43
De 65 a 69 años;Hombres;2012T1;6,29
De 65 a 69 años;Hombres;2011T4;6,78
De 65 a 69 años;Hombres;2011T3;5,84
De 65 a 69 años;Hombres;2011T2;5,81
De 65 a 69 años;Hombres;2011T1;5,52
De 65 a 69 años;Hombres;2010T4;6,12
De 65 a 69 años;Hombres;2010T3;6,52
De 65 a 69 años;Hombres;2010T2;6,75
De 65 a 69 años;Hombres;2010T1;6,62
De 65 a 69 años;Hombres;2009T4;7,87
De 65 a 69 años;Hombres;2009T3;7,15
De 65 a 69 años;Hombres;2009T2;6,72
De 65 a 69 años;Hombres;2009T1;7,05
De 65 a 69 años;Hombres;2008T4;7,95
De 65 a 69 años;Hombres;2008T3;8,38
De 65 a 69 años;Hombres;2008T2;8,97
De 65 a 69 años;Hombres;2008T1;8,65
De 65 a 69 años;Hombres;2007T4;8,16
De 65 a 69 años;Hombres;2007T3;8,24
De 65 a 69 años;Hombres;2007T2;7,45
De 65 a 69 años;Hombres;2007T1;7,74
De 65 a 69 años;Hombres;2006T4;7,53
De 65 a 69 años;Hombres;2006T3;8,07
De 65 a 69 años;Hombres;2006T2;8,44
De 65 a 69 años;Hombres;2006T1;7,24
De 65 a 69 años;Hombres;2005T4;7,42
De 65 a 69 años;Hombres;2005T3;6,98
De 65 a 69 años;Hombres;2005T2;6,71
De 65 a 69 años;Hombres;2005T1;6,71
De 65 a 69 años;Hombres;2004T4;5,34
De 65 a 69 años;Hombres;2004T3;5,35
De 65 a 69 años;Hombres;2004T2;6,17
De 65 a 69 años;Hombres;2004T1;5,89
De 65 a 69 años;Hombres;2003T4;5,85
De 65 a 69 años;Hombres;2003T3;5,52
De 65 a 69 años;Hombres;2003T2;5,61
De 65 a 69 años;Hombres;2003T1;5,86
De 65 a 69 años;Hombres;2002T4;4,93
De 65 a 69 años;Hombres;2002T3;5,33
De 65 a 69 años;Hombres;2002T2;5,26
De 65 a 69 años;Hombres;2002T1;5,84
De 65 a 69 años;Mujeres;2025T4;13,04
De 65 a 69 años;Mujeres;2025T3;11,61
De 65 a 69 años;Mujeres;2025T2;12,37
De 65 a 69 años;Mujeres;2025T1;12,12
De 65 a 69 años;Mujeres;2024T4;10,66
De 65 a 69 años;Mujeres;2024T3;10,74
De 65 a 69 años;Mujeres;2024T2;10,06
De 65 a 69 años;Mujeres;2024T1;10,26
De 65 a 69 años;Mujeres;2023T4;10,28
De 65 a 69 años;Mujeres;2023T3;10,07
De 65 a 69 años;Mujeres;2023T2;10,06
De 65 a 69 años;Mujeres;2023T1;9,4
De 65 a 69 años;Mujeres;2022T4;9,35
De 65 a 69 años;Mujeres;2022T3;8,92
De 65 a 69 años;Mujeres;2022T2;9,05
De 65 a 69 años;Mujeres;2022T1;8,87
De 65 a 69 años;Mujeres;2021T4;8,45
De 65 a 69 años;Mujeres;2021T3;8,26
De 65 a 69 años;Mujeres;2021T2;8,43
De 65 a 69 años;Mujeres;2021T1;8,18
De 65 a 69 años;Mujeres;2020T4;7,95
De 65 a 69 años;Mujeres;2020T3;6,93
De 65 a 69 años;Mujeres;2020T2;6,32
De 65 a 69 años;Mujeres;2020T1;6,17
De 65 a 69 años;Mujeres;2019T4;5,7
De 65 a 69 años;Mujeres;2019T3;6,09
De 65 a 69 años;Mujeres;2019T2;6,22
De 65 a 69 años;Mujeres;2019T1;5,73
De 65 a 69 años;Mujeres;2018T4;5,82
De 65 a 69 años;Mujeres;2018T3;5,66
De 65 a 69 años;Mujeres;2018T2;5,26
De 65 a 69 años;Mujeres;2018T1;4,48
De 65 a 69 años;Mujeres;2017T4;4,73
De 65 a 69 años;Mujeres;2017T3;4,63
De 65 a 69 años;Mujeres;2017T2;4,58
De 65 a 69 años;Mujeres;2017T1;4,38
De 65 a 69 años;Mujeres;2016T4;4,44
De 65 a 69 años;Mujeres;2016T3;4,8
De 65 a 69 años;Mujeres;2016T2;4,93
De 65 a 69 años;Mujeres;2016T1;4,69
De 65 a 69 años;Mujeres;2015T4;4,88
De 65 a 69 años;Mujeres;2015T3;4,86
De 65 a 69 años;Mujeres;2015T2;4,16
De 65 a 69 años;Mujeres;2015T1;3,84
De 65 a 69 años;Mujeres;2014T4;3,74
De 65 a 69 años;Mujeres;2014T3;3,72
De 65 a 69 años;Mujeres;2014T2;3,45
De 65 a 69 años;Mujeres;2014T1;3,83
De 65 a 69 años;Mujeres;2013T4;4,22
De 65 a 69 años;Mujeres;2013T3;3,96
De 65 a 69 años;Mujeres;2013T2;4,04
De 65 a 69 años;Mujeres;2013T1;3,97
De 65 a 69 años;Mujeres;2012T4;4,57
De 65 a 69 años;Mujeres;2012T3;4,61
De 65 a 69 años;Mujeres;2012T2;4,54
De 65 a 69 años;Mujeres;2012T1;4,2
De 65 a 69 años;Mujeres;2011T4;4,68
De 65 a 69 años;Mujeres;2011T3;4,04
De 65 a 69 años;Mujeres;2011T2;4,44
De 65 a 69 años;Mujeres;2011T1;4,71
De 65 a 69 años;Mujeres;2010T4;4,77
De 65 a 69 años;Mujeres;2010T3;4,35
De 65 a 69 años;Mujeres;2010T2;4,69
De 65 a 69 años;Mujeres;2010T1;4,33
De 65 a 69 años;Mujeres;2009T4;4,36
De 65 a 69 años;Mujeres;2009T3;4,17
De 65 a 69 años;Mujeres;2009T2;4,52
De 65 a 69 años;Mujeres;2009T1;4,69
De 65 a 69 años;Mujeres;2008T4;4,77
De 65 a 69 años;Mujeres;2008T3;4,23
De 65 a 69 años;Mujeres;2008T2;4,04
De 65 a 69 años;Mujeres;2008T1;3,75
De 65 a 69 años;Mujeres;2007T4;3,28
De 65 a 69 años;Mujeres;2007T3;3,47
De 65 a 69 años;Mujeres;2007T2;3,1
De 65 a 69 años;Mujeres;2007T1;3,21
De 65 a 69 años;Mujeres;2006T4;3,25
De 65 a 69 años;Mujeres;2006T3;3,19
De 65 a 69 años;Mujeres;2006T2;3,24
De 65 a 69 años;Mujeres;2006T1;2,96
De 65 a 69 años;Mujeres;2005T4;2,72
De 65 a 69 años;Mujeres;2005T3;2,91
De 65 a 69 años;Mujeres;2005T2;2,83
De 65 a 69 años;Mujeres;2005T1;3,04
De 65 a 69 años;Mujeres;2004T4;2,83
De 65 a 69 años;Mujeres;2004T3;2,94
De 65 a 69 años;Mujeres;2004T2;2,94
De 65 a 69 años;Mujeres;2004T1;2,71
De 65 a 69 años;Mujeres;2003T4;2,38
De 65 a 69 años;Mujeres;2003T3;2,51
De 65 a 69 años;Mujeres;2003T2;2,72
De 65 a 69 años;Mujeres;2003T1;2,55
De 65 a 69 años;Mujeres;2002T4;2,33
De 65 a 69 años;Mujeres;2002T3;2,4
De 65 a 69 años;Mujeres;2002T2;2,69
De 65 a 69 años;Mujeres;2002T1;2,59
70 y más años;Ambos sexos;2025T4;1,01
70 y más años;Ambos sexos;2025T3;0,96
70 y más años;Ambos sexos;2025T2;0,86
70 y más años;Ambos sexos;2025T1;0,86
70 y más años;Ambos sexos;2024T4;0,79
70 y más años;Ambos sexos;2024T3;0,78
70 y más años;Ambos sexos;2024T2;0,87
70 y más años;Ambos sexos;2024T1;0,76
70 y más años;Ambos sexos;2023T4;0,77
70 y más años;Ambos sexos;2023T3;0,94
70 y más años;Ambos sexos;2023T2;0,82
70 y más años;Ambos sexos;2023T1;0,93
70 y más años;Ambos sexos;2022T4;0,94
70 y más años;Ambos sexos;2022T3;0,89
70 y más años;Ambos sexos;2022T2;0,92
70 y más años;Ambos sexos;2022T1;1,03
70 y más años;Ambos sexos;2021T4;1,06
70 y más años;Ambos sexos;2021T3;0,89
70 y más años;Ambos sexos;2021T2;0,78
70 y más años;Ambos sexos;2021T1;0,71
70 y más años;Ambos sexos;2020T4;0,73
70 y más años;Ambos sexos;2020T3;0,78
70 y más años;Ambos sexos;2020T2;0,83
70 y más años;Ambos sexos;2020T1;0,95
70 y más años;Ambos sexos;2019T4;0,86
70 y más años;Ambos sexos;2019T3;0,87
70 y más años;Ambos sexos;2019T2;0,87
70 y más años;Ambos sexos;2019T1;0,83
70 y más años;Ambos sexos;2018T4;0,82
70 y más años;Ambos sexos;2018T3;0,74
70 y más años;Ambos sexos;2018T2;0,7
70 y más años;Ambos sexos;2018T1;0,72
70 y más años;Ambos sexos;2017T4;0,69
70 y más años;Ambos sexos;2017T3;0,69
70 y más años;Ambos sexos;2017T2;0,69
70 y más años;Ambos sexos;2017T1;0,65
70 y más años;Ambos sexos;2016T4;0,6
70 y más años;Ambos sexos;2016T3;0,57
70 y más años;Ambos sexos;2016T2;0,61
70 y más años;Ambos sexos;2016T1;0,59
70 y más años;Ambos sexos;2015T4;0,61
70 y más años;Ambos sexos;2015T3;0,57
70 y más años;Ambos sexos;2015T2;0,56
70 y más años;Ambos sexos;2015T1;0,5
70 y más años;Ambos sexos;2014T4;0,56
70 y más años;Ambos sexos;2014T3;0,59
70 y más años;Ambos sexos;2014T2;0,55
70 y más años;Ambos sexos;2014T1;0,52
70 y más años;Ambos sexos;2013T4;0,52
70 y más años;Ambos sexos;2013T3;0,56
70 y más años;Ambos sexos;2013T2;0,63
70 y más años;Ambos sexos;2013T1;0,59
70 y más años;Ambos sexos;2012T4;0,63
70 y más años;Ambos sexos;2012T3;0,76
70 y más años;Ambos sexos;2012T2;0,77
70 y más años;Ambos sexos;2012T1;0,74
70 y más años;Ambos sexos;2011T4;0,75
70 y más años;Ambos sexos;2011T3;0,76
70 y más años;Ambos sexos;2011T2;0,72
70 y más años;Ambos sexos;2011T1;0,79
70 y más años;Ambos sexos;2010T4;0,78
70 y más años;Ambos sexos;2010T3;0,74
70 y más años;Ambos sexos;2010T2;0,76
70 y más años;Ambos sexos;2010T1;0,7
70 y más años;Ambos sexos;2009T4;0,78
70 y más años;Ambos sexos;2009T3;0,66
70 y más años;Ambos sexos;2009T2;0,68
70 y más años;Ambos sexos;2009T1;0,74
70 y más años;Ambos sexos;2008T4;0,74
70 y más años;Ambos sexos;2008T3;0,82
70 y más años;Ambos sexos;2008T2;0,74
70 y más años;Ambos sexos;2008T1;0,74
70 y más años;Ambos sexos;2007T4;0,91
70 y más años;Ambos sexos;2007T3;0,85
70 y más años;Ambos sexos;2007T2;0,81
70 y más años;Ambos sexos;2007T1;0,94
70 y más años;Ambos sexos;2006T4;0,83
70 y más años;Ambos sexos;2006T3;0,95
70 y más años;Ambos sexos;2006T2;1
70 y más años;Ambos sexos;2006T1;0,95
70 y más años;Ambos sexos;2005T4;1,05
70 y más años;Ambos sexos;2005T3;0,97
70 y más años;Ambos sexos;2005T2;0,94
70 y más años;Ambos sexos;2005T1;1,03
70 y más años;Ambos sexos;2004T4;0,69
70 y más años;Ambos sexos;2004T3;0,68
70 y más años;Ambos sexos;2004T2;0,63
70 y más años;Ambos sexos;2004T1;0,57
70 y más años;Ambos sexos;2003T4;0,6
70 y más años;Ambos sexos;2003T3;0,65
70 y más años;Ambos sexos;2003T2;0,68
70 y más años;Ambos sexos;2003T1;0,58
70 y más años;Ambos sexos;2002T4;0,6
70 y más años;Ambos sexos;2002T3;0,58
70 y más años;Ambos sexos;2002T2;0,54
70 y más años;Ambos sexos;2002T1;0,55
70 y más años;Hombres;2025T4;1,55
70 y más años;Hombres;2025T3;1,48
70 y más años;Hombres;2025T2;1,29
70 y más años;Hombres;2025T1;1,29
70 y más años;Hombres;2024T4;1,26
70 y más años;Hombres;2024T3;1,3
70 y más años;Hombres;2024T2;1,46
70 y más años;Hombres;2024T1;1,33
70 y más años;Hombres;2023T4;1,29
70 y más años;Hombres;2023T3;1,59
70 y más años;Hombres;2023T2;1,37
70 y más años;Hombres;2023T1;1,5
70 y más años;Hombres;2022T4;1,46
70 y más años;Hombres;2022T3;1,37
70 y más años;Hombres;2022T2;1,44
70 y más años;Hombres;2022T1;1,65
70 y más años;Hombres;2021T4;1,73
70 y más años;Hombres;2021T3;1,43
70 y más años;Hombres;2021T2;1,28
70 y más años;Hombres;2021T1;1,25
70 y más años;Hombres;2020T4;1,18
