Número de perceptores de ingresos en el hogar;Número de parados en el hogar;Periodo;Total
Cuatro y más perceptores;1;2020T4;0,6
Cuatro y más perceptores;1;2020T3;1,9
Cuatro y más perceptores;1;2020T2;1,2
Cuatro y más perceptores;1;2020T1;2,2
Cuatro y más perceptores;1;2019T4;1,6
Cuatro y más perceptores;1;2019T3;0,8
Cuatro y más perceptores;1;2019T2;0,5
Cuatro y más perceptores;1;2019T1;1,4
Cuatro y más perceptores;1;2018T4;1,3
Cuatro y más perceptores;1;2018T3;1,3
Cuatro y más perceptores;1;2018T2;1
Cuatro y más perceptores;1;2018T1;1,7
Cuatro y más perceptores;1;2017T4;1,2
Cuatro y más perceptores;1;2017T3;2,2
Cuatro y más perceptores;1;2017T2;2,2
Cuatro y más perceptores;1;2017T1;0,8
Cuatro y más perceptores;1;2016T4;0,4
Cuatro y más perceptores;1;2016T3;1,1
Cuatro y más perceptores;1;2016T2;1,6
Cuatro y más perceptores;1;2016T1;1,1
Cuatro y más perceptores;1;2015T4;2
Cuatro y más perceptores;1;2015T3;1
Cuatro y más perceptores;1;2015T2;4,2
Cuatro y más perceptores;1;2015T1;1,6
Cuatro y más perceptores;1;2014T4;2
Cuatro y más perceptores;1;2014T3;2,3
Cuatro y más perceptores;1;2014T2;2,9
Cuatro y más perceptores;1;2014T1;2,4
Cuatro y más perceptores;1;2013T4;4,4
Cuatro y más perceptores;1;2013T3;2,6
Cuatro y más perceptores;1;2013T2;4,5
Cuatro y más perceptores;1;2013T1;3,8
Cuatro y más perceptores;1;2012T4;3,7
Cuatro y más perceptores;1;2012T3;2,9
Cuatro y más perceptores;1;2012T2;3,8
Cuatro y más perceptores;1;2012T1;2,1
Cuatro y más perceptores;1;2011T4;4
Cuatro y más perceptores;1;2011T3;2,6
Cuatro y más perceptores;1;2011T2;2,5
Cuatro y más perceptores;1;2011T1;0,7
Cuatro y más perceptores;1;2010T4;1,7
Cuatro y más perceptores;1;2010T3;1,7
Cuatro y más perceptores;1;2010T2;2,8
Cuatro y más perceptores;1;2010T1;4,3
Cuatro y más perceptores;1;2009T4;3,9
Cuatro y más perceptores;1;2009T3;2,8
Cuatro y más perceptores;1;2009T2;3,7
Cuatro y más perceptores;1;2009T1;2,6
Cuatro y más perceptores;1;2008T4;3,3
Cuatro y más perceptores;1;2008T3;1,5
Cuatro y más perceptores;1;2008T2;1
Cuatro y más perceptores;1;2008T1;1,1
Cuatro y más perceptores;1;2007T4;1,3
Cuatro y más perceptores;1;2007T3;1,7
Cuatro y más perceptores;1;2007T2;2,6
Cuatro y más perceptores;1;2007T1;0,8
Cuatro y más perceptores;1;2006T4;1,5
Cuatro y más perceptores;1;2006T3;1
Cuatro y más perceptores;1;2006T2;0,3
Cuatro y más perceptores;1;2006T1;0,5
Cuatro y más perceptores;1;2005T4;1,5
Cuatro y más perceptores;1;2005T3;0,7
Cuatro y más perceptores;1;2005T2;1,9
Cuatro y más perceptores;1;2005T1;2,5
Cuatro y más perceptores;1;2004T4;1,7
Cuatro y más perceptores;1;2004T3;1,3
Cuatro y más perceptores;1;2004T2;1,3
Cuatro y más perceptores;1;2004T1;1,6
Cuatro y más perceptores;1;2003T4;0,3
Cuatro y más perceptores;1;2003T3;0,4
Cuatro y más perceptores;1;2003T2;0,8
Cuatro y más perceptores;1;2003T1;1,6
Cuatro y más perceptores;1;2002T4;0,6
Cuatro y más perceptores;1;2002T3;1,5
Cuatro y más perceptores;1;2002T2;0,3
Cuatro y más perceptores;1;2002T1;0,6
Cuatro y más perceptores;2;2025T4;0,8
Cuatro y más perceptores;2;2025T3;0,8
Cuatro y más perceptores;2;2025T2;..
Cuatro y más perceptores;2;2025T1;0,8
Cuatro y más perceptores;2;2024T4;2,3
Cuatro y más perceptores;2;2024T3;1,2
Cuatro y más perceptores;2;2024T2;..
Cuatro y más perceptores;2;2024T1;2,9
Cuatro y más perceptores;2;2023T4;1,7
Cuatro y más perceptores;2;2023T3;0,3
Cuatro y más perceptores;2;2023T2;1,9
Cuatro y más perceptores;2;2023T1;1,1
Cuatro y más perceptores;2;2022T4;0,3
Cuatro y más perceptores;2;2022T3;..
Cuatro y más perceptores;2;2022T2;..
Cuatro y más perceptores;2;2022T1;0,8
Cuatro y más perceptores;2;2021T4;0,2
Cuatro y más perceptores;2;2021T3;1,8
Cuatro y más perceptores;2;2021T2;1,8
Cuatro y más perceptores;2;2021T1;0,3
Cuatro y más perceptores;2;2020T4;0,3
Cuatro y más perceptores;2;2020T3;1,2
Cuatro y más perceptores;2;2020T2;1,1
Cuatro y más perceptores;2;2020T1;0,6
Cuatro y más perceptores;2;2019T4;1,8
Cuatro y más perceptores;2;2019T3;1,5
Cuatro y más perceptores;2;2019T2;0,2
Cuatro y más perceptores;2;2019T1;0,4
Cuatro y más perceptores;2;2018T4;1
Cuatro y más perceptores;2;2018T3;0,4
Cuatro y más perceptores;2;2018T2;0,8
Cuatro y más perceptores;2;2018T1;1,8
Cuatro y más perceptores;2;2017T4;0,6
Cuatro y más perceptores;2;2017T3;0,4
Cuatro y más perceptores;2;2017T2;0,7
Cuatro y más perceptores;2;2017T1;0,6
Cuatro y más perceptores;2;2016T4;1,3
Cuatro y más perceptores;2;2016T3;0,7
Cuatro y más perceptores;2;2016T2;1,1
Cuatro y más perceptores;2;2016T1;1,9
Cuatro y más perceptores;2;2015T4;1,3
Cuatro y más perceptores;2;2015T3;0,9
Cuatro y más perceptores;2;2015T2;1,7
Cuatro y más perceptores;2;2015T1;3,2
Cuatro y más perceptores;2;2014T4;0,8
Cuatro y más perceptores;2;2014T3;1,7
Cuatro y más perceptores;2;2014T2;1,4
Cuatro y más perceptores;2;2014T1;2,1
Cuatro y más perceptores;2;2013T4;2,1
Cuatro y más perceptores;2;2013T3;2,3
Cuatro y más perceptores;2;2013T2;1,2
Cuatro y más perceptores;2;2013T1;2
Cuatro y más perceptores;2;2012T4;3,2
Cuatro y más perceptores;2;2012T3;2,9
Cuatro y más perceptores;2;2012T2;2,9
Cuatro y más perceptores;2;2012T1;3,3
Cuatro y más perceptores;2;2011T4;2,7
Cuatro y más perceptores;2;2011T3;1,7
Cuatro y más perceptores;2;2011T2;1,9
Cuatro y más perceptores;2;2011T1;3,2
Cuatro y más perceptores;2;2010T4;2,2
Cuatro y más perceptores;2;2010T3;0,9
Cuatro y más perceptores;2;2010T2;2,7
Cuatro y más perceptores;2;2010T1;1,7
Cuatro y más perceptores;2;2009T4;2
Cuatro y más perceptores;2;2009T3;3
Cuatro y más perceptores;2;2009T2;2,5
Cuatro y más perceptores;2;2009T1;1
Cuatro y más perceptores;2;2008T4;0,7
Cuatro y más perceptores;2;2008T3;..
Cuatro y más perceptores;2;2008T2;0,5
Cuatro y más perceptores;2;2008T1;1
Cuatro y más perceptores;2;2007T4;0,6
Cuatro y más perceptores;2;2007T3;0,3
Cuatro y más perceptores;2;2007T2;0,3
Cuatro y más perceptores;2;2007T1;1,5
Cuatro y más perceptores;2;2006T4;..
Cuatro y más perceptores;2;2006T3;0,3
Cuatro y más perceptores;2;2006T2;0,3
Cuatro y más perceptores;2;2006T1;0,9
Cuatro y más perceptores;2;2005T4;0,7
Cuatro y más perceptores;2;2005T3;1,3
Cuatro y más perceptores;2;2005T2;0,3
Cuatro y más perceptores;2;2005T1;0,7
Cuatro y más perceptores;2;2004T4;0,2
Cuatro y más perceptores;2;2004T3;0,8
Cuatro y más perceptores;2;2004T2;0,2
Cuatro y más perceptores;2;2004T1;0,2
Cuatro y más perceptores;2;2003T4;0,4
Cuatro y más perceptores;2;2003T3;0,7
Cuatro y más perceptores;2;2003T2;0,5
Cuatro y más perceptores;2;2003T1;0,5
Cuatro y más perceptores;2;2002T4;0,2
Cuatro y más perceptores;2;2002T3;..
Cuatro y más perceptores;2;2002T2;0,2
Cuatro y más perceptores;2;2002T1;0,8
Cuatro y más perceptores;3;2025T4;..
Cuatro y más perceptores;3;2025T3;..
Cuatro y más perceptores;3;2025T2;0,3
Cuatro y más perceptores;3;2025T1;..
Cuatro y más perceptores;3;2024T4;..
Cuatro y más perceptores;3;2024T3;..
Cuatro y más perceptores;3;2024T2;0,9
Cuatro y más perceptores;3;2024T1;..
Cuatro y más perceptores;3;2023T4;..
Cuatro y más perceptores;3;2023T3;..
Cuatro y más perceptores;3;2023T2;..
Cuatro y más perceptores;3;2023T1;..
Cuatro y más perceptores;3;2022T4;0,4
Cuatro y más perceptores;3;2022T3;0,1
Cuatro y más perceptores;3;2022T2;1,3
Cuatro y más perceptores;3;2022T1;0,2
Cuatro y más perceptores;3;2021T4;0,1
Cuatro y más perceptores;3;2021T3;1,9
Cuatro y más perceptores;3;2021T2;0,9
Cuatro y más perceptores;3;2021T1;0,9
Cuatro y más perceptores;3;2020T4;..
Cuatro y más perceptores;3;2020T3;1
Cuatro y más perceptores;3;2020T2;..
Cuatro y más perceptores;3;2020T1;0,1
Cuatro y más perceptores;3;2019T4;..
Cuatro y más perceptores;3;2019T3;..
Cuatro y más perceptores;3;2019T2;..
Cuatro y más perceptores;3;2019T1;..
Cuatro y más perceptores;3;2018T4;0,4
Cuatro y más perceptores;3;2018T3;..
Cuatro y más perceptores;3;2018T2;0,3
Cuatro y más perceptores;3;2018T1;0,2
Cuatro y más perceptores;3;2017T4;0,4
Cuatro y más perceptores;3;2017T3;0,2
Cuatro y más perceptores;3;2017T2;0,3
Cuatro y más perceptores;3;2017T1;..
Cuatro y más perceptores;3;2016T4;0,1
Cuatro y más perceptores;3;2016T3;0,2
Cuatro y más perceptores;3;2016T2;..
Cuatro y más perceptores;3;2016T1;1,4
Cuatro y más perceptores;3;2015T4;0,8
Cuatro y más perceptores;3;2015T3;0,2
Cuatro y más perceptores;3;2015T2;0,6
Cuatro y más perceptores;3;2015T1;0,7
Cuatro y más perceptores;3;2014T4;0,3
Cuatro y más perceptores;3;2014T3;0,2
Cuatro y más perceptores;3;2014T2;0,1
Cuatro y más perceptores;3;2014T1;1
Cuatro y más perceptores;3;2013T4;1,3
Cuatro y más perceptores;3;2013T3;0,7
Cuatro y más perceptores;3;2013T2;0,4
Cuatro y más perceptores;3;2013T1;0,7
Cuatro y más perceptores;3;2012T4;0,2
Cuatro y más perceptores;3;2012T3;0,6
Cuatro y más perceptores;3;2012T2;1,5
Cuatro y más perceptores;3;2012T1;0,6
Cuatro y más perceptores;3;2011T4;1,9
Cuatro y más perceptores;3;2011T3;0,9
Cuatro y más perceptores;3;2011T2;..
Cuatro y más perceptores;3;2011T1;0,5
Cuatro y más perceptores;3;2010T4;0,2
Cuatro y más perceptores;3;2010T3;1,1
Cuatro y más perceptores;3;2010T2;1,4
Cuatro y más perceptores;3;2010T1;0,8
Cuatro y más perceptores;3;2009T4;0,9
Cuatro y más perceptores;3;2009T3;1,1
Cuatro y más perceptores;3;2009T2;0,2
Cuatro y más perceptores;3;2009T1;1,1
Cuatro y más perceptores;3;2008T4;0,4
Cuatro y más perceptores;3;2008T3;0,4
Cuatro y más perceptores;3;2008T2;..
Cuatro y más perceptores;3;2008T1;0,6
Cuatro y más perceptores;3;2007T4;0,2
Cuatro y más perceptores;3;2007T3;0,3
Cuatro y más perceptores;3;2007T2;0,2
Cuatro y más perceptores;3;2007T1;0,2
Cuatro y más perceptores;3;2006T4;0,2
Cuatro y más perceptores;3;2006T3;..
Cuatro y más perceptores;3;2006T2;..
Cuatro y más perceptores;3;2006T1;..
Cuatro y más perceptores;3;2005T4;..
Cuatro y más perceptores;3;2005T3;0,4
Cuatro y más perceptores;3;2005T2;0,3
Cuatro y más perceptores;3;2005T1;0,2
Cuatro y más perceptores;3;2004T4;..
Cuatro y más perceptores;3;2004T3;1
Cuatro y más perceptores;3;2004T2;..
Cuatro y más perceptores;3;2004T1;..
Cuatro y más perceptores;3;2003T4;0,4
Cuatro y más perceptores;3;2003T3;0,1
Cuatro y más perceptores;3;2003T2;0,2
Cuatro y más perceptores;3;2003T1;..
Cuatro y más perceptores;3;2002T4;0,6
Cuatro y más perceptores;3;2002T3;..
Cuatro y más perceptores;3;2002T2;..
Cuatro y más perceptores;3;2002T1;0,3
Cuatro y más perceptores;4;2025T4;..
Cuatro y más perceptores;4;2025T3;..
Cuatro y más perceptores;4;2025T2;..
Cuatro y más perceptores;4;2025T1;0,4
Cuatro y más perceptores;4;2024T4;0,5
Cuatro y más perceptores;4;2024T3;..
Cuatro y más perceptores;4;2024T2;..
Cuatro y más perceptores;4;2024T1;0,6
Cuatro y más perceptores;4;2023T4;..
Cuatro y más perceptores;4;2023T3;..
Cuatro y más perceptores;4;2023T2;..
Cuatro y más perceptores;4;2023T1;0,5
Cuatro y más perceptores;4;2022T4;..
Cuatro y más perceptores;4;2022T3;..
Cuatro y más perceptores;4;2022T2;..
Cuatro y más perceptores;4;2022T1;1,7
Cuatro y más perceptores;4;2021T4;..
Cuatro y más perceptores;4;2021T3;..
Cuatro y más perceptores;4;2021T2;..
Cuatro y más perceptores;4;2021T1;..
Cuatro y más perceptores;4;2020T4;..
Cuatro y más perceptores;4;2020T3;..
Cuatro y más perceptores;4;2020T2;0,6
Cuatro y más perceptores;4;2020T1;..
Cuatro y más perceptores;4;2019T4;..
Cuatro y más perceptores;4;2019T3;..
Cuatro y más perceptores;4;2019T2;1
Cuatro y más perceptores;4;2019T1;0,7
Cuatro y más perceptores;4;2018T4;..
Cuatro y más perceptores;4;2018T3;..
Cuatro y más perceptores;4;2018T2;..
Cuatro y más perceptores;4;2018T1;..
Cuatro y más perceptores;4;2017T4;..
Cuatro y más perceptores;4;2017T3;0,7
Cuatro y más perceptores;4;2017T2;0,2
Cuatro y más perceptores;4;2017T1;..
Cuatro y más perceptores;4;2016T4;0,3
Cuatro y más perceptores;4;2016T3;..
Cuatro y más perceptores;4;2016T2;0,3
Cuatro y más perceptores;4;2016T1;0,3
Cuatro y más perceptores;4;2015T4;0,1
Cuatro y más perceptores;4;2015T3;0,5
Cuatro y más perceptores;4;2015T2;0,3
Cuatro y más perceptores;4;2015T1;..
Cuatro y más perceptores;4;2014T4;0,6
Cuatro y más perceptores;4;2014T3;0,2
Cuatro y más perceptores;4;2014T2;0,2
Cuatro y más perceptores;4;2014T1;0,3
Cuatro y más perceptores;4;2013T4;2,3
Cuatro y más perceptores;4;2013T3;..
Cuatro y más perceptores;4;2013T2;..
Cuatro y más perceptores;4;2013T1;0,8
Cuatro y más perceptores;4;2012T4;..
Cuatro y más perceptores;4;2012T3;0,5
Cuatro y más perceptores;4;2012T2;..
Cuatro y más perceptores;4;2012T1;0,3
Cuatro y más perceptores;4;2011T4;0,3
Cuatro y más perceptores;4;2011T3;0,4
Cuatro y más perceptores;4;2011T2;..
Cuatro y más perceptores;4;2011T1;1,2
Cuatro y más perceptores;4;2010T4;0,8
Cuatro y más perceptores;4;2010T3;0,5
Cuatro y más perceptores;4;2010T2;0,3
Cuatro y más perceptores;4;2010T1;1,9
Cuatro y más perceptores;4;2009T4;0,3
Cuatro y más perceptores;4;2009T3;0,3
Cuatro y más perceptores;4;2009T2;0,3
Cuatro y más perceptores;4;2009T1;0,6
Cuatro y más perceptores;4;2008T4;0,3
Cuatro y más perceptores;4;2008T3;0,3
Cuatro y más perceptores;4;2008T2;..
Cuatro y más perceptores;4;2008T1;0,2
Cuatro y más perceptores;4;2007T4;..
Cuatro y más perceptores;4;2007T3;..
Cuatro y más perceptores;4;2007T2;..
Cuatro y más perceptores;4;2007T1;..
Cuatro y más perceptores;4;2006T4;..
Cuatro y más perceptores;4;2006T3;..
Cuatro y más perceptores;4;2006T2;..
Cuatro y más perceptores;4;2006T1;..
Cuatro y más perceptores;4;2005T4;..
Cuatro y más perceptores;4;2005T3;..
Cuatro y más perceptores;4;2005T2;..
Cuatro y más perceptores;4;2005T1;0,2
Cuatro y más perceptores;4;2004T4;0,2
Cuatro y más perceptores;4;2004T3;0,5
Cuatro y más perceptores;4;2004T2;0,3
Cuatro y más perceptores;4;2004T1;0,2
Cuatro y más perceptores;4;2003T4;0,3
Cuatro y más perceptores;4;2003T3;..
Cuatro y más perceptores;4;2003T2;..
Cuatro y más perceptores;4;2003T1;0,6
Cuatro y más perceptores;4;2002T4;..
Cuatro y más perceptores;4;2002T3;0,3
Cuatro y más perceptores;4;2002T2;..
Cuatro y más perceptores;4;2002T1;..
Cuatro y más perceptores;5 y más;2025T4;..
Cuatro y más perceptores;5 y más;2025T3;..
Cuatro y más perceptores;5 y más;2025T2;..
Cuatro y más perceptores;5 y más;2025T1;..
Cuatro y más perceptores;5 y más;2024T4;..
Cuatro y más perceptores;5 y más;2024T3;..
Cuatro y más perceptores;5 y más;2024T2;0,6
Cuatro y más perceptores;5 y más;2024T1;..
Cuatro y más perceptores;5 y más;2023T4;..
Cuatro y más perceptores;5 y más;2023T3;..
Cuatro y más perceptores;5 y más;2023T2;..
Cuatro y más perceptores;5 y más;2023T1;..
Cuatro y más perceptores;5 y más;2022T4;..
Cuatro y más perceptores;5 y más;2022T3;..
Cuatro y más perceptores;5 y más;2022T2;..
Cuatro y más perceptores;5 y más;2022T1;..
Cuatro y más perceptores;5 y más;2021T4;..
Cuatro y más perceptores;5 y más;2021T3;..
Cuatro y más perceptores;5 y más;2021T2;..
Cuatro y más perceptores;5 y más;2021T1;..
Cuatro y más perceptores;5 y más;2020T4;..
Cuatro y más perceptores;5 y más;2020T3;..
Cuatro y más perceptores;5 y más;2020T2;..
Cuatro y más perceptores;5 y más;2020T1;..
Cuatro y más perceptores;5 y más;2019T4;0,8
Cuatro y más perceptores;5 y más;2019T3;..
Cuatro y más perceptores;5 y más;2019T2;..
Cuatro y más perceptores;5 y más;2019T1;..
Cuatro y más perceptores;5 y más;2018T4;..
Cuatro y más perceptores;5 y más;2018T3;..
Cuatro y más perceptores;5 y más;2018T2;..
Cuatro y más perceptores;5 y más;2018T1;..
Cuatro y más perceptores;5 y más;2017T4;..
Cuatro y más perceptores;5 y más;2017T3;..
Cuatro y más perceptores;5 y más;2017T2;..
Cuatro y más perceptores;5 y más;2017T1;..
Cuatro y más perceptores;5 y más;2016T4;..
Cuatro y más perceptores;5 y más;2016T3;..
Cuatro y más perceptores;5 y más;2016T2;0,2
Cuatro y más perceptores;5 y más;2016T1;0,2
Cuatro y más perceptores;5 y más;2015T4;0,2
Cuatro y más perceptores;5 y más;2015T3;0,2
Cuatro y más perceptores;5 y más;2015T2;0,2
Cuatro y más perceptores;5 y más;2015T1;1,1
Cuatro y más perceptores;5 y más;2014T4;0,5
Cuatro y más perceptores;5 y más;2014T3;..
Cuatro y más perceptores;5 y más;2014T2;0,4
Cuatro y más perceptores;5 y más;2014T1;0,3
Cuatro y más perceptores;5 y más;2013T4;0,3
Cuatro y más perceptores;5 y más;2013T3;0,2
Cuatro y más perceptores;5 y más;2013T2;0,2
Cuatro y más perceptores;5 y más;2013T1;0,3
Cuatro y más perceptores;5 y más;2012T4;0,2
Cuatro y más perceptores;5 y más;2012T3;0,2
Cuatro y más perceptores;5 y más;2012T2;..
Cuatro y más perceptores;5 y más;2012T1;0,7
Cuatro y más perceptores;5 y más;2011T4;..
Cuatro y más perceptores;5 y más;2011T3;..
Cuatro y más perceptores;5 y más;2011T2;..
Cuatro y más perceptores;5 y más;2011T1;..
Cuatro y más perceptores;5 y más;2010T4;..
Cuatro y más perceptores;5 y más;2010T3;..
Cuatro y más perceptores;5 y más;2010T2;0,2
Cuatro y más perceptores;5 y más;2010T1;..
Cuatro y más perceptores;5 y más;2009T4;0,2
Cuatro y más perceptores;5 y más;2009T3;..
Cuatro y más perceptores;5 y más;2009T2;..
Cuatro y más perceptores;5 y más;2009T1;0,2
Cuatro y más perceptores;5 y más;2008T4;..
Cuatro y más perceptores;5 y más;2008T3;0,3
Cuatro y más perceptores;5 y más;2008T2;..
Cuatro y más perceptores;5 y más;2008T1;..
Cuatro y más perceptores;5 y más;2007T4;..
Cuatro y más perceptores;5 y más;2007T3;..
Cuatro y más perceptores;5 y más;2007T2;..
Cuatro y más perceptores;5 y más;2007T1;..
Cuatro y más perceptores;5 y más;2006T4;..
Cuatro y más perceptores;5 y más;2006T3;..
Cuatro y más perceptores;5 y más;2006T2;..
Cuatro y más perceptores;5 y más;2006T1;..
Cuatro y más perceptores;5 y más;2005T4;..
Cuatro y más perceptores;5 y más;2005T3;..
Cuatro y más perceptores;5 y más;2005T2;..
Cuatro y más perceptores;5 y más;2005T1;..
Cuatro y más perceptores;5 y más;2004T4;..
Cuatro y más perceptores;5 y más;2004T3;..
Cuatro y más perceptores;5 y más;2004T2;..
Cuatro y más perceptores;5 y más;2004T1;..
Cuatro y más perceptores;5 y más;2003T4;..
Cuatro y más perceptores;5 y más;2003T3;..
Cuatro y más perceptores;5 y más;2003T2;..
Cuatro y más perceptores;5 y más;2003T1;..
Cuatro y más perceptores;5 y más;2002T4;..
Cuatro y más perceptores;5 y más;2002T3;..
Cuatro y más perceptores;5 y más;2002T2;0,2
Cuatro y más perceptores;5 y más;2002T1;..
