Sexo;Edad;Nacionalidad;Periodo;Total
Ambos sexos;Total;Total;2009T2;23.293,8
Ambos sexos;Total;Total;2009T1;23.302,6
Ambos sexos;Total;Total;2008T4;23.262,1
Ambos sexos;Total;Total;2008T3;23.157,1
Ambos sexos;Total;Total;2008T2;23.032,6
Ambos sexos;Total;Total;2008T1;22.810,4
Ambos sexos;Total;Total;2007T4;22.659,9
Ambos sexos;Total;Total;2007T3;22.559,6
Ambos sexos;Total;Total;2007T2;22.354,1
Ambos sexos;Total;Total;2007T1;22.130,8
Ambos sexos;Total;Total;2006T4;22.014,8
Ambos sexos;Total;Total;2006T3;21.857,8
Ambos sexos;Total;Total;2006T2;21.726
Ambos sexos;Total;Total;2006T1;21.521,3
Ambos sexos;Total;Total;2005T4;21.369,5
Ambos sexos;Total;Total;2005T3;21.205,6
Ambos sexos;Total;Total;2005T2;21.129,7
Ambos sexos;Total;Total;2005T1;20.857,4
Ambos sexos;Total;Total;2004T4;20.667,7
Ambos sexos;Total;Total;2004T3;20.488,9
Ambos sexos;Total;Total;2004T2;20.266,5
Ambos sexos;Total;Total;2004T1;20.080
Ambos sexos;Total;Total;2003T4;20.017,1
Ambos sexos;Total;Total;2003T3;19.893,5
Ambos sexos;Total;Total;2003T2;19.639,2
Ambos sexos;Total;Total;2003T1;19.421,2
Ambos sexos;Total;Total;2002T4;19.224,3
Ambos sexos;Total;Total;2002T3;19.115,3
Ambos sexos;Total;Total;2002T2;18.870,2
Ambos sexos;Total;Total;2002T1;18.635,1
Ambos sexos;Total;Española;2025T4;19.391,3
Ambos sexos;Total;Española;2025T3;19.398,8
Ambos sexos;Total;Española;2025T2;19.313,3
Ambos sexos;Total;Española;2025T1;19.142,9
Ambos sexos;Total;Española;2024T4;19.139,7
Ambos sexos;Total;Española;2024T3;19.283,9
Ambos sexos;Total;Española;2024T2;19.280,4
Ambos sexos;Total;Española;2024T1;19.222,6
Ambos sexos;Total;Española;2023T4;19.318,2
Ambos sexos;Total;Española;2023T3;19.424,4
Ambos sexos;Total;Española;2023T2;19.334,2
Ambos sexos;Total;Española;2023T1;19.199,4
Ambos sexos;Total;Española;2022T4;19.218,8
Ambos sexos;Total;Española;2022T3;19.299,6
Ambos sexos;Total;Española;2022T2;19.232,5
Ambos sexos;Total;Española;2022T1;19.144,6
Ambos sexos;Total;Española;2021T4;19.292,2
Ambos sexos;Total;Española;2021T3;19.387,3
Ambos sexos;Total;Española;2021T2;19.172,4
Ambos sexos;Total;Española;2021T1;18.935,7
Ambos sexos;Total;Española;2020T4;18.984,8
Ambos sexos;Total;Española;2020T3;18.852,1
Ambos sexos;Total;Española;2020T2;18.221,2
Ambos sexos;Total;Española;2020T1;19.046,6
Ambos sexos;Total;Española;2019T4;19.238,5
Ambos sexos;Total;Española;2019T3;19.258,1
Ambos sexos;Total;Española;2019T2;19.257,9
Ambos sexos;Total;Española;2019T1;19.142,2
Ambos sexos;Total;Española;2018T4;19.222,2
Ambos sexos;Total;Española;2018T3;19.278,4
Ambos sexos;Total;Española;2018T2;19.279,8
Ambos sexos;Total;Española;2018T1;19.198,5
Ambos sexos;Total;Española;2017T4;19.295,7
Ambos sexos;Total;Española;2017T3;19.356,1
Ambos sexos;Total;Española;2017T2;19.342
Ambos sexos;Total;Española;2017T1;19.341,6
Ambos sexos;Total;Española;2016T4;19.385,9
Ambos sexos;Total;Española;2016T3;19.460,8
Ambos sexos;Total;Española;2016T2;19.461,3
Ambos sexos;Total;Española;2016T1;19.438,7
Ambos sexos;Total;Española;2015T4;19.498,2
Ambos sexos;Total;Española;2015T3;19.529
Ambos sexos;Total;Española;2015T2;19.659,5
Ambos sexos;Total;Española;2015T1;19.577,1
Ambos sexos;Total;Española;2014T4;19.704,5
Ambos sexos;Total;Española;2014T3;19.627,4
Ambos sexos;Total;Española;2014T2;19.648,2
Ambos sexos;Total;Española;2014T1;19.558,6
Ambos sexos;Total;Española;2013T4;19.680,4
Ambos sexos;Total;Española;2013T3;19.713,7
Ambos sexos;Total;Española;2013T2;19.690,4
Ambos sexos;Total;Española;2013T1;19.666,1
Ambos sexos;Total;Española;2012T4;19.679,2
Ambos sexos;Total;Española;2012T3;19.798,9
Ambos sexos;Total;Española;2012T2;19.778,6
Ambos sexos;Total;Española;2012T1;19.658,4
Ambos sexos;Total;Española;2011T4;19.648,3
Ambos sexos;Total;Española;2011T3;19.679,3
Ambos sexos;Total;Española;2011T2;19.630,6
Ambos sexos;Total;Española;2011T1;19.549,2
Ambos sexos;Total;Española;2010T4;19.569,2
Ambos sexos;Total;Española;2010T3;19.545,5
Ambos sexos;Total;Española;2010T2;19.559,4
Ambos sexos;Total;Española;2010T1;19.442,9
Ambos sexos;Total;Española;2009T4;19.420,3
Ambos sexos;Total;Española;2009T3;19.396,5
Ambos sexos;Total;Española;2009T2;19.436
Ambos sexos;Total;Española;2009T1;19.458,8
Ambos sexos;Total;Española;2008T4;19.492,4
Ambos sexos;Total;Española;2008T3;19.457,9
Ambos sexos;Total;Española;2008T2;19.376,4
Ambos sexos;Total;Española;2008T1;19.227,5
Ambos sexos;Total;Española;2007T4;19.222,9
Ambos sexos;Total;Española;2007T3;19.188,1
Ambos sexos;Total;Española;2007T2;19.091,6
Ambos sexos;Total;Española;2007T1;18.970,4
Ambos sexos;Total;Española;2006T4;18.944,2
Ambos sexos;Total;Española;2006T3;18.922,9
Ambos sexos;Total;Española;2006T2;18.866,2
Ambos sexos;Total;Española;2006T1;18.784,9
Ambos sexos;Total;Española;2005T4;18.799,3
Ambos sexos;Total;Española;2005T3;18.647,6
Ambos sexos;Total;Española;2005T2;18.610,9
Ambos sexos;Total;Española;2005T1;18.469,5
Ambos sexos;Total;Española;2004T4;18.423,5
Ambos sexos;Total;Española;2004T3;18.371,4
Ambos sexos;Total;Española;2004T2;18.250,1
Ambos sexos;Total;Española;2004T1;18.140
Ambos sexos;Total;Española;2003T4;18.131,7
Ambos sexos;Total;Española;2003T3;18.113,3
Ambos sexos;Total;Española;2003T2;17.976,1
Ambos sexos;Total;Española;2003T1;17.856,1
Ambos sexos;Total;Española;2002T4;17.769,8
Ambos sexos;Total;Española;2002T3;17.754,4
Ambos sexos;Total;Española;2002T2;17.574,5
Ambos sexos;Total;Española;2002T1;17.479,9
Ambos sexos;Total;Doble nacionalidad;2025T4;1.366,1
Ambos sexos;Total;Doble nacionalidad;2025T3;1.442,6
Ambos sexos;Total;Doble nacionalidad;2025T2;1.388
Ambos sexos;Total;Doble nacionalidad;2025T1;1.373,9
Ambos sexos;Total;Doble nacionalidad;2024T4;1.373,7
Ambos sexos;Total;Doble nacionalidad;2024T3;1.379,4
Ambos sexos;Total;Doble nacionalidad;2024T2;1.281,1
Ambos sexos;Total;Doble nacionalidad;2024T1;1.200,8
Ambos sexos;Total;Doble nacionalidad;2023T4;1.155
Ambos sexos;Total;Doble nacionalidad;2023T3;1.179,4
Ambos sexos;Total;Doble nacionalidad;2023T2;1.116
Ambos sexos;Total;Doble nacionalidad;2023T1;1.049,6
Ambos sexos;Total;Doble nacionalidad;2022T4;1.034,1
Ambos sexos;Total;Doble nacionalidad;2022T3;1.075,6
Ambos sexos;Total;Doble nacionalidad;2022T2;1.032,4
Ambos sexos;Total;Doble nacionalidad;2022T1;1.018,6
Ambos sexos;Total;Doble nacionalidad;2021T4;970,3
Ambos sexos;Total;Doble nacionalidad;2021T3;1.007,1
Ambos sexos;Total;Doble nacionalidad;2021T2;961,7
Ambos sexos;Total;Doble nacionalidad;2021T1;924,1
Ambos sexos;Total;Doble nacionalidad;2020T4;901,6
Ambos sexos;Total;Doble nacionalidad;2020T3;910,7
Ambos sexos;Total;Doble nacionalidad;2020T2;841,2
Ambos sexos;Total;Doble nacionalidad;2020T1;859,6
Ambos sexos;Total;Doble nacionalidad;2019T4;834,4
Ambos sexos;Total;Doble nacionalidad;2019T3;819,3
Ambos sexos;Total;Doble nacionalidad;2019T2;777,5
Ambos sexos;Total;Doble nacionalidad;2019T1;764,4
Ambos sexos;Total;Doble nacionalidad;2018T4;760
Ambos sexos;Total;Doble nacionalidad;2018T3;762,6
Ambos sexos;Total;Doble nacionalidad;2018T2;733,3
Ambos sexos;Total;Doble nacionalidad;2018T1;709,1
Ambos sexos;Total;Doble nacionalidad;2017T4;688,4
Ambos sexos;Total;Doble nacionalidad;2017T3;693,8
Ambos sexos;Total;Doble nacionalidad;2017T2;672,3
Ambos sexos;Total;Doble nacionalidad;2017T1;657,5
Ambos sexos;Total;Doble nacionalidad;2016T4;694,3
Ambos sexos;Total;Doble nacionalidad;2016T3;712,5
Ambos sexos;Total;Doble nacionalidad;2016T2;687,1
Ambos sexos;Total;Doble nacionalidad;2016T1;651,2
Ambos sexos;Total;Doble nacionalidad;2015T4;654,7
Ambos sexos;Total;Doble nacionalidad;2015T3;641,9
Ambos sexos;Total;Doble nacionalidad;2015T2;595,6
Ambos sexos;Total;Doble nacionalidad;2015T1;553,7
Ambos sexos;Total;Doble nacionalidad;2014T4;529,4
Ambos sexos;Total;Doble nacionalidad;2014T3;519,1
Ambos sexos;Total;Doble nacionalidad;2014T2;491,4
Ambos sexos;Total;Doble nacionalidad;2014T1;473,6
Ambos sexos;Total;Doble nacionalidad;2013T4;462,9
Ambos sexos;Total;Doble nacionalidad;2013T3;452,1
Ambos sexos;Total;Doble nacionalidad;2013T2;437,8
Ambos sexos;Total;Doble nacionalidad;2013T1;426,6
Ambos sexos;Total;Doble nacionalidad;2012T4;441,9
Ambos sexos;Total;Doble nacionalidad;2012T3;439,3
Ambos sexos;Total;Doble nacionalidad;2012T2;410,5
Ambos sexos;Total;Doble nacionalidad;2012T1;412,4
Ambos sexos;Total;Doble nacionalidad;2011T4;405,8
Ambos sexos;Total;Doble nacionalidad;2011T3;408,2
Ambos sexos;Total;Doble nacionalidad;2011T2;389,7
Ambos sexos;Total;Doble nacionalidad;2011T1;376,5
Ambos sexos;Total;Doble nacionalidad;2010T4;361,6
Ambos sexos;Total;Doble nacionalidad;2010T3;358,6
Ambos sexos;Total;Doble nacionalidad;2010T2;338,5
Ambos sexos;Total;Doble nacionalidad;2010T1;291,5
Ambos sexos;Total;Doble nacionalidad;2009T4;298,4
Ambos sexos;Total;Doble nacionalidad;2009T3;300,8
Ambos sexos;Total;Doble nacionalidad;2009T2;289,2
Ambos sexos;Total;Doble nacionalidad;2009T1;265,9
Ambos sexos;Total;Doble nacionalidad;2008T4;241,2
Ambos sexos;Total;Doble nacionalidad;2008T3;253,7
Ambos sexos;Total;Doble nacionalidad;2008T2;238,7
Ambos sexos;Total;Doble nacionalidad;2008T1;226,6
Ambos sexos;Total;Doble nacionalidad;2007T4;202,7
Ambos sexos;Total;Doble nacionalidad;2007T3;206,2
Ambos sexos;Total;Doble nacionalidad;2007T2;209,4
Ambos sexos;Total;Doble nacionalidad;2007T1;202,5
Ambos sexos;Total;Doble nacionalidad;2006T4;188,3
Ambos sexos;Total;Doble nacionalidad;2006T3;173,5
Ambos sexos;Total;Doble nacionalidad;2006T2;165,4
Ambos sexos;Total;Doble nacionalidad;2006T1;156,4
Ambos sexos;Total;Doble nacionalidad;2005T4;134,6
Ambos sexos;Total;Doble nacionalidad;2005T3;140,3
Ambos sexos;Total;Doble nacionalidad;2005T2;137,9
Ambos sexos;Total;Doble nacionalidad;2005T1;120,9
Ambos sexos;Total;Doble nacionalidad;2004T4;112,7
Ambos sexos;Total;Doble nacionalidad;2004T3;109,3
Ambos sexos;Total;Doble nacionalidad;2004T2;108,1
Ambos sexos;Total;Doble nacionalidad;2004T1;106,4
Ambos sexos;Total;Doble nacionalidad;2003T4;96,3
Ambos sexos;Total;Doble nacionalidad;2003T3;78,9
Ambos sexos;Total;Doble nacionalidad;2003T2;78,2
Ambos sexos;Total;Doble nacionalidad;2003T1;77,7
Ambos sexos;Total;Doble nacionalidad;2002T4;79,9
Ambos sexos;Total;Doble nacionalidad;2002T3;80,3
Ambos sexos;Total;Doble nacionalidad;2002T2;87
Ambos sexos;Total;Doble nacionalidad;2002T1;86
Ambos sexos;Total;Extranjera: Total;2025T4;4.183
Ambos sexos;Total;Extranjera: Total;2025T3;4.158,9
Ambos sexos;Total;Extranjera: Total;2025T2;4.120,4
Ambos sexos;Total;Extranjera: Total;2025T1;4.037,7
Ambos sexos;Total;Extranjera: Total;2024T4;3.940
Ambos sexos;Total;Extranjera: Total;2024T3;3.913,9
Ambos sexos;Total;Extranjera: Total;2024T2;3.878,5
Ambos sexos;Total;Extranjera: Total;2024T1;3.804,4
Ambos sexos;Total;Extranjera: Total;2023T4;3.777,3
Ambos sexos;Total;Extranjera: Total;2023T3;3.737,2
Ambos sexos;Total;Extranjera: Total;2023T2;3.616,5
Ambos sexos;Total;Extranjera: Total;2023T1;3.571,5
Ambos sexos;Total;Extranjera: Total;2022T4;3.469,4
Ambos sexos;Total;Extranjera: Total;2022T3;3.396
Ambos sexos;Total;Extranjera: Total;2022T2;3.337
Ambos sexos;Total;Extranjera: Total;2022T1;3.248,1
Ambos sexos;Total;Extranjera: Total;2021T4;3.161
Ambos sexos;Total;Extranjera: Total;2021T3;3.176,3
Ambos sexos;Total;Extranjera: Total;2021T2;3.168,4
Ambos sexos;Total;Extranjera: Total;2021T1;3.083,2
Ambos sexos;Total;Extranjera: Total;2020T4;3.177,7
Ambos sexos;Total;Extranjera: Total;2020T3;3.136,9
Ambos sexos;Total;Extranjera: Total;2020T2;2.912,8
Ambos sexos;Total;Extranjera: Total;2020T1;3.087,9
Ambos sexos;Total;Extranjera: Total;2019T4;3.086
Ambos sexos;Total;Extranjera: Total;2019T3;3.011,2
Ambos sexos;Total;Extranjera: Total;2019T2;3.000,1
Ambos sexos;Total;Extranjera: Total;2019T1;2.918,8
Ambos sexos;Total;Extranjera: Total;2018T4;2.886,6
Ambos sexos;Total;Extranjera: Total;2018T3;2.813
Ambos sexos;Total;Extranjera: Total;2018T2;2.821,1
Ambos sexos;Total;Extranjera: Total;2018T1;2.762,6
Ambos sexos;Total;Extranjera: Total;2017T4;2.781
Ambos sexos;Total;Extranjera: Total;2017T3;2.731
Ambos sexos;Total;Extranjera: Total;2017T2;2.713,4
Ambos sexos;Total;Extranjera: Total;2017T1;2.694,2
Ambos sexos;Total;Extranjera: Total;2016T4;2.665,7
Ambos sexos;Total;Extranjera: Total;2016T3;2.675
Ambos sexos;Total;Extranjera: Total;2016T2;2.727,3
Ambos sexos;Total;Extranjera: Total;2016T1;2.731,1
Ambos sexos;Total;Extranjera: Total;2015T4;2.720,7
Ambos sexos;Total;Extranjera: Total;2015T3;2.728,6
Ambos sexos;Total;Extranjera: Total;2015T2;2.760,4
Ambos sexos;Total;Extranjera: Total;2015T1;2.768,7
Ambos sexos;Total;Extranjera: Total;2014T4;2.793
Ambos sexos;Total;Extranjera: Total;2014T3;2.785,2
Ambos sexos;Total;Extranjera: Total;2014T2;2.836,3
Ambos sexos;Total;Extranjera: Total;2014T1;2.851,7
Ambos sexos;Total;Extranjera: Total;2013T4;2.927,6
Ambos sexos;Total;Extranjera: Total;2013T3;3.007,6
Ambos sexos;Total;Extranjera: Total;2013T2;3.079,7
Ambos sexos;Total;Extranjera: Total;2013T1;3.215,7
Ambos sexos;Total;Extranjera: Total;2012T4;3.239,3
Ambos sexos;Total;Extranjera: Total;2012T3;3.253,7
Ambos sexos;Total;Extranjera: Total;2012T2;3.300,4
Ambos sexos;Total;Extranjera: Total;2012T1;3.362,2
Ambos sexos;Total;Extranjera: Total;2011T4;3.386,1
Ambos sexos;Total;Extranjera: Total;2011T3;3.395
Ambos sexos;Total;Extranjera: Total;2011T2;3.445,9
Ambos sexos;Total;Extranjera: Total;2011T1;3.421,6
Ambos sexos;Total;Extranjera: Total;2010T4;3.446,3
Ambos sexos;Total;Extranjera: Total;2010T3;3.500,3
Ambos sexos;Total;Extranjera: Total;2010T2;3.508,5
Ambos sexos;Total;Extranjera: Total;2010T1;3.536,2
Ambos sexos;Total;Extranjera: Total;2009T4;3.506,8
Ambos sexos;Total;Extranjera: Total;2009T3;3.522,6
Ambos sexos;Total;Extranjera: Total;2009T2;3.568,5
Ambos sexos;Total;Extranjera: Total;2009T1;3.578
Ambos sexos;Total;Extranjera: Total;2008T4;3.528,6
Ambos sexos;Total;Extranjera: Total;2008T3;3.445,6
Ambos sexos;Total;Extranjera: Total;2008T2;3.417,6
Ambos sexos;Total;Extranjera: Total;2008T1;3.356,4
Ambos sexos;Total;Extranjera: Total;2007T4;3.234,3
Ambos sexos;Total;Extranjera: Total;2007T3;3.165,4
Ambos sexos;Total;Extranjera: Total;2007T2;3.053,1
Ambos sexos;Total;Extranjera: Total;2007T1;2.957,9
Ambos sexos;Total;Extranjera: Total;2006T4;2.882,4
Ambos sexos;Total;Extranjera: Total;2006T3;2.761,5
Ambos sexos;Total;Extranjera: Total;2006T2;2.694,4
Ambos sexos;Total;Extranjera: Total;2006T1;2.580
Ambos sexos;Total;Extranjera: Total;2005T4;2.435,6
Ambos sexos;Total;Extranjera: Total;2005T3;2.417,7
Ambos sexos;Total;Extranjera: Total;2005T2;2.380,9
Ambos sexos;Total;Extranjera: Total;2005T1;2.266,9
Ambos sexos;Total;Extranjera: Total;2004T4;2.131,5
Ambos sexos;Total;Extranjera: Total;2004T3;2.008,2
Ambos sexos;Total;Extranjera: Total;2004T2;1.908,3
Ambos sexos;Total;Extranjera: Total;2004T1;1.833,6
Ambos sexos;Total;Extranjera: Total;2003T4;1.789,1
Ambos sexos;Total;Extranjera: Total;2003T3;1.701,2
Ambos sexos;Total;Extranjera: Total;2003T2;1.584,9
Ambos sexos;Total;Extranjera: Total;2003T1;1.487,4
Ambos sexos;Total;Extranjera: Total;2002T4;1.374,6
Ambos sexos;Total;Extranjera: Total;2002T3;1.280,6
Ambos sexos;Total;Extranjera: Total;2002T2;1.208,7
Ambos sexos;Total;Extranjera: Total;2002T1;1.069,3
Ambos sexos;Total;Extranjera: Unión Europea;2025T4;1.106,6
Ambos sexos;Total;Extranjera: Unión Europea;2025T3;1.061,3
Ambos sexos;Total;Extranjera: Unión Europea;2025T2;1.114,9
Ambos sexos;Total;Extranjera: Unión Europea;2025T1;1.077,4
Ambos sexos;Total;Extranjera: Unión Europea;2024T4;1.075
Ambos sexos;Total;Extranjera: Unión Europea;2024T3;1.102,3
Ambos sexos;Total;Extranjera: Unión Europea;2024T2;1.038,9
Ambos sexos;Total;Extranjera: Unión Europea;2024T1;1.020,5
Ambos sexos;Total;Extranjera: Unión Europea;2023T4;1.020,3
Ambos sexos;Total;Extranjera: Unión Europea;2023T3;1.003,7
Ambos sexos;Total;Extranjera: Unión Europea;2023T2;977,9
Ambos sexos;Total;Extranjera: Unión Europea;2023T1;986,6
Ambos sexos;Total;Extranjera: Unión Europea;2022T4;980,4
Ambos sexos;Total;Extranjera: Unión Europea;2022T3;981
Ambos sexos;Total;Extranjera: Unión Europea;2022T2;915,6
Ambos sexos;Total;Extranjera: Unión Europea;2022T1;987,6
Ambos sexos;Total;Extranjera: Unión Europea;2021T4;902,9
Ambos sexos;Total;Extranjera: Unión Europea;2021T3;880,7
Ambos sexos;Total;Extranjera: Unión Europea;2021T2;936,2
Ambos sexos;Total;Extranjera: Unión Europea;2021T1;959,8
Ambos sexos;Total;Extranjera: Unión Europea;2020T4;1.030,6
Ambos sexos;Total;Extranjera: Unión Europea;2020T3;1.007,5
Ambos sexos;Total;Extranjera: Unión Europea;2020T2;975,4
Ambos sexos;Total;Extranjera: Unión Europea;2020T1;1.050,8
Ambos sexos;Total;Extranjera: Unión Europea;2019T4;1.137,9
Ambos sexos;Total;Extranjera: Unión Europea;2019T3;1.098,5
Ambos sexos;Total;Extranjera: Unión Europea;2019T2;1.115,9
Ambos sexos;Total;Extranjera: Unión Europea;2019T1;1.105,6
Ambos sexos;Total;Extranjera: Unión Europea;2018T4;1.078,6
Ambos sexos;Total;Extranjera: Unión Europea;2018T3;1.028,7
Ambos sexos;Total;Extranjera: Unión Europea;2018T2;1.030
Ambos sexos;Total;Extranjera: Unión Europea;2018T1;1.028,9
Ambos sexos;Total;Extranjera: Unión Europea;2017T4;1.019,6
Ambos sexos;Total;Extranjera: Unión Europea;2017T3;1.043,3
Ambos sexos;Total;Extranjera: Unión Europea;2017T2;1.021,9
Ambos sexos;Total;Extranjera: Unión Europea;2017T1;989
Ambos sexos;Total;Extranjera: Unión Europea;2016T4;994,4
Ambos sexos;Total;Extranjera: Unión Europea;2016T3;1.010,7
Ambos sexos;Total;Extranjera: Unión Europea;2016T2;1.006,8
Ambos sexos;Total;Extranjera: Unión Europea;2016T1;1.010,9
Ambos sexos;Total;Extranjera: Unión Europea;2015T4;993,9
Ambos sexos;Total;Extranjera: Unión Europea;2015T3;972,4
Ambos sexos;Total;Extranjera: Unión Europea;2015T2;977,8
Ambos sexos;Total;Extranjera: Unión Europea;2015T1;1.012,5
Ambos sexos;Total;Extranjera: Unión Europea;2014T4;1.068,5
Ambos sexos;Total;Extranjera: Unión Europea;2014T3;1.037
Ambos sexos;Total;Extranjera: Unión Europea;2014T2;1.039,5
Ambos sexos;Total;Extranjera: Unión Europea;2014T1;1.037,6
Ambos sexos;Total;Extranjera: Unión Europea;2013T4;1.027,4
Ambos sexos;Total;Extranjera: Unión Europea;2013T3;1.018,6
Ambos sexos;Total;Extranjera: Unión Europea;2013T2;1.042,9
Ambos sexos;Total;Extranjera: Unión Europea;2013T1;1.065,4
Ambos sexos;Total;Extranjera: Unión Europea;2012T4;1.036
Ambos sexos;Total;Extranjera: Unión Europea;2012T3;1.049,5
Ambos sexos;Total;Extranjera: Unión Europea;2012T2;1.074,3
Ambos sexos;Total;Extranjera: Unión Europea;2012T1;1.060,3
Ambos sexos;Total;Extranjera: Unión Europea;2011T4;1.017,8
Ambos sexos;Total;Extranjera: Unión Europea;2011T3;1.029,3
Ambos sexos;Total;Extranjera: Unión Europea;2011T2;1.045,9
Ambos sexos;Total;Extranjera: Unión Europea;2011T1;1.068
Ambos sexos;Total;Extranjera: Unión Europea;2010T4;1.059,6
Ambos sexos;Total;Extranjera: Unión Europea;2010T3;1.065,8
Ambos sexos;Total;Extranjera: Unión Europea;2010T2;1.080
Ambos sexos;Total;Extranjera: Unión Europea;2010T1;1.062,8
Ambos sexos;Total;Extranjera: Unión Europea;2009T4;1.059,9
Ambos sexos;Total;Extranjera: Unión Europea;2009T3;1.056,8
Ambos sexos;Total;Extranjera: Unión Europea;2009T2;1.052,1
Ambos sexos;Total;Extranjera: Unión Europea;2009T1;1.067,8
Ambos sexos;Total;Extranjera: Unión Europea;2008T4;1.057,1
Ambos sexos;Total;Extranjera: Unión Europea;2008T3;980,1
Ambos sexos;Total;Extranjera: Unión Europea;2008T2;1.038,5
Ambos sexos;Total;Extranjera: Unión Europea;2008T1;992,2
Ambos sexos;Total;Extranjera: Unión Europea;2007T4;966,2
Ambos sexos;Total;Extranjera: Unión Europea;2007T3;910,4
Ambos sexos;Total;Extranjera: Unión Europea;2007T2;904,8
Ambos sexos;Total;Extranjera: Unión Europea;2007T1;850,1
Ambos sexos;Total;Extranjera: Unión Europea;2006T4;339,6
Ambos sexos;Total;Extranjera: Unión Europea;2006T3;320,2
Ambos sexos;Total;Extranjera: Unión Europea;2006T2;327,7
Ambos sexos;Total;Extranjera: Unión Europea;2006T1;298,3
Ambos sexos;Total;Extranjera: Unión Europea;2005T4;287
Ambos sexos;Total;Extranjera: Unión Europea;2005T3;299,7
Ambos sexos;Total;Extranjera: Unión Europea;2005T2;311,2
Ambos sexos;Total;Extranjera: Unión Europea;2005T1;308,6
Ambos sexos;Total;Extranjera: Unión Europea;2004T4;277,5
Ambos sexos;Total;Extranjera: Unión Europea;2004T3;277,1
Ambos sexos;Total;Extranjera: Unión Europea;2004T2;295
Ambos sexos;Total;Extranjera: Unión Europea;2004T1;235,2
Ambos sexos;Total;Extranjera: Unión Europea;2003T4;218,1
Ambos sexos;Total;Extranjera: Unión Europea;2003T3;212,8
Ambos sexos;Total;Extranjera: Unión Europea;2003T2;212,1
Ambos sexos;Total;Extranjera: Unión Europea;2003T1;220
Ambos sexos;Total;Extranjera: Unión Europea;2002T4;225,9
Ambos sexos;Total;Extranjera: Unión Europea;2002T3;230,3
Ambos sexos;Total;Extranjera: Unión Europea;2002T2;212,2
Ambos sexos;Total;Extranjera: Unión Europea;2002T1;201,1
Ambos sexos;Total;Extranjera: Resto de Europa;2025T4;305,6
Ambos sexos;Total;Extranjera: Resto de Europa;2025T3;307,1
