Sexo;Edad;Nacionalidad;Periodo;Total
Ambos sexos;Total;Española;2022T1;40.123,7
Ambos sexos;Total;Española;2021T4;40.228,9
Ambos sexos;Total;Española;2021T3;40.213,6
Ambos sexos;Total;Española;2021T2;40.258,3
Ambos sexos;Total;Española;2021T1;40.304,7
Ambos sexos;Total;Española;2020T4;40.548,8
Ambos sexos;Total;Española;2020T3;40.534,3
Ambos sexos;Total;Española;2020T2;40.561,3
Ambos sexos;Total;Española;2020T1;40.536,3
Ambos sexos;Total;Española;2019T4;40.537,1
Ambos sexos;Total;Española;2019T3;40.588,2
Ambos sexos;Total;Española;2019T2;40.633,4
Ambos sexos;Total;Española;2019T1;40.656,5
Ambos sexos;Total;Española;2018T4;40.644,9
Ambos sexos;Total;Española;2018T3;40.624,5
Ambos sexos;Total;Española;2018T2;40.646,4
Ambos sexos;Total;Española;2018T1;40.685,9
Ambos sexos;Total;Española;2017T4;40.699,9
Ambos sexos;Total;Española;2017T3;40.689,3
Ambos sexos;Total;Española;2017T2;40.713,8
Ambos sexos;Total;Española;2017T1;40.723,8
Ambos sexos;Total;Española;2016T4;40.705,6
Ambos sexos;Total;Española;2016T3;40.637,1
Ambos sexos;Total;Española;2016T2;40.666,7
Ambos sexos;Total;Española;2016T1;40.680,9
Ambos sexos;Total;Española;2015T4;40.687,6
Ambos sexos;Total;Española;2015T3;40.710,1
Ambos sexos;Total;Española;2015T2;40.795,9
Ambos sexos;Total;Española;2015T1;40.817,5
Ambos sexos;Total;Española;2014T4;40.861,2
Ambos sexos;Total;Española;2014T3;40.863
Ambos sexos;Total;Española;2014T2;40.848,2
Ambos sexos;Total;Española;2014T1;40.791,2
Ambos sexos;Total;Española;2013T4;40.772,1
Ambos sexos;Total;Española;2013T3;40.760,7
Ambos sexos;Total;Española;2013T2;40.766,4
Ambos sexos;Total;Española;2013T1;40.750,4
Ambos sexos;Total;Española;2012T4;40.742,4
Ambos sexos;Total;Española;2012T3;40.711,2
Ambos sexos;Total;Española;2012T2;40.722,7
Ambos sexos;Total;Española;2012T1;40.716,5
Ambos sexos;Total;Española;2011T4;40.722,6
Ambos sexos;Total;Española;2011T3;40.657,6
Ambos sexos;Total;Española;2011T2;40.635,8
Ambos sexos;Total;Española;2011T1;40.604,5
Ambos sexos;Total;Española;2010T4;40.573,1
