Sector económico (5);Periodo;Total
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TI;6,47
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TIV;6,74
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TIII;7,16
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TII;7,11
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1990TI;7,59
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TIV;7,78
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TIII;8,13
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TII;8,44
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1989TI;8,89
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TIV;9,35
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TIII;10,07
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TII;10,18
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1988TI;10,16
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TIV;10,30
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TIII;10,56
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TII;10,83
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1987TI;8,44
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TIV;8,43
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TIII;8,41
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TII;8,38
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1986TI;8,51
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TIV;8,61
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TIII;8,70
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TII;8,23
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1985TI;8,22
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TIV;8,36
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TIII;7,86
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TII;7,46
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1984TI;7,55
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1983TIV;7,26
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1983TIII;7,17
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1983TII;6,75
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1983TI;6,95
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1982TIV;6,73
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1982TIII;6,34
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1982TII;5,89
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1982TI;5,69
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1981TIV;5,81
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1981TIII;5,43
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1981TII;4,92
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1981TI;4,69
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1980TIV;4,58
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1980TIII;4,33
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1980TII;3,94
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1980TI;3,63
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1979TIV;3,57
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1979TIII;3,29
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1979TII;2,94
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1979TI;2,78
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1978TIV;2,76
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1978TIII;2,71
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1978TII;2,26
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1978TI;2,10
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1977TIV;1,98
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1977TIII;1,95
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1977TII;1,56
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1977TI;1,52
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1976TIV;1,56
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1976TIII;1,46
