Sector económico (5);Periodo;Total
construcción;1983TII;10,09
construcción;1983TI;9,82
construcción;1982TIV;10,05
construcción;1982TIII;10,23
construcción;1982TII;10,33
construcción;1982TI;10,32
construcción;1981TIV;10,33
construcción;1981TIII;10,50
construcción;1981TII;10,45
construcción;1981TI;10,39
construcción;1980TIV;10,41
construcción;1980TIII;10,61
construcción;1980TII;10,82
construcción;1980TI;10,62
construcción;1979TIV;10,57
construcción;1979TIII;10,66
construcción;1979TII;10,70
construcción;1979TI;10,52
construcción;1978TIV;10,64
construcción;1978TIII;10,73
construcción;1978TII;10,75
construcción;1978TI;10,75
construcción;1977TIV;10,85
construcción;1977TIII;10,96
construcción;1977TII;10,74
construcción;1977TI;10,40
construcción;1976TIV;10,59
construcción;1976TIII;10,48
servicios;1995TIV;54,67
servicios;1995TIII;54,26
servicios;1995TII;54,08
servicios;1995TI;53,78
servicios;1994TIV;53,66
servicios;1994TIII;53,66
servicios;1994TII;53,49
servicios;1994TI;53,40
servicios;1993TIV;53,53
servicios;1993TIII;53,31
servicios;1993TII;53,18
servicios;1993TI;52,99
servicios;1992TIV;52,94
servicios;1992TIII;53,15
servicios;1992TII;52,78
servicios;1992TI;52,59
servicios;1991TIV;52,63
servicios;1991TIII;52,28
servicios;1991TII;51,84
servicios;1991TI;51,55
servicios;1990TIV;51,19
servicios;1990TIII;50,76
servicios;1990TII;50,28
servicios;1990TI;49,67
servicios;1989TIV;49,79
servicios;1989TIII;49,36
servicios;1989TII;49,13
servicios;1989TI;48,51
servicios;1988TIV;47,90
servicios;1988TIII;47,36
servicios;1988TII;47,09
servicios;1988TI;46,88
servicios;1987TIV;46,67
servicios;1987TIII;46,54
servicios;1987TII;45,97
servicios;1987TI;46,37
servicios;1986TIV;46,24
servicios;1986TIII;46,02
servicios;1986TII;45,68
servicios;1986TI;45,24
servicios;1985TIV;44,71
servicios;1985TIII;44,14
servicios;1985TII;43,84
servicios;1985TI;43,24
servicios;1984TIV;43,11
servicios;1984TIII;43,19
servicios;1984TII;43,32
servicios;1984TI;43,20
servicios;1983TIV;43,54
servicios;1983TIII;43,29
servicios;1983TII;43,53
servicios;1983TI;43,03
servicios;1982TIV;43,25
servicios;1982TIII;43,42
servicios;1982TII;43,44
servicios;1982TI;43,24
servicios;1981TIV;42,78
servicios;1981TIII;42,65
servicios;1981TII;42,45
servicios;1981TI;42,08
servicios;1980TIV;41,95
servicios;1980TIII;42,01
servicios;1980TII;42,10
servicios;1980TI;41,81
servicios;1979TIV;41,81
servicios;1979TIII;41,73
servicios;1979TII;41,38
servicios;1979TI;41,13
servicios;1978TIV;41,00
servicios;1978TIII;40,79
servicios;1978TII;40,84
servicios;1978TI;40,54
servicios;1977TIV;40,61
servicios;1977TIII;40,34
servicios;1977TII;40,71
servicios;1977TI;40,60
servicios;1976TIV;40,22
servicios;1976TIII;39,92
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TIV;9,51
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TIII;9,66
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TII;9,50
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1995TI;9,66
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TIV;9,51
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TIII;9,21
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TII;8,90
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1994TI;8,70
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TIV;8,26
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TIII;7,92
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TII;7,39
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1993TI;7,36
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TIV;6,89
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TIII;6,46
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TII;6,50
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1992TI;6,69
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TIV;6,43
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TIII;6,51
parados que buscan primer empleo o han dejado su último empleo hace 3 años o más;1991TII;6,35
