Ocupación CNO-11;Sexo;Unidad;Periodo;Total
Total;Ambos sexos;Porcentaje;2016T1;100
Total;Ambos sexos;Porcentaje;2015T4;100
Total;Ambos sexos;Porcentaje;2015T3;100
Total;Ambos sexos;Porcentaje;2015T2;100
Total;Ambos sexos;Porcentaje;2015T1;100
Total;Ambos sexos;Porcentaje;2014T4;100
Total;Ambos sexos;Porcentaje;2014T3;100
Total;Ambos sexos;Porcentaje;2014T2;100
Total;Ambos sexos;Porcentaje;2014T1;100
Total;Ambos sexos;Porcentaje;2013T4;100
Total;Ambos sexos;Porcentaje;2013T3;100
Total;Ambos sexos;Porcentaje;2013T2;100
Total;Ambos sexos;Porcentaje;2013T1;100
Total;Ambos sexos;Porcentaje;2012T4;100
Total;Ambos sexos;Porcentaje;2012T3;100
Total;Ambos sexos;Porcentaje;2012T2;100
Total;Ambos sexos;Porcentaje;2012T1;100
Total;Ambos sexos;Porcentaje;2011T4;100
Total;Ambos sexos;Porcentaje;2011T3;100
Total;Ambos sexos;Porcentaje;2011T2;100
Total;Ambos sexos;Porcentaje;2011T1;100
Total;Hombres;Valor absoluto;2025T4;5.854,4
Total;Hombres;Valor absoluto;2025T3;5.801,6
Total;Hombres;Valor absoluto;2025T2;5.764,7
Total;Hombres;Valor absoluto;2025T1;5.828,4
Total;Hombres;Valor absoluto;2024T4;5.804,5
Total;Hombres;Valor absoluto;2024T3;5.707,5
Total;Hombres;Valor absoluto;2024T2;5.692,1
Total;Hombres;Valor absoluto;2024T1;5.733,5
Total;Hombres;Valor absoluto;2023T4;5.734,1
Total;Hombres;Valor absoluto;2023T3;5.597,8
Total;Hombres;Valor absoluto;2023T2;5.606,1
Total;Hombres;Valor absoluto;2023T1;5.660,6
Total;Hombres;Valor absoluto;2022T4;5.630,3
Total;Hombres;Valor absoluto;2022T3;5.488,1
Total;Hombres;Valor absoluto;2022T2;5.514,4
Total;Hombres;Valor absoluto;2022T1;5.560,7
Total;Hombres;Valor absoluto;2021T4;5.530,1
Total;Hombres;Valor absoluto;2021T3;5.440,3
Total;Hombres;Valor absoluto;2021T2;5.523,8
Total;Hombres;Valor absoluto;2021T1;5.665,9
Total;Hombres;Valor absoluto;2020T4;5.721,5
Total;Hombres;Valor absoluto;2020T3;5.732,3
Total;Hombres;Valor absoluto;2020T2;6.117,3
Total;Hombres;Valor absoluto;2020T1;5.707,2
Total;Hombres;Valor absoluto;2019T4;5.594,7
