Ocupación CNO-11;Sexo;Unidad;Periodo;Total
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2021T1;137,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2020T4;132,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2020T3;183,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2020T2;231,7
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2020T1;149
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2019T4;131,5
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2019T3;129,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2019T2;121,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2019T1;125
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2018T4;123,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2018T3;118
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2018T2;96,5
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2018T1;102,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2017T4;104,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2017T3;112,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2017T2;106,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2017T1;106,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2016T4;101,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2016T3;93,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2016T2;84,6
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2016T1;83,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2015T4;103,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2015T3;104,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2015T2;94,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2015T1;85,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2014T4;78
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2014T3;89,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2014T2;85,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2014T1;91,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2013T4;87,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2013T3;91,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2013T2;95,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2013T1;85,7
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2012T4;88,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2012T3;110,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2012T2;105,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2012T1;108,5
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2011T4;110,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2011T3;109,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2011T2;97
3 Técnicos, profesionales de apoyo;Ambos sexos;Valor absoluto;2011T1;92,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2025T4;1,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2025T3;1,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2025T2;1,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2025T1;1,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2024T4;1,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2024T3;1,4
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2024T2;1,3
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2024T1;1,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2023T4;1,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2023T3;1,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2023T2;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2023T1;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2022T4;1,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2022T3;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2022T2;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2022T1;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2021T4;1,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2021T3;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2021T2;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2021T1;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2020T4;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2020T3;1,5
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2020T2;1,7
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2020T1;1,2
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2019T4;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2019T3;1,1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2019T2;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2019T1;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2018T4;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2018T3;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2018T2;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2018T1;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2017T4;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2017T3;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2017T2;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2017T1;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2016T4;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2016T3;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2016T2;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2016T1;0,7
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2015T4;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2015T3;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2015T2;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2015T1;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2014T4;0,7
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2014T3;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2014T2;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2014T1;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2013T4;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2013T3;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2013T2;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2013T1;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2012T4;0,8
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2012T3;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2012T2;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2012T1;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2011T4;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2011T3;1
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2011T2;0,9
3 Técnicos, profesionales de apoyo;Ambos sexos;Porcentaje;2011T1;0,8
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2025T4;86
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2025T3;88,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2025T2;79,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2025T1;90,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2024T4;94,6
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2024T3;96,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2024T2;79,6
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2024T1;73,5
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2023T4;76,5
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2023T3;77,6
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2023T2;65,7
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2023T1;70
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2022T4;75,7
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2022T3;68,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2022T2;65,3
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2022T1;64,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2021T4;66,8
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2021T3;72,7
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2021T2;55,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2021T1;69,1
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2020T4;75,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2020T3;96,5
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2020T2;131,8
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2020T1;80,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2019T4;69,1
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2019T3;69,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2019T2;66,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2019T1;70,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2018T4;67,3
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2018T3;63,1
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2018T2;59,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2018T1;57,6
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2017T4;61,9
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2017T3;62,5
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2017T2;65,1
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2017T1;64,8
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2016T4;50,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2016T3;52,9
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2016T2;50
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2016T1;48,1
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2015T4;61,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2015T3;59,3
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2015T2;52,7
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2015T1;48,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2014T4;43,3
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2014T3;50,3
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2014T2;46,5
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2014T1;54
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2013T4;51,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2013T3;47,8
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2013T2;49,8
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2013T1;45,6
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2012T4;52,1
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2012T3;54,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2012T2;55,4
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2012T1;59,7
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2011T4;59,8
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2011T3;56
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2011T2;49,2
3 Técnicos, profesionales de apoyo;Hombres;Valor absoluto;2011T1;55
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2025T4;1,5
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2025T3;1,5
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2025T2;1,4
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2025T1;1,5
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2024T4;1,6
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2024T3;1,7
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2024T2;1,4
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2024T1;1,3
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2023T4;1,3
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2023T3;1,4
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2023T2;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2023T1;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2022T4;1,3
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2022T3;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2022T2;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2022T1;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2021T4;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2021T3;1,3
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2021T2;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2021T1;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2020T4;1,3
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2020T3;1,7
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2020T2;2,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2020T1;1,4
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2019T4;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2019T3;1,3
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2019T2;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2019T1;1,3
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2018T4;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2018T3;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2018T2;1,1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2018T1;1,1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2017T4;1,1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2017T3;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2017T2;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2017T1;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2016T4;0,9
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2016T3;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2016T2;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2016T1;0,9
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2015T4;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2015T3;1,1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2015T2;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2015T1;0,9
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2014T4;0,8
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2014T3;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2014T2;0,9
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2014T1;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2013T4;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2013T3;0,9
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2013T2;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2013T1;0,9
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2012T4;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2012T3;1,1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2012T2;1,1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2012T1;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2011T4;1,2
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2011T3;1,1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2011T2;1
3 Técnicos, profesionales de apoyo;Hombres;Porcentaje;2011T1;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2025T4;77,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2025T3;77,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2025T2;79,7
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2025T1;73,3
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2024T4;76,6
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2024T3;78,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2024T2;75,4
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2024T1;75,7
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2023T4;75,3
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2023T3;72,1
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2023T2;64,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2023T1;66,3
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2022T4;72,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2022T3;68,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2022T2;69,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2022T1;59,3
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2021T4;71
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2021T3;43,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2021T2;44
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2021T1;68,2
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2020T4;57,1
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2020T3;87,3
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2020T2;99,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2020T1;68,7
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2019T4;62,4
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2019T3;60
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2019T2;55,1
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2019T1;54,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2018T4;55,9
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2018T3;54,9
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2018T2;37
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2018T1;44,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2017T4;42,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2017T3;49,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2017T2;41
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2017T1;41,4
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2016T4;51,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2016T3;40,9
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2016T2;34,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2016T1;35,3
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2015T4;41,9
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2015T3;44,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2015T2;41,4
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2015T1;36,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2014T4;34,7
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2014T3;39,1
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2014T2;38,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2014T1;37,1
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2013T4;36,2
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2013T3;44
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2013T2;45,6
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2013T1;40,1
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2012T4;36,7
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2012T3;56
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2012T2;50
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2012T1;48,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2011T4;50,5
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2011T3;53,2
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2011T2;47,8
3 Técnicos, profesionales de apoyo;Mujeres;Valor absoluto;2011T1;37,8
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2025T4;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2025T3;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2025T2;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2025T1;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2024T4;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2024T3;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2024T2;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2024T1;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2023T4;1,2
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2023T3;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2023T2;1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2023T1;1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2022T4;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2022T3;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2022T2;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2022T1;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2021T4;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2021T3;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2021T2;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2021T1;1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2020T4;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2020T3;1,3
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2020T2;1,4
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2020T1;1,1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2019T4;1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2019T3;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2019T2;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2019T1;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2018T4;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2018T3;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2018T2;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2018T1;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2017T4;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2017T3;0,8
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2017T2;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2017T1;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2016T4;0,8
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2016T3;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2016T2;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2016T1;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2015T4;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2015T3;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2015T2;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2015T1;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2014T4;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2014T3;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2014T2;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2014T1;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2013T4;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2013T3;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2013T2;0,8
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2013T1;0,7
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2012T4;0,6
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2012T3;1
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2012T2;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2012T1;0,8
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2011T4;0,8
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2011T3;0,9
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2011T2;0,8
3 Técnicos, profesionales de apoyo;Mujeres;Porcentaje;2011T1;0,6
4 Empleados contables, administrativos y otros empleados de oficina;Ambos sexos;Valor absoluto;2025T4;143,5
4 Empleados contables, administrativos y otros empleados de oficina;Ambos sexos;Valor absoluto;2025T3;129,9
4 Empleados contables, administrativos y otros empleados de oficina;Ambos sexos;Valor absoluto;2025T2;137,5
