Sexo;Edad;Relación con la actividad económica;Periodo;Total
Ambos sexos;Total;Ocupados;2021T4;20.274,8
Ambos sexos;Total;Ocupados;2021T3;20.103,3
Ambos sexos;Total;Ocupados;2021T2;19.716,1
Ambos sexos;Total;Ocupados;2021T1;19.239,6
Ambos sexos;Total;Ocupados;2020T4;19.344,3
Ambos sexos;Total;Ocupados;2020T3;19.176,9
Ambos sexos;Total;Ocupados;2020T2;18.607,2
Ambos sexos;Total;Ocupados;2020T1;19.681,3
Ambos sexos;Total;Ocupados;2019T4;19.966,9
Ambos sexos;Total;Ocupados;2019T3;19.874,3
Ambos sexos;Total;Ocupados;2019T2;19.804,9
Ambos sexos;Total;Ocupados;2019T1;19.471,1
Ambos sexos;Total;Ocupados;2018T4;19.564,6
Ambos sexos;Total;Ocupados;2018T3;19.528,0
Ambos sexos;Total;Ocupados;2018T2;19.344,1
Ambos sexos;Total;Ocupados;2018T1;18.874,2
Ambos sexos;Total;Ocupados;2017T4;18.998,4
Ambos sexos;Total;Ocupados;2017T3;19.049,2
Ambos sexos;Total;Ocupados;2017T2;18.813,3
Ambos sexos;Total;Ocupados;2017T1;18.438,3
Ambos sexos;Total;Ocupados;2016T4;18.508,1
Ambos sexos;Total;Ocupados;2016T3;18.527,5
Ambos sexos;Total;Ocupados;2016T2;18.301,0
Ambos sexos;Total;Ocupados;2016T1;18.029,6
Ambos sexos;Total;Ocupados;2015T4;18.094,2
Ambos sexos;Total;Ocupados;2015T3;18.048,7
Ambos sexos;Total;Ocupados;2015T2;17.866,5
Ambos sexos;Total;Ocupados;2015T1;17.454,8
Ambos sexos;Total;Ocupados;2014T4;17.569,1
Ambos sexos;Total;Ocupados;2014T3;17.504,0
Ambos sexos;Total;Ocupados;2014T2;17.353,0
Ambos sexos;Total;Ocupados;2014T1;16.950,6
Ambos sexos;Total;Ocupados;2013T4;17.135,2
Ambos sexos;Total;Ocupados;2013T3;17.230,0
Ambos sexos;Total;Ocupados;2013T2;17.160,6
Ambos sexos;Total;Ocupados;2013T1;17.030,2
Ambos sexos;Total;Ocupados;2012T4;17.339,4
Ambos sexos;Total;Ocupados;2012T3;17.667,7
Ambos sexos;Total;Ocupados;2012T2;17.758,5
Ambos sexos;Total;Ocupados;2012T1;17.765,1
Ambos sexos;Total;Ocupados;2011T4;18.153,0
Ambos sexos;Total;Ocupados;2011T3;18.484,5
Ambos sexos;Total;Ocupados;2011T2;18.622,0
Ambos sexos;Total;Ocupados;2011T1;18.426,2
Ambos sexos;Total;Ocupados;2010T4;18.674,9
Ambos sexos;Total;Ocupados;2010T3;18.819,0
Ambos sexos;Total;Ocupados;2010T2;18.751,1
Ambos sexos;Total;Ocupados;2010T1;18.652,9
Ambos sexos;Total;Ocupados;2009T4;18.890,4
Ambos sexos;Total;Ocupados;2009T3;19.098,4
Ambos sexos;Total;Ocupados;2009T2;19.154,2
Ambos sexos;Total;Ocupados;2009T1;19.284,4
Ambos sexos;Total;Ocupados;2008T4;20.055,3
Ambos sexos;Total;Ocupados;2008T3;20.556,4
Ambos sexos;Total;Ocupados;2008T2;20.646,9
Ambos sexos;Total;Ocupados;2008T1;20.620,0
Ambos sexos;Total;Ocupados;2007T4;20.717,9
Ambos sexos;Total;Ocupados;2007T3;20.753,4
Ambos sexos;Total;Ocupados;2007T2;20.580,9
Ambos sexos;Total;Ocupados;2007T1;20.267,5
Ambos sexos;Total;Ocupados;2006T4;20.195,4
Ambos sexos;Total;Ocupados;2006T3;20.091,0
Ambos sexos;Total;Ocupados;2006T2;19.891,6
Ambos sexos;Total;Ocupados;2006T1;19.578,4
Ambos sexos;Total;Ocupados;2005T4;19.509,2
Ambos sexos;Total;Ocupados;2005T3;19.422,1
Ambos sexos;Total;Ocupados;2005T2;19.160,6
Ambos sexos;Total;Ocupados;2005T1;18.736,1
Ambos sexos;Total;Ocupados;2004T4;18.490,8
Ambos sexos;Total;Ocupados;2004T3;18.289,1
Ambos sexos;Total;Ocupados;2004T2;18.018,9
Ambos sexos;Total;Ocupados;2004T1;17.770,2
Ambos sexos;Total;Ocupados;2003T4;17.740,5
Ambos sexos;Total;Ocupados;2003T3;17.646,0
Ambos sexos;Total;Ocupados;2003T2;17.423,2
Ambos sexos;Total;Ocupados;2003T1;17.092,7
Ambos sexos;Total;Ocupados;2002T4;16.991,9
Ambos sexos;Total;Ocupados;2002T3;16.919,3
Ambos sexos;Total;Ocupados;2002T2;16.766,9
Ambos sexos;Total;Ocupados;2002T1;16.482,3
Ambos sexos;Total;Parados;2025T4;2.477,1
Ambos sexos;Total;Parados;2025T3;2.613,2
Ambos sexos;Total;Parados;2025T2;2.553,1
Ambos sexos;Total;Parados;2025T1;2.789,2
Ambos sexos;Total;Parados;2024T4;2.595,5
Ambos sexos;Total;Parados;2024T3;2.754,1
Ambos sexos;Total;Parados;2024T2;2.755,3
Ambos sexos;Total;Parados;2024T1;2.977,9
Ambos sexos;Total;Parados;2023T4;2.860,8
Ambos sexos;Total;Parados;2023T3;2.894,5
Ambos sexos;Total;Parados;2023T2;2.808,2
Ambos sexos;Total;Parados;2023T1;3.186,3
Ambos sexos;Total;Parados;2022T4;3.081,6
Ambos sexos;Total;Parados;2022T3;3.025,8
Ambos sexos;Total;Parados;2022T2;2.994,7
Ambos sexos;Total;Parados;2022T1;3.214,7
Ambos sexos;Total;Parados;2021T4;3.148,7
Ambos sexos;Total;Parados;2021T3;3.467,4
Ambos sexos;Total;Parados;2021T2;3.586,4
Ambos sexos;Total;Parados;2021T1;3.703,3
Ambos sexos;Total;Parados;2020T4;3.719,8
Ambos sexos;Total;Parados;2020T3;3.722,9
Ambos sexos;Total;Parados;2020T2;3.368,0
Ambos sexos;Total;Parados;2020T1;3.313,0
Ambos sexos;Total;Parados;2019T4;3.191,9
Ambos sexos;Total;Parados;2019T3;3.214,4
Ambos sexos;Total;Parados;2019T2;3.230,6
Ambos sexos;Total;Parados;2019T1;3.354,2
Ambos sexos;Total;Parados;2018T4;3.304,3
Ambos sexos;Total;Parados;2018T3;3.326,0
Ambos sexos;Total;Parados;2018T2;3.490,1
Ambos sexos;Total;Parados;2018T1;3.796,1
Ambos sexos;Total;Parados;2017T4;3.766,7
Ambos sexos;Total;Parados;2017T3;3.731,7
Ambos sexos;Total;Parados;2017T2;3.914,3
Ambos sexos;Total;Parados;2017T1;4.255,0
Ambos sexos;Total;Parados;2016T4;4.237,8
Ambos sexos;Total;Parados;2016T3;4.320,8
Ambos sexos;Total;Parados;2016T2;4.574,7
Ambos sexos;Total;Parados;2016T1;4.791,4
Ambos sexos;Total;Parados;2015T4;4.779,5
Ambos sexos;Total;Parados;2015T3;4.850,8
Ambos sexos;Total;Parados;2015T2;5.149,0
Ambos sexos;Total;Parados;2015T1;5.444,6
Ambos sexos;Total;Parados;2014T4;5.457,7
Ambos sexos;Total;Parados;2014T3;5.427,7
Ambos sexos;Total;Parados;2014T2;5.622,9
Ambos sexos;Total;Parados;2014T1;5.933,3
Ambos sexos;Total;Parados;2013T4;5.935,6
Ambos sexos;Total;Parados;2013T3;5.943,4
Ambos sexos;Total;Parados;2013T2;6.047,3
Ambos sexos;Total;Parados;2013T1;6.278,2
Ambos sexos;Total;Parados;2012T4;6.021,0
Ambos sexos;Total;Parados;2012T3;5.824,2
Ambos sexos;Total;Parados;2012T2;5.731,0
Ambos sexos;Total;Parados;2012T1;5.667,9
Ambos sexos;Total;Parados;2011T4;5.287,3
Ambos sexos;Total;Parados;2011T3;4.998,0
Ambos sexos;Total;Parados;2011T2;4.844,2
Ambos sexos;Total;Parados;2011T1;4.921,2
Ambos sexos;Total;Parados;2010T4;4.702,2
Ambos sexos;Total;Parados;2010T3;4.585,4
Ambos sexos;Total;Parados;2010T2;4.655,3
Ambos sexos;Total;Parados;2010T1;4.617,7
Ambos sexos;Total;Parados;2009T4;4.335,0
Ambos sexos;Total;Parados;2009T3;4.121,4
Ambos sexos;Total;Parados;2009T2;4.139,6
Ambos sexos;Total;Parados;2009T1;4.018,2
Ambos sexos;Total;Parados;2008T4;3.206,8
Ambos sexos;Total;Parados;2008T3;2.600,7
Ambos sexos;Total;Parados;2008T2;2.385,7
Ambos sexos;Total;Parados;2008T1;2.190,5
Ambos sexos;Total;Parados;2007T4;1.942,0
Ambos sexos;Total;Parados;2007T3;1.806,2
Ambos sexos;Total;Parados;2007T2;1.773,2
Ambos sexos;Total;Parados;2007T1;1.863,2
Ambos sexos;Total;Parados;2006T4;1.819,4
Ambos sexos;Total;Parados;2006T3;1.766,9
Ambos sexos;Total;Parados;2006T2;1.834,4
Ambos sexos;Total;Parados;2006T1;1.942,8
Ambos sexos;Total;Parados;2005T4;1.860,3
Ambos sexos;Total;Parados;2005T3;1.783,5
Ambos sexos;Total;Parados;2005T2;1.969,1
Ambos sexos;Total;Parados;2005T1;2.121,3
Ambos sexos;Total;Parados;2004T4;2.176,9
Ambos sexos;Total;Parados;2004T3;2.199,8
Ambos sexos;Total;Parados;2004T2;2.247,6
Ambos sexos;Total;Parados;2004T1;2.309,8
Ambos sexos;Total;Parados;2003T4;2.276,7
Ambos sexos;Total;Parados;2003T3;2.247,5
Ambos sexos;Total;Parados;2003T2;2.216,0
Ambos sexos;Total;Parados;2003T1;2.328,5
Ambos sexos;Total;Parados;2002T4;2.232,4
Ambos sexos;Total;Parados;2002T3;2.196,0
Ambos sexos;Total;Parados;2002T2;2.103,3
Ambos sexos;Total;Parados;2002T1;2.152,8
Ambos sexos;Total;Parados que buscan primer empleo;2025T4;236,4
Ambos sexos;Total;Parados que buscan primer empleo;2025T3;314,9
Ambos sexos;Total;Parados que buscan primer empleo;2025T2;265,4
Ambos sexos;Total;Parados que buscan primer empleo;2025T1;261,7
Ambos sexos;Total;Parados que buscan primer empleo;2024T4;250,5
Ambos sexos;Total;Parados que buscan primer empleo;2024T3;327,9
Ambos sexos;Total;Parados que buscan primer empleo;2024T2;286,1
Ambos sexos;Total;Parados que buscan primer empleo;2024T1;271,2
Ambos sexos;Total;Parados que buscan primer empleo;2023T4;306,7
Ambos sexos;Total;Parados que buscan primer empleo;2023T3;337,3
Ambos sexos;Total;Parados que buscan primer empleo;2023T2;296,7
Ambos sexos;Total;Parados que buscan primer empleo;2023T1;319,5
Ambos sexos;Total;Parados que buscan primer empleo;2022T4;329,5
Ambos sexos;Total;Parados que buscan primer empleo;2022T3;356,3
Ambos sexos;Total;Parados que buscan primer empleo;2022T2;327,9
Ambos sexos;Total;Parados que buscan primer empleo;2022T1;318,4
Ambos sexos;Total;Parados que buscan primer empleo;2021T4;324,0
Ambos sexos;Total;Parados que buscan primer empleo;2021T3;361,9
Ambos sexos;Total;Parados que buscan primer empleo;2021T2;385,8
Ambos sexos;Total;Parados que buscan primer empleo;2021T1;333,7
Ambos sexos;Total;Parados que buscan primer empleo;2020T4;319,5
Ambos sexos;Total;Parados que buscan primer empleo;2020T3;349,3
Ambos sexos;Total;Parados que buscan primer empleo;2020T2;242,0
Ambos sexos;Total;Parados que buscan primer empleo;2020T1;304,4
Ambos sexos;Total;Parados que buscan primer empleo;2019T4;309,1
Ambos sexos;Total;Parados que buscan primer empleo;2019T3;367,1
Ambos sexos;Total;Parados que buscan primer empleo;2019T2;333,2
Ambos sexos;Total;Parados que buscan primer empleo;2019T1;321,2
Ambos sexos;Total;Parados que buscan primer empleo;2018T4;330,0
Ambos sexos;Total;Parados que buscan primer empleo;2018T3;369,2
Ambos sexos;Total;Parados que buscan primer empleo;2018T2;360,7
Ambos sexos;Total;Parados que buscan primer empleo;2018T1;352,4
Ambos sexos;Total;Parados que buscan primer empleo;2017T4;399,3
Ambos sexos;Total;Parados que buscan primer empleo;2017T3;425,2
Ambos sexos;Total;Parados que buscan primer empleo;2017T2;413,8
Ambos sexos;Total;Parados que buscan primer empleo;2017T1;404,6
Ambos sexos;Total;Parados que buscan primer empleo;2016T4;429,8
Ambos sexos;Total;Parados que buscan primer empleo;2016T3;471,1
Ambos sexos;Total;Parados que buscan primer empleo;2016T2;472,7
Ambos sexos;Total;Parados que buscan primer empleo;2016T1;431,9
Ambos sexos;Total;Parados que buscan primer empleo;2015T4;468,7
Ambos sexos;Total;Parados que buscan primer empleo;2015T3;566,8
Ambos sexos;Total;Parados que buscan primer empleo;2015T2;561,6
Ambos sexos;Total;Parados que buscan primer empleo;2015T1;539,1
Ambos sexos;Total;Parados que buscan primer empleo;2014T4;560,4
Ambos sexos;Total;Parados que buscan primer empleo;2014T3;579,2
Ambos sexos;Total;Parados que buscan primer empleo;2014T2;539,6
Ambos sexos;Total;Parados que buscan primer empleo;2014T1;525,0
Ambos sexos;Total;Parados que buscan primer empleo;2013T4;571,8
Ambos sexos;Total;Parados que buscan primer empleo;2013T3;591,5
Ambos sexos;Total;Parados que buscan primer empleo;2013T2;514,1
Ambos sexos;Total;Parados que buscan primer empleo;2013T1;490,6
Ambos sexos;Total;Parados que buscan primer empleo;2012T4;487,4
Ambos sexos;Total;Parados que buscan primer empleo;2012T3;551,8
Ambos sexos;Total;Parados que buscan primer empleo;2012T2;493,2
Ambos sexos;Total;Parados que buscan primer empleo;2012T1;453,5
Ambos sexos;Total;Parados que buscan primer empleo;2011T4;441,3
Ambos sexos;Total;Parados que buscan primer empleo;2011T3;458,2
Ambos sexos;Total;Parados que buscan primer empleo;2011T2;409,9
Ambos sexos;Total;Parados que buscan primer empleo;2011T1;374,1
Ambos sexos;Total;Parados que buscan primer empleo;2010T4;357,9
Ambos sexos;Total;Parados que buscan primer empleo;2010T3;379,0
Ambos sexos;Total;Parados que buscan primer empleo;2010T2;363,6
Ambos sexos;Total;Parados que buscan primer empleo;2010T1;324,2
Ambos sexos;Total;Parados que buscan primer empleo;2009T4;302,3
Ambos sexos;Total;Parados que buscan primer empleo;2009T3;320,3
Ambos sexos;Total;Parados que buscan primer empleo;2009T2;290,3
Ambos sexos;Total;Parados que buscan primer empleo;2009T1;301,2
Ambos sexos;Total;Parados que buscan primer empleo;2008T4;252,8
Ambos sexos;Total;Parados que buscan primer empleo;2008T3;262,5
Ambos sexos;Total;Parados que buscan primer empleo;2008T2;223,7
Ambos sexos;Total;Parados que buscan primer empleo;2008T1;198,7
Ambos sexos;Total;Parados que buscan primer empleo;2007T4;186,8
Ambos sexos;Total;Parados que buscan primer empleo;2007T3;212,6
Ambos sexos;Total;Parados que buscan primer empleo;2007T2;213,6
Ambos sexos;Total;Parados que buscan primer empleo;2007T1;187,1
Ambos sexos;Total;Parados que buscan primer empleo;2006T4;204,4
Ambos sexos;Total;Parados que buscan primer empleo;2006T3;212,0
Ambos sexos;Total;Parados que buscan primer empleo;2006T2;213,8
Ambos sexos;Total;Parados que buscan primer empleo;2006T1;205,7
Ambos sexos;Total;Parados que buscan primer empleo;2005T4;223,2
Ambos sexos;Total;Parados que buscan primer empleo;2005T3;254,3
Ambos sexos;Total;Parados que buscan primer empleo;2005T2;262,1
Ambos sexos;Total;Parados que buscan primer empleo;2005T1;259,6
Ambos sexos;Total;Parados que buscan primer empleo;2004T4;311,3
Ambos sexos;Total;Parados que buscan primer empleo;2004T3;349,3
Ambos sexos;Total;Parados que buscan primer empleo;2004T2;338,9
Ambos sexos;Total;Parados que buscan primer empleo;2004T1;353,5
Ambos sexos;Total;Parados que buscan primer empleo;2003T4;372,3
Ambos sexos;Total;Parados que buscan primer empleo;2003T3;385,6
Ambos sexos;Total;Parados que buscan primer empleo;2003T2;377,1
Ambos sexos;Total;Parados que buscan primer empleo;2003T1;375,9
Ambos sexos;Total;Parados que buscan primer empleo;2002T4;388,7
Ambos sexos;Total;Parados que buscan primer empleo;2002T3;376,7
Ambos sexos;Total;Parados que buscan primer empleo;2002T2;338,4
Ambos sexos;Total;Parados que buscan primer empleo;2002T1;340,8
Ambos sexos;Total;Inactivos;2025T4;17.374,9
Ambos sexos;Total;Inactivos;2025T3;17.161,2
Ambos sexos;Total;Inactivos;2025T2;17.226,7
Ambos sexos;Total;Inactivos;2025T1;17.366,8
Ambos sexos;Total;Inactivos;2024T4;17.356,7
Ambos sexos;Total;Inactivos;2024T3;17.052,4
Ambos sexos;Total;Inactivos;2024T2;17.057,0
Ambos sexos;Total;Inactivos;2024T1;17.098,6
Ambos sexos;Total;Inactivos;2023T4;16.970,5
Ambos sexos;Total;Inactivos;2023T3;16.716,1
Ambos sexos;Total;Inactivos;2023T2;16.824,8
Ambos sexos;Total;Inactivos;2023T1;16.940,6
Ambos sexos;Total;Inactivos;2022T4;16.896,9
Ambos sexos;Total;Inactivos;2022T3;16.684,8
Ambos sexos;Total;Inactivos;2022T2;16.675,2
Ambos sexos;Total;Inactivos;2022T1;16.705,6
Ambos sexos;Total;Inactivos;2021T4;16.592,9
Ambos sexos;Total;Inactivos;2021T3;16.372,1
Ambos sexos;Total;Inactivos;2021T2;16.584,8
Ambos sexos;Total;Inactivos;2021T1;16.914,7
Ambos sexos;Total;Inactivos;2020T4;16.571,4
Ambos sexos;Total;Inactivos;2020T3;16.696,0
Ambos sexos;Total;Inactivos;2020T2;17.588,7
Ambos sexos;Total;Inactivos;2020T1;16.525,9
