Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
buscan primer empleo;menos de 6 meses;ambos sexos;1996TII;122,7
buscan primer empleo;menos de 6 meses;ambos sexos;1996TI;145,0
buscan primer empleo;menos de 6 meses;varones;2001TIV;41,1
buscan primer empleo;menos de 6 meses;varones;2001TIII;42,3
buscan primer empleo;menos de 6 meses;varones;2001TII;27,5
buscan primer empleo;menos de 6 meses;varones;2001TI;28,8
buscan primer empleo;menos de 6 meses;varones;2000TIV;52,6
buscan primer empleo;menos de 6 meses;varones;2000TIII;53,7
buscan primer empleo;menos de 6 meses;varones;2000TII;39,5
buscan primer empleo;menos de 6 meses;varones;2000TI;48,2
buscan primer empleo;menos de 6 meses;varones;1999TIV;63,8
buscan primer empleo;menos de 6 meses;varones;1999TIII;58,6
buscan primer empleo;menos de 6 meses;varones;1999TII;45,9
buscan primer empleo;menos de 6 meses;varones;1999TI;58,4
buscan primer empleo;menos de 6 meses;varones;1998TIV;81,4
buscan primer empleo;menos de 6 meses;varones;1998TIII;76,0
buscan primer empleo;menos de 6 meses;varones;1998TII;57,8
buscan primer empleo;menos de 6 meses;varones;1998TI;67,9
buscan primer empleo;menos de 6 meses;varones;1997TIV;85,2
buscan primer empleo;menos de 6 meses;varones;1997TIII;74,0
buscan primer empleo;menos de 6 meses;varones;1997TII;59,8
buscan primer empleo;menos de 6 meses;varones;1997TI;69,8
buscan primer empleo;menos de 6 meses;varones;1996TIV;90,6
buscan primer empleo;menos de 6 meses;varones;1996TIII;81,0
buscan primer empleo;menos de 6 meses;varones;1996TII;62,7
buscan primer empleo;menos de 6 meses;varones;1996TI;68,6
buscan primer empleo;menos de 6 meses;mujeres;2001TIV;71,2
buscan primer empleo;menos de 6 meses;mujeres;2001TIII;61,2
buscan primer empleo;menos de 6 meses;mujeres;2001TII;50,9
buscan primer empleo;menos de 6 meses;mujeres;2001TI;46,7
buscan primer empleo;menos de 6 meses;mujeres;2000TIV;84,8
buscan primer empleo;menos de 6 meses;mujeres;2000TIII;94,4
buscan primer empleo;menos de 6 meses;mujeres;2000TII;66,4
buscan primer empleo;menos de 6 meses;mujeres;2000TI;77,7
buscan primer empleo;menos de 6 meses;mujeres;1999TIV;101,6
buscan primer empleo;menos de 6 meses;mujeres;1999TIII;98,9
buscan primer empleo;menos de 6 meses;mujeres;1999TII;75,4
buscan primer empleo;menos de 6 meses;mujeres;1999TI;79,8
buscan primer empleo;menos de 6 meses;mujeres;1998TIV;124,5
buscan primer empleo;menos de 6 meses;mujeres;1998TIII;105,8
buscan primer empleo;menos de 6 meses;mujeres;1998TII;67,3
buscan primer empleo;menos de 6 meses;mujeres;1998TI;88,4
buscan primer empleo;menos de 6 meses;mujeres;1997TIV;112,8
buscan primer empleo;menos de 6 meses;mujeres;1997TIII;101,0
buscan primer empleo;menos de 6 meses;mujeres;1997TII;64,1
buscan primer empleo;menos de 6 meses;mujeres;1997TI;73,8
buscan primer empleo;menos de 6 meses;mujeres;1996TIV;107,2
buscan primer empleo;menos de 6 meses;mujeres;1996TIII;97,2
buscan primer empleo;menos de 6 meses;mujeres;1996TII;60,0
buscan primer empleo;menos de 6 meses;mujeres;1996TI;76,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2001TIV;40,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2001TIII;52,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2001TII;62,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2001TI;52,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2000TIV;59,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2000TIII;70,9
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2000TII;96,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;2000TI;93,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1999TIV;67,4
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1999TIII;83,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1999TII;122,5
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1999TI;107,1
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1998TIV;81,7
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1998TIII;112,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1998TII;143,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1998TI;113,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1997TIV;88,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1997TIII;112,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1997TII;143,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1997TI;124,3
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1996TIV;96,0
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1996TIII;113,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1996TII;151,8
buscan primer empleo;de 6 meses a 1 año;ambos sexos;1996TI;122,1
buscan primer empleo;de 6 meses a 1 año;varones;2001TIV;15,2
buscan primer empleo;de 6 meses a 1 año;varones;2001TIII;15,2
buscan primer empleo;de 6 meses a 1 año;varones;2001TII;21,9
buscan primer empleo;de 6 meses a 1 año;varones;2001TI;16,7
buscan primer empleo;de 6 meses a 1 año;varones;2000TIV;21,6
buscan primer empleo;de 6 meses a 1 año;varones;2000TIII;23,9
buscan primer empleo;de 6 meses a 1 año;varones;2000TII;34,2
buscan primer empleo;de 6 meses a 1 año;varones;2000TI;36,2
buscan primer empleo;de 6 meses a 1 año;varones;1999TIV;23,8
buscan primer empleo;de 6 meses a 1 año;varones;1999TIII;29,7
buscan primer empleo;de 6 meses a 1 año;varones;1999TII;40,8
buscan primer empleo;de 6 meses a 1 año;varones;1999TI;37,9
buscan primer empleo;de 6 meses a 1 año;varones;1998TIV;33,8
buscan primer empleo;de 6 meses a 1 año;varones;1998TIII;49,6
buscan primer empleo;de 6 meses a 1 año;varones;1998TII;57,0
buscan primer empleo;de 6 meses a 1 año;varones;1998TI;44,2
buscan primer empleo;de 6 meses a 1 año;varones;1997TIV;31,2
buscan primer empleo;de 6 meses a 1 año;varones;1997TIII;44,5
buscan primer empleo;de 6 meses a 1 año;varones;1997TII;59,6
buscan primer empleo;de 6 meses a 1 año;varones;1997TI;47,6
buscan primer empleo;de 6 meses a 1 año;varones;1996TIV;41,7
buscan primer empleo;de 6 meses a 1 año;varones;1996TIII;49,0
buscan primer empleo;de 6 meses a 1 año;varones;1996TII;62,8
buscan primer empleo;de 6 meses a 1 año;varones;1996TI;52,0
buscan primer empleo;de 6 meses a 1 año;mujeres;2001TIV;25,3
buscan primer empleo;de 6 meses a 1 año;mujeres;2001TIII;37,6
buscan primer empleo;de 6 meses a 1 año;mujeres;2001TII;40,0
buscan primer empleo;de 6 meses a 1 año;mujeres;2001TI;35,4
buscan primer empleo;de 6 meses a 1 año;mujeres;2000TIV;38,2
buscan primer empleo;de 6 meses a 1 año;mujeres;2000TIII;47,0
buscan primer empleo;de 6 meses a 1 año;mujeres;2000TII;62,1
buscan primer empleo;de 6 meses a 1 año;mujeres;2000TI;57,1
buscan primer empleo;de 6 meses a 1 año;mujeres;1999TIV;43,7
buscan primer empleo;de 6 meses a 1 año;mujeres;1999TIII;53,8
buscan primer empleo;de 6 meses a 1 año;mujeres;1999TII;81,7
buscan primer empleo;de 6 meses a 1 año;mujeres;1999TI;69,3
buscan primer empleo;de 6 meses a 1 año;mujeres;1998TIV;47,9
buscan primer empleo;de 6 meses a 1 año;mujeres;1998TIII;62,4
buscan primer empleo;de 6 meses a 1 año;mujeres;1998TII;86,8
buscan primer empleo;de 6 meses a 1 año;mujeres;1998TI;69,0
buscan primer empleo;de 6 meses a 1 año;mujeres;1997TIV;57,6
buscan primer empleo;de 6 meses a 1 año;mujeres;1997TIII;68,3
buscan primer empleo;de 6 meses a 1 año;mujeres;1997TII;84,2
buscan primer empleo;de 6 meses a 1 año;mujeres;1997TI;76,7
buscan primer empleo;de 6 meses a 1 año;mujeres;1996TIV;54,2
buscan primer empleo;de 6 meses a 1 año;mujeres;1996TIII;64,8
buscan primer empleo;de 6 meses a 1 año;mujeres;1996TII;88,9
buscan primer empleo;de 6 meses a 1 año;mujeres;1996TI;70,1
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2001TIV;66,9
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2001TIII;67,9
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2001TII;66,0
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2001TI;52,4
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2000TIV;93,6
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2000TIII;90,9
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2000TII;98,6
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;2000TI;100,9
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1999TIV;110,0
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1999TIII;103,5
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1999TII;102,6
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1999TI;122,3
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1998TIV;143,8
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1998TIII;155,5
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1998TII;148,6
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1998TI;151,5
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1997TIV;157,8
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1997TIII;160,5
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1997TII;166,7
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1997TI;153,8
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1996TIV;162,4
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1996TIII;162,0
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1996TII;148,1
buscan primer empleo;de 1 año a menos de 2 años;ambos sexos;1996TI;137,7
buscan primer empleo;de 1 año a menos de 2 años;varones;2001TIV;18,5
buscan primer empleo;de 1 año a menos de 2 años;varones;2001TIII;20,9
buscan primer empleo;de 1 año a menos de 2 años;varones;2001TII;24,1
buscan primer empleo;de 1 año a menos de 2 años;varones;2001TI;18,1
buscan primer empleo;de 1 año a menos de 2 años;varones;2000TIV;31,4
buscan primer empleo;de 1 año a menos de 2 años;varones;2000TIII;28,0
buscan primer empleo;de 1 año a menos de 2 años;varones;2000TII;31,5
buscan primer empleo;de 1 año a menos de 2 años;varones;2000TI;33,4
buscan primer empleo;de 1 año a menos de 2 años;varones;1999TIV;32,9
buscan primer empleo;de 1 año a menos de 2 años;varones;1999TIII;31,3
buscan primer empleo;de 1 año a menos de 2 años;varones;1999TII;37,5
buscan primer empleo;de 1 año a menos de 2 años;varones;1999TI;49,8
buscan primer empleo;de 1 año a menos de 2 años;varones;1998TIV;52,7
buscan primer empleo;de 1 año a menos de 2 años;varones;1998TIII;55,4
buscan primer empleo;de 1 año a menos de 2 años;varones;1998TII;57,8
buscan primer empleo;de 1 año a menos de 2 años;varones;1998TI;58,6
buscan primer empleo;de 1 año a menos de 2 años;varones;1997TIV;62,4
buscan primer empleo;de 1 año a menos de 2 años;varones;1997TIII;63,2
buscan primer empleo;de 1 año a menos de 2 años;varones;1997TII;67,7
buscan primer empleo;de 1 año a menos de 2 años;varones;1997TI;59,7
buscan primer empleo;de 1 año a menos de 2 años;varones;1996TIV;62,6
buscan primer empleo;de 1 año a menos de 2 años;varones;1996TIII;62,6
buscan primer empleo;de 1 año a menos de 2 años;varones;1996TII;51,9
buscan primer empleo;de 1 año a menos de 2 años;varones;1996TI;50,3
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2001TIV;48,4
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2001TIII;47,0
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2001TII;42,0
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2001TI;34,3
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2000TIV;62,2
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2000TIII;63,0
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2000TII;67,1
buscan primer empleo;de 1 año a menos de 2 años;mujeres;2000TI;67,6
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1999TIV;77,1
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1999TIII;72,2
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1999TII;65,1
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1999TI;72,5
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1998TIV;91,1
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1998TIII;100,1
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1998TII;90,8
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1998TI;92,8
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1997TIV;95,5
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1997TIII;97,4
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1997TII;99,0
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1997TI;94,1
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1996TIV;99,8
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1996TIII;99,4
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1996TII;96,2
buscan primer empleo;de 1 año a menos de 2 años;mujeres;1996TI;87,4
buscan primer empleo;2 o más;ambos sexos;2001TIV;108,8
buscan primer empleo;2 o más;ambos sexos;2001TIII;112,6
buscan primer empleo;2 o más;ambos sexos;2001TII;102,9
buscan primer empleo;2 o más;ambos sexos;2001TI;124,7
buscan primer empleo;2 o más;ambos sexos;2000TIV;187,1
buscan primer empleo;2 o más;ambos sexos;2000TIII;201,4
buscan primer empleo;2 o más;ambos sexos;2000TII;202,2
buscan primer empleo;2 o más;ambos sexos;2000TI;222,9
buscan primer empleo;2 o más;ambos sexos;1999TIV;250,1
buscan primer empleo;2 o más;ambos sexos;1999TIII;263,4
buscan primer empleo;2 o más;ambos sexos;1999TII;253,1
buscan primer empleo;2 o más;ambos sexos;1999TI;280,4
buscan primer empleo;2 o más;ambos sexos;1998TIV;316,0
buscan primer empleo;2 o más;ambos sexos;1998TIII;322,7
buscan primer empleo;2 o más;ambos sexos;1998TII;303,5
buscan primer empleo;2 o más;ambos sexos;1998TI;319,3
buscan primer empleo;2 o más;ambos sexos;1997TIV;351,6
buscan primer empleo;2 o más;ambos sexos;1997TIII;351,1
buscan primer empleo;2 o más;ambos sexos;1997TII;343,6
buscan primer empleo;2 o más;ambos sexos;1997TI;361,7
buscan primer empleo;2 o más;ambos sexos;1996TIV;356,9
buscan primer empleo;2 o más;ambos sexos;1996TIII;366,9
buscan primer empleo;2 o más;ambos sexos;1996TII;353,7
buscan primer empleo;2 o más;ambos sexos;1996TI;391,9
buscan primer empleo;2 o más;varones;2001TIV;29,8
buscan primer empleo;2 o más;varones;2001TIII;32,6
buscan primer empleo;2 o más;varones;2001TII;29,5
buscan primer empleo;2 o más;varones;2001TI;35,6
buscan primer empleo;2 o más;varones;2000TIV;53,3
buscan primer empleo;2 o más;varones;2000TIII;59,6
buscan primer empleo;2 o más;varones;2000TII;61,0
buscan primer empleo;2 o más;varones;2000TI;65,2
buscan primer empleo;2 o más;varones;1999TIV;71,5
buscan primer empleo;2 o más;varones;1999TIII;73,8
buscan primer empleo;2 o más;varones;1999TII;69,9
buscan primer empleo;2 o más;varones;1999TI;80,8
buscan primer empleo;2 o más;varones;1998TIV;93,6
buscan primer empleo;2 o más;varones;1998TIII;94,2
buscan primer empleo;2 o más;varones;1998TII;87,5
buscan primer empleo;2 o más;varones;1998TI;96,7
buscan primer empleo;2 o más;varones;1997TIV;101,9
buscan primer empleo;2 o más;varones;1997TIII;104,6
buscan primer empleo;2 o más;varones;1997TII;98,9
buscan primer empleo;2 o más;varones;1997TI;117,0
buscan primer empleo;2 o más;varones;1996TIV;108,5
buscan primer empleo;2 o más;varones;1996TIII;113,2
buscan primer empleo;2 o más;varones;1996TII;111,9
buscan primer empleo;2 o más;varones;1996TI;121,4
buscan primer empleo;2 o más;mujeres;2001TIV;79,0
buscan primer empleo;2 o más;mujeres;2001TIII;80,0
buscan primer empleo;2 o más;mujeres;2001TII;73,5
buscan primer empleo;2 o más;mujeres;2001TI;89,2
buscan primer empleo;2 o más;mujeres;2000TIV;133,8
buscan primer empleo;2 o más;mujeres;2000TIII;141,8
buscan primer empleo;2 o más;mujeres;2000TII;141,2
buscan primer empleo;2 o más;mujeres;2000TI;157,7
buscan primer empleo;2 o más;mujeres;1999TIV;178,6
buscan primer empleo;2 o más;mujeres;1999TIII;189,5
buscan primer empleo;2 o más;mujeres;1999TII;183,2
buscan primer empleo;2 o más;mujeres;1999TI;199,6
buscan primer empleo;2 o más;mujeres;1998TIV;222,4
buscan primer empleo;2 o más;mujeres;1998TIII;228,5
buscan primer empleo;2 o más;mujeres;1998TII;215,9
buscan primer empleo;2 o más;mujeres;1998TI;222,6
buscan primer empleo;2 o más;mujeres;1997TIV;249,7
buscan primer empleo;2 o más;mujeres;1997TIII;246,5
buscan primer empleo;2 o más;mujeres;1997TII;244,7
buscan primer empleo;2 o más;mujeres;1997TI;244,7
buscan primer empleo;2 o más;mujeres;1996TIV;248,5
buscan primer empleo;2 o más;mujeres;1996TIII;253,7
buscan primer empleo;2 o más;mujeres;1996TII;241,8
buscan primer empleo;2 o más;mujeres;1996TI;270,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;2001TIV;11,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;2001TIII;14,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;2001TII;15,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;2001TI;12,1
buscan primer empleo;ya lo ha encontrado;ambos sexos;2000TIV;7,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;2000TIII;14,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;2000TII;9,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;2000TI;9,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1999TIV;10,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1999TIII;20,0
buscan primer empleo;ya lo ha encontrado;ambos sexos;1999TII;18,5
buscan primer empleo;ya lo ha encontrado;ambos sexos;1999TI;7,7
buscan primer empleo;ya lo ha encontrado;ambos sexos;1998TIV;10,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1998TIII;17,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1998TII;10,6
buscan primer empleo;ya lo ha encontrado;ambos sexos;1998TI;6,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1997TIV;7,9
buscan primer empleo;ya lo ha encontrado;ambos sexos;1997TIII;11,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1997TII;5,1
buscan primer empleo;ya lo ha encontrado;ambos sexos;1997TI;9,1
buscan primer empleo;ya lo ha encontrado;ambos sexos;1996TIV;7,8
buscan primer empleo;ya lo ha encontrado;ambos sexos;1996TIII;9,3
buscan primer empleo;ya lo ha encontrado;ambos sexos;1996TII;4,4
buscan primer empleo;ya lo ha encontrado;ambos sexos;1996TI;6,3
buscan primer empleo;ya lo ha encontrado;varones;2001TIV;4,6
buscan primer empleo;ya lo ha encontrado;varones;2001TIII;6,2
buscan primer empleo;ya lo ha encontrado;varones;2001TII;6,3
buscan primer empleo;ya lo ha encontrado;varones;2001TI;6,7
buscan primer empleo;ya lo ha encontrado;varones;2000TIV;3,1
buscan primer empleo;ya lo ha encontrado;varones;2000TIII;7,3
buscan primer empleo;ya lo ha encontrado;varones;2000TII;5,1
buscan primer empleo;ya lo ha encontrado;varones;2000TI;3,2
buscan primer empleo;ya lo ha encontrado;varones;1999TIV;3,8
buscan primer empleo;ya lo ha encontrado;varones;1999TIII;9,3
buscan primer empleo;ya lo ha encontrado;varones;1999TII;8,8
buscan primer empleo;ya lo ha encontrado;varones;1999TI;3,5
buscan primer empleo;ya lo ha encontrado;varones;1998TIV;4,8
buscan primer empleo;ya lo ha encontrado;varones;1998TIII;8,4
buscan primer empleo;ya lo ha encontrado;varones;1998TII;4,4
buscan primer empleo;ya lo ha encontrado;varones;1998TI;3,7
buscan primer empleo;ya lo ha encontrado;varones;1997TIV;4,0
buscan primer empleo;ya lo ha encontrado;varones;1997TIII;6,7
buscan primer empleo;ya lo ha encontrado;varones;1997TII;1,4
buscan primer empleo;ya lo ha encontrado;varones;1997TI;4,0
buscan primer empleo;ya lo ha encontrado;varones;1996TIV;5,1
buscan primer empleo;ya lo ha encontrado;varones;1996TIII;5,5
buscan primer empleo;ya lo ha encontrado;varones;1996TII;2,5
buscan primer empleo;ya lo ha encontrado;varones;1996TI;3,9
buscan primer empleo;ya lo ha encontrado;mujeres;2001TIV;7,0
buscan primer empleo;ya lo ha encontrado;mujeres;2001TIII;8,5
buscan primer empleo;ya lo ha encontrado;mujeres;2001TII;9,4
buscan primer empleo;ya lo ha encontrado;mujeres;2001TI;5,4
buscan primer empleo;ya lo ha encontrado;mujeres;2000TIV;4,7
buscan primer empleo;ya lo ha encontrado;mujeres;2000TIII;7,3
buscan primer empleo;ya lo ha encontrado;mujeres;2000TII;4,8
buscan primer empleo;ya lo ha encontrado;mujeres;2000TI;6,6
buscan primer empleo;ya lo ha encontrado;mujeres;1999TIV;6,5
buscan primer empleo;ya lo ha encontrado;mujeres;1999TIII;10,8
buscan primer empleo;ya lo ha encontrado;mujeres;1999TII;9,8
buscan primer empleo;ya lo ha encontrado;mujeres;1999TI;4,3
buscan primer empleo;ya lo ha encontrado;mujeres;1998TIV;5,6
buscan primer empleo;ya lo ha encontrado;mujeres;1998TIII;8,9
buscan primer empleo;ya lo ha encontrado;mujeres;1998TII;6,2
buscan primer empleo;ya lo ha encontrado;mujeres;1998TI;3,2
buscan primer empleo;ya lo ha encontrado;mujeres;1997TIV;3,9
buscan primer empleo;ya lo ha encontrado;mujeres;1997TIII;4,6
buscan primer empleo;ya lo ha encontrado;mujeres;1997TII;3,7
buscan primer empleo;ya lo ha encontrado;mujeres;1997TI;5,0
buscan primer empleo;ya lo ha encontrado;mujeres;1996TIV;2,7
buscan primer empleo;ya lo ha encontrado;mujeres;1996TIII;3,8
buscan primer empleo;ya lo ha encontrado;mujeres;1996TII;2,0
buscan primer empleo;ya lo ha encontrado;mujeres;1996TI;2,4
