Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;menos de 6 meses;mujeres;2001TII;314,5
total;menos de 6 meses;mujeres;2001TI;338,7
total;menos de 6 meses;mujeres;2000TIV;463,4
total;menos de 6 meses;mujeres;2000TIII;425,6
total;menos de 6 meses;mujeres;2000TII;405,8
total;menos de 6 meses;mujeres;2000TI;457,3
total;menos de 6 meses;mujeres;1999TIV;475,1
total;menos de 6 meses;mujeres;1999TIII;420,7
total;menos de 6 meses;mujeres;1999TII;379,9
total;menos de 6 meses;mujeres;1999TI;440,1
total;menos de 6 meses;mujeres;1998TIV;502,4
total;menos de 6 meses;mujeres;1998TIII;425,2
total;menos de 6 meses;mujeres;1998TII;405,6
total;menos de 6 meses;mujeres;1998TI;440,7
total;menos de 6 meses;mujeres;1997TIV;464,6
total;menos de 6 meses;mujeres;1997TIII;447,9
total;menos de 6 meses;mujeres;1997TII;394,0
total;menos de 6 meses;mujeres;1997TI;435,4
total;menos de 6 meses;mujeres;1996TIV;474,1
total;menos de 6 meses;mujeres;1996TIII;440,6
total;menos de 6 meses;mujeres;1996TII;381,7
total;menos de 6 meses;mujeres;1996TI;426,0
total;de 6 meses a 1 año;ambos sexos;2001TIV;302,9
total;de 6 meses a 1 año;ambos sexos;2001TIII;315,7
total;de 6 meses a 1 año;ambos sexos;2001TII;332,5
total;de 6 meses a 1 año;ambos sexos;2001TI;303,6
total;de 6 meses a 1 año;ambos sexos;2000TIV;385,1
total;de 6 meses a 1 año;ambos sexos;2000TIII;428,1
total;de 6 meses a 1 año;ambos sexos;2000TII;448,8
total;de 6 meses a 1 año;ambos sexos;2000TI;410,9
total;de 6 meses a 1 año;ambos sexos;1999TIV;390,8
total;de 6 meses a 1 año;ambos sexos;1999TIII;446,3
total;de 6 meses a 1 año;ambos sexos;1999TII;489,1
total;de 6 meses a 1 año;ambos sexos;1999TI;430,6
total;de 6 meses a 1 año;ambos sexos;1998TIV;434,2
total;de 6 meses a 1 año;ambos sexos;1998TIII;513,8
total;de 6 meses a 1 año;ambos sexos;1998TII;579,4
total;de 6 meses a 1 año;ambos sexos;1998TI;499,2
total;de 6 meses a 1 año;ambos sexos;1997TIV;492,9
total;de 6 meses a 1 año;ambos sexos;1997TIII;556,6
total;de 6 meses a 1 año;ambos sexos;1997TII;626,1
total;de 6 meses a 1 año;ambos sexos;1997TI;550,3
total;de 6 meses a 1 año;ambos sexos;1996TIV;538,9
total;de 6 meses a 1 año;ambos sexos;1996TIII;607,7
total;de 6 meses a 1 año;ambos sexos;1996TII;660,0
total;de 6 meses a 1 año;ambos sexos;1996TI;572,7
total;de 6 meses a 1 año;varones;2001TIV;134,5
total;de 6 meses a 1 año;varones;2001TIII;132,0
total;de 6 meses a 1 año;varones;2001TII;141,1
total;de 6 meses a 1 año;varones;2001TI;137,7
total;de 6 meses a 1 año;varones;2000TIV;161,1
total;de 6 meses a 1 año;varones;2000TIII;177,0
total;de 6 meses a 1 año;varones;2000TII;193,9
total;de 6 meses a 1 año;varones;2000TI;169,7
total;de 6 meses a 1 año;varones;1999TIV;165,0
total;de 6 meses a 1 año;varones;1999TIII;189,7
total;de 6 meses a 1 año;varones;1999TII;205,3
total;de 6 meses a 1 año;varones;1999TI;190,0
total;de 6 meses a 1 año;varones;1998TIV;207,9
total;de 6 meses a 1 año;varones;1998TIII;240,0
total;de 6 meses a 1 año;varones;1998TII;275,1
total;de 6 meses a 1 año;varones;1998TI;239,8
total;de 6 meses a 1 año;varones;1997TIV;240,2
total;de 6 meses a 1 año;varones;1997TIII;279,2
total;de 6 meses a 1 año;varones;1997TII;311,1
total;de 6 meses a 1 año;varones;1997TI;278,4
total;de 6 meses a 1 año;varones;1996TIV;276,2
total;de 6 meses a 1 año;varones;1996TIII;318,4
total;de 6 meses a 1 año;varones;1996TII;347,0
total;de 6 meses a 1 año;varones;1996TI;297,4
total;de 6 meses a 1 año;mujeres;2001TIV;168,4
total;de 6 meses a 1 año;mujeres;2001TIII;183,8
total;de 6 meses a 1 año;mujeres;2001TII;191,4
total;de 6 meses a 1 año;mujeres;2001TI;165,9
total;de 6 meses a 1 año;mujeres;2000TIV;224,0
total;de 6 meses a 1 año;mujeres;2000TIII;251,1
total;de 6 meses a 1 año;mujeres;2000TII;254,9
total;de 6 meses a 1 año;mujeres;2000TI;241,2
total;de 6 meses a 1 año;mujeres;1999TIV;225,8
total;de 6 meses a 1 año;mujeres;1999TIII;256,6
total;de 6 meses a 1 año;mujeres;1999TII;283,7
total;de 6 meses a 1 año;mujeres;1999TI;240,6
total;de 6 meses a 1 año;mujeres;1998TIV;226,3
total;de 6 meses a 1 año;mujeres;1998TIII;273,8
total;de 6 meses a 1 año;mujeres;1998TII;304,3
total;de 6 meses a 1 año;mujeres;1998TI;259,3
total;de 6 meses a 1 año;mujeres;1997TIV;252,7
total;de 6 meses a 1 año;mujeres;1997TIII;277,4
total;de 6 meses a 1 año;mujeres;1997TII;315,0
total;de 6 meses a 1 año;mujeres;1997TI;271,9
total;de 6 meses a 1 año;mujeres;1996TIV;262,7
total;de 6 meses a 1 año;mujeres;1996TIII;289,3
total;de 6 meses a 1 año;mujeres;1996TII;313,1
total;de 6 meses a 1 año;mujeres;1996TI;275,4
total;de 1 año a menos de 2 años;ambos sexos;2001TIV;299,7
total;de 1 año a menos de 2 años;ambos sexos;2001TIII;288,4
total;de 1 año a menos de 2 años;ambos sexos;2001TII;299,8
total;de 1 año a menos de 2 años;ambos sexos;2001TI;301,3
total;de 1 año a menos de 2 años;ambos sexos;2000TIV;399,8
total;de 1 año a menos de 2 años;ambos sexos;2000TIII;393,8
total;de 1 año a menos de 2 años;ambos sexos;2000TII;404,1
total;de 1 año a menos de 2 años;ambos sexos;2000TI;417,6
total;de 1 año a menos de 2 años;ambos sexos;1999TIV;420,7
total;de 1 año a menos de 2 años;ambos sexos;1999TIII;410,9
total;de 1 año a menos de 2 años;ambos sexos;1999TII;425,2
total;de 1 año a menos de 2 años;ambos sexos;1999TI;484,4
total;de 1 año a menos de 2 años;ambos sexos;1998TIV;544,5
total;de 1 año a menos de 2 años;ambos sexos;1998TIII;551,4
total;de 1 año a menos de 2 años;ambos sexos;1998TII;560,3
total;de 1 año a menos de 2 años;ambos sexos;1998TI;589,2
total;de 1 año a menos de 2 años;ambos sexos;1997TIV;615,5
total;de 1 año a menos de 2 años;ambos sexos;1997TIII;611,3
total;de 1 año a menos de 2 años;ambos sexos;1997TII;637,6
total;de 1 año a menos de 2 años;ambos sexos;1997TI;655,5
total;de 1 año a menos de 2 años;ambos sexos;1996TIV;680,5
total;de 1 año a menos de 2 años;ambos sexos;1996TIII;673,1
total;de 1 año a menos de 2 años;ambos sexos;1996TII;676,7
total;de 1 año a menos de 2 años;ambos sexos;1996TI;679,0
total;de 1 año a menos de 2 años;varones;2001TIV;119,8
total;de 1 año a menos de 2 años;varones;2001TIII;122,9
total;de 1 año a menos de 2 años;varones;2001TII;121,1
total;de 1 año a menos de 2 años;varones;2001TI;127,0
total;de 1 año a menos de 2 años;varones;2000TIV;154,3
total;de 1 año a menos de 2 años;varones;2000TIII;144,0
