Sexo;Grupo de edad (5);Periodo;Total
ambos sexos;de 55 y más años;1999TIV;8.848,7
ambos sexos;de 55 y más años;1999TIII;8.829,9
ambos sexos;de 55 y más años;1999TII;8.797,0
ambos sexos;de 55 y más años;1999TI;8.756,7
ambos sexos;de 55 y más años;1998TIV;8.720,8
ambos sexos;de 55 y más años;1998TIII;8.665,1
ambos sexos;de 55 y más años;1998TII;8.638,8
ambos sexos;de 55 y más años;1998TI;8.625,0
ambos sexos;de 55 y más años;1997TIV;8.583,1
ambos sexos;de 55 y más años;1997TIII;8.567,3
ambos sexos;de 55 y más años;1997TII;8.538,0
ambos sexos;de 55 y más años;1997TI;8.522,9
ambos sexos;de 55 y más años;1996TIV;8.476,0
ambos sexos;de 55 y más años;1996TIII;8.442,0
ambos sexos;de 55 y más años;1996TII;8.401,9
ambos sexos;de 55 y más años;1996TI;8.371,8
varones;total;2001TIV;5.554,3
varones;total;2001TIII;5.515,1
varones;total;2001TII;5.566,7
varones;total;2001TI;5.600,0
varones;total;2000TIV;5.376,9
varones;total;2000TIII;5.334,2
varones;total;2000TII;5.414,7
varones;total;2000TI;5.433,4
varones;total;1999TIV;5.415,1
varones;total;1999TIII;5.368,8
varones;total;1999TII;5.448,3
varones;total;1999TI;5.427,8
varones;total;1998TIV;5.405,8
varones;total;1998TIII;5.352,5
varones;total;1998TII;5.423,0
varones;total;1998TI;5.427,8
varones;total;1997TIV;5.384,4
varones;total;1997TIII;5.374,7
varones;total;1997TII;5.395,4
varones;total;1997TI;5.382,7
varones;total;1996TIV;5.329,8
varones;total;1996TIII;5.280,5
varones;total;1996TII;5.313,7
varones;total;1996TI;5.276,6
varones;de 16 a 19 años;2001TIV;710,8
varones;de 16 a 19 años;2001TIII;685,6
varones;de 16 a 19 años;2001TII;726,0
varones;de 16 a 19 años;2001TI;730,6
varones;de 16 a 19 años;2000TIV;721,0
varones;de 16 a 19 años;2000TIII;699,3
varones;de 16 a 19 años;2000TII;749,4
varones;de 16 a 19 años;2000TI;763,8
varones;de 16 a 19 años;1999TIV;757,9
varones;de 16 a 19 años;1999TIII;747,8
varones;de 16 a 19 años;1999TII;784,1
varones;de 16 a 19 años;1999TI;791,4
varones;de 16 a 19 años;1998TIV;793,0
varones;de 16 a 19 años;1998TIII;783,1
varones;de 16 a 19 años;1998TII;814,1
varones;de 16 a 19 años;1998TI;832,4
varones;de 16 a 19 años;1997TIV;828,8
varones;de 16 a 19 años;1997TIII;822,8
varones;de 16 a 19 años;1997TII;845,8
varones;de 16 a 19 años;1997TI;858,2
varones;de 16 a 19 años;1996TIV;852,6
varones;de 16 a 19 años;1996TIII;845,7
varones;de 16 a 19 años;1996TII;870,2
varones;de 16 a 19 años;1996TI;871,9
varones;de 20 a 24 años;2001TIV;526,8
varones;de 20 a 24 años;2001TIII;514,1
