Situación de inactividad;Sexo;Periodo;Total
estudiante;mujeres;1997TI;1.642,2
estudiante;mujeres;1996TIV;1.587,5
estudiante;mujeres;1996TIII;1.272,0
estudiante;mujeres;1996TII;1.653,6
estudiante;mujeres;1996TI;1.620,4
jubilado o pensionista;ambos sexos;2001TIV;6.317,4
jubilado o pensionista;ambos sexos;2001TIII;6.270,8
jubilado o pensionista;ambos sexos;2001TII;6.261,0
jubilado o pensionista;ambos sexos;2001TI;6.226,3
jubilado o pensionista;ambos sexos;2000TIV;6.195,8
jubilado o pensionista;ambos sexos;2000TIII;6.136,6
jubilado o pensionista;ambos sexos;2000TII;6.143,4
jubilado o pensionista;ambos sexos;2000TI;6.173,2
jubilado o pensionista;ambos sexos;1999TIV;6.177,0
jubilado o pensionista;ambos sexos;1999TIII;6.146,4
jubilado o pensionista;ambos sexos;1999TII;6.118,5
jubilado o pensionista;ambos sexos;1999TI;6.065,4
jubilado o pensionista;ambos sexos;1998TIV;6.245,2
jubilado o pensionista;ambos sexos;1998TIII;6.190,1
jubilado o pensionista;ambos sexos;1998TII;6.149,0
jubilado o pensionista;ambos sexos;1998TI;6.145,3
jubilado o pensionista;ambos sexos;1997TIV;6.101,7
jubilado o pensionista;ambos sexos;1997TIII;6.060,3
jubilado o pensionista;ambos sexos;1997TII;6.038,7
jubilado o pensionista;ambos sexos;1997TI;6.049,1
jubilado o pensionista;ambos sexos;1996TIV;5.997,9
jubilado o pensionista;ambos sexos;1996TIII;5.990,0
jubilado o pensionista;ambos sexos;1996TII;5.935,0
jubilado o pensionista;ambos sexos;1996TI;5.899,0
jubilado o pensionista;varones;2001TIV;3.353,2
jubilado o pensionista;varones;2001TIII;3.342,7
jubilado o pensionista;varones;2001TII;3.312,0
jubilado o pensionista;varones;2001TI;3.298,7
jubilado o pensionista;varones;2000TIV;3.278,4
jubilado o pensionista;varones;2000TIII;3.269,3
jubilado o pensionista;varones;2000TII;3.273,6
jubilado o pensionista;varones;2000TI;3.285,0
jubilado o pensionista;varones;1999TIV;3.267,7
jubilado o pensionista;varones;1999TIII;3.274,5
jubilado o pensionista;varones;1999TII;3.260,1
jubilado o pensionista;varones;1999TI;3.238,9
jubilado o pensionista;varones;1998TIV;3.335,4
jubilado o pensionista;varones;1998TIII;3.304,0
jubilado o pensionista;varones;1998TII;3.302,4
jubilado o pensionista;varones;1998TI;3.283,9
jubilado o pensionista;varones;1997TIV;3.259,2
jubilado o pensionista;varones;1997TIII;3.235,5
jubilado o pensionista;varones;1997TII;3.212,8
jubilado o pensionista;varones;1997TI;3.211,0
jubilado o pensionista;varones;1996TIV;3.171,3
jubilado o pensionista;varones;1996TIII;3.177,9
jubilado o pensionista;varones;1996TII;3.155,5
jubilado o pensionista;varones;1996TI;3.124,9
jubilado o pensionista;mujeres;2001TIV;2.964,3
jubilado o pensionista;mujeres;2001TIII;2.928,1
jubilado o pensionista;mujeres;2001TII;2.949,0
jubilado o pensionista;mujeres;2001TI;2.927,6
jubilado o pensionista;mujeres;2000TIV;2.917,3
jubilado o pensionista;mujeres;2000TIII;2.867,4
jubilado o pensionista;mujeres;2000TII;2.869,8
jubilado o pensionista;mujeres;2000TI;2.888,2
jubilado o pensionista;mujeres;1999TIV;2.909,3
jubilado o pensionista;mujeres;1999TIII;2.872,0
jubilado o pensionista;mujeres;1999TII;2.858,4
jubilado o pensionista;mujeres;1999TI;2.826,5
jubilado o pensionista;mujeres;1998TIV;2.909,8
jubilado o pensionista;mujeres;1998TIII;2.886,1
jubilado o pensionista;mujeres;1998TII;2.846,6
jubilado o pensionista;mujeres;1998TI;2.861,4
jubilado o pensionista;mujeres;1997TIV;2.842,5
jubilado o pensionista;mujeres;1997TIII;2.824,9
jubilado o pensionista;mujeres;1997TII;2.825,8
jubilado o pensionista;mujeres;1997TI;2.838,1
jubilado o pensionista;mujeres;1996TIV;2.826,5
jubilado o pensionista;mujeres;1996TIII;2.812,1
jubilado o pensionista;mujeres;1996TII;2.779,5
jubilado o pensionista;mujeres;1996TI;2.774,1
labores del hogar;ambos sexos;2001TIV;5.398,5
labores del hogar;ambos sexos;2001TIII;5.452,1
labores del hogar;ambos sexos;2001TII;5.396,7
labores del hogar;ambos sexos;2001TI;5.349,6
labores del hogar;ambos sexos;2000TIV;5.177,8
labores del hogar;ambos sexos;2000TIII;5.244,9
labores del hogar;ambos sexos;2000TII;5.212,4
labores del hogar;ambos sexos;2000TI;5.241,6
labores del hogar;ambos sexos;1999TIV;5.254,7
labores del hogar;ambos sexos;1999TIII;5.365,9
labores del hogar;ambos sexos;1999TII;5.331,3
labores del hogar;ambos sexos;1999TI;5.371,4
labores del hogar;ambos sexos;1998TIV;5.471,3
labores del hogar;ambos sexos;1998TIII;5.593,1
labores del hogar;ambos sexos;1998TII;5.466,9
labores del hogar;ambos sexos;1998TI;5.461,4
labores del hogar;ambos sexos;1997TIV;5.473,9
labores del hogar;ambos sexos;1997TIII;5.587,8
labores del hogar;ambos sexos;1997TII;5.434,0
labores del hogar;ambos sexos;1997TI;5.439,9
labores del hogar;ambos sexos;1996TIV;5.501,9
labores del hogar;ambos sexos;1996TIII;5.620,5
labores del hogar;ambos sexos;1996TII;5.491,9
labores del hogar;ambos sexos;1996TI;5.516,3
labores del hogar;varones;2001TIV;77,5
labores del hogar;varones;2001TIII;69,3
labores del hogar;varones;2001TII;64,0
labores del hogar;varones;2001TI;63,9
labores del hogar;varones;2000TIV;52,6
labores del hogar;varones;2000TIII;52,8
labores del hogar;varones;2000TII;50,8
labores del hogar;varones;2000TI;55,1
labores del hogar;varones;1999TIV;53,3
labores del hogar;varones;1999TIII;43,5
labores del hogar;varones;1999TII;44,2
labores del hogar;varones;1999TI;44,7
labores del hogar;varones;1998TIV;46,9
labores del hogar;varones;1998TIII;66,0
labores del hogar;varones;1998TII;44,5
labores del hogar;varones;1998TI;46,5
labores del hogar;varones;1997TIV;50,1
labores del hogar;varones;1997TIII;50,9
labores del hogar;varones;1997TII;39,2
labores del hogar;varones;1997TI;40,7
labores del hogar;varones;1996TIV;49,0
labores del hogar;varones;1996TIII;51,8
labores del hogar;varones;1996TII;41,0
labores del hogar;varones;1996TI;36,2
labores del hogar;mujeres;2001TIV;5.321,1
labores del hogar;mujeres;2001TIII;5.382,8
labores del hogar;mujeres;2001TII;5.332,7
labores del hogar;mujeres;2001TI;5.285,7
labores del hogar;mujeres;2000TIV;5.125,1
labores del hogar;mujeres;2000TIII;5.192,2
labores del hogar;mujeres;2000TII;5.161,6
labores del hogar;mujeres;2000TI;5.186,6
labores del hogar;mujeres;1999TIV;5.201,4
