fecha,tasa_paro_total,ratio_asalariados,share_empleo_publico,tasa_autoempleo,share_labores_hogar,share_estudiantes,brecha_genero_empleo,dummy_2020Q2
1976-07-01,4.40660466995354,,,,,,,0
1976-10-01,4.721304478738997,,,,,,,0
1977-01-01,4.920446278303366,0.4191675732684246,0.21416765320267217,-0.41428689078432157,-0.5364235181732226,0.09097678440606138,,0
1977-04-01,4.762782516744339,0.5921000355822059,-0.005005164624517278,-0.347027366839729,-0.6232222774412932,0.18047821649427576,,0
1977-07-01,5.318263949904957,0.21481290155453792,0.14487630280415864,-0.20289754372375057,-0.45265703679974223,0.28780037743309883,,0
1977-10-01,5.656159939514943,-0.19708127990293178,-0.052234203081033215,0.13534130446775094,-0.158722004009185,-0.37625890930210737,-0.5012418710941802,0
1978-01-01,6.418204584821114,0.3410597959512245,0.13132594618042503,-0.35452083605710527,-0.5536106804636916,0.15870362151039608,-0.827115478610267,0
1978-04-01,6.550980420698847,0.02062256421231723,0.21513639276693652,0.0930717019948446,-0.8332429181924681,0.41892679616356787,-1.0224816283811151,0
1978-07-01,6.997596933205265,-0.044039866875877465,0.696181982755741,0.022560035204431728,-0.6470502937851208,0.5190693167771911,-1.6343766159170627,0
1978-10-01,7.529176279256874,0.015464620220640768,0.1625730389100184,-0.041429870662895496,-0.16061169878970105,-0.29788171471367164,-1.2015212027962647,0
1979-01-01,8.02532439862059,0.08815156891425602,0.2999785759044986,-0.18385073881415082,-0.5625683852696284,0.29193045182420896,-1.2953181266574205,0
1979-04-01,8.051641556248788,0.1622095661146261,-0.16398594856967819,-0.0030593517511476875,-0.6907546670691218,0.23607099137029586,-1.4988344553541708,0
1979-07-01,8.579398497282341,-0.3602017569020006,0.11672216172845573,0.34739602717946383,-0.6354644291256477,0.4537918152762632,-1.457245422992365,0
1979-10-01,9.361159162231258,-0.46504477276825185,0.2309754438262548,0.3432315504277774,0.04391090922621288,-0.5038098783715359,-1.79238949850982,0
1980-01-01,10.443562990412932,0.24217607162410104,0.20916414755056678,-0.27343272068552693,-0.4659933314546336,0.12531407411668383,-1.4178693270559393,0
1980-04-01,10.910943783614185,0.33778393585669164,0.21582632369122656,-0.22769721105863638,-0.6551569342985815,0.2883238902379812,-1.6631930050493509,0
1980-07-01,11.261434325328198,-0.38562251048513474,0.26177334659082874,0.34499013334991346,-0.510586582434378,0.4388738612499381,-1.802232218368708,0
1980-10-01,12.183754395169354,-0.26467689427882135,0.04777728273142934,0.253481571576593,-0.2984886708134695,-0.11743256208558073,-1.4488282443048917,0
1981-01-01,13.09014977373773,0.07079198123290098,0.425478514177108,-0.2998164614312131,-0.40560657463978345,0.25761044689735435,-1.6835997222738897,0
1981-04-01,13.33816746590179,0.0937236166517863,0.1669667202975056,0.15379741112894862,-0.21937522218144778,0.09548275853384425,-1.2472545049201642,0
1981-07-01,13.777221705169843,0.050678191686316154,0.07239857466829847,-0.13821952508861202,-0.3892853202287725,0.376537489244253,-1.1901311067341283,0
1981-10-01,14.628644990253225,-0.19576996101956468,0.17853410043043283,0.11446065066953182,-0.09166059977311392,-0.35384126171166486,-1.3550578788135041,0
1982-01-01,15.120824141421,0.19638889952766192,0.1748727266127741,-0.33666496457811945,-0.3866176484566921,0.17055426187232392,-0.95509028401991,0
1982-04-01,14.92938519806428,0.3019123413807421,0.3284743203529139,-0.18177730807563108,-0.23700628763604215,0.10387829274876381,-1.0060270570867758,0
1982-07-01,15.49652447918827,-0.19529051664052588,0.19001882191329145,0.2034833644416345,-0.6194750301598972,0.31455121191706503,-0.9167153403873627,0
