fecha,tasa_paro_total,IPC_2025,inflacion_yoy,inflacion_qoq,IPRI_total_industria_2025,IPRI_bienes_intermedios_2025,IPRI_bienes_consumo_2025,ipri_yoy,dummy_2020Q2
1976-07-01,4.40660466995354,,,,,,,,0
1976-10-01,4.721304478738997,0.3707574891040686,2.2775492427140023,0.37230619203239,0.25504273958409485,0.20471727082632185,0.48816468852678874,0.9599399725665503,0
1977-01-01,4.920446278303366,0.5495625193102871,2.8596625102099793,0.9193928783440903,0.5472792120241987,0.47084972290055305,0.7376114799168505,1.5383771132703732,0
1977-04-01,4.762782516744339,0.49171383306709693,-1.6334789279223614,-0.5708391501771122,0.7438746571202763,1.0440580812142635,0.6759203379601679,0.8163824744565247,0
1977-07-01,5.318263949904957,0.7862162357596905,6.326862544923014,0.8458909605116192,0.6562037153882461,0.5936800853963486,0.7617514919868569,3.2754677178661034,0
1977-10-01,5.656159939514943,0.44964206125387207,-0.24666578929897298,-1.6065445263206966,0.6163532873282271,0.7983973562226758,0.7805270569301967,2.902221829464523,0
1978-01-01,6.418204584821114,0.3786459463190486,-3.5522715400787988,0.2535733710620436,0.3639672429481351,0.4065100092122762,0.5283980419767946,-2.800296680846344,0
1978-04-01,6.550980420698847,0.48119589011379205,-1.327726915647169,0.06655055605971527,0.5074287839641869,0.7925482913419231,0.5257158184134685,-3.367170690996357,0
1978-07-01,6.997596933205265,0.5390445763569769,-4.100466645385087,0.20892081247520333,0.37990741417214124,0.6141518124789798,0.31918460403674764,-3.1089905350072495,0
1978-10-01,7.529176279256874,0.3418331459824753,-1.7836166879480224,-0.6587282632103177,0.3453703765201297,0.3889628145700179,0.3808757459934249,-2.7909037041882208,0
1979-01-01,8.02532439862059,0.4549010327305236,0.1357028284047601,0.24178234733305293,0.5818162496762138,0.8393408103879416,0.7161536914101809,1.2812358396109342,0
1979-04-01,8.051641556248788,0.4627894899455036,-0.8434995310122755,0.03965872108847934,0.47289174631217534,0.655095266644242,0.6330047609468252,-0.7251066923537568,0
1979-07-01,8.579398497282341,0.5732278909552235,-0.4076308827693893,0.2820496978902891,0.8182621228323015,0.6960387208095078,0.50425802990679,2.698406716458381,0
1979-10-01,9.361159162231258,0.4496420612538756,0.44868706126441715,-0.4629947008198816,0.5260256503921958,0.7983973562226794,0.7000603500301743,0.8687609992574998,0
1980-01-01,10.443562990412932,0.6678893775349888,1.1020824323496683,0.37964489613340935,1.0733048624163963,1.137643119306297,1.1614028029236287,2.5749556227792,0
1980-04-01,10.910943783614185,0.39442286074900323,-1.0910606083282435,-0.3309384217612916,0.5260256503921958,0.7779256291400429,0.19043787299671777,-0.20787408970291565,0
1980-07-01,11.261434325328198,0.5968932626001724,-0.47142276532506955,0.16374986764814037,0.6535470201842415,0.5732083583137175,0.3352779454167454,-1.9073433733430498,0
1980-10-01,12.183754395169354,0.4943433188054236,-0.16406565230062675,-0.15433268244042786,0.5074287839641869,0.7983973562226652,0.635686984510162,-0.6279665092677504,0
