fecha,tasa_paro_total,crecimiento_pib_qoq,crecimiento_pib_yoy,brecha_output_hp,okun_residuo,peso_construccion_pib,peso_servicios_pib,fbcf,consumo_privado_nacional,consumo_publico,exportacion_bienes_servicios,importacion_bienes_servicios,tasa_inversion,apertura_comercial,saldo_comercial_pct_pib,consumo_publico_pct_pib,vab_industria,vab_construccion,vab_agricultura,dummy_2020Q2
1976-07-01,4.40660466995354,,,,,,,,,,,,,,,,,,,0
1976-10-01,4.721304478738997,,,-1758.5469597537594,,,,,,,,,24.76881720430108,,,,,,13115.379565195211,0
1977-01-01,4.920446278303366,0.7678933642422114,,-968.7577202514512,,-0.09168383388763601,0.1690948157983172,-16.434389921174443,258.6005826777691,250.85799402362318,,-299.84562318753524,24.56894372250594,-0.11804690035835819,0.5693582368135859,0.08262666364371007,292.3533252343623,-32.97531772939328,13086.887037746752,0
1977-04-01,4.762782516744339,0.7922358015816533,,-133.26425721577834,,-0.04638944849123661,0.21302055478493997,93.84424830119679,-82.92914714117069,40.57632156957334,,-1141.2484171522374,24.438855407393344,-0.7203688372542238,1.097465895784362,-0.06332458571593591,52.32909604731685,36.38122886241217,13121.252137654728,0
1977-07-01,5.318263949904957,0.4536311892840095,,210.1283067954064,,-0.06367066037595492,0.1988322265769824,-454.1825962018702,518.7480164738081,78.0830731777678,,-772.7190419876242,24.02484250033511,-0.4632443110173874,0.7254638728290774,0.0004516206058777783,-9.472043322195532,-34.68681246691267,13152.278347229669,0
1977-10-01,5.656159939514943,0.33229668129342027,2.365980875108664,379.6918569323898,,-0.06769221270537962,0.2726314289264806,-431.1110322814129,865.1931216348312,58.81768656411441,1508.474081765722,-358.18981037442063,23.65800135043889,-0.1527979788580005,0.434657152959129,0.0012361876955022666,-202.31237438769313,-57.348664046839986,13217.324305830574,0
1978-01-01,6.418204584821114,0.6680537273717757,2.2645578720345227,1061.0282710706233,-0.013677543187168961,-0.09694446006515633,0.2262736962310825,3.162925174146949,175.7024091546482,293.0843341204818,1616.4682988040913,-330.342764758243,23.503095666067505,-0.02817093712287999,0.625854470520468,0.11793819510213943,120.30329860625352,-57.90454536185098,13342.246417092929,0
1978-04-01,6.550980420698847,0.6242530755711906,2.094121339210564,1690.5584325349482,0.5009383063141211,-0.11102593363904845,0.2784871565910976,-117.51672627228254,-775.8020108752389,367.9275569556521,1886.1677809212488,-1021.8871842799672,23.27998179473564,-0.3931300896941998,1.149833853934992,0.17019273979790306,46.88029229647509,-86.39234902437602,13503.08878295936,0
1978-07-01,6.997596933205265,0.2026016850871004,1.838992317414334,1693.4198125320254,0.19768394189566374,-0.06448906378865438,0.3711686497296469,-590.1955325712333,-276.5291872584785,202.35336625732816,1886.828114502503,-943.1046998755919,22.845451911935115,-0.4883895458519376,0.8114763054687255,0.1090861712330291,-238.61454974200024,-71.66941942432459,13419.947377268762,0
1978-10-01,7.529176279256874,-0.1227096522296911,1.3771531286710825,1209.4994440754235,-0.276772892882712,-0.030435229813107867,0.42096945146676035,-721.2453412647446,-91.81126195256365,108.89647033371875,1307.34530255328,-893.762864367116,22.399445214979195,-0.7457496146879947,0.3933689971280434,0.086147771779574,-420.62179421614564,-62.303942495040246,13124.759360309805,0
