fecha,tasa_paro_total,ed_activo_total,credito_privado_share,crecimiento_credito_yoy,ed_pasivo_depositos_total,crecimiento_depositos_yoy,ed_pasivo_sector_privado_share,dummy_2020Q2
1976-07-01,4.40660466995354,,,,,,,0
1976-10-01,4.721304478738997,,,,,,,0
1977-01-01,4.920446278303366,,-0.2508069545939833,-1.2510291790942096,26408.62454743759,-0.7859825407177778,-0.835144246086557,0
1977-04-01,4.762782516744339,,1.1135095235936774,-1.4456439739835236,-24631.34928709909,-3.391025378657586,-0.8709830436206119,0
1977-07-01,5.318263949904957,,-0.44014038935087285,1.1806236709735352,484.38767143170116,1.1407639375985434,-0.7877138129422576,0
1977-10-01,5.656159939514943,-2.514811375034709,-0.3759086576401245,-4.593059664013444,-18924.031026520825,-5.5026017326670225,0.029694147290925343,0
1978-01-01,6.418204584821114,-3.700251708132718,-0.1576240520535208,-1.0546407465529368,18069.038838065695,-1.415160998565335,0.27715076065462085,0
1978-04-01,6.550980420698847,-0.48128877820239335,-0.6313800740205835,0.7209560894805067,-8320.636562941712,3.0129561637663786,-0.6883983989552718,0
1978-07-01,6.997596933205265,-2.129071032980856,0.6363928249148643,-0.0967630791645635,-1378.106170935731,-0.36856185622431425,1.31966362600636,0
1978-10-01,7.529176279256874,-1.2478498816345551,-0.2542999330014766,1.0453669456850774,-8960.713860368822,1.9759230208094891,1.0624574859999854,0
1979-01-01,8.02532439862059,-0.7905077379612657,-0.653785503226274,-0.2658572639896657,14385.839657557663,-0.7290059741959509,1.149912844455244,0
1979-04-01,8.051641556248788,0.3220235880551092,-0.8551783227437681,0.7544684401299628,-4575.92910166271,0.7438668066306665,-0.482451890703544,0
1979-07-01,8.579398497282341,2.6339368920031747,-1.0427848326337283,-0.22825560440593584,7732.731630425726,1.8495625562746976,0.06673654209403423,0
1979-10-01,9.361159162231258,5.075365608550619,-0.5423428761546774,1.8815025038214528,-1673.1485685831285,1.5393747239680122,-0.7845810977886032,0
1980-01-01,10.443562990412932,6.577635326463427,-1.6337344812784735,-0.15890052723510628,25305.502190006024,2.0981546220472103,-0.10906914433715542,0
1980-04-01,10.910943783614185,5.25888376650312,0.636124298813634,1.0331186854603214,-10875.231589907897,-1.2269079874546618,-0.11994393076165011,0
1980-07-01,11.261434325328198,5.128272767561226,-0.3279109658369137,0.9545698944197323,7550.466574583377,-0.10046225268034448,-0.8052084215377562,0
1980-10-01,12.183754395169354,7.321171917268465,-1.1603196163001073,1.0863869036221048,7896.243041865586,1.9296657596763689,-0.8217341098485065,0
1981-01-01,13.09014977373773,20.829133783341412,-8.219875504919571,0.33567884927268077,19222.46904148429,-1.4477736338834868,-0.47930590835169085,0
1981-04-01,13.33816746590179,21.55453848570472,-0.9831413875790105,-2.276151762510281,-11733.136318914476,-0.07098614647687018,-1.2625250037307723,0
1981-07-01,13.777221705169843,23.49815128452366,-0.256250050005292,1.6523481949800582,18561.519078566693,2.047171908793799,-0.7942492619835377,0
1981-10-01,14.628644990253225,21.378613173893758,-0.6025048738873764,-1.0598748737151056,-3209.722026660107,-2.195364242272624,0.5412607285560256,0
1982-01-01,15.120824141421,6.891638292464952,-0.621012544756411,0.17674215766154666,22639.76395136665,0.47177251057854974,-0.512452012999276,0
1982-04-01,14.92938519806428,10.574397538486213,-2.287204037505745,0.7244408391326784,11276.727584206033,4.391207938884745,-2.8825138333961604,0
1982-07-01,15.49652447918827,8.094900764532076,-0.17055260251882487,-2.1671323955888333,6477.634490086697,-2.482667880589373,-0.2566145525919268,0
