fecha,tasa_paro_total,ipi_constantes_2025_total_industria,ipi_constantes_2025_bienes_equipo,ipi_constantes_2025_bienes_intermedios,dummy_2020Q2
1976-07-01,4.40660466995354,,,,0
1976-10-01,4.721304478738997,,,,0
1977-01-01,4.920446278303366,,,,0
1977-04-01,4.762782516744339,,,,0
1977-07-01,5.318263949904957,,,,0
1977-10-01,5.656159939514943,0.7828085272834073,-21.725879443322683,17.403771161168958,0
1978-01-01,6.418204584821114,2.6151167827275,7.7406474921902335,0.9355370640435234,0
1978-04-01,6.550980420698847,0.46028580923893614,5.293265344314979,-0.30605617415762065,0
1978-07-01,6.997596933205265,2.2959691053137554,-1.3258674022840533,5.428097192125025,0
1978-10-01,7.529176279256874,2.807089039932853,27.28703432401658,-4.919794454973514,0
1979-01-01,8.02532439862059,3.698712979385732,0.6067119028061008,8.029217759184881,0
1979-04-01,8.051641556248788,1.068941561771175,-3.509633443578164,2.329886856832153,0
1979-07-01,8.579398497282341,0.947435362548954,2.423375039162945,1.7733520508346423,0
1979-10-01,9.361159162231258,1.6851732127773245,-11.732263844227974,5.510346669954602,0
1980-01-01,10.443562990412932,-0.2414910605254228,2.0990349286122756,-1.2006433735150535,0
1980-04-01,10.910943783614185,3.9294145565088145,-1.2041374779007241,9.286901877441856,0
1980-07-01,11.261434325328198,-0.1974191063174202,-10.447523462175434,1.8550348490447233,0
1980-10-01,12.183754395169354,-0.7429992853098644,-5.427923870874086,-4.076385980971676,0
1981-01-01,13.09014977373773,1.4979657013720615,-4.655128656903407,0.5206881754679316,0
1981-04-01,13.33816746590179,-2.5687257152080423,-2.8856725483412227,-7.182162989040464,0
1981-07-01,13.777221705169843,0.14835721522650225,-12.503132806752326,1.6006075052207525,0
1981-10-01,14.628644990253225,0.46101263810505166,-19.27887922947027,3.5196897556419415,0
1982-01-01,15.120824141421,-1.6660417399505856,-17.868598489853472,1.2089391965637297,0
1982-04-01,14.92938519806428,-1.293375139398445,-23.462979493198365,6.85200570737079,0
1982-07-01,15.49652447918827,-1.1863039105875828,-13.871467742196286,-1.3042449206698614,0
1982-10-01,16.14727859900482,-0.22991394516506114,5.332760448399876,-4.490536432283987,0
1983-01-01,16.784994299122012,-1.6938758662982334,-7.18177812078129,0.3978762539624592,0
1983-04-01,16.374337153283257,3.2256611991436923,-1.1378300030255972,-0.11029271941277452,0
1983-07-01,16.644457391201296,3.7519602824431786,-2.4642419398529736,4.953552556292307,0
1983-10-01,17.392661057873767,0.6899318464889781,-7.35643713325641,2.955098520397148,0
1984-01-01,18.942805401538603,2.757139772391004,-6.826865349205824,4.986443526242401,0
1984-04-01,18.985021128780183,2.392424188348352,-9.580409154043545,7.249282940325408,0
1984-07-01,19.251198173716748,-1.3983467320350829,-10.39143167475559,1.049057571894707,0
1984-10-01,20.30256521466569,1.8823431303510052,-7.612881338804645,2.1527092122191505,0
1985-01-01,20.680475752643748,0.8148716012966517,-0.7330579760158829,-0.00041254295601866886,0
1985-04-01,20.6791208389996,-0.4767548140230282,-4.866999349099588,-2.5284200727364814,0
1985-07-01,20.44430614344776,0.8312086480647629,-0.9531261986958417,0.5188849527330897,0
1985-10-01,20.58154141741648,2.5196556788882774,1.7184332139271508,4.597886309828891,0
1986-01-01,20.718555557261915,5.132649083055729,-1.2300614080115402,3.2921063705146247,0
1986-04-01,20.09247786770194,0.6230226521852567,-0.4722503504626663,2.805655826602127,0
1986-07-01,19.659331077899218,7.371551231808393,7.25720251944888,6.814477459380308,0
1986-10-01,19.681370139262267,2.621400564199927,2.137579304729864,1.282003416186761,0
