fecha,tasa_paro,pib_pm,credito_privado
1976-07-01,4.40660466995354,146602.19946672532,335301.03990453226
1976-10-01,4.721304478738997,147727.94802826343,350458.85535226227
1977-01-01,4.920446278303366,148898.30172148527,338137.44761531847
1977-04-01,4.762782516744339,149573.75085840814,340949.5459106852
1977-07-01,5.318263949904957,150070.7794685967,327091.27782654605
1977-10-01,5.656159939514943,151073.33290453255,338181.8760667032
1978-01-01,6.418204584821114,152016.412831557,328729.9240216245
1978-04-01,6.550980420698847,152324.4006455627,331133.8719741728
1978-07-01,6.997596933205265,152137.48390326957,321093.87681894336
1978-10-01,7.529176279256874,151912.33419096196,331082.0416717868
1979-01-01,8.02532439862059,151670.19204753675,324308.6886701999
1979-04-01,8.051641556248788,151905.96202929286,325924.4732337814
1979-07-01,8.579398497282341,152271.29929832034,322083.8166345079
1979-10-01,9.361159162231258,152806.5608785234,331576.68411977746
1980-01-01,10.443562990412932,153475.6378537772,328143.70526978135
1980-04-01,10.910943783614185,154435.71021191924,332889.773716465
1980-07-01,11.261434325328198,154641.7434392196,332466.11521803593
1980-10-01,12.183754395169354,154002.4032184215,343378.0159256121
1981-01-01,13.09014977373773,152691.86196847985,332353.8032681224
1981-04-01,13.33816746590179,153350.31867428523,342661.2621464982
1981-07-01,13.777221705169843,154669.3561397856,338701.44295875955
1981-10-01,14.628644990253225,154771.31072649095,350424.8876414164
1982-01-01,15.120824141421,154866.89315152724,341582.1405875595
1982-04-01,14.92938519806428,155725.01092296385,344749.879402921
1982-07-01,15.49652447918827,157044.04838846426,346931.491329095
1982-10-01,16.14727859900482,157460.36295084437,354471.507557852
1983-01-01,16.784994299122012,158099.70317164253,348401.84142011934
1983-04-01,16.374337153283257,159344.39875100355,349717.1800725309
1983-07-01,16.644457391201296,160580.59811480585,347351.6824952325
1983-10-01,17.392661057873767,160962.92781495088,348827.16983083973
1984-01-01,18.942805401538603,160928.94295271576,332246.2465266906
1984-04-01,18.985021128780183,161621.38452075626,332010.79739281314
1984-07-01,19.251198173716748,162547.4720166631,313983.9167280715
1984-10-01,20.30256521466569,163256.90601582115,319834.70174461487
1985-01-01,20.680475752643748,164399.64700847684,306127.12945813086
1985-04-01,20.6791208389996,165720.80852786693,313902.3424045198
1985-07-01,20.44430614344776,167216.14246621195,309133.3788591149
1985-10-01,20.58154141741648,167955.31321982568,318945.02786190686
1986-01-01,20.718555557261915,169044.8891436224,304591.66618705605
1986-04-01,20.09247786770194,170597.63625860587,313637.68426368
1986-07-01,19.659331077899218,172443.4390887505,308627.05038038513
1986-10-01,19.681370139262267,174493.0448896114,321245.466266566
1987-01-01,20.00485741212933,177171.05203373835,315729.0563148056
1987-04-01,19.218399762408463,180077.3524899298,328710.9706781034
1987-07-01,18.91651383405901,182904.36201441893,331186.4551960082
1987-10-01,18.69997253063878,185158.85405347968,349855.80189900025
1988-01-01,18.90106774746992,187216.000245649,345957.51252956863
1988-04-01,18.52193275606496,189720.04737621004,359029.4328940417
1988-07-01,17.92768669964438,191828.7018752044,361009.61856054864
1988-10-01,17.223199122377135,193983.5757868385,382457.9889070893
1989-01-01,17.124754243759966,196367.80503748188,382235.9026262288
1989-04-01,16.149795645549244,198724.7614361816,407690.392555488
1989-07-01,15.460959567413358,200880.7398558384,410430.35235613695
1989-10-01,15.739003655367242,202913.2895039649,426903.62053183554
1990-01-01,15.581655660822207,204807.5632438725,419189.9470712944
1990-04-01,15.076603119762757,206503.04678024337,435402.18211749743
1990-07-01,14.687220952688474,208208.83197797937,431712.75243396615
1990-10-01,14.89662443075278,209250.21311901888,443593.1301006195
1991-01-01,14.893487410109213,210042.1028901748,450982.5083283376
1991-04-01,14.653109869415564,211287.3719640861,461711.3111518783
1991-07-01,15.059162190126235,212763.2283282627,461647.4740117434
1991-10-01,15.585073031997291,213472.2375166428,492132.7045697442
1992-01-01,16.005741870609487,213899.53343763264,477207.30352938734
1992-04-01,16.276440578037754,214011.44983708064,489820.86984236224
1992-07-01,16.779736121514965,213353.460423131,491917.6837269362
1992-10-01,18.407604614482707,212126.09712350983,505285.00968847744
1993-01-01,19.935594328686605,211081.93347187483,494936.8522522179
1993-04-01,20.376650918047368,210437.79288928604,494519.8392993323
1993-07-01,21.02332341965288,210409.7978590199,491496.638952622
1993-10-01,21.879214340393894,211532.9763153515,495431.8400345211
1994-01-01,22.517374906351733,213210.7240017436,490321.73370597424
1994-04-01,22.17058262057446,214855.69753661755,515315.6015041114
1994-07-01,21.748825181227943,216379.2389106177,512222.3988094056
1994-10-01,21.80160466355874,218005.32960641244,521500.1526818145
1995-01-01,21.367218543757417,219647.0533388352,513709.77752215
1995-04-01,20.580429046966405,233688.2976375897,523972.1733807299
1995-07-01,20.51172455315163,225967.7435749343,525713.1516717164
1995-10-01,20.597456499645645,242691.12287519145,534968.5536101448
1996-01-01,20.61841981500606,224871.9164012361,529879.0681492538
1996-04-01,19.96068289336109,238652.0709285901,541175.7803666539
1996-07-01,19.537076639740764,233029.0970920432,542839.9163432139
1996-10-01,19.378132327929897,249481.5020211992,560721.8474979793
1997-01-01,19.082693263481712,230670.42709453416,575992.4293374525
1997-04-01,18.51370897129391,246543.73082054465,592960.9134916492
1997-07-01,18.09919803974216,241567.34614371933,606776.6892190691
1997-10-01,17.862506795017826,261190.6624871565,630553.9242092988
1998-01-01,17.186884124741443,242081.68617641312,651352.5612283697
1998-04-01,16.49615323010078,257259.6594407301,680064.4531949941
1998-07-01,16.134076309935455,252178.29349811983,696924.9567154725
1998-10-01,15.782080508469882,270610.00430524326,729143.704298946
1999-01-01,14.64653992068178,252592.7649890116,736631.8872785005
1999-04-01,13.385196834676789,268729.8852725468,784173.0972286724
1999-07-01,13.190383695837308,263964.8265203539,791851.7459272799
1999-10-01,13.157624845342117,281906.7383699022,813771.7162348875
2000-01-01,12.75883658645816,267742.44784728915,835148.4465770734
2000-04-01,11.790626584315286,283389.0874767181,872243.9302178349
2000-07-01,11.60959265249797,276775.267732258,886027.76741266
2000-10-01,11.478550097478172,294788.07602103776,919938.2322712898
2001-01-01,10.943533902110463,279388.55138412234,919275.02674207
2001-04-01,10.352538365453247,294045.36765043484,952275.5255330856
2001-07-01,10.29936361834717,287367.1275837885,964612.7982014448
2001-10-01,10.634808704636022,305893.59420873097,996606.8744891332
2002-01-01,11.552393064700489,286629.5319371686,1015360.8025860738
2002-04-01,11.146145774819557,303227.13822744304,1038644.645508736
2002-07-01,11.488179625744822,294745.4699878458,1066449.742514238
2002-10-01,11.612386406787245,314240.6273834415,1083005.8425891383
2003-01-01,11.98947541861471,297222.75518176134,1111191.279400738
2003-04-01,11.283555338302984,310963.03046204743,1158783.4290469366
2003-07-01,11.297660039711465,303092.50316255627,1184134.5885809693
2003-10-01,11.373718602002276,322802.0541171741,1214480.5739488872
2004-01-01,11.502988047808763,304970.5771056596,1261987.8922345713
2004-04-01,11.090222781437346,321050.7757288503,1305452.1549265934
2004-07-01,10.73654515371738,313541.8884390927,1345243.3411375706
2004-10-01,10.532860453751509,332953.53800963215,1390246.9821295678
2005-01-01,10.170491048740498,314613.8562342034,1454118.7574934058
2005-04-01,9.319110067819231,333213.60523623606,1567661.759434495
2005-07-01,8.410514203795225,324750.6836512433,1627053.908887698
2005-10-01,8.705397880156298,345127.2746615151,1708294.655317189
2006-01-01,9.027377655521066,329422.69082694495,1796624.4712246666
2006-04-01,8.443339777225445,345732.9620293725,1881243.0461685515
2006-07-01,8.083576189844404,336832.39127143146,1989973.7003427795
2006-10-01,8.264440285626033,358997.75397923606,2095343.4434443624
2007-01-01,8.41907395608815,340968.9258219761,2178660.758863909
2007-04-01,7.932325613645819,357954.4174384305,2262336.685401699
2007-07-01,8.006347630277132,348623.3553211176,2342403.9734109608
2007-10-01,8.570205517235292,371882.84096129256,2353584.260848376
2008-01-01,9.603033690624931,348459.06645712926,2389182.654823707
2008-04-01,10.35792745934024,364537.90168725786,2390906.607452034
2008-07-01,11.23068087109353,351781.3145013084,2426236.4891303903
2008-10-01,13.785513775626452,365541.6998292613,2461720.2818973386
2009-01-01,17.243569387107016,332229.9171418992,2482053.771733436
2009-04-01,17.771252436270597,347970.29004435067,2453414.81076456
2009-07-01,17.74950688636422,339364.5530360983,2454769.7076147725
2009-10-01,18.6649099692578,356858.5902647323,2417157.8825801224
2010-01-01,19.84349350682836,332288.2021953059,2416434.339539919
2010-04-01,19.889004716658697,348748.7874828347,2408787.289252577
2010-07-01,19.592042521918955,339845.14909050404,2397651.580842484
2010-10-01,20.11455655320805,356836.7759757379,2354732.779757191
2011-01-01,21.07815002955361,333278.7072549535,2326466.4927962115
2011-04-01,20.643308247607195,347409.594647544,2295642.613794125
2011-07-01,21.283934845097413,338310.650199061,2260372.824586952
2011-10-01,22.55645192254365,349903.9222547362,2213284.0739534763
2012-01-01,24.187684035334783,326376.18902958435,2195249.816791058
2012-04-01,24.398135337065497,336433.9396490199,2145765.4106978783
2012-07-01,24.79237524423312,328758.7184056809,2065568.7783570327
2012-10-01,25.774387424872856,338113.2990533157,1929109.0671744435
2013-01-01,26.9353537780371,316698.82507448696,1888259.5993597568
2013-04-01,26.057075392431027,332058.47046433465,1833219.0481141696
2013-07-01,25.647509644678813,325633.139810716,1798047.3993297715
2013-10-01,25.72775976559113,336312.2568182237,1742266.4069711033
2014-01-01,25.92783572730173,319218.37545332895,1756891.087579888
2014-04-01,24.47303478862634,335058.27604931674,1716927.930979076
2014-07-01,23.66898223856059,331611.61838821706,1685976.2020068695
2014-10-01,23.70151301961193,344743.4795145215,1679512.8104988032
2015-01-01,23.776168807916363,330398.5394111745,1688504.7766312207
2015-04-01,22.371879820121222,349101.22458939906,1638957.1877009342
2015-07-01,21.182995261905283,346061.88060561474,1641896.3690571266
2015-10-01,20.8951765564819,359105.1211828799,1611494.1396794657
2016-01-01,20.99557425178564,342327.54700840253,1597686.4719237888
2016-04-01,19.99807656159156,360209.4695632165,1575000.1301450217
