Situación de inactividad;Sexo;Periodo;Total
total;varones;1978TI;2.610,2
total;varones;1977TIV;2.553,6
total;varones;1977TIII;2.507,4
total;varones;1977TII;2.516,8
total;varones;1977TI;2.481,6
total;varones;1976TIV;2.434,9
total;varones;1976TIII;2.390,6
total;mujeres;1995TIV;10.226,3
total;mujeres;1995TIII;10.208,5
total;mujeres;1995TII;10.238,6
total;mujeres;1995TI;10.219,3
total;mujeres;1994TIV;10.209,9
total;mujeres;1994TIII;10.213,3
total;mujeres;1994TII;10.216,3
total;mujeres;1994TI;10.253,7
total;mujeres;1993TIV;10.233,3
total;mujeres;1993TIII;10.265,8
total;mujeres;1993TII;10.320,6
total;mujeres;1993TI;10.335,5
total;mujeres;1992TIV;10.299,4
total;mujeres;1992TIII;10.319,1
total;mujeres;1992TII;10.310,3
total;mujeres;1992TI;10.299,1
total;mujeres;1991TIV;10.310,6
total;mujeres;1991TIII;10.294,5
total;mujeres;1991TII;10.356,2
total;mujeres;1991TI;10.321,6
total;mujeres;1990TIV;10.291,7
total;mujeres;1990TIII;10.319,0
total;mujeres;1990TII;10.325,3
total;mujeres;1990TI;10.325,3
total;mujeres;1989TIV;10.338,9
total;mujeres;1989TIII;10.322,6
total;mujeres;1989TII;10.324,3
total;mujeres;1989TI;10.298,8
total;mujeres;1988TIV;10.295,0
total;mujeres;1988TIII;10.192,7
total;mujeres;1988TII;10.223,2
total;mujeres;1988TI;10.134,3
total;mujeres;1987TIV;10.150,1
total;mujeres;1987TIII;10.172,9
total;mujeres;1987TII;10.296,9
total;mujeres;1987TI;10.528,6
total;mujeres;1986TIV;10.561,6
total;mujeres;1986TIII;10.590,4
total;mujeres;1986TII;10.602,5
total;mujeres;1986TI;10.567,4
total;mujeres;1985TIV;10.537,9
total;mujeres;1985TIII;10.555,6
total;mujeres;1985TII;10.539,1
total;mujeres;1985TI;10.458,1
total;mujeres;1984TIV;10.430,0
total;mujeres;1984TIII;10.425,5
total;mujeres;1984TII;10.422,7
total;mujeres;1984TI;10.329,9
total;mujeres;1983TIV;10.270,1
total;mujeres;1983TIII;10.265,2
total;mujeres;1983TII;10.298,5
total;mujeres;1983TI;10.265,5
