Situación de inactividad;Sexo;Periodo;Total
jubilado o pensionista;mujeres;1992TIII;2.643,7
jubilado o pensionista;mujeres;1992TII;2.620,1
jubilado o pensionista;mujeres;1992TI;2.607,6
jubilado o pensionista;mujeres;1991TIV;2.583,1
jubilado o pensionista;mujeres;1991TIII;2.562,6
jubilado o pensionista;mujeres;1991TII;2.547,2
jubilado o pensionista;mujeres;1991TI;2.536,8
jubilado o pensionista;mujeres;1990TIV;2.561,1
jubilado o pensionista;mujeres;1990TIII;2.533,2
jubilado o pensionista;mujeres;1990TII;2.514,2
jubilado o pensionista;mujeres;1990TI;2.488,6
jubilado o pensionista;mujeres;1989TIV;2.481,2
jubilado o pensionista;mujeres;1989TIII;2.462,2
jubilado o pensionista;mujeres;1989TII;2.407,8
jubilado o pensionista;mujeres;1989TI;2.414,3
jubilado o pensionista;mujeres;1988TIV;2.392,4
jubilado o pensionista;mujeres;1988TIII;2.392,1
jubilado o pensionista;mujeres;1988TII;2.334,6
jubilado o pensionista;mujeres;1988TI;2.337,9
jubilado o pensionista;mujeres;1987TIV;2.344,3
jubilado o pensionista;mujeres;1987TIII;2.309,8
jubilado o pensionista;mujeres;1987TII;2.277,7
jubilado o pensionista;mujeres;1987TI;2.147,4
jubilado o pensionista;mujeres;1986TIV;2.108,9
jubilado o pensionista;mujeres;1986TIII;2.086,2
jubilado o pensionista;mujeres;1986TII;2.054,7
jubilado o pensionista;mujeres;1986TI;2.038,4
jubilado o pensionista;mujeres;1985TIV;2.002,2
jubilado o pensionista;mujeres;1985TIII;1.984,8
jubilado o pensionista;mujeres;1985TII;1.935,9
jubilado o pensionista;mujeres;1985TI;1.910,3
jubilado o pensionista;mujeres;1984TIV;1.852,7
jubilado o pensionista;mujeres;1984TIII;1.805,3
jubilado o pensionista;mujeres;1984TII;1.774,9
jubilado o pensionista;mujeres;1984TI;1.743,1
jubilado o pensionista;mujeres;1983TIV;1.715,4
jubilado o pensionista;mujeres;1983TIII;1.709,3
jubilado o pensionista;mujeres;1983TII;1.686,8
jubilado o pensionista;mujeres;1983TI;1.670,9
jubilado o pensionista;mujeres;1982TIV;1.653,1
jubilado o pensionista;mujeres;1982TIII;1.625,6
jubilado o pensionista;mujeres;1982TII;1.609,3
jubilado o pensionista;mujeres;1982TI;1.582,7
jubilado o pensionista;mujeres;1981TIV;1.557,0
jubilado o pensionista;mujeres;1981TIII;1.535,7
jubilado o pensionista;mujeres;1981TII;1.504,0
jubilado o pensionista;mujeres;1981TI;1.477,4
jubilado o pensionista;mujeres;1980TIV;1.444,8
jubilado o pensionista;mujeres;1980TIII;1.419,9
jubilado o pensionista;mujeres;1980TII;1.383,6
jubilado o pensionista;mujeres;1980TI;1.359,7
jubilado o pensionista;mujeres;1979TIV;1.326,8
jubilado o pensionista;mujeres;1979TIII;1.280,3
jubilado o pensionista;mujeres;1979TII;1.262,1
jubilado o pensionista;mujeres;1979TI;1.217,7
jubilado o pensionista;mujeres;1978TIV;1.172,3
jubilado o pensionista;mujeres;1978TIII;1.150,4
jubilado o pensionista;mujeres;1978TII;1.113,6
jubilado o pensionista;mujeres;1978TI;1.088,4
jubilado o pensionista;mujeres;1977TIV;1.027,6
jubilado o pensionista;mujeres;1977TIII;994,0
jubilado o pensionista;mujeres;1977TII;959,3
jubilado o pensionista;mujeres;1977TI;913,5
jubilado o pensionista;mujeres;1976TIV;878,6
jubilado o pensionista;mujeres;1976TIII;848,8
labores del hogar;ambos sexos;1995TIV;5.543,5
labores del hogar;ambos sexos;1995TIII;5.658,7
labores del hogar;ambos sexos;1995TII;5.556,8
labores del hogar;ambos sexos;1995TI;5.582,8
labores del hogar;ambos sexos;1994TIV;5.613,1
labores del hogar;ambos sexos;1994TIII;5.737,1
labores del hogar;ambos sexos;1994TII;5.627,3
labores del hogar;ambos sexos;1994TI;5.722,6
labores del hogar;ambos sexos;1993TIV;5.761,4
labores del hogar;ambos sexos;1993TIII;5.872,6
labores del hogar;ambos sexos;1993TII;5.799,8
labores del hogar;ambos sexos;1993TI;5.873,8
labores del hogar;ambos sexos;1992TIV;5.891,4
labores del hogar;ambos sexos;1992TIII;6.003,4
labores del hogar;ambos sexos;1992TII;5.912,4
labores del hogar;ambos sexos;1992TI;5.963,3
labores del hogar;ambos sexos;1991TIV;6.074,9
labores del hogar;ambos sexos;1991TIII;6.158,7
labores del hogar;ambos sexos;1991TII;6.146,6
labores del hogar;ambos sexos;1991TI;6.149,6
labores del hogar;ambos sexos;1990TIV;6.148,1
labores del hogar;ambos sexos;1990TIII;6.289,6
labores del hogar;ambos sexos;1990TII;6.229,2
labores del hogar;ambos sexos;1990TI;6.263,4
labores del hogar;ambos sexos;1989TIV;6.331,5
labores del hogar;ambos sexos;1989TIII;6.432,4
labores del hogar;ambos sexos;1989TII;6.422,3
labores del hogar;ambos sexos;1989TI;6.450,6
labores del hogar;ambos sexos;1988TIV;6.494,9
labores del hogar;ambos sexos;1988TIII;6.470,9
labores del hogar;ambos sexos;1988TII;6.472,8
labores del hogar;ambos sexos;1988TI;6.433,1
labores del hogar;ambos sexos;1987TIV;6.486,2
labores del hogar;ambos sexos;1987TIII;6.601,8
labores del hogar;ambos sexos;1987TII;6.571,7
labores del hogar;ambos sexos;1987TI;7.069,0
labores del hogar;ambos sexos;1986TIV;7.145,5
labores del hogar;ambos sexos;1986TIII;7.199,0
labores del hogar;ambos sexos;1986TII;7.236,8
labores del hogar;ambos sexos;1986TI;7.227,6
labores del hogar;ambos sexos;1985TIV;7.239,7
labores del hogar;ambos sexos;1985TIII;7.284,1
labores del hogar;ambos sexos;1985TII;7.325,0
labores del hogar;ambos sexos;1985TI;7.299,6
labores del hogar;ambos sexos;1984TIV;7.370,3
labores del hogar;ambos sexos;1984TIII;7.415,9
labores del hogar;ambos sexos;1984TII;7.437,3
labores del hogar;ambos sexos;1984TI;7.402,8
labores del hogar;ambos sexos;1983TIV;7.391,1
labores del hogar;ambos sexos;1983TIII;7.383,4
labores del hogar;ambos sexos;1983TII;7.425,1
labores del hogar;ambos sexos;1983TI;7.450,1
labores del hogar;ambos sexos;1982TIV;7.472,4
labores del hogar;ambos sexos;1982TIII;7.487,5
labores del hogar;ambos sexos;1982TII;7.565,0
labores del hogar;ambos sexos;1982TI;7.594,6
labores del hogar;ambos sexos;1981TIV;7.572,7
labores del hogar;ambos sexos;1981TIII;7.612,8
labores del hogar;ambos sexos;1981TII;7.621,3
labores del hogar;ambos sexos;1981TI;7.607,4
labores del hogar;ambos sexos;1980TIV;7.576,4
labores del hogar;ambos sexos;1980TIII;7.591,6
labores del hogar;ambos sexos;1980TII;7.594,4
labores del hogar;ambos sexos;1980TI;7.568,4
labores del hogar;ambos sexos;1979TIV;7.597,0
labores del hogar;ambos sexos;1979TIII;7.629,0
labores del hogar;ambos sexos;1979TII;7.633,6
labores del hogar;ambos sexos;1979TI;7.620,4
labores del hogar;ambos sexos;1978TIV;7.675,1
labores del hogar;ambos sexos;1978TIII;7.704,5
labores del hogar;ambos sexos;1978TII;7.715,6
labores del hogar;ambos sexos;1978TI;7.700,4
labores del hogar;ambos sexos;1977TIV;7.749,6
labores del hogar;ambos sexos;1977TIII;7.807,5
labores del hogar;ambos sexos;1977TII;7.832,6
labores del hogar;ambos sexos;1977TI;7.791,5
labores del hogar;ambos sexos;1976TIV;7.800,1
labores del hogar;ambos sexos;1976TIII;7.796,0
labores del hogar;varones;1995TIV;31,9
labores del hogar;varones;1995TIII;29,0
labores del hogar;varones;1995TII;25,1
labores del hogar;varones;1995TI;29,8
labores del hogar;varones;1994TIV;25,4
labores del hogar;varones;1994TIII;27,2
labores del hogar;varones;1994TII;21,9
labores del hogar;varones;1994TI;19,8
labores del hogar;varones;1993TIV;17,4
labores del hogar;varones;1993TIII;23,4
labores del hogar;varones;1993TII;14,2
labores del hogar;varones;1993TI;17,3
labores del hogar;varones;1992TIV;16,8
labores del hogar;varones;1992TIII;18,1
labores del hogar;varones;1992TII;13,8
labores del hogar;varones;1992TI;18,5
labores del hogar;varones;1991TIV;31,1
labores del hogar;varones;1991TIII;37,7
labores del hogar;varones;1991TII;25,3
labores del hogar;varones;1991TI;26,6
labores del hogar;varones;1990TIV;24,9
labores del hogar;varones;1990TIII;42,0
labores del hogar;varones;1990TII;19,2
labores del hogar;varones;1990TI;19,3
labores del hogar;varones;1989TIV;23,6
labores del hogar;varones;1989TIII;30,3
labores del hogar;varones;1989TII;25,2
labores del hogar;varones;1989TI;29,1
labores del hogar;varones;1988TIV;27,4
labores del hogar;varones;1988TIII;32,0
labores del hogar;varones;1988TII;21,7
labores del hogar;varones;1988TI;25,7
labores del hogar;varones;1987TIV;31,3
labores del hogar;varones;1987TIII;53,4
labores del hogar;varones;1987TII;26,4
labores del hogar;varones;1987TI;0,0
labores del hogar;varones;1986TIV;0,0
labores del hogar;varones;1986TIII;0,0
labores del hogar;varones;1986TII;0,0
labores del hogar;varones;1986TI;0,0
labores del hogar;varones;1985TIV;0,0
labores del hogar;varones;1985TIII;0,0
labores del hogar;varones;1985TII;0,0
labores del hogar;varones;1985TI;0,0
labores del hogar;varones;1984TIV;0,0
labores del hogar;varones;1984TIII;0,0
labores del hogar;varones;1984TII;0,0
labores del hogar;varones;1984TI;0,0
labores del hogar;varones;1983TIV;0,0
labores del hogar;varones;1983TIII;0,0
labores del hogar;varones;1983TII;0,0
labores del hogar;varones;1983TI;0,0
labores del hogar;varones;1982TIV;0,0
labores del hogar;varones;1982TIII;0,0
labores del hogar;varones;1982TII;0,0
labores del hogar;varones;1982TI;0,0
labores del hogar;varones;1981TIV;0,0
labores del hogar;varones;1981TIII;0,0
labores del hogar;varones;1981TII;0,0
labores del hogar;varones;1981TI;0,0
labores del hogar;varones;1980TIV;0,0
labores del hogar;varones;1980TIII;0,0
labores del hogar;varones;1980TII;0,0
labores del hogar;varones;1980TI;0,0
labores del hogar;varones;1979TIV;0,0
labores del hogar;varones;1979TIII;0,0
labores del hogar;varones;1979TII;0,0
labores del hogar;varones;1979TI;0,0
labores del hogar;varones;1978TIV;0,0
labores del hogar;varones;1978TIII;0,0
labores del hogar;varones;1978TII;0,0
labores del hogar;varones;1978TI;0,0
labores del hogar;varones;1977TIV;0,0
labores del hogar;varones;1977TIII;0,0
labores del hogar;varones;1977TII;0,0
labores del hogar;varones;1977TI;0,0
labores del hogar;varones;1976TIV;0,0
labores del hogar;varones;1976TIII;0,0
labores del hogar;mujeres;1995TIV;5.511,6
labores del hogar;mujeres;1995TIII;5.629,7
labores del hogar;mujeres;1995TII;5.531,6
labores del hogar;mujeres;1995TI;5.553,0
labores del hogar;mujeres;1994TIV;5.587,7
labores del hogar;mujeres;1994TIII;5.709,9
labores del hogar;mujeres;1994TII;5.605,5
labores del hogar;mujeres;1994TI;5.702,9
labores del hogar;mujeres;1993TIV;5.744,0
labores del hogar;mujeres;1993TIII;5.849,2
labores del hogar;mujeres;1993TII;5.785,5
labores del hogar;mujeres;1993TI;5.856,4
labores del hogar;mujeres;1992TIV;5.874,6
labores del hogar;mujeres;1992TIII;5.985,3
labores del hogar;mujeres;1992TII;5.898,6
labores del hogar;mujeres;1992TI;5.944,7
labores del hogar;mujeres;1991TIV;6.043,7
labores del hogar;mujeres;1991TIII;6.121,0
labores del hogar;mujeres;1991TII;6.121,3
labores del hogar;mujeres;1991TI;6.123,0
labores del hogar;mujeres;1990TIV;6.123,3
labores del hogar;mujeres;1990TIII;6.247,6
labores del hogar;mujeres;1990TII;6.209,9
labores del hogar;mujeres;1990TI;6.244,1
labores del hogar;mujeres;1989TIV;6.307,9
labores del hogar;mujeres;1989TIII;6.402,1
labores del hogar;mujeres;1989TII;6.397,1
labores del hogar;mujeres;1989TI;6.421,5
labores del hogar;mujeres;1988TIV;6.467,6
labores del hogar;mujeres;1988TIII;6.438,9
labores del hogar;mujeres;1988TII;6.451,1
labores del hogar;mujeres;1988TI;6.407,4
labores del hogar;mujeres;1987TIV;6.454,9
labores del hogar;mujeres;1987TIII;6.548,3
labores del hogar;mujeres;1987TII;6.545,3
labores del hogar;mujeres;1987TI;7.069,0
labores del hogar;mujeres;1986TIV;7.145,5
labores del hogar;mujeres;1986TIII;7.199,0
labores del hogar;mujeres;1986TII;7.236,8
labores del hogar;mujeres;1986TI;7.227,6
labores del hogar;mujeres;1985TIV;7.239,7
labores del hogar;mujeres;1985TIII;7.284,1
labores del hogar;mujeres;1985TII;7.325,0
labores del hogar;mujeres;1985TI;7.299,6
labores del hogar;mujeres;1984TIV;7.370,3
labores del hogar;mujeres;1984TIII;7.415,9
labores del hogar;mujeres;1984TII;7.437,3
labores del hogar;mujeres;1984TI;7.402,8
labores del hogar;mujeres;1983TIV;7.391,1
labores del hogar;mujeres;1983TIII;7.383,4
labores del hogar;mujeres;1983TII;7.425,1
labores del hogar;mujeres;1983TI;7.450,1
labores del hogar;mujeres;1982TIV;7.472,4
labores del hogar;mujeres;1982TIII;7.487,5
labores del hogar;mujeres;1982TII;7.565,0
labores del hogar;mujeres;1982TI;7.594,6
labores del hogar;mujeres;1981TIV;7.572,7
labores del hogar;mujeres;1981TIII;7.612,8
labores del hogar;mujeres;1981TII;7.621,3
labores del hogar;mujeres;1981TI;7.607,4
labores del hogar;mujeres;1980TIV;7.576,4
labores del hogar;mujeres;1980TIII;7.591,6
labores del hogar;mujeres;1980TII;7.594,4
labores del hogar;mujeres;1980TI;7.568,4
labores del hogar;mujeres;1979TIV;7.597,0
labores del hogar;mujeres;1979TIII;7.629,0
labores del hogar;mujeres;1979TII;7.633,6
labores del hogar;mujeres;1979TI;7.620,4
labores del hogar;mujeres;1978TIV;7.675,1
labores del hogar;mujeres;1978TIII;7.704,5
labores del hogar;mujeres;1978TII;7.715,6
labores del hogar;mujeres;1978TI;7.700,4
labores del hogar;mujeres;1977TIV;7.749,6
labores del hogar;mujeres;1977TIII;7.807,5
labores del hogar;mujeres;1977TII;7.832,6
labores del hogar;mujeres;1977TI;7.791,5
labores del hogar;mujeres;1976TIV;7.800,1
labores del hogar;mujeres;1976TIII;7.796,0
incapacidad permanente;ambos sexos;1995TIV;672,8
incapacidad permanente;ambos sexos;1995TIII;680,0
incapacidad permanente;ambos sexos;1995TII;665,2
incapacidad permanente;ambos sexos;1995TI;653,2
incapacidad permanente;ambos sexos;1994TIV;627,6
incapacidad permanente;ambos sexos;1994TIII;591,0
incapacidad permanente;ambos sexos;1994TII;611,0
incapacidad permanente;ambos sexos;1994TI;590,4
incapacidad permanente;ambos sexos;1993TIV;581,4
incapacidad permanente;ambos sexos;1993TIII;580,7
incapacidad permanente;ambos sexos;1993TII;586,6
incapacidad permanente;ambos sexos;1993TI;590,8
incapacidad permanente;ambos sexos;1992TIV;579,2
incapacidad permanente;ambos sexos;1992TIII;567,4
incapacidad permanente;ambos sexos;1992TII;553,3
incapacidad permanente;ambos sexos;1992TI;565,4
incapacidad permanente;ambos sexos;1991TIV;589,9
incapacidad permanente;ambos sexos;1991TIII;591,7
incapacidad permanente;ambos sexos;1991TII;593,0
incapacidad permanente;ambos sexos;1991TI;599,6
incapacidad permanente;ambos sexos;1990TIV;576,6
incapacidad permanente;ambos sexos;1990TIII;567,8
incapacidad permanente;ambos sexos;1990TII;592,2
incapacidad permanente;ambos sexos;1990TI;582,9
incapacidad permanente;ambos sexos;1989TIV;580,5
incapacidad permanente;ambos sexos;1989TIII;571,0
incapacidad permanente;ambos sexos;1989TII;568,3
incapacidad permanente;ambos sexos;1989TI;595,4
incapacidad permanente;ambos sexos;1988TIV;593,3
incapacidad permanente;ambos sexos;1988TIII;608,2
incapacidad permanente;ambos sexos;1988TII;585,7
incapacidad permanente;ambos sexos;1988TI;549,1
incapacidad permanente;ambos sexos;1987TIV;550,5
incapacidad permanente;ambos sexos;1987TIII;581,7
incapacidad permanente;ambos sexos;1987TII;549,8
incapacidad permanente;ambos sexos;1987TI;351,1
incapacidad permanente;ambos sexos;1986TIV;359,0
incapacidad permanente;ambos sexos;1986TIII;372,9
incapacidad permanente;ambos sexos;1986TII;381,8
incapacidad permanente;ambos sexos;1986TI;390,0
incapacidad permanente;ambos sexos;1985TIV;403,4
incapacidad permanente;ambos sexos;1985TIII;421,2
incapacidad permanente;ambos sexos;1985TII;409,8
incapacidad permanente;ambos sexos;1985TI;419,9
incapacidad permanente;ambos sexos;1984TIV;428,8
incapacidad permanente;ambos sexos;1984TIII;444,8
incapacidad permanente;ambos sexos;1984TII;444,3
incapacidad permanente;ambos sexos;1984TI;464,3
incapacidad permanente;ambos sexos;1983TIV;473,7
incapacidad permanente;ambos sexos;1983TIII;469,6
incapacidad permanente;ambos sexos;1983TII;453,4
incapacidad permanente;ambos sexos;1983TI;444,6
incapacidad permanente;ambos sexos;1982TIV;431,2
incapacidad permanente;ambos sexos;1982TIII;412,4
incapacidad permanente;ambos sexos;1982TII;398,5
incapacidad permanente;ambos sexos;1982TI;398,7
incapacidad permanente;ambos sexos;1981TIV;408,5
incapacidad permanente;ambos sexos;1981TIII;408,9
incapacidad permanente;ambos sexos;1981TII;410,6
incapacidad permanente;ambos sexos;1981TI;420,2
incapacidad permanente;ambos sexos;1980TIV;430,7
incapacidad permanente;ambos sexos;1980TIII;435,7
incapacidad permanente;ambos sexos;1980TII;430,8
incapacidad permanente;ambos sexos;1980TI;419,7
incapacidad permanente;ambos sexos;1979TIV;426,2
incapacidad permanente;ambos sexos;1979TIII;435,7
incapacidad permanente;ambos sexos;1979TII;428,2
incapacidad permanente;ambos sexos;1979TI;430,6
incapacidad permanente;ambos sexos;1978TIV;426,9
incapacidad permanente;ambos sexos;1978TIII;424,1
incapacidad permanente;ambos sexos;1978TII;423,6
incapacidad permanente;ambos sexos;1978TI;426,2
incapacidad permanente;ambos sexos;1977TIV;440,9
incapacidad permanente;ambos sexos;1977TIII;443,4
incapacidad permanente;ambos sexos;1977TII;439,9
incapacidad permanente;ambos sexos;1977TI;432,9
incapacidad permanente;ambos sexos;1976TIV;421,5
incapacidad permanente;ambos sexos;1976TIII;381,6
incapacidad permanente;varones;1995TIV;381,2
incapacidad permanente;varones;1995TIII;390,2
incapacidad permanente;varones;1995TII;380,5
incapacidad permanente;varones;1995TI;383,1
incapacidad permanente;varones;1994TIV;368,3
incapacidad permanente;varones;1994TIII;342,8
incapacidad permanente;varones;1994TII;350,1
incapacidad permanente;varones;1994TI;333,0
incapacidad permanente;varones;1993TIV;329,2
incapacidad permanente;varones;1993TIII;321,7
incapacidad permanente;varones;1993TII;320,7
incapacidad permanente;varones;1993TI;323,9
incapacidad permanente;varones;1992TIV;310,0
incapacidad permanente;varones;1992TIII;311,4
incapacidad permanente;varones;1992TII;309,7
incapacidad permanente;varones;1992TI;321,4
incapacidad permanente;varones;1991TIV;355,0
incapacidad permanente;varones;1991TIII;352,4
incapacidad permanente;varones;1991TII;358,4
incapacidad permanente;varones;1991TI;360,6
incapacidad permanente;varones;1990TIV;342,7
incapacidad permanente;varones;1990TIII;338,7
incapacidad permanente;varones;1990TII;354,4
incapacidad permanente;varones;1990TI;346,2
incapacidad permanente;varones;1989TIV;338,2
incapacidad permanente;varones;1989TIII;342,9
incapacidad permanente;varones;1989TII;343,1
incapacidad permanente;varones;1989TI;361,6
incapacidad permanente;varones;1988TIV;356,3
incapacidad permanente;varones;1988TIII;363,1
incapacidad permanente;varones;1988TII;350,9
incapacidad permanente;varones;1988TI;322,9
incapacidad permanente;varones;1987TIV;338,3
incapacidad permanente;varones;1987TIII;363,7
incapacidad permanente;varones;1987TII;340,8
incapacidad permanente;varones;1987TI;223,9
incapacidad permanente;varones;1986TIV;230,2
incapacidad permanente;varones;1986TIII;239,8
incapacidad permanente;varones;1986TII;249,4
incapacidad permanente;varones;1986TI;247,9
incapacidad permanente;varones;1985TIV;259,0
incapacidad permanente;varones;1985TIII;267,6
incapacidad permanente;varones;1985TII;256,6
incapacidad permanente;varones;1985TI;256,8
incapacidad permanente;varones;1984TIV;261,1
incapacidad permanente;varones;1984TIII;280,3
incapacidad permanente;varones;1984TII;277,9
incapacidad permanente;varones;1984TI;287,6
incapacidad permanente;varones;1983TIV;295,2
incapacidad permanente;varones;1983TIII;299,4
incapacidad permanente;varones;1983TII;284,8
incapacidad permanente;varones;1983TI;278,1
incapacidad permanente;varones;1982TIV;272,4
incapacidad permanente;varones;1982TIII;259,6
incapacidad permanente;varones;1982TII;252,6
incapacidad permanente;varones;1982TI;252,2
incapacidad permanente;varones;1981TIV;257,4
incapacidad permanente;varones;1981TIII;257,2
incapacidad permanente;varones;1981TII;256,1
incapacidad permanente;varones;1981TI;258,8
incapacidad permanente;varones;1980TIV;265,7
incapacidad permanente;varones;1980TIII;276,1
incapacidad permanente;varones;1980TII;268,4
incapacidad permanente;varones;1980TI;260,4
incapacidad permanente;varones;1979TIV;266,7
incapacidad permanente;varones;1979TIII;270,3
incapacidad permanente;varones;1979TII;261,1
incapacidad permanente;varones;1979TI;263,7
incapacidad permanente;varones;1978TIV;263,0
incapacidad permanente;varones;1978TIII;258,4
incapacidad permanente;varones;1978TII;256,1
incapacidad permanente;varones;1978TI;259,6
incapacidad permanente;varones;1977TIV;268,5
incapacidad permanente;varones;1977TIII;263,8
incapacidad permanente;varones;1977TII;259,6
incapacidad permanente;varones;1977TI;256,1
incapacidad permanente;varones;1976TIV;253,6
incapacidad permanente;varones;1976TIII;229,6
incapacidad permanente;mujeres;1995TIV;291,6
incapacidad permanente;mujeres;1995TIII;289,8
incapacidad permanente;mujeres;1995TII;284,7
incapacidad permanente;mujeres;1995TI;270,1
incapacidad permanente;mujeres;1994TIV;259,3
incapacidad permanente;mujeres;1994TIII;248,1
incapacidad permanente;mujeres;1994TII;260,9
incapacidad permanente;mujeres;1994TI;257,4
incapacidad permanente;mujeres;1993TIV;252,2
incapacidad permanente;mujeres;1993TIII;259,0
incapacidad permanente;mujeres;1993TII;265,9
incapacidad permanente;mujeres;1993TI;266,9
incapacidad permanente;mujeres;1992TIV;269,2
incapacidad permanente;mujeres;1992TIII;256,1
incapacidad permanente;mujeres;1992TII;243,7
incapacidad permanente;mujeres;1992TI;244,0
incapacidad permanente;mujeres;1991TIV;234,9
incapacidad permanente;mujeres;1991TIII;239,3
incapacidad permanente;mujeres;1991TII;234,6
incapacidad permanente;mujeres;1991TI;239,0
incapacidad permanente;mujeres;1990TIV;233,9
incapacidad permanente;mujeres;1990TIII;229,1
incapacidad permanente;mujeres;1990TII;237,8
incapacidad permanente;mujeres;1990TI;236,7
incapacidad permanente;mujeres;1989TIV;242,3
incapacidad permanente;mujeres;1989TIII;228,1
incapacidad permanente;mujeres;1989TII;225,2
incapacidad permanente;mujeres;1989TI;233,8
incapacidad permanente;mujeres;1988TIV;237,0
incapacidad permanente;mujeres;1988TIII;245,1
incapacidad permanente;mujeres;1988TII;234,8
incapacidad permanente;mujeres;1988TI;226,2
incapacidad permanente;mujeres;1987TIV;212,2
incapacidad permanente;mujeres;1987TIII;218,0
incapacidad permanente;mujeres;1987TII;209,0
incapacidad permanente;mujeres;1987TI;127,2
incapacidad permanente;mujeres;1986TIV;128,8
incapacidad permanente;mujeres;1986TIII;133,2
incapacidad permanente;mujeres;1986TII;132,4
incapacidad permanente;mujeres;1986TI;142,1
incapacidad permanente;mujeres;1985TIV;144,3
incapacidad permanente;mujeres;1985TIII;153,6
incapacidad permanente;mujeres;1985TII;153,2
incapacidad permanente;mujeres;1985TI;163,1
incapacidad permanente;mujeres;1984TIV;167,7
incapacidad permanente;mujeres;1984TIII;164,5
incapacidad permanente;mujeres;1984TII;166,4
incapacidad permanente;mujeres;1984TI;176,7
incapacidad permanente;mujeres;1983TIV;178,6
incapacidad permanente;mujeres;1983TIII;170,2
incapacidad permanente;mujeres;1983TII;168,7
incapacidad permanente;mujeres;1983TI;166,6
incapacidad permanente;mujeres;1982TIV;158,8
incapacidad permanente;mujeres;1982TIII;152,8
incapacidad permanente;mujeres;1982TII;145,9
incapacidad permanente;mujeres;1982TI;146,5
incapacidad permanente;mujeres;1981TIV;151,1
incapacidad permanente;mujeres;1981TIII;151,8
incapacidad permanente;mujeres;1981TII;154,5
incapacidad permanente;mujeres;1981TI;161,4
incapacidad permanente;mujeres;1980TIV;165,0
incapacidad permanente;mujeres;1980TIII;159,6
incapacidad permanente;mujeres;1980TII;162,4
incapacidad permanente;mujeres;1980TI;159,3
incapacidad permanente;mujeres;1979TIV;159,4
incapacidad permanente;mujeres;1979TIII;165,4
incapacidad permanente;mujeres;1979TII;167,1
incapacidad permanente;mujeres;1979TI;166,9
incapacidad permanente;mujeres;1978TIV;164,0
incapacidad permanente;mujeres;1978TIII;165,7
incapacidad permanente;mujeres;1978TII;167,5
incapacidad permanente;mujeres;1978TI;166,5
incapacidad permanente;mujeres;1977TIV;172,4
incapacidad permanente;mujeres;1977TIII;179,6
incapacidad permanente;mujeres;1977TII;180,4
incapacidad permanente;mujeres;1977TI;176,8
incapacidad permanente;mujeres;1976TIV;167,9
incapacidad permanente;mujeres;1976TIII;152,1
otra;ambos sexos;1995TIV;444,4
otra;ambos sexos;1995TIII;936,4
otra;ambos sexos;1995TII;419,0
otra;ambos sexos;1995TI;428,3
otra;ambos sexos;1994TIV;445,4
otra;ambos sexos;1994TIII;659,8
otra;ambos sexos;1994TII;418,9
otra;ambos sexos;1994TI;406,9
otra;ambos sexos;1993TIV;415,3
otra;ambos sexos;1993TIII;585,4
otra;ambos sexos;1993TII;434,2
otra;ambos sexos;1993TI;456,1
otra;ambos sexos;1992TIV;468,5
otra;ambos sexos;1992TIII;626,3
otra;ambos sexos;1992TII;457,9
otra;ambos sexos;1992TI;434,9
otra;ambos sexos;1991TIV;333,8
otra;ambos sexos;1991TIII;447,4
otra;ambos sexos;1991TII;332,8
otra;ambos sexos;1991TI;317,2
otra;ambos sexos;1990TIV;298,1
otra;ambos sexos;1990TIII;471,8
otra;ambos sexos;1990TII;319,6
otra;ambos sexos;1990TI;301,8
otra;ambos sexos;1989TIV;303,2
otra;ambos sexos;1989TIII;394,8
otra;ambos sexos;1989TII;332,5
otra;ambos sexos;1989TI;323,9
otra;ambos sexos;1988TIV;337,4
otra;ambos sexos;1988TIII;460,9
otra;ambos sexos;1988TII;356,3
otra;ambos sexos;1988TI;341,4
otra;ambos sexos;1987TIV;358,6
otra;ambos sexos;1987TIII;524,9
otra;ambos sexos;1987TII;473,3
otra;ambos sexos;1987TI;188,7
otra;ambos sexos;1986TIV;190,1
otra;ambos sexos;1986TIII;197,5
otra;ambos sexos;1986TII;188,0
otra;ambos sexos;1986TI;185,8
otra;ambos sexos;1985TIV;216,2
otra;ambos sexos;1985TIII;206,7
otra;ambos sexos;1985TII;199,6
otra;ambos sexos;1985TI;199,6
otra;ambos sexos;1984TIV;194,4
otra;ambos sexos;1984TIII;220,6
otra;ambos sexos;1984TII;204,4
otra;ambos sexos;1984TI;201,9
otra;ambos sexos;1983TIV;184,0
otra;ambos sexos;1983TIII;195,0
otra;ambos sexos;1983TII;179,0
otra;ambos sexos;1983TI;171,7
otra;ambos sexos;1982TIV;174,4
otra;ambos sexos;1982TIII;198,4
otra;ambos sexos;1982TII;174,1
otra;ambos sexos;1982TI;166,5
otra;ambos sexos;1981TIV;160,3
otra;ambos sexos;1981TIII;153,6
otra;ambos sexos;1981TII;136,7
otra;ambos sexos;1981TI;137,3
otra;ambos sexos;1980TIV;139,0
otra;ambos sexos;1980TIII;150,6
otra;ambos sexos;1980TII;131,9
otra;ambos sexos;1980TI;132,6
otra;ambos sexos;1979TIV;123,0
otra;ambos sexos;1979TIII;137,8
otra;ambos sexos;1979TII;129,2
otra;ambos sexos;1979TI;131,0
otra;ambos sexos;1978TIV;119,4
otra;ambos sexos;1978TIII;123,9
otra;ambos sexos;1978TII;110,2
otra;ambos sexos;1978TI;103,0
