Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;Total;Activos;1993TIV;16.020,3
Ambos sexos;Total;Activos;1993TIII;15.974,9
Ambos sexos;Total;Activos;1993TII;15.833,8
Ambos sexos;Total;Activos;1993TI;15.741,3
Ambos sexos;Total;Activos;1992TIV;15.777,8
Ambos sexos;Total;Activos;1992TIII;15.746,9
Ambos sexos;Total;Activos;1992TII;15.669,0
Ambos sexos;Total;Activos;1992TI;15.629,2
Ambos sexos;Total;Activos;1991TIV;15.668,1
Ambos sexos;Total;Activos;1991TIII;15.680,5
Ambos sexos;Total;Activos;1991TII;15.534,4
Ambos sexos;Total;Activos;1991TI;15.526,1
Ambos sexos;Total;Activos;1990TIV;15.541,6
Ambos sexos;Total;Activos;1990TIII;15.487,7
Ambos sexos;Total;Activos;1990TII;15.410,4
Ambos sexos;Total;Activos;1990TI;15.421,9
Ambos sexos;Total;Activos;1989TIV;15.378,2
Ambos sexos;Total;Activos;1989TIII;15.330,8
Ambos sexos;Total;Activos;1989TII;15.194,0
Ambos sexos;Total;Activos;1989TI;15.179,7
Ambos sexos;Total;Activos;1988TIV;15.144,8
Ambos sexos;Total;Activos;1988TIII;15.215,5
Ambos sexos;Total;Activos;1988TII;15.065,1
Ambos sexos;Total;Activos;1988TI;15.015,0
Ambos sexos;Total;Activos;1987TIV;14.966,3
Ambos sexos;Total;Activos;1987TIII;14.876,0
Ambos sexos;Total;Activos;1987TII;14.650,0
Ambos sexos;Total;Activos;1987TI;14.410,8
Ambos sexos;Total;Activos;1986TIV;14.314,0
Ambos sexos;Total;Activos;1986TIII;14.199,9
Ambos sexos;Total;Activos;1986TII;14.119,4
Ambos sexos;Total;Activos;1986TI;14.102,3
Ambos sexos;Total;Activos;1985TIV;14.080,8
Ambos sexos;Total;Activos;1985TIII;14.014,6
Ambos sexos;Total;Activos;1985TII;13.952,9
Ambos sexos;Total;Activos;1985TI;13.988,2
Ambos sexos;Total;Activos;1984TIV;13.988,6
Ambos sexos;Total;Activos;1984TIII;13.923,4
Ambos sexos;Total;Activos;1984TII;13.842,0
Ambos sexos;Total;Activos;1984TI;13.895,4
Ambos sexos;Total;Activos;1983TIV;13.915,1
Ambos sexos;Total;Activos;1983TIII;13.878,4
Ambos sexos;Total;Activos;1983TII;13.734,2
Ambos sexos;Total;Activos;1983TI;13.736,5
Ambos sexos;Total;Activos;1982TIV;13.763,7
Ambos sexos;Total;Activos;1982TIII;13.679,3
Ambos sexos;Total;Activos;1982TII;13.555,0
Ambos sexos;Total;Activos;1982TI;13.574,6
Ambos sexos;Total;Activos;1981TIV;13.553,2
Ambos sexos;Total;Activos;1981TIII;13.502,0
Ambos sexos;Total;Activos;1981TII;13.408,5
Ambos sexos;Total;Activos;1981TI;13.456,0
Ambos sexos;Total;Activos;1980TIV;13.464,6
Ambos sexos;Total;Activos;1980TIII;13.424,7
Ambos sexos;Total;Activos;1980TII;13.380,1
Ambos sexos;Total;Activos;1980TI;13.441,5
Ambos sexos;Total;Activos;1979TIV;13.441,9
Ambos sexos;Total;Activos;1979TIII;13.417,0
Ambos sexos;Total;Activos;1979TII;13.299,2
Ambos sexos;Total;Activos;1979TI;13.375,1
Ambos sexos;Total;Activos;1978TIV;13.341,7
Ambos sexos;Total;Activos;1978TIII;13.337,1
Ambos sexos;Total;Activos;1978TII;13.279,2
Ambos sexos;Total;Activos;1978TI;13.333,1
Ambos sexos;Total;Activos;1977TIV;13.351,6
Ambos sexos;Total;Activos;1977TIII;13.300,9
Ambos sexos;Total;Activos;1977TII;13.211,7
Ambos sexos;Total;Activos;1977TI;13.269,7
Ambos sexos;Total;Activos;1976TIV;13.296,7
Ambos sexos;Total;Activos;1976TIII;13.366,3
Ambos sexos;Total;Ocupados;1995TIV;12.590,0
Ambos sexos;Total;Ocupados;1995TIII;12.603,8
Ambos sexos;Total;Ocupados;1995TII;12.494,8
Ambos sexos;Total;Ocupados;1995TI;12.359,6
Ambos sexos;Total;Ocupados;1994TIV;12.278,0
Ambos sexos;Total;Ocupados;1994TIII;12.277,9
Ambos sexos;Total;Ocupados;1994TII;12.186,1
Ambos sexos;Total;Ocupados;1994TI;12.088,5
Ambos sexos;Total;Ocupados;1993TIV;12.203,3
Ambos sexos;Total;Ocupados;1993TIII;12.321,3
Ambos sexos;Total;Ocupados;1993TII;12.323,6
Ambos sexos;Total;Ocupados;1993TI;12.327,0
Ambos sexos;Total;Ocupados;1992TIV;12.616,8
Ambos sexos;Total;Ocupados;1992TIII;12.869,8
Ambos sexos;Total;Ocupados;1992TII;12.893,3
Ambos sexos;Total;Ocupados;1992TI;12.909,4
Ambos sexos;Total;Ocupados;1991TIV;13.015,1
Ambos sexos;Total;Ocupados;1991TIII;13.120,2
Ambos sexos;Total;Ocupados;1991TII;13.067,6
Ambos sexos;Total;Ocupados;1991TI;13.025,4
Ambos sexos;Total;Ocupados;1990TIV;13.041,8
Ambos sexos;Total;Ocupados;1990TIII;13.033,6
Ambos sexos;Total;Ocupados;1990TII;12.906,8
Ambos sexos;Total;Ocupados;1990TI;12.837,5
Ambos sexos;Total;Ocupados;1989TIV;12.781,7
Ambos sexos;Total;Ocupados;1989TIII;12.792,7
Ambos sexos;Total;Ocupados;1989TII;12.571,0
Ambos sexos;Total;Ocupados;1989TI;12.407,5
Ambos sexos;Total;Ocupados;1988TIV;12.371,2
Ambos sexos;Total;Ocupados;1988TIII;12.319,1
Ambos sexos;Total;Ocupados;1988TII;12.110,3
Ambos sexos;Total;Ocupados;1988TI;12.013,9
Ambos sexos;Total;Ocupados;1987TIV;12.011,1
Ambos sexos;Total;Ocupados;1987TIII;11.911,9
Ambos sexos;Total;Ocupados;1987TII;11.690,3
Ambos sexos;Total;Ocupados;1987TI;11.382,9
Ambos sexos;Total;Ocupados;1986TIV;11.359,2
Ambos sexos;Total;Ocupados;1986TIII;11.275,9
Ambos sexos;Total;Ocupados;1986TII;11.151,0
Ambos sexos;Total;Ocupados;1986TI;11.049,1
Ambos sexos;Total;Ocupados;1985TIV;11.056,3
Ambos sexos;Total;Ocupados;1985TIII;11.029,4
Ambos sexos;Total;Ocupados;1985TII;10.949,1
Ambos sexos;Total;Ocupados;1985TI;10.981,2
Ambos sexos;Total;Ocupados;1984TIV;11.040,3
Ambos sexos;Total;Ocupados;1984TIII;11.143,5
Ambos sexos;Total;Ocupados;1984TII;11.119,3
Ambos sexos;Total;Ocupados;1984TI;11.172,2
Ambos sexos;Total;Ocupados;1983TIV;11.414,0
Ambos sexos;Total;Ocupados;1983TIII;11.494,1
Ambos sexos;Total;Ocupados;1983TII;11.415,8
Ambos sexos;Total;Ocupados;1983TI;11.362,9
Ambos sexos;Total;Ocupados;1982TIV;11.477,8
Ambos sexos;Total;Ocupados;1982TIII;11.500,8
Ambos sexos;Total;Ocupados;1982TII;11.477,4
Ambos sexos;Total;Ocupados;1982TI;11.469,3
Ambos sexos;Total;Ocupados;1981TIV;11.521,3
Ambos sexos;Total;Ocupados;1981TIII;11.597,0
Ambos sexos;Total;Ocupados;1981TII;11.579,2
Ambos sexos;Total;Ocupados;1981TI;11.655,8
Ambos sexos;Total;Ocupados;1980TIV;11.790,5
Ambos sexos;Total;Ocupados;1980TIII;11.883,1
Ambos sexos;Total;Ocupados;1980TII;11.892,7
Ambos sexos;Total;Ocupados;1980TI;12.013,3
Ambos sexos;Total;Ocupados;1979TIV;12.162,4
Ambos sexos;Total;Ocupados;1979TIII;12.247,5
Ambos sexos;Total;Ocupados;1979TII;12.212,7
Ambos sexos;Total;Ocupados;1979TI;12.287,3
Ambos sexos;Total;Ocupados;1978TIV;12.325,5
Ambos sexos;Total;Ocupados;1978TIII;12.394,5
Ambos sexos;Total;Ocupados;1978TII;12.401,6
Ambos sexos;Total;Ocupados;1978TI;12.471,1
Ambos sexos;Total;Ocupados;1977TIV;12.591,6
Ambos sexos;Total;Ocupados;1977TIII;12.590,1
Ambos sexos;Total;Ocupados;1977TII;12.580,3
Ambos sexos;Total;Ocupados;1977TI;12.615,6
Ambos sexos;Total;Ocupados;1976TIV;12.668,8
Ambos sexos;Total;Ocupados;1976TIII;12.777,3
Ambos sexos;Total;Parados;1995TIV;3.710,4
Ambos sexos;Total;Parados;1995TIII;3.689,7
Ambos sexos;Total;Parados;1995TII;3.668,1
Ambos sexos;Total;Parados;1995TI;3.794,1
Ambos sexos;Total;Parados;1994TIV;3.856,7
Ambos sexos;Total;Parados;1994TIII;3.835,2
Ambos sexos;Total;Parados;1994TII;3.895,5
Ambos sexos;Total;Parados;1994TI;3.932,9
Ambos sexos;Total;Parados;1993TIV;3.817,0
Ambos sexos;Total;Parados;1993TIII;3.653,6
Ambos sexos;Total;Parados;1993TII;3.510,2
Ambos sexos;Total;Parados;1993TI;3.414,3
Ambos sexos;Total;Parados;1992TIV;3.161,0
Ambos sexos;Total;Parados;1992TIII;2.877,1
Ambos sexos;Total;Parados;1992TII;2.775,7
Ambos sexos;Total;Parados;1992TI;2.719,8
Ambos sexos;Total;Parados;1991TIV;2.653,0
Ambos sexos;Total;Parados;1991TIII;2.560,2
Ambos sexos;Total;Parados;1991TII;2.466,8
Ambos sexos;Total;Parados;1991TI;2.500,7
Ambos sexos;Total;Parados;1990TIV;2.499,8
Ambos sexos;Total;Parados;1990TIII;2.454,1
Ambos sexos;Total;Parados;1990TII;2.503,6
Ambos sexos;Total;Parados;1990TI;2.584,4
Ambos sexos;Total;Parados;1989TIV;2.596,5
Ambos sexos;Total;Parados;1989TIII;2.538,1
Ambos sexos;Total;Parados;1989TII;2.623,0
Ambos sexos;Total;Parados;1989TI;2.772,2
Ambos sexos;Total;Parados;1988TIV;2.773,6
Ambos sexos;Total;Parados;1988TIII;2.896,5
Ambos sexos;Total;Parados;1988TII;2.954,7
Ambos sexos;Total;Parados;1988TI;3.001,1
Ambos sexos;Total;Parados;1987TIV;2.955,2
Ambos sexos;Total;Parados;1987TIII;2.964,1
Ambos sexos;Total;Parados;1987TII;2.959,7
Ambos sexos;Total;Parados;1987TI;3.027,9
Ambos sexos;Total;Parados;1986TIV;2.954,8
Ambos sexos;Total;Parados;1986TIII;2.924,1
Ambos sexos;Total;Parados;1986TII;2.968,5
Ambos sexos;Total;Parados;1986TI;3.053,1
Ambos sexos;Total;Parados;1985TIV;3.024,4
Ambos sexos;Total;Parados;1985TIII;2.985,2
Ambos sexos;Total;Parados;1985TII;3.003,7
Ambos sexos;Total;Parados;1985TI;3.007,0
Ambos sexos;Total;Parados;1984TIV;2.948,4
Ambos sexos;Total;Parados;1984TIII;2.779,8
Ambos sexos;Total;Parados;1984TII;2.722,7
Ambos sexos;Total;Parados;1984TI;2.723,2
Ambos sexos;Total;Parados;1983TIV;2.501,1
Ambos sexos;Total;Parados;1983TIII;2.384,3
Ambos sexos;Total;Parados;1983TII;2.318,4
Ambos sexos;Total;Parados;1983TI;2.373,6
Ambos sexos;Total;Parados;1982TIV;2.285,9
Ambos sexos;Total;Parados;1982TIII;2.178,5
Ambos sexos;Total;Parados;1982TII;2.077,6
Ambos sexos;Total;Parados;1982TI;2.105,3
Ambos sexos;Total;Parados;1981TIV;2.031,9
Ambos sexos;Total;Parados;1981TIII;1.905,0
Ambos sexos;Total;Parados;1981TII;1.829,2
Ambos sexos;Total;Parados;1981TI;1.800,2
Ambos sexos;Total;Parados;1980TIV;1.674,0
Ambos sexos;Total;Parados;1980TIII;1.541,6
Ambos sexos;Total;Parados;1980TII;1.487,5
Ambos sexos;Total;Parados;1980TI;1.428,2
Ambos sexos;Total;Parados;1979TIV;1.279,5
Ambos sexos;Total;Parados;1979TIII;1.169,5
Ambos sexos;Total;Parados;1979TII;1.086,5
Ambos sexos;Total;Parados;1979TI;1.087,8
Ambos sexos;Total;Parados;1978TIV;1.016,3
Ambos sexos;Total;Parados;1978TIII;942,6
Ambos sexos;Total;Parados;1978TII;877,6
Ambos sexos;Total;Parados;1978TI;862,0
Ambos sexos;Total;Parados;1977TIV;760,1
Ambos sexos;Total;Parados;1977TIII;710,9
Ambos sexos;Total;Parados;1977TII;631,4
Ambos sexos;Total;Parados;1977TI;654,1
Ambos sexos;Total;Parados;1976TIV;628,0
Ambos sexos;Total;Parados;1976TIII;589,0
Ambos sexos;Total;Parados que buscan primer empleo;1995TIV;812,2
Ambos sexos;Total;Parados que buscan primer empleo;1995TIII;845,7
Ambos sexos;Total;Parados que buscan primer empleo;1995TII;809,9
Ambos sexos;Total;Parados que buscan primer empleo;1995TI;834,6
Ambos sexos;Total;Parados que buscan primer empleo;1994TIV;849,5
Ambos sexos;Total;Parados que buscan primer empleo;1994TIII;841,5
Ambos sexos;Total;Parados que buscan primer empleo;1994TII;786,8
Ambos sexos;Total;Parados que buscan primer empleo;1994TI;775,2
