Sexo;Edad;Estado civil;Periodo;Total
Mujeres;De 20 a 24 años;Solteros/Solteras;2010T3;1.163,3
Mujeres;De 20 a 24 años;Solteros/Solteras;2010T2;1.191,1
Mujeres;De 20 a 24 años;Solteros/Solteras;2010T1;1.200,5
Mujeres;De 20 a 24 años;Solteros/Solteras;2009T4;1.196,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2009T3;1.199,4
Mujeres;De 20 a 24 años;Solteros/Solteras;2009T2;1.204,5
Mujeres;De 20 a 24 años;Solteros/Solteras;2009T1;1.215,4
Mujeres;De 20 a 24 años;Solteros/Solteras;2008T4;1.223,4
Mujeres;De 20 a 24 años;Solteros/Solteras;2008T3;1.225,5
Mujeres;De 20 a 24 años;Solteros/Solteras;2008T2;1.236
Mujeres;De 20 a 24 años;Solteros/Solteras;2008T1;1.241,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2007T4;1.246,8
Mujeres;De 20 a 24 años;Solteros/Solteras;2007T3;1.246,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2007T2;1.248,4
Mujeres;De 20 a 24 años;Solteros/Solteras;2007T1;1.271,3
Mujeres;De 20 a 24 años;Solteros/Solteras;2006T4;1.275,6
Mujeres;De 20 a 24 años;Solteros/Solteras;2006T3;1.271,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2006T2;1.279,2
Mujeres;De 20 a 24 años;Solteros/Solteras;2006T1;1.285,3
Mujeres;De 20 a 24 años;Solteros/Solteras;2005T4;1.305,5
Mujeres;De 20 a 24 años;Solteros/Solteras;2005T3;1.317,6
Mujeres;De 20 a 24 años;Solteros/Solteras;2005T2;1.318,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2005T1;1.320,1
Mujeres;De 20 a 24 años;Solteros/Solteras;2004T4;1.305,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2004T3;1.323,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2004T2;1.335,3
Mujeres;De 20 a 24 años;Solteros/Solteras;2004T1;1.338,6
Mujeres;De 20 a 24 años;Solteros/Solteras;2003T4;1.350,1
Mujeres;De 20 a 24 años;Solteros/Solteras;2003T3;1.358
Mujeres;De 20 a 24 años;Solteros/Solteras;2003T2;1.357,4
Mujeres;De 20 a 24 años;Solteros/Solteras;2003T1;1.369,9
Mujeres;De 20 a 24 años;Solteros/Solteras;2002T4;1.393,3
Mujeres;De 20 a 24 años;Solteros/Solteras;2002T3;1.395,2
Mujeres;De 20 a 24 años;Solteros/Solteras;2002T2;1.406
Mujeres;De 20 a 24 años;Solteros/Solteras;2002T1;1.413,6
Mujeres;De 20 a 24 años;Casados/Casadas;2025T4;27
Mujeres;De 20 a 24 años;Casados/Casadas;2025T3;33,5
Mujeres;De 20 a 24 años;Casados/Casadas;2025T2;32,2
Mujeres;De 20 a 24 años;Casados/Casadas;2025T1;23,4
Mujeres;De 20 a 24 años;Casados/Casadas;2024T4;30
Mujeres;De 20 a 24 años;Casados/Casadas;2024T3;35,9
Mujeres;De 20 a 24 años;Casados/Casadas;2024T2;32,5
Mujeres;De 20 a 24 años;Casados/Casadas;2024T1;38,5
Mujeres;De 20 a 24 años;Casados/Casadas;2023T4;32,3
Mujeres;De 20 a 24 años;Casados/Casadas;2023T3;39,8
