trimestre,forecast,IC80_inf,IC80_sup,IC95_inf,IC95_sup
2026Q1,10.49,9.94,11.05,9.64,11.34
2026Q2,9.69,8.7,10.67,8.18,11.19
2026Q3,10.02,8.67,11.37,7.95,12.08
2026Q4,9.99,8.32,11.66,7.44,12.54
