trimestre,forecast,IC80_inf,IC80_sup,IC95_inf,IC95_sup
2026Q1,10.41,9.87,10.95,9.59,11.24
2026Q2,9.59,8.59,10.59,8.06,11.12
2026Q3,9.78,8.36,11.2,7.6,11.96
2026Q4,9.67,7.86,11.47,6.91,12.42
