Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;De 20 a 24 años;2024T4;1.444,5
Ambos sexos;Total;De 20 a 24 años;2024T3;1.558,5
Ambos sexos;Total;De 20 a 24 años;2024T2;1.436,3
Ambos sexos;Total;De 20 a 24 años;2024T1;1.395,5
Ambos sexos;Total;De 20 a 24 años;2023T4;1.411,2
Ambos sexos;Total;De 20 a 24 años;2023T3;1.497,7
Ambos sexos;Total;De 20 a 24 años;2023T2;1.385,5
Ambos sexos;Total;De 20 a 24 años;2023T1;1.315,6
Ambos sexos;Total;De 20 a 24 años;2022T4;1.309
Ambos sexos;Total;De 20 a 24 años;2022T3;1.404,5
Ambos sexos;Total;De 20 a 24 años;2022T2;1.335,4
Ambos sexos;Total;De 20 a 24 años;2022T1;1.245,4
Ambos sexos;Total;De 20 a 24 años;2021T4;1.226
Ambos sexos;Total;De 20 a 24 años;2021T3;1.339,4
Ambos sexos;Total;De 20 a 24 años;2021T2;1.270
Ambos sexos;Total;De 20 a 24 años;2021T1;1.190,3
Ambos sexos;Total;De 20 a 24 años;2020T4;1.208,2
Ambos sexos;Total;De 20 a 24 años;2020T3;1.270,2
Ambos sexos;Total;De 20 a 24 años;2020T2;1.089,5
Ambos sexos;Total;De 20 a 24 años;2020T1;1.227,2
Ambos sexos;Total;De 20 a 24 años;2019T4;1.255,4
Ambos sexos;Total;De 20 a 24 años;2019T3;1.348,9
Ambos sexos;Total;De 20 a 24 años;2019T2;1.249,9
Ambos sexos;Total;De 20 a 24 años;2019T1;1.204,7
Ambos sexos;Total;De 20 a 24 años;2018T4;1.243,5
Ambos sexos;Total;De 20 a 24 años;2018T3;1.299
Ambos sexos;Total;De 20 a 24 años;2018T2;1.236,5
Ambos sexos;Total;De 20 a 24 años;2018T1;1.181,3
Ambos sexos;Total;De 20 a 24 años;2017T4;1.231,2
Ambos sexos;Total;De 20 a 24 años;2017T3;1.311,9
Ambos sexos;Total;De 20 a 24 años;2017T2;1.224,7
Ambos sexos;Total;De 20 a 24 años;2017T1;1.191,7
Ambos sexos;Total;De 20 a 24 años;2016T4;1.196,1
Ambos sexos;Total;De 20 a 24 años;2016T3;1.276,2
Ambos sexos;Total;De 20 a 24 años;2016T2;1.257,8
Ambos sexos;Total;De 20 a 24 años;2016T1;1.217,2
Ambos sexos;Total;De 20 a 24 años;2015T4;1.252,2
Ambos sexos;Total;De 20 a 24 años;2015T3;1.354,2
Ambos sexos;Total;De 20 a 24 años;2015T2;1.303,3
Ambos sexos;Total;De 20 a 24 años;2015T1;1.280,3
Ambos sexos;Total;De 20 a 24 años;2014T4;1.320,8
Ambos sexos;Total;De 20 a 24 años;2014T3;1.380,8
Ambos sexos;Total;De 20 a 24 años;2014T2;1.339,2
Ambos sexos;Total;De 20 a 24 años;2014T1;1.346,9
Ambos sexos;Total;De 25 a 29 años;2025T4;2.321,8
Ambos sexos;Total;De 25 a 29 años;2025T3;2.303,1
Ambos sexos;Total;De 25 a 29 años;2025T2;2.259,5
Ambos sexos;Total;De 25 a 29 años;2025T1;2.266,4
Ambos sexos;Total;De 25 a 29 años;2024T4;2.218,2
Ambos sexos;Total;De 25 a 29 años;2024T3;2.224,1
Ambos sexos;Total;De 25 a 29 años;2024T2;2.208,8
Ambos sexos;Total;De 25 a 29 años;2024T1;2.189
Ambos sexos;Total;De 25 a 29 años;2023T4;2.213
Ambos sexos;Total;De 25 a 29 años;2023T3;2.181,5
Ambos sexos;Total;De 25 a 29 años;2023T2;2.195,4
Ambos sexos;Total;De 25 a 29 años;2023T1;2.153,9
Ambos sexos;Total;De 25 a 29 años;2022T4;2.132,4
Ambos sexos;Total;De 25 a 29 años;2022T3;2.125,4
Ambos sexos;Total;De 25 a 29 años;2022T2;2.126,7
Ambos sexos;Total;De 25 a 29 años;2022T1;2.112,5
Ambos sexos;Total;De 25 a 29 años;2021T4;2.116,2
Ambos sexos;Total;De 25 a 29 años;2021T3;2.134,8
Ambos sexos;Total;De 25 a 29 años;2021T2;2.125,8
Ambos sexos;Total;De 25 a 29 años;2021T1;2.089,5
Ambos sexos;Total;De 25 a 29 años;2020T4;2.131
Ambos sexos;Total;De 25 a 29 años;2020T3;2.078,4
Ambos sexos;Total;De 25 a 29 años;2020T2;1.969
Ambos sexos;Total;De 25 a 29 años;2020T1;2.095
Ambos sexos;Total;De 25 a 29 años;2019T4;2.122,1
Ambos sexos;Total;De 25 a 29 años;2019T3;2.108
Ambos sexos;Total;De 25 a 29 años;2019T2;2.089,6
Ambos sexos;Total;De 25 a 29 años;2019T1;2.081,9
Ambos sexos;Total;De 25 a 29 años;2018T4;2.094,8
Ambos sexos;Total;De 25 a 29 años;2018T3;2.100,7
Ambos sexos;Total;De 25 a 29 años;2018T2;2.105,6
Ambos sexos;Total;De 25 a 29 años;2018T1;2.101,8
