Método de búsqueda de empleo;Sexo;Periodo;Total
Ha contactado con una oficina pública de empleo;Mujeres;2024T1;329
Ha contactado con una oficina pública de empleo;Mujeres;2023T4;313
Ha contactado con una oficina pública de empleo;Mujeres;2023T3;290,9
Ha contactado con una oficina pública de empleo;Mujeres;2023T2;327,1
Ha contactado con una oficina pública de empleo;Mujeres;2023T1;378,1
Ha contactado con una oficina pública de empleo;Mujeres;2022T4;360,9
Ha contactado con una oficina pública de empleo;Mujeres;2022T3;329,9
Ha contactado con una oficina pública de empleo;Mujeres;2022T2;338,3
Ha contactado con una oficina pública de empleo;Mujeres;2022T1;386
Ha contactado con una oficina pública de empleo;Mujeres;2021T4;400,5
Ha contactado con una oficina pública de empleo;Mujeres;2021T3;380,9
Ha contactado con una oficina pública de empleo;Mujeres;2021T2;417,2
Ha contactado con una oficina pública de empleo;Mujeres;2021T1;447,7
Ha contactado con una oficina privada de empleo;Ambos sexos;2025T4;365,9
Ha contactado con una oficina privada de empleo;Ambos sexos;2025T3;374,4
Ha contactado con una oficina privada de empleo;Ambos sexos;2025T2;358,4
Ha contactado con una oficina privada de empleo;Ambos sexos;2025T1;412,9
Ha contactado con una oficina privada de empleo;Ambos sexos;2024T4;395,2
Ha contactado con una oficina privada de empleo;Ambos sexos;2024T3;429,4
Ha contactado con una oficina privada de empleo;Ambos sexos;2024T2;462,4
Ha contactado con una oficina privada de empleo;Ambos sexos;2024T1;498,3
Ha contactado con una oficina privada de empleo;Ambos sexos;2023T4;442,7
Ha contactado con una oficina privada de empleo;Ambos sexos;2023T3;446,2
Ha contactado con una oficina privada de empleo;Ambos sexos;2023T2;419,4
Ha contactado con una oficina privada de empleo;Ambos sexos;2023T1;448,4
Ha contactado con una oficina privada de empleo;Ambos sexos;2022T4;473,6
Ha contactado con una oficina privada de empleo;Ambos sexos;2022T3;390,1
Ha contactado con una oficina privada de empleo;Ambos sexos;2022T2;459,2
Ha contactado con una oficina privada de empleo;Ambos sexos;2022T1;488,3
Ha contactado con una oficina privada de empleo;Ambos sexos;2021T4;444,9
Ha contactado con una oficina privada de empleo;Ambos sexos;2021T3;479,2
Ha contactado con una oficina privada de empleo;Ambos sexos;2021T2;584,3
Ha contactado con una oficina privada de empleo;Ambos sexos;2021T1;592,7
Ha contactado con una oficina privada de empleo;Hombres;2025T4;162,1
Ha contactado con una oficina privada de empleo;Hombres;2025T3;181,1
Ha contactado con una oficina privada de empleo;Hombres;2025T2;170,3
Ha contactado con una oficina privada de empleo;Hombres;2025T1;191,6
Ha contactado con una oficina privada de empleo;Hombres;2024T4;191
Ha contactado con una oficina privada de empleo;Hombres;2024T3;215,5
Ha contactado con una oficina privada de empleo;Hombres;2024T2;214,1
Ha contactado con una oficina privada de empleo;Hombres;2024T1;235,5
Ha contactado con una oficina privada de empleo;Hombres;2023T4;194,2
Ha contactado con una oficina privada de empleo;Hombres;2023T3;217,6
Ha contactado con una oficina privada de empleo;Hombres;2023T2;196,2
Ha contactado con una oficina privada de empleo;Hombres;2023T1;210,4
Ha contactado con una oficina privada de empleo;Hombres;2022T4;211
Ha contactado con una oficina privada de empleo;Hombres;2022T3;181,3
Ha contactado con una oficina privada de empleo;Hombres;2022T2;219
Ha contactado con una oficina privada de empleo;Hombres;2022T1;233,7
Ha contactado con una oficina privada de empleo;Hombres;2021T4;218,8
Ha contactado con una oficina privada de empleo;Hombres;2021T3;233,3
Ha contactado con una oficina privada de empleo;Hombres;2021T2;280
Ha contactado con una oficina privada de empleo;Hombres;2021T1;276,6
Ha contactado con una oficina privada de empleo;Mujeres;2025T4;203,8
Ha contactado con una oficina privada de empleo;Mujeres;2025T3;193,4
Ha contactado con una oficina privada de empleo;Mujeres;2025T2;188,1
Ha contactado con una oficina privada de empleo;Mujeres;2025T1;221,3
Ha contactado con una oficina privada de empleo;Mujeres;2024T4;204,2
Ha contactado con una oficina privada de empleo;Mujeres;2024T3;213,9
Ha contactado con una oficina privada de empleo;Mujeres;2024T2;248,4
Ha contactado con una oficina privada de empleo;Mujeres;2024T1;262,8
Ha contactado con una oficina privada de empleo;Mujeres;2023T4;248,5
Ha contactado con una oficina privada de empleo;Mujeres;2023T3;228,6
Ha contactado con una oficina privada de empleo;Mujeres;2023T2;223,2
Ha contactado con una oficina privada de empleo;Mujeres;2023T1;238
Ha contactado con una oficina privada de empleo;Mujeres;2022T4;262,6
Ha contactado con una oficina privada de empleo;Mujeres;2022T3;208,8
Ha contactado con una oficina privada de empleo;Mujeres;2022T2;240,1
Ha contactado con una oficina privada de empleo;Mujeres;2022T1;254,5
Ha contactado con una oficina privada de empleo;Mujeres;2021T4;226,1
Ha contactado con una oficina privada de empleo;Mujeres;2021T3;245,9
Ha contactado con una oficina privada de empleo;Mujeres;2021T2;304,3
Ha contactado con una oficina privada de empleo;Mujeres;2021T1;316,1
Ha contactado con empresas o empleadores directamente;Ambos sexos;2025T4;983,2
Ha contactado con empresas o empleadores directamente;Ambos sexos;2025T3;977,6
Ha contactado con empresas o empleadores directamente;Ambos sexos;2025T2;992,8
Ha contactado con empresas o empleadores directamente;Ambos sexos;2025T1;1.012,4
Ha contactado con empresas o empleadores directamente;Ambos sexos;2024T4;1.015,6
Ha contactado con empresas o empleadores directamente;Ambos sexos;2024T3;1.008,5
Ha contactado con empresas o empleadores directamente;Ambos sexos;2024T2;1.112,6
Ha contactado con empresas o empleadores directamente;Ambos sexos;2024T1;1.081,7
Ha contactado con empresas o empleadores directamente;Ambos sexos;2023T4;1.116,6
Ha contactado con empresas o empleadores directamente;Ambos sexos;2023T3;1.059,4
Ha contactado con empresas o empleadores directamente;Ambos sexos;2023T2;1.066,3
Ha contactado con empresas o empleadores directamente;Ambos sexos;2023T1;1.215,4
Ha contactado con empresas o empleadores directamente;Ambos sexos;2022T4;1.184,3
Ha contactado con empresas o empleadores directamente;Ambos sexos;2022T3;1.148,1
Ha contactado con empresas o empleadores directamente;Ambos sexos;2022T2;1.228,9
Ha contactado con empresas o empleadores directamente;Ambos sexos;2022T1;1.229,8
Ha contactado con empresas o empleadores directamente;Ambos sexos;2021T4;1.183,1
Ha contactado con empresas o empleadores directamente;Ambos sexos;2021T3;1.358,5
Ha contactado con empresas o empleadores directamente;Ambos sexos;2021T2;1.307,9
Ha contactado con empresas o empleadores directamente;Ambos sexos;2021T1;1.374
Ha contactado con empresas o empleadores directamente;Hombres;2025T4;489,5
Ha contactado con empresas o empleadores directamente;Hombres;2025T3;474,3
Ha contactado con empresas o empleadores directamente;Hombres;2025T2;506,3
Ha contactado con empresas o empleadores directamente;Hombres;2025T1;514,9
Ha contactado con empresas o empleadores directamente;Hombres;2024T4;509,3
Ha contactado con empresas o empleadores directamente;Hombres;2024T3;522,5
Ha contactado con empresas o empleadores directamente;Hombres;2024T2;558
Ha contactado con empresas o empleadores directamente;Hombres;2024T1;550,5
Ha contactado con empresas o empleadores directamente;Hombres;2023T4;562,6
Ha contactado con empresas o empleadores directamente;Hombres;2023T3;511,1
Ha contactado con empresas o empleadores directamente;Hombres;2023T2;521,7
Ha contactado con empresas o empleadores directamente;Hombres;2023T1;602,4
Ha contactado con empresas o empleadores directamente;Hombres;2022T4;572,9
Ha contactado con empresas o empleadores directamente;Hombres;2022T3;579,9
Ha contactado con empresas o empleadores directamente;Hombres;2022T2;615,5
Ha contactado con empresas o empleadores directamente;Hombres;2022T1;633,8
Ha contactado con empresas o empleadores directamente;Hombres;2021T4;607,7
Ha contactado con empresas o empleadores directamente;Hombres;2021T3;688,5
Ha contactado con empresas o empleadores directamente;Hombres;2021T2;650,1
Ha contactado con empresas o empleadores directamente;Hombres;2021T1;701
Ha contactado con empresas o empleadores directamente;Mujeres;2025T4;493,7
Ha contactado con empresas o empleadores directamente;Mujeres;2025T3;503,3
Ha contactado con empresas o empleadores directamente;Mujeres;2025T2;486,5
Ha contactado con empresas o empleadores directamente;Mujeres;2025T1;497,6
Ha contactado con empresas o empleadores directamente;Mujeres;2024T4;506,3
Ha contactado con empresas o empleadores directamente;Mujeres;2024T3;486
Ha contactado con empresas o empleadores directamente;Mujeres;2024T2;554,6
Ha contactado con empresas o empleadores directamente;Mujeres;2024T1;531,1
Ha contactado con empresas o empleadores directamente;Mujeres;2023T4;553,9
Ha contactado con empresas o empleadores directamente;Mujeres;2023T3;548,3
Ha contactado con empresas o empleadores directamente;Mujeres;2023T2;544,6
Ha contactado con empresas o empleadores directamente;Mujeres;2023T1;613
Ha contactado con empresas o empleadores directamente;Mujeres;2022T4;611,4
Ha contactado con empresas o empleadores directamente;Mujeres;2022T3;568,2
Ha contactado con empresas o empleadores directamente;Mujeres;2022T2;613,3
Ha contactado con empresas o empleadores directamente;Mujeres;2022T1;596
Ha contactado con empresas o empleadores directamente;Mujeres;2021T4;575,3
