Método de búsqueda de empleo;Sexo;Periodo;Total
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2024T4;341,4
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2024T3;371
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2024T2;356,8
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2024T1;359,7
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2023T4;360,1
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2023T3;362,5
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2023T2;359,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2023T1;354,2
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2022T4;354
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2022T3;374,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2022T2;332,8
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2022T1;354,7
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2021T4;356,2
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2021T3;379,4
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2021T2;416,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Ambos sexos;2021T1;343,2
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2025T4;159,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2025T3;153,6
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2025T2;181,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2025T1;177,8
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2024T4;162,5
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2024T3;192,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2024T2;186,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2024T1;183,2
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2023T4;185,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2023T3;171
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2023T2;165,7
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2023T1;172,4
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2022T4;177,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2022T3;172,2
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2022T2;153,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2022T1;175,4
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2021T4;177,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2021T3;184,1
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2021T2;198
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Hombres;2021T1;174,2
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2025T4;158,6
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2025T3;176,5
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2025T2;172
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2025T1;169,8
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2024T4;178,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2024T3;178,7
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2024T2;169,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2024T1;176,5
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2023T4;174,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2023T3;191,5
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2023T2;193,7
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2023T1;181,8
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2022T4;176,1
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2022T3;202,6
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2022T2;179,5
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2022T1;179,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2021T4;178,9
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2021T3;195,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2021T2;218,3
Ha realizado alguna prueba, entrevista o participado en un proceso de selección;Mujeres;2021T1;169
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2025T4;67,3
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2025T3;63,5
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2025T2;72,3
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2025T1;92
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2024T4;77
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2024T3;76
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2024T2;67,7
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2024T1;71,3
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2023T4;82,3
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2023T3;52,5
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2023T2;54,6
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2023T1;57
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2022T4;61,1
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2022T3;52,5
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2022T2;63,5
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2022T1;73
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2021T4;76,7
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2021T3;78,8
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2021T2;80,1
Ha hecho gestiones para crear su propio negocio;Ambos sexos;2021T1;94
Ha hecho gestiones para crear su propio negocio;Hombres;2025T4;35,9
Ha hecho gestiones para crear su propio negocio;Hombres;2025T3;34,3
Ha hecho gestiones para crear su propio negocio;Hombres;2025T2;38,1
Ha hecho gestiones para crear su propio negocio;Hombres;2025T1;46,6
Ha hecho gestiones para crear su propio negocio;Hombres;2024T4;47,6
Ha hecho gestiones para crear su propio negocio;Hombres;2024T3;40,2
Ha hecho gestiones para crear su propio negocio;Hombres;2024T2;35,3
Ha hecho gestiones para crear su propio negocio;Hombres;2024T1;34,1
Ha hecho gestiones para crear su propio negocio;Hombres;2023T4;46
Ha hecho gestiones para crear su propio negocio;Hombres;2023T3;31
Ha hecho gestiones para crear su propio negocio;Hombres;2023T2;32,1
Ha hecho gestiones para crear su propio negocio;Hombres;2023T1;30,1
Ha hecho gestiones para crear su propio negocio;Hombres;2022T4;31,9
Ha hecho gestiones para crear su propio negocio;Hombres;2022T3;27,4
Ha hecho gestiones para crear su propio negocio;Hombres;2022T2;38,9
Ha hecho gestiones para crear su propio negocio;Hombres;2022T1;37,5
Ha hecho gestiones para crear su propio negocio;Hombres;2021T4;45,7
Ha hecho gestiones para crear su propio negocio;Hombres;2021T3;50,7
Ha hecho gestiones para crear su propio negocio;Hombres;2021T2;40,4
Ha hecho gestiones para crear su propio negocio;Hombres;2021T1;52,6
Ha hecho gestiones para crear su propio negocio;Mujeres;2025T4;31,4
Ha hecho gestiones para crear su propio negocio;Mujeres;2025T3;29,1
Ha hecho gestiones para crear su propio negocio;Mujeres;2025T2;34,3
Ha hecho gestiones para crear su propio negocio;Mujeres;2025T1;45,3
Ha hecho gestiones para crear su propio negocio;Mujeres;2024T4;29,4
Ha hecho gestiones para crear su propio negocio;Mujeres;2024T3;35,8
Ha hecho gestiones para crear su propio negocio;Mujeres;2024T2;32,4
Ha hecho gestiones para crear su propio negocio;Mujeres;2024T1;37,3
Ha hecho gestiones para crear su propio negocio;Mujeres;2023T4;36,3
Ha hecho gestiones para crear su propio negocio;Mujeres;2023T3;21,4
Ha hecho gestiones para crear su propio negocio;Mujeres;2023T2;22,5
Ha hecho gestiones para crear su propio negocio;Mujeres;2023T1;26,8
Ha hecho gestiones para crear su propio negocio;Mujeres;2022T4;29,3
Ha hecho gestiones para crear su propio negocio;Mujeres;2022T3;25,2
Ha hecho gestiones para crear su propio negocio;Mujeres;2022T2;24,6
Ha hecho gestiones para crear su propio negocio;Mujeres;2022T1;35,5
Ha hecho gestiones para crear su propio negocio;Mujeres;2021T4;30,9
Ha hecho gestiones para crear su propio negocio;Mujeres;2021T3;28,2
Ha hecho gestiones para crear su propio negocio;Mujeres;2021T2;39,7
Ha hecho gestiones para crear su propio negocio;Mujeres;2021T1;41,4
Ha estudiado anuncios de empleo;Ambos sexos;2025T4;1.207,5
Ha estudiado anuncios de empleo;Ambos sexos;2025T3;1.177,8
Ha estudiado anuncios de empleo;Ambos sexos;2025T2;1.175,8
Ha estudiado anuncios de empleo;Ambos sexos;2025T1;1.257,8
Ha estudiado anuncios de empleo;Ambos sexos;2024T4;1.198,8
Ha estudiado anuncios de empleo;Ambos sexos;2024T3;1.221,3
Ha estudiado anuncios de empleo;Ambos sexos;2024T2;1.229,8
Ha estudiado anuncios de empleo;Ambos sexos;2024T1;1.392,3
Ha estudiado anuncios de empleo;Ambos sexos;2023T4;1.287,4
Ha estudiado anuncios de empleo;Ambos sexos;2023T3;1.306,1
Ha estudiado anuncios de empleo;Ambos sexos;2023T2;1.295,8
Ha estudiado anuncios de empleo;Ambos sexos;2023T1;1.475,6
Ha estudiado anuncios de empleo;Ambos sexos;2022T4;1.461,2
Ha estudiado anuncios de empleo;Ambos sexos;2022T3;1.337
Ha estudiado anuncios de empleo;Ambos sexos;2022T2;1.444,4
Ha estudiado anuncios de empleo;Ambos sexos;2022T1;1.491,8
Ha estudiado anuncios de empleo;Ambos sexos;2021T4;1.397,4
Ha estudiado anuncios de empleo;Ambos sexos;2021T3;1.524
Ha estudiado anuncios de empleo;Ambos sexos;2021T2;1.626,6
Ha estudiado anuncios de empleo;Ambos sexos;2021T1;1.713,3
Ha estudiado anuncios de empleo;Hombres;2025T4;560,3
Ha estudiado anuncios de empleo;Hombres;2025T3;527,5
Ha estudiado anuncios de empleo;Hombres;2025T2;549,4
Ha estudiado anuncios de empleo;Hombres;2025T1;579,7
Ha estudiado anuncios de empleo;Hombres;2024T4;557,3
Ha estudiado anuncios de empleo;Hombres;2024T3;557
Ha estudiado anuncios de empleo;Hombres;2024T2;573,5
Ha estudiado anuncios de empleo;Hombres;2024T1;644,9
Ha estudiado anuncios de empleo;Hombres;2023T4;583,7
Ha estudiado anuncios de empleo;Hombres;2023T3;586,8
Ha estudiado anuncios de empleo;Hombres;2023T2;598,2
Ha estudiado anuncios de empleo;Hombres;2023T1;664,9
Ha estudiado anuncios de empleo;Hombres;2022T4;671,5
Ha estudiado anuncios de empleo;Hombres;2022T3;595,9
Ha estudiado anuncios de empleo;Hombres;2022T2;659,2
Ha estudiado anuncios de empleo;Hombres;2022T1;677,8
Ha estudiado anuncios de empleo;Hombres;2021T4;641,3
Ha estudiado anuncios de empleo;Hombres;2021T3;727,9
Ha estudiado anuncios de empleo;Hombres;2021T2;736,7
Ha estudiado anuncios de empleo;Hombres;2021T1;769,4
Ha estudiado anuncios de empleo;Mujeres;2025T4;647,3
Ha estudiado anuncios de empleo;Mujeres;2025T3;650,4
Ha estudiado anuncios de empleo;Mujeres;2025T2;626,4
Ha estudiado anuncios de empleo;Mujeres;2025T1;678
Ha estudiado anuncios de empleo;Mujeres;2024T4;641,5
Ha estudiado anuncios de empleo;Mujeres;2024T3;664,3
Ha estudiado anuncios de empleo;Mujeres;2024T2;656,2
Ha estudiado anuncios de empleo;Mujeres;2024T1;747,3
Ha estudiado anuncios de empleo;Mujeres;2023T4;703,7
Ha estudiado anuncios de empleo;Mujeres;2023T3;719,3
Ha estudiado anuncios de empleo;Mujeres;2023T2;697,5
Ha estudiado anuncios de empleo;Mujeres;2023T1;810,6
Ha estudiado anuncios de empleo;Mujeres;2022T4;789,8
Ha estudiado anuncios de empleo;Mujeres;2022T3;741,1
Ha estudiado anuncios de empleo;Mujeres;2022T2;785,2
Ha estudiado anuncios de empleo;Mujeres;2022T1;814
Ha estudiado anuncios de empleo;Mujeres;2021T4;756,2
Ha estudiado anuncios de empleo;Mujeres;2021T3;796,2
Ha estudiado anuncios de empleo;Mujeres;2021T2;889,9
Ha estudiado anuncios de empleo;Mujeres;2021T1;944
