Nivel de formación alcanzado;Sexo;Unidad;Periodo;Total
Total;Hombres;Valor absoluto;2023T3;168,3
Total;Hombres;Valor absoluto;2023T2;146
Total;Hombres;Valor absoluto;2023T1;148,7
Total;Hombres;Valor absoluto;2022T4;151,3
Total;Hombres;Valor absoluto;2022T3;160,3
Total;Hombres;Valor absoluto;2022T2;152,1
Total;Hombres;Valor absoluto;2022T1;152,7
Total;Hombres;Valor absoluto;2021T4;144,3
Total;Hombres;Valor absoluto;2021T3;169,4
Total;Hombres;Valor absoluto;2021T2;188,6
Total;Hombres;Valor absoluto;2021T1;156,9
Total;Hombres;Valor absoluto;2020T4;143,8
Total;Hombres;Valor absoluto;2020T3;162,2
Total;Hombres;Valor absoluto;2020T2;117,4
Total;Hombres;Valor absoluto;2020T1;135,2
Total;Hombres;Valor absoluto;2019T4;147,4
Total;Hombres;Valor absoluto;2019T3;168,6
Total;Hombres;Valor absoluto;2019T2;156,2
Total;Hombres;Valor absoluto;2019T1;146,5
Total;Hombres;Valor absoluto;2018T4;154,7
Total;Hombres;Valor absoluto;2018T3;178,9
Total;Hombres;Valor absoluto;2018T2;166,3
Total;Hombres;Valor absoluto;2018T1;160,8
Total;Hombres;Valor absoluto;2017T4;185,6
Total;Hombres;Valor absoluto;2017T3;210,4
Total;Hombres;Valor absoluto;2017T2;197,7
Total;Hombres;Valor absoluto;2017T1;190,9
Total;Hombres;Valor absoluto;2016T4;189,5
Total;Hombres;Valor absoluto;2016T3;204,9
Total;Hombres;Valor absoluto;2016T2;198,8
Total;Hombres;Valor absoluto;2016T1;186,5
Total;Hombres;Valor absoluto;2015T4;206,7
Total;Hombres;Valor absoluto;2015T3;265,8
Total;Hombres;Valor absoluto;2015T2;259,2
Total;Hombres;Valor absoluto;2015T1;263,7
Total;Hombres;Valor absoluto;2014T4;251
Total;Hombres;Valor absoluto;2014T3;261,6
Total;Hombres;Valor absoluto;2014T2;244,9
Total;Hombres;Valor absoluto;2014T1;246
Total;Hombres;Porcentaje;2025T4;100
Total;Hombres;Porcentaje;2025T3;100
Total;Hombres;Porcentaje;2025T2;100
Total;Hombres;Porcentaje;2025T1;100
Total;Hombres;Porcentaje;2024T4;100
Total;Hombres;Porcentaje;2024T3;100
Total;Hombres;Porcentaje;2024T2;100
Total;Hombres;Porcentaje;2024T1;100
Total;Hombres;Porcentaje;2023T4;100
Total;Hombres;Porcentaje;2023T3;100
Total;Hombres;Porcentaje;2023T2;100
Total;Hombres;Porcentaje;2023T1;100
Total;Hombres;Porcentaje;2022T4;100
Total;Hombres;Porcentaje;2022T3;100
Total;Hombres;Porcentaje;2022T2;100
Total;Hombres;Porcentaje;2022T1;100
Total;Hombres;Porcentaje;2021T4;100
Total;Hombres;Porcentaje;2021T3;100
Total;Hombres;Porcentaje;2021T2;100
Total;Hombres;Porcentaje;2021T1;100
Total;Hombres;Porcentaje;2020T4;100
Total;Hombres;Porcentaje;2020T3;100
Total;Hombres;Porcentaje;2020T2;100
Total;Hombres;Porcentaje;2020T1;100
Total;Hombres;Porcentaje;2019T4;100
Total;Hombres;Porcentaje;2019T3;100
Total;Hombres;Porcentaje;2019T2;100
Total;Hombres;Porcentaje;2019T1;100
Total;Hombres;Porcentaje;2018T4;100
Total;Hombres;Porcentaje;2018T3;100
Total;Hombres;Porcentaje;2018T2;100
Total;Hombres;Porcentaje;2018T1;100
Total;Hombres;Porcentaje;2017T4;100
Total;Hombres;Porcentaje;2017T3;100
Total;Hombres;Porcentaje;2017T2;100
Total;Hombres;Porcentaje;2017T1;100
Total;Hombres;Porcentaje;2016T4;100
Total;Hombres;Porcentaje;2016T3;100
Total;Hombres;Porcentaje;2016T2;100
Total;Hombres;Porcentaje;2016T1;100
Total;Hombres;Porcentaje;2015T4;100
Total;Hombres;Porcentaje;2015T3;100
Total;Hombres;Porcentaje;2015T2;100
Total;Hombres;Porcentaje;2015T1;100
Total;Hombres;Porcentaje;2014T4;100
Total;Hombres;Porcentaje;2014T3;100
Total;Hombres;Porcentaje;2014T2;100
Total;Hombres;Porcentaje;2014T1;100
Total;Mujeres;Valor absoluto;2025T4;132,4
Total;Mujeres;Valor absoluto;2025T3;174,7
Total;Mujeres;Valor absoluto;2025T2;145,8
Total;Mujeres;Valor absoluto;2025T1;139,5
Total;Mujeres;Valor absoluto;2024T4;133,8
Total;Mujeres;Valor absoluto;2024T3;174,9
Total;Mujeres;Valor absoluto;2024T2;159,4
Total;Mujeres;Valor absoluto;2024T1;130,8
Total;Mujeres;Valor absoluto;2023T4;164,5
Total;Mujeres;Valor absoluto;2023T3;169
Total;Mujeres;Valor absoluto;2023T2;150,7
Total;Mujeres;Valor absoluto;2023T1;170,9
Total;Mujeres;Valor absoluto;2022T4;178,3
Total;Mujeres;Valor absoluto;2022T3;196
Total;Mujeres;Valor absoluto;2022T2;175,8
Total;Mujeres;Valor absoluto;2022T1;165,7
Total;Mujeres;Valor absoluto;2021T4;179,7
Total;Mujeres;Valor absoluto;2021T3;192,5
Total;Mujeres;Valor absoluto;2021T2;197,3
Total;Mujeres;Valor absoluto;2021T1;176,8
Total;Mujeres;Valor absoluto;2020T4;175,8
Total;Mujeres;Valor absoluto;2020T3;187,2
Total;Mujeres;Valor absoluto;2020T2;124,6
Total;Mujeres;Valor absoluto;2020T1;169,2
Total;Mujeres;Valor absoluto;2019T4;161,7
Total;Mujeres;Valor absoluto;2019T3;198,6
Total;Mujeres;Valor absoluto;2019T2;177
Total;Mujeres;Valor absoluto;2019T1;174,7
Total;Mujeres;Valor absoluto;2018T4;175,3
Total;Mujeres;Valor absoluto;2018T3;190,3
