Nivel de formación alcanzado;Sexo;Unidad;Periodo;Total
Analfabetos;Mujeres;Valor absoluto;2016T4;3,4
Analfabetos;Mujeres;Valor absoluto;2016T3;4,7
Analfabetos;Mujeres;Valor absoluto;2016T2;3,4
Analfabetos;Mujeres;Valor absoluto;2016T1;7,8
Analfabetos;Mujeres;Valor absoluto;2015T4;7,5
Analfabetos;Mujeres;Valor absoluto;2015T3;6,4
Analfabetos;Mujeres;Valor absoluto;2015T2;6,1
Analfabetos;Mujeres;Valor absoluto;2015T1;5,8
Analfabetos;Mujeres;Valor absoluto;2014T4;6,5
Analfabetos;Mujeres;Valor absoluto;2014T3;5,8
Analfabetos;Mujeres;Valor absoluto;2014T2;5,2
Analfabetos;Mujeres;Valor absoluto;2014T1;4,9
Analfabetos;Mujeres;Porcentaje;2025T4;2,6
Analfabetos;Mujeres;Porcentaje;2025T3;1,4
Analfabetos;Mujeres;Porcentaje;2025T2;0,4
Analfabetos;Mujeres;Porcentaje;2025T1;2,1
Analfabetos;Mujeres;Porcentaje;2024T4;0,5
Analfabetos;Mujeres;Porcentaje;2024T3;3,3
Analfabetos;Mujeres;Porcentaje;2024T2;0,9
Analfabetos;Mujeres;Porcentaje;2024T1;1,1
Analfabetos;Mujeres;Porcentaje;2023T4;1
Analfabetos;Mujeres;Porcentaje;2023T3;1,3
Analfabetos;Mujeres;Porcentaje;2023T2;1
Analfabetos;Mujeres;Porcentaje;2023T1;2,6
Analfabetos;Mujeres;Porcentaje;2022T4;3,3
Analfabetos;Mujeres;Porcentaje;2022T3;0,3
Analfabetos;Mujeres;Porcentaje;2022T2;0,4
Analfabetos;Mujeres;Porcentaje;2022T1;0,8
Analfabetos;Mujeres;Porcentaje;2021T4;1,2
Analfabetos;Mujeres;Porcentaje;2021T3;1,2
Analfabetos;Mujeres;Porcentaje;2021T2;0,5
Analfabetos;Mujeres;Porcentaje;2021T1;1,3
Analfabetos;Mujeres;Porcentaje;2020T4;2,3
Analfabetos;Mujeres;Porcentaje;2020T3;1,5
Analfabetos;Mujeres;Porcentaje;2020T2;0,5
Analfabetos;Mujeres;Porcentaje;2020T1;1,8
Analfabetos;Mujeres;Porcentaje;2019T4;1,6
Analfabetos;Mujeres;Porcentaje;2019T3;1,6
Analfabetos;Mujeres;Porcentaje;2019T2;0,7
Analfabetos;Mujeres;Porcentaje;2019T1;0,9
Analfabetos;Mujeres;Porcentaje;2018T4;1,9
Analfabetos;Mujeres;Porcentaje;2018T3;1,6
Analfabetos;Mujeres;Porcentaje;2018T2;1,2
Analfabetos;Mujeres;Porcentaje;2018T1;1,5
Analfabetos;Mujeres;Porcentaje;2017T4;1,1
Analfabetos;Mujeres;Porcentaje;2017T3;1,1
Analfabetos;Mujeres;Porcentaje;2017T2;1,4
Analfabetos;Mujeres;Porcentaje;2017T1;1,8
Analfabetos;Mujeres;Porcentaje;2016T4;1,4
Analfabetos;Mujeres;Porcentaje;2016T3;1,7
Analfabetos;Mujeres;Porcentaje;2016T2;1,2
Analfabetos;Mujeres;Porcentaje;2016T1;3,2
Analfabetos;Mujeres;Porcentaje;2015T4;2,9
Analfabetos;Mujeres;Porcentaje;2015T3;2,1
Analfabetos;Mujeres;Porcentaje;2015T2;2
Analfabetos;Mujeres;Porcentaje;2015T1;2,1
Analfabetos;Mujeres;Porcentaje;2014T4;2,1
Analfabetos;Mujeres;Porcentaje;2014T3;1,8
Analfabetos;Mujeres;Porcentaje;2014T2;1,8
Analfabetos;Mujeres;Porcentaje;2014T1;1,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2025T4;5,1
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2025T3;4,7
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2025T2;4,7
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2025T1;6,3
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2024T4;7,4
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2024T3;2,5
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2024T2;9,1
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2024T1;10,6
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2023T4;7,6
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2023T3;3,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2023T2;5,1
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2023T1;3,9
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2022T4;2,7
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2022T3;4,1
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2022T2;5,4
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2022T1;4,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2021T4;3,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2021T3;7,2
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2021T2;3,6
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2021T1;10,5
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2020T4;11,5
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2020T3;10
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2020T2;5,4
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2020T1;5,4
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2019T4;4
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2019T3;10,6
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2019T2;9
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2019T1;5,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2018T4;5,5
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2018T3;5,5
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2018T2;7
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2018T1;13,7
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2017T4;7,6
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2017T3;7,3
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2017T2;6,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2017T1;9,9
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2016T4;8,9
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2016T3;8,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2016T2;8,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2016T1;6,8
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2015T4;11,3
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2015T3;7,3
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2015T2;16,1
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2015T1;11,7
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2014T4;10,9
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2014T3;14,7
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2014T2;13,3
Estudios primarios incompletos;Ambos sexos;Valor absoluto;2014T1;17,1
Estudios primarios incompletos;Ambos sexos;Porcentaje;2025T4;2,1
Estudios primarios incompletos;Ambos sexos;Porcentaje;2025T3;1,5
Estudios primarios incompletos;Ambos sexos;Porcentaje;2025T2;1,8
Estudios primarios incompletos;Ambos sexos;Porcentaje;2025T1;2,4
Estudios primarios incompletos;Ambos sexos;Porcentaje;2024T4;3
Estudios primarios incompletos;Ambos sexos;Porcentaje;2024T3;0,8
Estudios primarios incompletos;Ambos sexos;Porcentaje;2024T2;3,2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2024T1;3,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2023T4;2,5
Estudios primarios incompletos;Ambos sexos;Porcentaje;2023T3;1,1
Estudios primarios incompletos;Ambos sexos;Porcentaje;2023T2;1,7
Estudios primarios incompletos;Ambos sexos;Porcentaje;2023T1;1,2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2022T4;0,8
Estudios primarios incompletos;Ambos sexos;Porcentaje;2022T3;1,2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2022T2;1,6
Estudios primarios incompletos;Ambos sexos;Porcentaje;2022T1;1,5
Estudios primarios incompletos;Ambos sexos;Porcentaje;2021T4;1,2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2021T3;2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2021T2;0,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2021T1;3,1
Estudios primarios incompletos;Ambos sexos;Porcentaje;2020T4;3,6
Estudios primarios incompletos;Ambos sexos;Porcentaje;2020T3;2,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2020T2;2,2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2020T1;1,8
Estudios primarios incompletos;Ambos sexos;Porcentaje;2019T4;1,3
Estudios primarios incompletos;Ambos sexos;Porcentaje;2019T3;2,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2019T2;2,7
Estudios primarios incompletos;Ambos sexos;Porcentaje;2019T1;1,8
Estudios primarios incompletos;Ambos sexos;Porcentaje;2018T4;1,7
Estudios primarios incompletos;Ambos sexos;Porcentaje;2018T3;1,5
Estudios primarios incompletos;Ambos sexos;Porcentaje;2018T2;2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2018T1;3,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2017T4;1,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2017T3;1,7
Estudios primarios incompletos;Ambos sexos;Porcentaje;2017T2;1,6
Estudios primarios incompletos;Ambos sexos;Porcentaje;2017T1;2,5
Estudios primarios incompletos;Ambos sexos;Porcentaje;2016T4;2,1
Estudios primarios incompletos;Ambos sexos;Porcentaje;2016T3;1,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2016T2;1,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2016T1;1,6
Estudios primarios incompletos;Ambos sexos;Porcentaje;2015T4;2,4
Estudios primarios incompletos;Ambos sexos;Porcentaje;2015T3;1,3
Estudios primarios incompletos;Ambos sexos;Porcentaje;2015T2;2,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2015T1;2,2
Estudios primarios incompletos;Ambos sexos;Porcentaje;2014T4;1,9
Estudios primarios incompletos;Ambos sexos;Porcentaje;2014T3;2,5
Estudios primarios incompletos;Ambos sexos;Porcentaje;2014T2;2,5
Estudios primarios incompletos;Ambos sexos;Porcentaje;2014T1;3,2
Estudios primarios incompletos;Hombres;Valor absoluto;2025T4;3,4
Estudios primarios incompletos;Hombres;Valor absoluto;2025T3;2,2
Estudios primarios incompletos;Hombres;Valor absoluto;2025T2;2,7
Estudios primarios incompletos;Hombres;Valor absoluto;2025T1;4,2
Estudios primarios incompletos;Hombres;Valor absoluto;2024T4;3,3
Estudios primarios incompletos;Hombres;Valor absoluto;2024T3;..
Estudios primarios incompletos;Hombres;Valor absoluto;2024T2;1,9
Estudios primarios incompletos;Hombres;Valor absoluto;2024T1;5,7
Estudios primarios incompletos;Hombres;Valor absoluto;2023T4;0,8
Estudios primarios incompletos;Hombres;Valor absoluto;2023T3;0,9
Estudios primarios incompletos;Hombres;Valor absoluto;2023T2;2,1
Estudios primarios incompletos;Hombres;Valor absoluto;2023T1;1,3
Estudios primarios incompletos;Hombres;Valor absoluto;2022T4;0,4
Estudios primarios incompletos;Hombres;Valor absoluto;2022T3;1
Estudios primarios incompletos;Hombres;Valor absoluto;2022T2;1,9
Estudios primarios incompletos;Hombres;Valor absoluto;2022T1;2,3
Estudios primarios incompletos;Hombres;Valor absoluto;2021T4;1,6
Estudios primarios incompletos;Hombres;Valor absoluto;2021T3;0,8
Estudios primarios incompletos;Hombres;Valor absoluto;2021T2;0,6
Estudios primarios incompletos;Hombres;Valor absoluto;2021T1;3,6
Estudios primarios incompletos;Hombres;Valor absoluto;2020T4;2,9
Estudios primarios incompletos;Hombres;Valor absoluto;2020T3;1,1
Estudios primarios incompletos;Hombres;Valor absoluto;2020T2;0,7
Estudios primarios incompletos;Hombres;Valor absoluto;2020T1;1,6
Estudios primarios incompletos;Hombres;Valor absoluto;2019T4;1,8
Estudios primarios incompletos;Hombres;Valor absoluto;2019T3;3,6
Estudios primarios incompletos;Hombres;Valor absoluto;2019T2;3,3
Estudios primarios incompletos;Hombres;Valor absoluto;2019T1;3,4
Estudios primarios incompletos;Hombres;Valor absoluto;2018T4;2,3
Estudios primarios incompletos;Hombres;Valor absoluto;2018T3;2,4
Estudios primarios incompletos;Hombres;Valor absoluto;2018T2;1,8
Estudios primarios incompletos;Hombres;Valor absoluto;2018T1;5,9
Estudios primarios incompletos;Hombres;Valor absoluto;2017T4;3,8
Estudios primarios incompletos;Hombres;Valor absoluto;2017T3;3
Estudios primarios incompletos;Hombres;Valor absoluto;2017T2;1,9
Estudios primarios incompletos;Hombres;Valor absoluto;2017T1;3,5
Estudios primarios incompletos;Hombres;Valor absoluto;2016T4;2,9
Estudios primarios incompletos;Hombres;Valor absoluto;2016T3;1,6
Estudios primarios incompletos;Hombres;Valor absoluto;2016T2;2,2
Estudios primarios incompletos;Hombres;Valor absoluto;2016T1;1,7
Estudios primarios incompletos;Hombres;Valor absoluto;2015T4;4,1
Estudios primarios incompletos;Hombres;Valor absoluto;2015T3;3
Estudios primarios incompletos;Hombres;Valor absoluto;2015T2;4
Estudios primarios incompletos;Hombres;Valor absoluto;2015T1;4
Estudios primarios incompletos;Hombres;Valor absoluto;2014T4;2,5
Estudios primarios incompletos;Hombres;Valor absoluto;2014T3;1,8
Estudios primarios incompletos;Hombres;Valor absoluto;2014T2;3,3
Estudios primarios incompletos;Hombres;Valor absoluto;2014T1;5,1
Estudios primarios incompletos;Hombres;Porcentaje;2025T4;3,3
Estudios primarios incompletos;Hombres;Porcentaje;2025T3;1,6
Estudios primarios incompletos;Hombres;Porcentaje;2025T2;2,3
Estudios primarios incompletos;Hombres;Porcentaje;2025T1;3,5
Estudios primarios incompletos;Hombres;Porcentaje;2024T4;2,8
Estudios primarios incompletos;Hombres;Porcentaje;2024T3;..
Estudios primarios incompletos;Hombres;Porcentaje;2024T2;1,5
Estudios primarios incompletos;Hombres;Porcentaje;2024T1;4
Estudios primarios incompletos;Hombres;Porcentaje;2023T4;0,5
Estudios primarios incompletos;Hombres;Porcentaje;2023T3;0,5
Estudios primarios incompletos;Hombres;Porcentaje;2023T2;1,4
Estudios primarios incompletos;Hombres;Porcentaje;2023T1;0,9
Estudios primarios incompletos;Hombres;Porcentaje;2022T4;0,3
Estudios primarios incompletos;Hombres;Porcentaje;2022T3;0,6
Estudios primarios incompletos;Hombres;Porcentaje;2022T2;1,2
Estudios primarios incompletos;Hombres;Porcentaje;2022T1;1,5
Estudios primarios incompletos;Hombres;Porcentaje;2021T4;1,1
Estudios primarios incompletos;Hombres;Porcentaje;2021T3;0,5
Estudios primarios incompletos;Hombres;Porcentaje;2021T2;0,3
Estudios primarios incompletos;Hombres;Porcentaje;2021T1;2,3
Estudios primarios incompletos;Hombres;Porcentaje;2020T4;2
Estudios primarios incompletos;Hombres;Porcentaje;2020T3;0,7
Estudios primarios incompletos;Hombres;Porcentaje;2020T2;0,6
Estudios primarios incompletos;Hombres;Porcentaje;2020T1;1,2
Estudios primarios incompletos;Hombres;Porcentaje;2019T4;1,2
Estudios primarios incompletos;Hombres;Porcentaje;2019T3;2,2
Estudios primarios incompletos;Hombres;Porcentaje;2019T2;2,1
Estudios primarios incompletos;Hombres;Porcentaje;2019T1;2,3
Estudios primarios incompletos;Hombres;Porcentaje;2018T4;1,5
Estudios primarios incompletos;Hombres;Porcentaje;2018T3;1,3
Estudios primarios incompletos;Hombres;Porcentaje;2018T2;1,1
Estudios primarios incompletos;Hombres;Porcentaje;2018T1;3,7
Estudios primarios incompletos;Hombres;Porcentaje;2017T4;2
Estudios primarios incompletos;Hombres;Porcentaje;2017T3;1,4
Estudios primarios incompletos;Hombres;Porcentaje;2017T2;1
Estudios primarios incompletos;Hombres;Porcentaje;2017T1;1,8
Estudios primarios incompletos;Hombres;Porcentaje;2016T4;1,5
Estudios primarios incompletos;Hombres;Porcentaje;2016T3;0,8
Estudios primarios incompletos;Hombres;Porcentaje;2016T2;1,1
Estudios primarios incompletos;Hombres;Porcentaje;2016T1;0,9
Estudios primarios incompletos;Hombres;Porcentaje;2015T4;2
Estudios primarios incompletos;Hombres;Porcentaje;2015T3;1,1
Estudios primarios incompletos;Hombres;Porcentaje;2015T2;1,5
Estudios primarios incompletos;Hombres;Porcentaje;2015T1;1,5
Estudios primarios incompletos;Hombres;Porcentaje;2014T4;1
Estudios primarios incompletos;Hombres;Porcentaje;2014T3;0,7
Estudios primarios incompletos;Hombres;Porcentaje;2014T2;1,3
Estudios primarios incompletos;Hombres;Porcentaje;2014T1;2,1
Estudios primarios incompletos;Mujeres;Valor absoluto;2025T4;1,7
Estudios primarios incompletos;Mujeres;Valor absoluto;2025T3;2,4
Estudios primarios incompletos;Mujeres;Valor absoluto;2025T2;2
Estudios primarios incompletos;Mujeres;Valor absoluto;2025T1;2,1
Estudios primarios incompletos;Mujeres;Valor absoluto;2024T4;4,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2024T3;2,5
Estudios primarios incompletos;Mujeres;Valor absoluto;2024T2;7,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2024T1;4,9
Estudios primarios incompletos;Mujeres;Valor absoluto;2023T4;6,8
Estudios primarios incompletos;Mujeres;Valor absoluto;2023T3;2,9
Estudios primarios incompletos;Mujeres;Valor absoluto;2023T2;3
Estudios primarios incompletos;Mujeres;Valor absoluto;2023T1;2,6
Estudios primarios incompletos;Mujeres;Valor absoluto;2022T4;2,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2022T3;3,1
Estudios primarios incompletos;Mujeres;Valor absoluto;2022T2;3,5
Estudios primarios incompletos;Mujeres;Valor absoluto;2022T1;2,5
Estudios primarios incompletos;Mujeres;Valor absoluto;2021T4;2,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2021T3;6,4
Estudios primarios incompletos;Mujeres;Valor absoluto;2021T2;3
Estudios primarios incompletos;Mujeres;Valor absoluto;2021T1;6,8
Estudios primarios incompletos;Mujeres;Valor absoluto;2020T4;8,6
Estudios primarios incompletos;Mujeres;Valor absoluto;2020T3;9
Estudios primarios incompletos;Mujeres;Valor absoluto;2020T2;4,6
Estudios primarios incompletos;Mujeres;Valor absoluto;2020T1;3,9
Estudios primarios incompletos;Mujeres;Valor absoluto;2019T4;2,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2019T3;7
Estudios primarios incompletos;Mujeres;Valor absoluto;2019T2;5,6
Estudios primarios incompletos;Mujeres;Valor absoluto;2019T1;2,4
Estudios primarios incompletos;Mujeres;Valor absoluto;2018T4;3,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2018T3;3,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2018T2;5,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2018T1;7,7
Estudios primarios incompletos;Mujeres;Valor absoluto;2017T4;3,8
Estudios primarios incompletos;Mujeres;Valor absoluto;2017T3;4,4
Estudios primarios incompletos;Mujeres;Valor absoluto;2017T2;4,9
Estudios primarios incompletos;Mujeres;Valor absoluto;2017T1;6,4
Estudios primarios incompletos;Mujeres;Valor absoluto;2016T4;6
Estudios primarios incompletos;Mujeres;Valor absoluto;2016T3;7,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2016T2;6,7
Estudios primarios incompletos;Mujeres;Valor absoluto;2016T1;5,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2015T4;7,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2015T3;4,4
Estudios primarios incompletos;Mujeres;Valor absoluto;2015T2;12,2
Estudios primarios incompletos;Mujeres;Valor absoluto;2015T1;7,7
Estudios primarios incompletos;Mujeres;Valor absoluto;2014T4;8,4
Estudios primarios incompletos;Mujeres;Valor absoluto;2014T3;13
Estudios primarios incompletos;Mujeres;Valor absoluto;2014T2;10
Estudios primarios incompletos;Mujeres;Valor absoluto;2014T1;11,9
Estudios primarios incompletos;Mujeres;Porcentaje;2025T4;1,3
Estudios primarios incompletos;Mujeres;Porcentaje;2025T3;1,4
Estudios primarios incompletos;Mujeres;Porcentaje;2025T2;1,3
Estudios primarios incompletos;Mujeres;Porcentaje;2025T1;1,5
Estudios primarios incompletos;Mujeres;Porcentaje;2024T4;3,1
Estudios primarios incompletos;Mujeres;Porcentaje;2024T3;1,4
Estudios primarios incompletos;Mujeres;Porcentaje;2024T2;4,5
Estudios primarios incompletos;Mujeres;Porcentaje;2024T1;3,7
Estudios primarios incompletos;Mujeres;Porcentaje;2023T4;4,1
Estudios primarios incompletos;Mujeres;Porcentaje;2023T3;1,7
Estudios primarios incompletos;Mujeres;Porcentaje;2023T2;2
Estudios primarios incompletos;Mujeres;Porcentaje;2023T1;1,5
Estudios primarios incompletos;Mujeres;Porcentaje;2022T4;1,2
Estudios primarios incompletos;Mujeres;Porcentaje;2022T3;1,6
Estudios primarios incompletos;Mujeres;Porcentaje;2022T2;2
Estudios primarios incompletos;Mujeres;Porcentaje;2022T1;1,5
Estudios primarios incompletos;Mujeres;Porcentaje;2021T4;1,2
Estudios primarios incompletos;Mujeres;Porcentaje;2021T3;3,3
Estudios primarios incompletos;Mujeres;Porcentaje;2021T2;1,5
Estudios primarios incompletos;Mujeres;Porcentaje;2021T1;3,9
Estudios primarios incompletos;Mujeres;Porcentaje;2020T4;4,9
Estudios primarios incompletos;Mujeres;Porcentaje;2020T3;4,8
Estudios primarios incompletos;Mujeres;Porcentaje;2020T2;3,7
Estudios primarios incompletos;Mujeres;Porcentaje;2020T1;2,3
Estudios primarios incompletos;Mujeres;Porcentaje;2019T4;1,4
Estudios primarios incompletos;Mujeres;Porcentaje;2019T3;3,5
Estudios primarios incompletos;Mujeres;Porcentaje;2019T2;3,2
Estudios primarios incompletos;Mujeres;Porcentaje;2019T1;1,4
Estudios primarios incompletos;Mujeres;Porcentaje;2018T4;1,8
Estudios primarios incompletos;Mujeres;Porcentaje;2018T3;1,7
Estudios primarios incompletos;Mujeres;Porcentaje;2018T2;2,7
Estudios primarios incompletos;Mujeres;Porcentaje;2018T1;4
Estudios primarios incompletos;Mujeres;Porcentaje;2017T4;1,8
Estudios primarios incompletos;Mujeres;Porcentaje;2017T3;2
Estudios primarios incompletos;Mujeres;Porcentaje;2017T2;2,3
Estudios primarios incompletos;Mujeres;Porcentaje;2017T1;3
Estudios primarios incompletos;Mujeres;Porcentaje;2016T4;2,5
Estudios primarios incompletos;Mujeres;Porcentaje;2016T3;2,7
Estudios primarios incompletos;Mujeres;Porcentaje;2016T2;2,4
Estudios primarios incompletos;Mujeres;Porcentaje;2016T1;2,1
Estudios primarios incompletos;Mujeres;Porcentaje;2015T4;2,8
Estudios primarios incompletos;Mujeres;Porcentaje;2015T3;1,5
Estudios primarios incompletos;Mujeres;Porcentaje;2015T2;4
Estudios primarios incompletos;Mujeres;Porcentaje;2015T1;2,8
Estudios primarios incompletos;Mujeres;Porcentaje;2014T4;2,7
Estudios primarios incompletos;Mujeres;Porcentaje;2014T3;4,1
Estudios primarios incompletos;Mujeres;Porcentaje;2014T2;3,4
Estudios primarios incompletos;Mujeres;Porcentaje;2014T1;4,3
Educación primaria;Ambos sexos;Valor absoluto;2025T4;26,1
Educación primaria;Ambos sexos;Valor absoluto;2025T3;25,8
Educación primaria;Ambos sexos;Valor absoluto;2025T2;27,3
Educación primaria;Ambos sexos;Valor absoluto;2025T1;23,5
Educación primaria;Ambos sexos;Valor absoluto;2024T4;23,9
Educación primaria;Ambos sexos;Valor absoluto;2024T3;22,9
Educación primaria;Ambos sexos;Valor absoluto;2024T2;33,6
Educación primaria;Ambos sexos;Valor absoluto;2024T1;21,6
Educación primaria;Ambos sexos;Valor absoluto;2023T4;34,8
Educación primaria;Ambos sexos;Valor absoluto;2023T3;24,9
Educación primaria;Ambos sexos;Valor absoluto;2023T2;31,5
Educación primaria;Ambos sexos;Valor absoluto;2023T1;49,3
Educación primaria;Ambos sexos;Valor absoluto;2022T4;40
Educación primaria;Ambos sexos;Valor absoluto;2022T3;25,9
Educación primaria;Ambos sexos;Valor absoluto;2022T2;25,6
Educación primaria;Ambos sexos;Valor absoluto;2022T1;23,6
Educación primaria;Ambos sexos;Valor absoluto;2021T4;27,7
Educación primaria;Ambos sexos;Valor absoluto;2021T3;31,6
Educación primaria;Ambos sexos;Valor absoluto;2021T2;30,5
Educación primaria;Ambos sexos;Valor absoluto;2021T1;20,1
Educación primaria;Ambos sexos;Valor absoluto;2020T4;23,2
Educación primaria;Ambos sexos;Valor absoluto;2020T3;29
Educación primaria;Ambos sexos;Valor absoluto;2020T2;22
Educación primaria;Ambos sexos;Valor absoluto;2020T1;32,9
Educación primaria;Ambos sexos;Valor absoluto;2019T4;29,1
Educación primaria;Ambos sexos;Valor absoluto;2019T3;32,5
Educación primaria;Ambos sexos;Valor absoluto;2019T2;28
Educación primaria;Ambos sexos;Valor absoluto;2019T1;37,2
Educación primaria;Ambos sexos;Valor absoluto;2018T4;31,2
Educación primaria;Ambos sexos;Valor absoluto;2018T3;35,8
Educación primaria;Ambos sexos;Valor absoluto;2018T2;48,5
Educación primaria;Ambos sexos;Valor absoluto;2018T1;43,4
Educación primaria;Ambos sexos;Valor absoluto;2017T4;42,7
Educación primaria;Ambos sexos;Valor absoluto;2017T3;39,4
Educación primaria;Ambos sexos;Valor absoluto;2017T2;47,4
Educación primaria;Ambos sexos;Valor absoluto;2017T1;40,4
Educación primaria;Ambos sexos;Valor absoluto;2016T4;46,5
Educación primaria;Ambos sexos;Valor absoluto;2016T3;51,7
Educación primaria;Ambos sexos;Valor absoluto;2016T2;59,6
Educación primaria;Ambos sexos;Valor absoluto;2016T1;54,5
Educación primaria;Ambos sexos;Valor absoluto;2015T4;53,4
Educación primaria;Ambos sexos;Valor absoluto;2015T3;53,2
Educación primaria;Ambos sexos;Valor absoluto;2015T2;70,6
Educación primaria;Ambos sexos;Valor absoluto;2015T1;65
Educación primaria;Ambos sexos;Valor absoluto;2014T4;67,4
Educación primaria;Ambos sexos;Valor absoluto;2014T3;70,2
Educación primaria;Ambos sexos;Valor absoluto;2014T2;70,6
Educación primaria;Ambos sexos;Valor absoluto;2014T1;56,6
Educación primaria;Ambos sexos;Porcentaje;2025T4;11
Educación primaria;Ambos sexos;Porcentaje;2025T3;8,2
Educación primaria;Ambos sexos;Porcentaje;2025T2;10,3
Educación primaria;Ambos sexos;Porcentaje;2025T1;9
Educación primaria;Ambos sexos;Porcentaje;2024T4;9,6
Educación primaria;Ambos sexos;Porcentaje;2024T3;7
Educación primaria;Ambos sexos;Porcentaje;2024T2;11,7
Educación primaria;Ambos sexos;Porcentaje;2024T1;8
Educación primaria;Ambos sexos;Porcentaje;2023T4;11,3
Educación primaria;Ambos sexos;Porcentaje;2023T3;7,4
Educación primaria;Ambos sexos;Porcentaje;2023T2;10,6
Educación primaria;Ambos sexos;Porcentaje;2023T1;15,4
Educación primaria;Ambos sexos;Porcentaje;2022T4;12,1
Educación primaria;Ambos sexos;Porcentaje;2022T3;7,3
Educación primaria;Ambos sexos;Porcentaje;2022T2;7,8
Educación primaria;Ambos sexos;Porcentaje;2022T1;7,4
Educación primaria;Ambos sexos;Porcentaje;2021T4;8,5
Educación primaria;Ambos sexos;Porcentaje;2021T3;8,7
Educación primaria;Ambos sexos;Porcentaje;2021T2;7,9
Educación primaria;Ambos sexos;Porcentaje;2021T1;6
Educación primaria;Ambos sexos;Porcentaje;2020T4;7,3
Educación primaria;Ambos sexos;Porcentaje;2020T3;8,3
Educación primaria;Ambos sexos;Porcentaje;2020T2;9,1
