fecha,año,trimestre,mes,periodo,USD_heur,CAD_heur,GBP_heur,CHF_heur,SEK_heur,DKK_heur,NOK_heur,JPY_heur
1976-07-01,1976,3,7,1976Q3,0.40794897948966374,0.4207986212160184,0.7280240118451269,0.16543760113173162,0.09172346446564943,0.06649297659873973,0.0734136294675507,0.0013746949377522256
1976-07-02,1976,3,7,1976Q3,0.40809323486689086,0.42133350328065744,0.7339139047900806,0.16526931847616153,0.09176553512954194,0.06635774864598547,0.07323332744111102,0.0013738836732062657
1976-07-03,1976,3,7,1976Q3,0.40809323486689086,0.42133350328065744,0.7339139047900806,0.16526931847616153,0.09176553512954194,0.06635774864598547,0.07323332744111102,0.0013738836732062657
1976-07-04,1976,3,7,1976Q3,0.40809323486689086,0.42133350328065744,0.7339139047900806,0.16526931847616153,0.09176553512954194,0.06635774864598547,0.07323332744111102,0.0013738836732062657
1976-07-05,1976,3,7,1976Q3,0.40819539665343313,0.4208887693633892,0.7339740188395225,0.16515211671386254,0.0916994199922122,0.06638479079751747,0.07319726359680426,0.0013794729959040089
1976-07-06,1976,3,7,1976Q3,0.40815935573591866,0.4213395559538278,0.7361556865423483,0.16514310648448394,0.0914950792240334,0.06631567798209294,0.07303198435102702,0.0013780907395955179
1976-07-07,1976,3,7,1976Q3,0.40815935573591866,0.4214627645357125,0.7368077703692862,0.16504393664433836,0.09137487405194156,0.06620749218087067,0.07299892964821118,0.001376858653776671
1976-07-08,1976,3,7,1976Q3,0.40832163157190304,0.4214657450187131,0.7344878999624038,0.16434375240712976,0.09145901537972662,0.06625557539604703,0.07295084643303483,0.0013778202034462363
1976-07-09,1976,3,7,1976Q3,0.4083756929481747,0.4220517538302079,0.7273568880424323,0.1648636288862006,0.09148906667274957,0.06632769735296251,0.07296887835518823,0.0013784512634046242
1976-07-10,1976,3,7,1976Q3,0.4083756929481747,0.4220517538302079,0.7273568880424323,0.1648636288862006,0.09148906667274957,0.06632769735296251,0.07296887835518823,0.0013784512634046242
1976-07-11,1976,3,7,1976Q3,0.4083756929481747,0.4220517538302079,0.7273568880424323,0.1648636288862006,0.09148906667274957,0.06632769735296251,0.07296887835518823,0.0013784512634046242
1976-07-12,1976,3,7,1976Q3,0.4083576724894175,0.4219135052725665,0.7284266521717104,0.16477948755841557,0.09142896408670365,0.06632168480167869,0.0730229683899503,0.0013786315826261582
1976-07-13,1976,3,7,1976Q3,0.40833965203066025,0.4218954848138093,0.7319876874071953,0.16431971366539064,0.09128772931436364,0.06628562668906998,0.07314317356204214,0.0013849422968439985
1976-07-14,1976,3,7,1976Q3,0.40822543075136186,0.42124335513328665,0.7283545703366814,0.16486963570578636,0.09141093789624834,0.06627661072799329,0.0731912567772185,0.001394708651833066
1976-07-15,1976,3,7,1976Q3,0.4081653625555044,0.4191428482752455,0.7275912457134456,0.1647133781527839,0.09133280338804903,0.06629764605993956,0.07308307097599624,0.0013941678088024256
1976-07-16,1976,3,7,1976Q3,0.40868823098097196,0.4193111309308156,0.7248055945939524,0.1646232300054131,0.09144699600885704,0.06625557539604703,0.07309509034686579,0.0013909222920827384
1976-07-17,1976,3,7,1976Q3,0.40868823098097196,0.4193111309308156,0.7248055945939524,0.1646232300054131,0.09144699600885704,0.06625557539604703,0.07309509034686579,0.0013909222920827384
1976-07-18,1976,3,7,1976Q3,0.40868823098097196,0.4193111309308156,0.7248055945939524,0.1646232300054131,0.09144699600885704,0.06625557539604703,0.07309509034686579,0.0013909222920827384
1976-07-19,1976,3,7,1976Q3,0.40910893761989725,0.419948174781997,0.7254306248059623,0.165079989025249,0.09161527866442716,0.0662495628447632,0.0731581963427046,0.0013933864637204324
1976-07-20,1976,3,7,1976Q3,0.40894065496432713,0.4193051241112299,0.7274650566485602,0.16481555140272233,0.09139290597409495,0.06621951155174025,0.07312814504968164,0.0013941076259726065
1976-07-21,1976,3,7,1976Q3,0.4089346481447414,0.41952146132348594,0.7290066541636193,0.16413339908766714,0.0914079287547574,0.06624355602517745,0.0731131222690192,0.0013916736030668028
1976-07-22,1976,3,7,1976Q3,0.4091209512590687,0.4195094476843145,0.7308096629646198,0.16405526457946784,0.09147103475059618,0.06629464265014667,0.07316420889398842,0.0013932061444988984
1976-07-23,1976,3,7,1976Q3,0.40940946201352296,0.4203388473229935,0.7294033335242016,0.16312069974445365,0.09135383871999529,0.06624355602517745,0.07309809948835677,0.0013932662126947561
1976-07-24,1976,3,7,1976Q3,0.40940946201352296,0.4203388473229935,0.7294033335242016,0.16312069974445365,0.09135383871999529,0.06624355602517745,0.07309809948835677,0.0013932662126947561
1976-07-25,1976,3,7,1976Q3,0.40940946201352296,0.4203388473229935,0.7294033335242016,0.16312069974445365,0.09135383871999529,0.06624355602517745,0.07309809948835677,0.0013932662126947561
1976-07-26,1976,3,7,1976Q3,0.4095116238000653,0.4205642176914205,0.728477778918566,0.16333705988350203,0.09135383871999529,0.06627661072799329,0.07310410630794249,0.0013953697458893826
