fecha,año,mes,trimestre,ipi_constantes_2025_total_industria,ipi_constantes_2025_energia,ipi_constantes_2025_bienes_equipo,ipi_constantes_2025_bienes_intermedios,ipi_constantes_2025_bienes_consumo,ratio_equipo_consumo,crecimiento_ipi_yoy,indice_relativo_ipi
1976-07-01,1976.0,8.0,3.0,85.53651322222221,61.09305518888889,159.41825530555556,66.25028617777778,69.68803474999997,2.3649352851890293,,68.36347154815337
1976-10-01,1976.0,11.0,4.0,100.4188293111111,79.64461758888888,186.5406703611111,79.71872590000001,74.36781699999999,2.5197882193462458,,80.25788662525824
1977-01-01,1977.0,2.0,1.0,100.67645933333334,78.0179411,195.370268625,81.30948350555555,73.39474374999999,2.6822214643534656,,80.46379264165597
1977-04-01,1977.0,5.0,2.0,100.93408935555556,64.85419022222221,206.05323443055553,82.40253572222224,74.41421299999999,2.795410220887201,,80.66969865805369
1977-07-01,1977.0,8.0,3.0,86.20610034166667,67.39531788888888,124.78323734722221,77.78033437777778,73.99706325000001,1.6826318836523069,0.8225441494913333,68.89862663297927
1977-10-01,1977.0,11.0,4.0,103.04489896944443,75.78192614444445,200.9801260833333,80.46452412777778,78.21329974999999,2.575643679634832,2.6485051292015913,82.35672408785777
1978-01-01,1978.0,2.0,1.0,101.13985878888887,79.74661747777778,205.7117353472222,81.06063081111112,77.33343275,2.6727742229602387,0.7068212923764658,80.83415606076096
1978-04-01,1978.0,5.0,2.0,103.25150486388888,71.15689640000001,203.32124176388888,86.87542545000001,86.32224349999997,2.355364280778513,2.37071997300613,82.52185001659232
1978-07-01,1978.0,8.0,3.0,88.62598233611111,64.14285186666666,158.83288215277778,73.9537018,76.45273724999998,2.0264081406102084,2.8156393082428237,70.8326724298579
1978-10-01,1978.0,11.0,4.0,106.85623402222221,79.0853921111111,202.19949643055554,86.92519598888892,87.43450475000002,2.308581156853471,3.7176522047136284,85.40286293109227
1979-01-01,1979.0,2.0,1.0,102.22098477499999,82.64341432222221,198.49200748611108,82.94925179444444,81.78123499999998,2.4265904502467017,1.055630907404866,81.69822595100142
1979-04-01,1979.0,5.0,2.0,104.22974613333331,73.24035499999998,208.24847798611108,88.41603258888891,85.44196225,2.4304303332827657,0.9523395095915747,83.30369120547911
1979-07-01,1979.0,8.0,3.0,90.11948365,71.86823475555555,140.1981893472222,78.02880714444446,84.0057575,1.6405032868857574,1.8489137995702103,72.02632565154016
1979-10-01,1979.0,11.0,4.0,106.59818576944441,83.60930892222221,206.44373448611108,85.88153438333335,86.50741325,2.3892348126402285,-0.3004484190998524,85.19662265168091
1980-01-01,1980.0,2.0,1.0,106.23767103055553,92.30058641111111,196.1018908333333,90.65266741666669,85.99788574999998,2.2805645953696536,4.057615637311603,84.90848793392956
1980-04-01,1980.0,5.0,2.0,104.02397669999998,82.9990835,186.49166938888888,90.05618080555554,87.66565624999998,2.1383216099292817,-0.05052000663792559,83.13923380277184
