fecha,año,mes,trimestre,periodo,ipi_corrientes_total_industria,ipi_corrientes_energia,ipi_corrientes_bienes_equipo,ipi_corrientes_bienes_intermedios,ipi_corrientes_bienes_consumo
1976-07-01,1976,7,3,1976T3,9.831474,3.796875,24.1846572,9.759202199999999,8.071087499999999
1976-08-01,1976,8,3,1976T3,6.477853200000001,3.1655610000000003,18.4031913,6.3588211999999995,5.7650698
1976-09-01,1976,9,3,1976T3,10.204554300000002,4.1960429999999995,19.258589999999998,11.005712,9.6609494
1976-10-01,1976,10,4,1976T4,10.580855999999999,4.6973519999999995,22.428675,11.567122399999999,9.1711004
1976-11-01,1976,11,4,1976T4,10.8655496,4.8630336,26.624275199999996,10.885468099999999,8.6314592
1976-12-01,1976,12,4,1976T4,10.4552522,5.0594448,25.0174622,10.6789349,8.3312256
1977-01-01,1977,1,1,1977T1,10.3255272,5.265158400000001,24.738363,10.73728,8.4102473
1977-02-01,1977,2,1,1977T1,10.955067600000001,4.3659138,30.760607,10.9251824,8.4988345
1977-03-01,1977,3,1,1977T1,12.3946904,5.0885154,28.710616800000004,13.326099,10.564119
1977-04-01,1977,4,2,1977T2,11.6575179,4.2584414,32.361695,12.0831692,9.1889862
1977-05-01,1977,5,2,1977T2,12.410487600000002,4.664015099999999,28.5485214,13.7439932,10.768504499999999
1977-06-01,1977,6,2,1977T2,11.9076192,4.610898000000001,32.6797388,12.165254400000002,9.3556494
1977-07-01,1977,7,3,1977T3,11.2427352,4.2177573,29.5514082,11.608839,9.022427700000001
1977-08-01,1977,8,3,1977T3,7.995906,5.294266599999999,6.2967938,11.242687500000002,9.361374
1977-09-01,1977,9,3,1977T3,13.1979696,5.6472044,24.973062400000003,14.445173599999999,12.5220601
1977-10-01,1977,10,4,1977T4,13.4197152,5.0789511,36.614047299999996,13.3544046,11.0514885
1977-11-01,1977,11,4,1977T4,13.510592500000003,5.924385000000001,34.6657896,13.126750499999998,11.4467276
1977-12-01,1977,12,4,1977T4,13.731444000000002,6.709528199999999,31.491666200000004,13.9792826,11.9389732
1978-01-01,1978,1,1,1978T1,13.420341599999999,7.149744000000001,29.476684799999997,14.4116196,12.1265742
1978-02-01,1978,2,1,1978T1,13.573936000000002,5.745952800000001,38.3864376,13.5680767,11.325121700000002
1978-03-01,1978,3,1,1978T1,14.022855,5.769723,41.080032,13.761435,11.8114359
1978-04-01,1978,4,2,1978T2,13.973902,5.841137400000001,34.275991,15.237746999999999,13.3826
1978-05-01,1978,5,2,1978T2,14.3787168,5.412858600000001,37.985071600000005,15.4766846,13.1875168
1978-06-01,1978,6,2,1978T2,15.099493500000001,5.4009216,40.5238005,16.0955361,14.167524799999999
1978-07-01,1978,7,3,1978T3,13.659585800000002,4.7942106,39.1796577,13.414536,11.872454399999999
1978-08-01,1978,8,3,1978T3,9.3789605,5.0440572,13.327725000000001,12.310373000000002,10.4275224
1978-09-01,1978,9,3,1978T3,15.2750525,5.199876499999999,38.310015,15.4994023,14.524458300000001
1978-10-01,1978,10,4,1978T4,15.986427,5.4030529000000005,45.620933400000006,16.074364,14.266556399999999
1978-11-01,1978,11,4,1978T4,16.2450657,6.1202197,42.34359659999999,16.8892093,14.801712700000001
1978-12-01,1978,12,4,1978T4,15.046842000000002,7.0765464,32.9331376,16.4869856,14.021265000000001
1979-01-01,1979,1,1,1979T1,15.706062000000001,6.741847699999999,43.3546177,16.081343,13.7777692
1979-02-01,1979,2,1,1979T1,14.9084528,6.1194464,38.4120935,15.844830400000001,13.599154799999999
1979-03-01,1979,3,1,1979T1,16.4034914,6.6800412,42.634227,17.3598372,14.693052599999998
1979-04-01,1979,4,2,1979T2,15.251528499999997,6.16063,36.931475,17.4888243,14.3169592
1979-05-01,1979,5,2,1979T2,17.274784800000003,5.6170822,50.7759057,18.3190992,15.587300400000002
1979-06-01,1979,6,2,1979T2,16.903698000000002,5.9976061,46.415633799999995,18.4597412,15.675316800000001
1979-07-01,1979,7,3,1979T3,16.5160877,6.0247582,43.890482999999996,16.8895486,14.9778568
1979-08-01,1979,8,3,1979T3,11.0445356,6.9938228,14.641834999999999,13.7195544,13.337894500000003
1979-09-01,1979,9,3,1979T3,17.38506,7.5226478000000006,35.69797,18.932254000000004,17.797477400000002
1979-10-01,1979,10,4,1979T4,18.655663999999998,7.3455525,49.15649820000001,19.018601699999998,17.1877344
1979-11-01,1979,11,4,1979T4,19.08683,8.289567,50.1697178,19.605171600000002,17.2988398
1979-12-01,1979,12,4,1979T4,17.0844904,8.6288202,43.955447899999996,17.9213736,14.7559406
1980-01-01,1980,1,1,1980T1,18.7178872,9.3730724,45.5941629,20.426362400000002,16.7569248
1980-02-01,1980,2,1,1980T1,19.4634731,10.3855014,47.6277648,20.541330399999996,17.4125875
1980-03-01,1980,3,1,1980T1,19.898722799999998,10.724616,47.136480600000006,21.8304978,17.8070109
1980-04-01,1980,4,2,1980T2,19.0081174,9.9750762,48.102318000000004,20.480366399999998,16.5068694
1980-05-01,1980,5,2,1980T2,20.1274752,9.7743712,45.5722792,22.3642476,18.7963314
1980-06-01,1980,6,2,1980T2,19.3732812,9.452130599999998,43.4104524,21.6413868,18.1744367
1980-07-01,1980,7,3,1980T3,19.619938400000002,9.813804,43.217779,20.080125,17.883660000000003
1980-08-01,1980,8,3,1980T3,11.9280604,10.3284054,8.0465777,15.4271192,14.752447199999999
1980-09-01,1980,9,3,1980T3,20.5229858,9.494802799999999,48.8719826,19.350818099999998,18.425000999999998
1980-10-01,1980,10,4,1980T4,22.4623482,10.2297888,55.498464000000006,22.1496015,19.3491771
1980-11-01,1980,11,4,1980T4,21.543974399999996,10.7755704,52.972675,21.490027199999997,17.780748000000003
1980-12-01,1980,12,4,1980T4,20.6015112,12.3525864,43.482234,21.722669100000005,17.6135317
1981-01-01,1981,1,1,1981T1,20.745072,13.397628499999998,49.123716,20.886340500000003,17.437806399999996
1981-02-01,1981,2,1,1981T1,21.3479928,12.377204,55.6942536,20.824452,17.458660799999997
1981-03-01,1981,3,1,1981T1,22.6808855,12.512052,51.4712352,24.096794499999998,19.7874651
1981-04-01,1981,4,2,1981T2,22.1926105,13.498950400000002,46.24157590000001,23.6364931,19.334336699999998
1981-05-01,1981,5,2,1981T2,23.0847275,13.6049316,43.7684104,25.391445299999997,21.4386414
1981-06-01,1981,6,2,1981T2,23.31146,13.001975999999999,47.2635188,25.0774986,20.807207
1981-07-01,1981,7,3,1981T3,23.9700103,13.058019,41.7629899,24.226047899999998,22.379329000000002
1981-08-01,1981,8,3,1981T3,13.4186316,12.589213399999998,8.2515598,16.975161,15.746338399999999
1981-09-01,1981,9,3,1981T3,23.401875599999997,13.120619099999999,42.677593200000004,23.1727338,22.547202600000002
1981-10-01,1981,10,4,1981T4,25.1333821,14.5754551,46.506441599999995,25.2,23.9058864
1981-11-01,1981,11,4,1981T4,24.868385599999996,14.939164100000001,49.4447616,25.149166599999997,22.5553579
1981-12-01,1981,12,4,1981T4,23.801504,16.7426187,46.55905280000001,24.0313424,20.7641763
1982-01-01,1982,1,1,1982T1,22.9868632,17.527860999999998,40.7524286,24.738983999999995,20.953434
1982-02-01,1982,2,1,1982T1,24.000421799999998,16.266500399999998,45.83797839999999,25.659910399999998,22.079402799999997
1982-03-01,1982,3,1,1982T1,26.664015,17.5091013,47.406924200000006,29.4724224,25.166875
1982-04-01,1982,4,2,1982T2,24.608506,16.4020008,42.3757776,26.588510000000007,23.6093265
1982-05-01,1982,5,2,1982T2,26.0916658,15.294959799999999,45.27983040000001,28.770552,24.8713348
1982-06-01,1982,6,2,1982T2,25.435224899999998,15.3250443,45.117278999999996,27.1407158,24.640052
1982-07-01,1982,7,3,1982T3,25.7803125,14.653655099999998,48.25433340000001,25.0055424,23.796108
1982-08-01,1982,8,3,1982T3,14.6098477,14.653655099999998,8.913224,17.727225699999998,18.155747400000003
1982-09-01,1982,9,3,1982T3,26.955431099999995,14.3034426,51.9326444,25.9081875,25.0796345
1982-10-01,1982,10,4,1982T4,26.527313200000002,15.6755115,47.3638329,28.3083883,25.206284
1982-11-01,1982,11,4,1982T4,27.622722999999997,16.405226999999996,52.86451340000001,28.2478312,25.052945400000002
1982-12-01,1982,12,4,1982T4,26.720279100000003,22.0400855,48.125744000000005,26.47125,23.4948021
1983-01-01,1983,1,1,1983T1,27.6024222,23.146411200000003,47.756262,28.6166797,24.683287200000006
1983-02-01,1983,2,1,1983T1,27.926011199999998,22.220387200000005,48.576359700000005,28.5280303,25.352184
1983-03-01,1983,3,1,1983T1,30.5925542,22.6526379,54.029466400000004,31.623559799999995,27.701724
1983-04-01,1983,4,2,1983T2,28.8031864,21.6511167,48.4024,30.7271762,27.8125112
1983-05-01,1983,5,2,1983T2,30.6067923,21.271478700000003,50.588780400000005,33.296838400000006,30.433670399999997
1983-06-01,1983,6,2,1983T2,30.120321000000004,19.9936654,47.8743999,33.1415896,30.7788096
1983-07-01,1983,7,3,1983T3,28.867426000000002,18.128919699999997,49.01788839999999,29.1786712,27.845679899999997
1983-08-01,1983,8,3,1983T3,17.548997,17.4729896,11.7447,20.971951,21.574602
1983-09-01,1983,9,3,1983T3,31.0863065,18.4742095,53.654520000000005,30.327197600000005,31.4144115
1983-10-01,1983,10,4,1983T4,31.302035699999998,20.084691000000003,52.67532059999999,32.682686399999994,31.080510499999995
1983-11-01,1983,11,4,1983T4,32.2618418,21.6656715,53.805315300000004,34.107185,30.913825799999998
1983-12-01,1983,12,4,1983T4,32.0259675,26.934131999999998,48.849830399999995,34.16953650000001,29.5474878
1984-01-01,1984,1,1,1984T1,32.3776908,27.678326,48.647067,35.5194492,30.338144999999994
1984-02-01,1984,2,1,1984T1,33.249373199999994,26.350305600000006,50.936792700000005,37.146436,31.0757616
1984-03-01,1984,3,1,1984T1,34.4932884,27.361405599999998,50.092651800000006,38.7270728,33.3464014
1984-04-01,1984,4,2,1984T2,31.6858565,23.366812999999997,45.5421826,36.8468792,31.221177200000003
1984-05-01,1984,5,2,1984T2,34.99017,23.325660600000003,52.0726713,39.035466,35.731956
