fecha,año,trimestre,IPRI_total_industria_2021,IPRI_industrias_extractivas_2021,IPRI_industria_manufacturera_2021,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2021,IPRI_energia_2021,IPRI_bienes_equipo_2021,IPRI_bienes_intermedios_2021,IPRI_bienes_consumo_2021,IPRI_bienes_consumo_duradero_2021,IPRI_bienes_consumo_no_duradero_2021,IPRI_total_industria_2025,IPRI_industrias_extractivas_2025,IPRI_industria_manufacturera_2025,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2025,IPRI_energia_2025,IPRI_bienes_equipo_2025,IPRI_bienes_intermedios_2025,IPRI_bienes_consumo_2025,IPRI_bienes_consumo_duradero_2025,IPRI_bienes_consumo_no_duradero_2025,prima_energia,spread_equipo_consumo,ipri_yoy
1976-07-01,1976.0,3.0,12.966666666666667,15.203333333333333,14.156666666666666,8.22,8.1,14.633333333333333,15.556666666666667,13.956666666666665,15.479999999999999,13.666666666666666,10.334544343563826,12.590317794417032,11.908450457397217,6.194229018179537,6.088241926189462,12.94078632226685,13.648792899235238,11.230470059679476,13.76448620291058,10.940116205380669,-4.866666666666667,0.6766666666666664,
1976-10-01,1976.0,4.0,13.286666666666667,15.31,14.506666666666666,8.22,8.14,14.966666666666667,15.79,14.563333333333333,16.26,14.243333333333332,10.589587083147919,12.678651530312964,12.202867056885495,6.194229018179537,6.118307318417558,13.235565053981356,13.85351017006156,11.718634748206265,14.45804558522778,11.401735742827219,-5.1466666666666665,0.40333333333333243,
1977-01-01,1977.0,1.0,13.973333333333334,15.713333333333333,15.283333333333333,8.6,8.37,16.236666666666668,16.326666666666668,15.479999999999999,17.236666666666668,15.183333333333332,11.136866295172121,13.012663469169453,12.856191510988047,6.480580237998055,6.291183323729111,14.358672021813627,14.324359892962113,12.456246228123115,15.326476777616412,12.154202272075352,-5.603333333333333,0.7566666666666665,
1977-04-01,1977.0,2.0,14.906666666666666,18.066666666666666,16.25,9.36,9.253333333333332,17.123333333333335,17.516666666666666,16.32,17.963333333333335,16.046666666666667,11.880740952292397,14.961526517373452,13.669342119098525,7.053282677635091,6.955127402099567,15.142783448174216,15.368417974176376,13.132166566083285,15.972613296185422,12.845297417732326,-5.653333333333333,0.8033333333333333,
1977-07-01,1977.0,3.0,15.729999999999999,19.09,17.153333333333332,9.72,9.94,18.400000000000002,18.19333333333333,17.266666666666666,19.203333333333333,16.88,12.536944667680642,15.808978296125048,14.429217342539694,7.324562780621057,7.471249968681884,16.27178599064078,15.962098059572725,13.89391805807014,17.075194878330716,13.512377674157976,-5.79,1.133333333333334,21.306140867270287
1977-10-01,1977.0,4.0,16.503333333333334,20.656666666666666,18.05,9.9,10.363333333333335,19.283333333333335,19.103333333333335,18.236666666666668,20.55333333333333,17.793333333333333,13.153297955008869,17.106380042096546,15.183484630752515,7.46020283211404,7.789442036429233,17.05294962968422,16.7604954157954,14.674445115000337,18.275586116956635,14.243497635200491,-6.140000000000001,1.0466666666666669,24.2083626967348
1978-01-01,1978.0,1.0,16.96,21.03333333333333,18.58,9.9,10.38,19.95,19.566666666666666,18.893333333333334,21.256666666666664,18.45,13.517265197957004,17.418308546979056,15.62931548140619,7.46020283211404,7.80196928319094,17.642507093113235,17.167005425007677,15.202843156977133,18.90097513263582,14.769156877263903,-6.580000000000001,1.0566666666666673,21.40806601588845
1978-04-01,1978.0,2.0,17.596666666666668,21.706666666666667,19.30333333333333,9.9,10.38,20.89,20.47,19.546666666666667,22.013333333333332,19.103333333333335,14.02469398192119,17.975915254822127,16.23777645368196,7.46020283211404,7.80196928319094,18.473783116548145,17.9595537163496,15.7285589753906,19.573787012063192,15.292147798301613,-7.216666666666666,1.3433333333333337,18.04089532489212
1978-07-01,1978.0,3.0,18.073333333333334,21.95,19.823333333333334,9.9,10.396666666666667,21.52333333333333,21.17,19.94333333333333,22.689999999999998,19.46666666666667,14.404601396093332,18.17742658983472,16.675195401493113,7.46020283211404,7.814496529952648,19.033862706805706,18.57370552882858,16.047743579427348,20.175464595868288,15.582994790103195,-7.676666666666667,1.5799999999999994,14.931904789884863
1978-10-01,1978.0,4.0,18.506666666666668,22.3,20.323333333333334,9.9,10.43,22.55,21.613333333333333,20.416666666666668,23.28333333333333,19.91,14.749971772613462,18.467271660743247,17.09579054361922,7.46020283211404,7.839551023476061,19.941781200486385,18.962668343398594,16.428619325420772,20.703043955066843,15.937881486521638,-8.076666666666668,2.133333333333333,12.141001085696638
1979-01-01,1979.0,1.0,19.236666666666668,23.38,21.146666666666665,9.9,10.486666666666666,23.626666666666665,22.570000000000004,21.30666666666667,24.5,20.69333333333333,15.331788022289677,19.36165073668956,17.788370544320216,7.46020283211404,7.882143662465864,20.893916503924245,19.80200915378654,17.144773016830953,21.7848780343223,16.564936927561753,-8.750000000000002,2.3200000000000003,13.422236925307582
1979-04-01,1979.0,2.0,19.830000000000002,24.433333333333334,21.873333333333335,9.95,10.770000000000001,24.263333333333332,23.316666666666666,22.093333333333334,25.040000000000003,21.53,15.80467976860185,20.23394637866188,18.399635484210155,7.497880624195422,8.095106857414878,21.456943881498955,20.45710442043078,17.77777777777778,22.265034529772667,17.234685505013108,-9.06,2.1699999999999995,12.69713023295381
1979-07-01,1979.0,3.0,20.856666666666666,25.243333333333336,22.896666666666665,10.829999999999998,12.660000000000002,25.37,24.11,22.72,25.906666666666666,22.106666666666666,16.622941891434152,20.90473068562162,19.260453541761592,8.161009764827782,9.515696640192418,22.435609270791115,21.153143141240292,18.282035807684572,23.035656065680673,17.696305042459656,-8.196666666666667,2.6499999999999986,15.395536949412202
1979-10-01,1979.0,4.0,21.516666666666666,25.323333333333334,23.646666666666665,11.396666666666667,12.87,26.17,25.02,23.59,28.33666666666667,22.653333333333332,17.148967541826348,20.970980987543566,19.891346254950758,8.588024741750134,9.673539949389925,23.14307822690593,21.951540497462968,18.982096157714746,25.196360295207327,18.13390969067488,-8.646666666666667,2.5800000000000005,16.264297948669704
1980-01-01,1980.0,1.0,22.863333333333333,27.326666666666668,25.093333333333334,12.656666666666666,14.686666666666667,26.97666666666667,26.316666666666666,25.03333333333333,33.193333333333335,23.363333333333333,18.222272404242744,22.629998964839032,21.108268199502294,9.537505102201012,11.039009846415956,23.856442757655035,23.089183616769265,20.14349896063837,29.51480482527639,18.702262069149537,-8.176666666666668,1.9433333333333327,18.839253571448896
1980-04-01,1980.0,2.0,23.52333333333333,29.24,25.77,13.33,15.603333333333333,27.723333333333333,27.203333333333333,25.27,32.60333333333333,23.776666666666667,18.74829805463494,24.21448535247231,21.67747362517963,10.044899368896983,11.728008418309825,24.51674711669553,23.867109245909308,20.33393683363509,28.9901893950621,19.03313387633666,-7.920000000000001,2.4533333333333345,18.63137948174598
1980-07-01,1980.0,3.0,24.343333333333334,30.209999999999997,26.64,14.483333333333334,17.546666666666667,28.439999999999998,27.856666666666666,25.686666666666667,33.73666666666667,24.013333333333332,19.40184507481918,25.01777026327594,22.40930917247906,10.914000439574243,13.188685390724828,25.150521389881728,24.440317604223026,20.669214779051835,29.99792524971102,19.222584669161545,-6.796666666666668,2.753333333333334,16.724036108402924
1980-10-01,1980.0,4.0,24.98,30.7,27.343333333333334,15.06,17.64,29.133333333333336,28.766666666666666,26.47666666666667,34.52,24.873333333333335,19.90927385878337,25.423553362547878,23.000946339069785,11.348550974912873,13.258837972590385,25.763661151847902,25.238714960445694,21.304901763561993,30.69444856101248,19.911011493792817,-7.34,2.6566666666666676,16.096069599135202
1981-01-01,1981.0,1.0,26.166666666666668,33.56,28.536666666666665,15.839999999999998,19.423333333333336,30.930000000000003,29.7,27.290000000000003,34.626666666666665,25.766666666666666,20.85505735140772,27.792001656257543,24.004766744944096,11.936324531382462,14.599253376093005,27.352518515789097,26.057584043751007,21.959364313015488,30.789294288508852,20.626121528681114,-6.743333333333333,3.640000000000002,14.486579457870256
1981-04-01,1981.0,2.0,27.53333333333333,35.50666666666667,29.986666666666668,17.39,23.16,31.706666666666667,30.766666666666666,27.94333333333333,35.17,26.52333333333333,21.944302385048122,29.404092336358303,25.22449265710981,13.104336085905368,17.407862100067646,28.039352960683896,26.993434424671353,22.48508013142896,31.272414712943483,21.231830401515605,-4.373333333333334,3.763333333333333,17.046129607000225
1981-07-01,1981.0,3.0,28.31,36.47666666666667,30.886666666666667,17.39,24.040000000000003,32.61333333333334,31.58,28.76,35.14333333333334,27.463333333333335,22.56331236758035,30.20737724716194,25.981563912936807,13.104336085905368,18.069300729085764,28.841151110947347,27.707020340123123,23.142224904445786,31.248703281069385,21.984296930763737,-4.269999999999999,3.853333333333334,16.295139479267196
1981-10-01,1981.0,4.0,29.016666666666666,36.69,31.736666666666668,17.406666666666666,24.429999999999996,33.22666666666667,32.35,29.78,35.73666666666667,28.613333333333333,23.12653175082856,30.3840447189538,26.696575654551193,13.116895349932497,18.3624383033097,29.383543977302043,28.38258733385,23.96298531482599,31.77628264026794,22.90486768463114,-4.586666666666666,3.4466666666666677,16.15956031497933
1982-01-01,1982.0,1.0,30.133333333333336,38.34,32.88333333333333,18.76,24.963333333333335,34.63333333333333,33.72666666666667,30.883333333333336,36.52,29.816666666666666,24.016524644168893,31.750457196093993,27.661140513827064,14.13670758893529,18.763310199684316,30.62751022513726,29.590419231725324,24.850801314289544,32.472805951569406,23.86813157490978,-5.169999999999999,3.7499999999999987,15.15593547726107
