fecha,año,trimestre,IPC_2021,IPC_1986,IPC_2001,IPC_2025,inflacion_yoy,inflacion_qoq,diferencial_bases_2021_2025
1976-07-01,1976.0,3.0,10.216666666666667,26.379206472157673,13.835597887419313,8.059373787971417,,1.3292419615242412,-2.1572928786952486
1976-10-01,1976.0,4.0,10.686666666666667,27.592736035803426,14.472080530853612,8.430131277075485,,1.4576706869662208,-2.2565353895911815
1977-01-01,1977.0,1.0,11.383333333333333,29.391513899647133,15.41551934275268,8.979693796385773,,2.3770635653103036,-2.4036395369475607
1977-04-01,1977.0,2.0,12.006666666666666,31.0009467251915,16.259648806030793,9.47140762945287,,1.8062244151331914,-2.5352590372137964
1977-07-01,1977.0,3.0,13.003333333333332,33.57431792753249,17.609353135015578,10.25762386521256,27.267208958649096,2.652115375644811,-2.745709468120772
1977-10-01,1977.0,4.0,13.573333333333332,35.04604527067735,18.38125761747845,10.707265926466432,27.020543169350095,1.045570849324114,-2.8660674068669016
1978-01-01,1978.0,1.0,14.053333333333333,36.285394612273,19.031282444815602,11.085911872785479,23.46827162927134,1.2991442203861798,-2.967421460547854
1978-04-01,1978.0,2.0,14.663333333333334,37.86040106721749,19.857355662889905,11.567107762899271,22.140544713624156,1.3656947764458656,-3.0962255704340627
1978-07-01,1978.0,3.0,15.346666666666666,39.624752560461324,20.78273822958516,12.10615233925625,18.040078068239065,1.5746155889210838,-3.2405143274104167
1978-10-01,1978.0,4.0,15.780000000000001,40.7436096049574,21.36956619870898,12.447985485238725,16.256461380291057,0.9158873257107661,-3.332014514761276
1979-01-01,1979.0,1.0,16.356666666666666,42.23255013340219,22.150498803773758,12.902886517969248,16.392164208695796,1.157669673043819,-3.453780148697419
1979-04-01,1979.0,2.0,16.94333333333333,43.747310439796884,22.944973592741395,13.365676007914752,15.548664677683513,1.197328394132291,-3.577657325418581
1979-07-01,1979.0,3.0,17.669999999999998,45.62354763749031,23.929038956349032,13.938903898869976,15.141033794914138,1.4793780920225947,-3.731096101130022
1979-10-01,1979.0,4.0,18.24,47.095274980635175,24.700943438811905,14.388545960123851,15.589720856178536,1.0163833912026983,-3.8514540398761494
1980-01-01,1980.0,1.0,19.08666666666667,49.28134951372752,25.84751500925383,15.05643533765884,16.691803288528217,1.39602828733613,-4.030231329007829
1980-04-01,1980.0,2.0,19.586666666666666,50.572338411223,26.5246242043967,15.450858198407845,15.60074268019998,1.0650898655748309,-4.13580846825882
1980-07-01,1980.0,3.0,20.343333333333334,52.52603494276616,27.549316119712913,16.047751461008016,15.129319914874904,1.228839733222964,-4.295581872325319
1980-10-01,1980.0,4.0,20.97,54.1440743609605,28.397959644291973,16.54209477981344,14.965254262574282,1.0745070507825434,-4.4279052201865605
1981-01-01,1981.0,1.0,21.886666666666667,56.510887339702215,29.639326502053905,17.26520335785329,14.667515837547915,1.5021282201168458,-4.621463308813378
1981-04-01,1981.0,2.0,22.51,58.12032016524659,30.483455965332013,17.756917190920387,14.932587582710063,0.5232301891813229,-4.753082809079614
1981-07-01,1981.0,3.0,23.24666666666667,60.02237714088992,31.48106351284251,18.338033539090592,14.27286029880849,1.3136472635218628,-4.908633127576073
1981-10-01,1981.0,4.0,23.983333333333334,61.92443411653327,32.47867106035301,18.919149887260797,14.3701235944215,1.16603264683847,-5.064183446072537
1982-01-01,1982.0,1.0,25.01,64.57526465272399,33.86900194104636,19.72903149466543,14.274909030230491,1.288719556491058,-5.280968505334568
1982-04-01,1982.0,2.0,25.900000000000002,66.87322489026594,35.07425630840068,20.431104186798667,15.057942818787902,1.239406412038487,-5.4688958132013346
1982-07-01,1982.0,3.0,26.656666666666666,68.8269214218091,36.09894822371688,21.027997449398836,14.673089824604572,0.6962602719728558,-5.62866921726783
1982-10-01,1982.0,4.0,27.27,70.41053446940357,36.92953550309215,21.51182282525095,13.702611805931086,1.1856517745015245,-5.75817717474905
1983-01-01,1983.0,1.0,28.320000000000004,73.12161115414408,38.35146481289217,22.34011083282387,13.236930279839905,0.9314093443462493,-5.979889167176129
1983-04-01,1983.0,2.0,29.006666666666664,74.89456924003788,39.28136144088838,22.881784894919175,12.00128598760834,0.7904825065924678,-6.124881771747492
1983-07-01,1983.0,3.0,29.603333333333335,76.4351493243825,40.08937841375887,23.35246284207966,11.052160783923666,0.8284815617387512,-6.250870491253674
1983-10-01,1983.0,4.0,30.66333333333333,79.17204578707289,41.52484990746175,24.18863930686756,12.444956469928863,1.3100814874680438,-6.474694026465772
1984-01-01,1984.0,1.0,31.72666666666667,81.9175488424133,42.96483546246558,25.02744525739379,12.028958695917225,0.9151122506635782,-6.699221409272879
1984-04-01,1984.0,2.0,32.28,83.3462432223083,43.7141696384237,25.463939889956023,11.284317069718503,0.5707826099071204,-6.816060110043977
1984-07-01,1984.0,3.0,33.166666666666664,85.63559686720028,44.91490994447705,26.16338309635093,12.041839197530896,0.8156108189170194,-7.003283570315733
1984-10-01,1984.0,4.0,33.68,86.96101213529563,45.61007538482374,26.568323900053247,9.844433625942296,0.5972329509993305,-7.111676099946749
1985-01-01,1985.0,1.0,34.76,89.74954815388588,47.07263124633234,27.420277279271108,9.560634417847988,1.071967551068694,-7.339722720728893
1985-04-01,1985.0,2.0,35.403333333333336,91.41062053533007,47.943845077416164,27.927768026768167,9.678311627354018,0.3902782089730346,-7.475565306565168
1985-07-01,1985.0,3.0,35.76333333333333,92.34013254152683,48.43136369791903,28.211752486507454,7.829032616783145,0.5997967780249006,-7.551580846825881
1985-10-01,1985.0,4.0,36.46666666666666,94.15612359067045,49.38383063241999,28.76657397729439,8.274024137129091,0.5702928466787697,-7.700092689372274
1986-01-01,1986.0,1.0,37.86666666666667,97.77089250365782,51.27973637882004,29.87095798739162,8.93884983882697,1.219384980486149,-7.99570867927505
1986-04-01,1986.0,2.0,38.29,98.863929770204,51.853022164041,30.20490267615911,8.153706727301417,0.48049476131154883,-8.08509732384089
1986-07-01,1986.0,3.0,39.156666666666666,101.10164385919616,53.02667810228865,30.888568968124062,9.488261970225778,0.7726298930085326,-8.268097698542606
1986-10-01,1986.0,4.0,39.60666666666666,102.26353386694207,53.63607637791722,31.243549542798164,8.612913621537132,0.19435945755912343,-8.363117123868502
1987-01-01,1987.0,1.0,40.18,103.74386780273691,54.41249492168105,31.69582108979036,6.10888637589256,0.5845577795436041,-8.484178910209636
