fecha,año,trimestre,mes,usd_barril,yoy_pct,volatilidad_30d
1976-07-01,1976.0,3.0,7.989130434782608,12.752934782608696,,2.0349579735001497
1976-10-01,1976.0,4.0,11.0,13.9,,0.40247060562590836
1977-01-01,1977.0,1.0,2.0,13.9,14.215283483977004,0.0
1977-04-01,1977.0,2.0,5.0,13.9,5.985165723745218,0.0
1977-07-01,1977.0,3.0,7.989130434782608,14.540217391304349,4.60588051298092,0.8788548726091432
1977-10-01,1977.0,4.0,11.0,14.85,6.834532374100721,0.0
1978-01-01,1978.0,1.0,2.0,14.85,6.762057656738755,0.0
1978-04-01,1978.0,2.0,5.0,14.85,0.646893289246673,0.0
1978-07-01,1978.0,3.0,7.989130434782608,14.85,0.0,0.0
1978-10-01,1978.0,4.0,11.0,14.85,0.0,0.0
1979-01-01,1979.0,1.0,2.0,15.516666666666667,4.4893378226711524,0.8855762328609385
1979-04-01,1979.0,2.0,5.0,17.827747252747255,20.05217005217005,1.7899289619639935
1979-07-01,1979.0,3.0,7.989130434782608,25.545923913043477,71.93141627277875,1.763689750764291
1979-10-01,1979.0,4.0,11.0,30.842391304347824,95.47212055394144,0.7905485609468687
1980-01-01,1980.0,1.0,2.0,35.92945714285714,87.1098856178952,1.738637568147873
1980-04-01,1980.0,2.0,5.0,39.44416923076923,44.627828963633206,0.28882799690780986
1980-07-01,1980.0,3.0,7.989130434782608,37.81521739130435,19.45009895082015,0.5379712645573005
1980-10-01,1980.0,4.0,11.0,36.39007717391304,-2.93663685957349,0.36887212330754343
1981-01-01,1981.0,1.0,2.0,37.96236555555556,-3.8558568405110156,0.18364042700168098
1981-04-01,1981.0,2.0,5.0,37.31868131868132,0.8869292413849641,0.548271060754871
1981-07-01,1981.0,3.0,7.989130434782608,35.95652173913044,-2.276950501847365,0.27427360166442577
1981-10-01,1981.0,4.0,11.0,35.31472282608696,-7.066518878718535,0.8658809498880717
1982-01-01,1982.0,1.0,2.0,31.565103333333333,-14.339320566053763,1.6078675727268654
1982-04-01,1982.0,2.0,5.0,34.608090109890114,-3.235947254683956,2.0288320791525516
1982-07-01,1982.0,3.0,7.989130434782608,34.62135869565218,-1.0972835266388459,0.6757137515347336
1982-10-01,1982.0,4.0,11.0,33.78972282608696,8.11916000379226,0.8724879766149801
1983-01-01,1983.0,1.0,2.0,29.75981555555556,-14.916827569177258,1.29449812908761
1983-04-01,1983.0,2.0,5.0,30.500792307692308,-12.658975468338038,1.129541246330719
1983-07-01,1983.0,3.0,7.989130434782608,31.50336956521739,-3.7377149038833672,0.3518928795936988
1983-10-01,1983.0,4.0,11.0,29.86852282608696,1.064779077811661,0.1877687752270754
1984-01-01,1984.0,1.0,2.0,30.1812032967033,-2.058934702772756,0.25093941993519764
1984-04-01,1984.0,2.0,5.0,30.3153010989011,-2.9595665665058477,0.26839067103237924
1984-07-01,1984.0,3.0,7.989130434782608,29.130646739130434,-1.7834285551057507,0.6508270651377397
1984-10-01,1984.0,4.0,11.0,27.432538043478257,-9.79041530264928,1.0273369424998067
1985-01-01,1985.0,1.0,2.0,27.075034444444444,-9.35218461641988,0.9271433295373079
1985-04-01,1985.0,2.0,5.0,27.82972967032967,-4.371448721234087,0.7352535702862683
1985-07-01,1985.0,3.0,7.989130434782608,27.84325,4.524599874712522,0.2507695980120882
1985-10-01,1985.0,4.0,11.0,28.918010869565215,4.220215098611981,1.314680689558251
1986-01-01,1986.0,1.0,2.0,17.15832888888889,-37.749498741814776,3.913674088684777
1986-04-01,1986.0,2.0,5.0,13.837537362637361,-51.10850119355599,4.136684827833268
1986-07-01,1986.0,3.0,7.989130434782608,13.954239130434782,-48.4427798847837,4.805517825094036
1986-10-01,1986.0,4.0,11.0,15.514128260869565,8.76873823377299,0.8161814283224352
1987-01-01,1987.0,1.0,2.0,18.15159111111111,34.27470616195156,2.266253818504346
1987-04-01,1987.0,2.0,5.0,18.862485714285715,29.128342725744815,5.638310885015933
1987-07-01,1987.0,3.0,7.989130434782608,19.06065217391304,18.018107913591315,18.406175217218948
1987-10-01,1987.0,4.0,11.0,17.886304347826087,-1.959288944923009,17.0683309185722
1988-01-01,1988.0,1.0,2.0,15.751868131868132,-17.776791398115787,29.797012294018096
1988-04-01,1988.0,2.0,5.0,16.134505494505493,-13.942334886346462,19.41207993986895
1988-07-01,1988.0,3.0,7.989130434782608,14.358152173913044,-17.70957510168151,28.300278585853185
1988-10-01,1988.0,4.0,11.0,13.60554347826087,-12.573478933367765,44.11289456824039
