fecha,año,trimestre,periodo,activos_ambos_sexos_25_o_mas,activos_ambos_sexos_menos_de_25,activos_ambos_sexos_total,activos_hombres_25_o_mas,activos_hombres_menos_de_25,activos_hombres_total,activos_mujeres_25_o_mas,activos_mujeres_menos_de_25,activos_mujeres_total,inactivos_ambos_sexos_25_o_mas,inactivos_ambos_sexos_menos_de_25,inactivos_ambos_sexos_total,inactivos_hombres_25_o_mas,inactivos_hombres_menos_de_25,inactivos_hombres_total,inactivos_mujeres_25_o_mas,inactivos_mujeres_menos_de_25,inactivos_mujeres_total,ocupados_ambos_sexos_25_o_mas,ocupados_ambos_sexos_menos_de_25,ocupados_ambos_sexos_total,ocupados_hombres_25_o_mas,ocupados_hombres_menos_de_25,ocupados_hombres_total,ocupados_mujeres_25_o_mas,ocupados_mujeres_menos_de_25,ocupados_mujeres_total,parados_1er_empleo_ambos_sexos_25_o_mas,parados_1er_empleo_ambos_sexos_menos_de_25,parados_1er_empleo_ambos_sexos_total,parados_1er_empleo_hombres_25_o_mas,parados_1er_empleo_hombres_menos_de_25,parados_1er_empleo_hombres_total,parados_1er_empleo_mujeres_25_o_mas,parados_1er_empleo_mujeres_menos_de_25,parados_1er_empleo_mujeres_total,poblacion_mayor_16_ambos_sexos_25_o_mas,poblacion_mayor_16_ambos_sexos_menos_de_25,poblacion_mayor_16_ambos_sexos_total,poblacion_mayor_16_hombres_25_o_mas,poblacion_mayor_16_hombres_menos_de_25,poblacion_mayor_16_hombres_total,poblacion_mayor_16_mujeres_25_o_mas,poblacion_mayor_16_mujeres_menos_de_25,poblacion_mayor_16_mujeres_total,parados_ambos_sexos_total,parados_ambos_sexos_menos_de_25,parados_ambos_sexos_25_o_mas,parados_hombres_total,parados_hombres_menos_de_25,parados_hombres_25_o_mas,parados_mujeres_total,parados_mujeres_menos_de_25,parados_mujeres_25_o_mas,tasa_actividad_ambos_sexos_total,tasa_empleo_ambos_sexos_total,tasa_paro_ambos_sexos_total,tasa_inactividad_ambos_sexos_total,tasa_actividad_ambos_sexos_25_o_mas,tasa_empleo_ambos_sexos_25_o_mas,tasa_paro_ambos_sexos_25_o_mas,tasa_inactividad_ambos_sexos_25_o_mas,tasa_actividad_ambos_sexos_menos_de_25,tasa_empleo_ambos_sexos_menos_de_25,tasa_paro_ambos_sexos_menos_de_25,tasa_inactividad_ambos_sexos_menos_de_25,tasa_actividad_hombres_total,tasa_empleo_hombres_total,tasa_paro_hombres_total,tasa_inactividad_hombres_total,tasa_actividad_hombres_25_o_mas,tasa_empleo_hombres_25_o_mas,tasa_paro_hombres_25_o_mas,tasa_inactividad_hombres_25_o_mas,tasa_actividad_hombres_menos_de_25,tasa_empleo_hombres_menos_de_25,tasa_paro_hombres_menos_de_25,tasa_inactividad_hombres_menos_de_25,tasa_actividad_mujeres_total,tasa_empleo_mujeres_total,tasa_paro_mujeres_total,tasa_inactividad_mujeres_total,tasa_actividad_mujeres_25_o_mas,tasa_empleo_mujeres_25_o_mas,tasa_paro_mujeres_25_o_mas,tasa_inactividad_mujeres_25_o_mas,tasa_actividad_mujeres_menos_de_25,tasa_empleo_mujeres_menos_de_25,tasa_paro_mujeres_menos_de_25,tasa_inactividad_mujeres_menos_de_25,tasa_paro_juvenil_ratio,brecha_genero_actividad,brecha_genero_empleo,brecha_genero_paro,ratio_dependencia,ratio_paro_juvenil_adulto,convergencia_actividad
1976-07-01,1976,3,1976Q3,10527.6,2838.8,13366.3,7967.2,1588.8,9556.0,2560.4,1250.1,3810.3,10006.4,2106.4,12112.9,1784.2000000000016,907.5000000000002,2691.7000000000007,8222.2,1198.7999999999995,9421.2,10218.6,2558.8,12777.3,7711.4,1437.7,9149.1,2507.2,1121.1,3628.2,45.0,145.4,190.3,22.1,62.0,84.2,22.9,83.4,106.2,20534.0,4945.2,25479.2,9751.4,2496.3,12247.7,10782.6,2448.9,13231.5,589.0,280.0,309.0,406.9,151.1,255.8,182.1,129.0,53.2,52.45965336431284,50.1479638293196,4.40660466995354,47.54034663568715,51.2691146391351,49.76429336709848,2.9351419126866523,48.7308853608649,57.4051605597347,51.74310442449245,9.863322530646752,42.5948394402653,78.02281244641851,74.70055602276345,4.258057764755127,21.97718755358149,81.7031400619398,79.07992698484318,3.2106637212571543,18.29685993806019,63.64619637062853,57.593237992228495,9.510322255790534,36.35380362937148,28.79718852737785,27.420927332501986,4.779151247933234,71.20281147262216,23.745664311019603,23.252276816352268,2.077800343696298,76.2543356889804,51.04740904079384,45.77973784147985,10.319174466042718,48.95259095920617,3.360424410150056,49.225623919040665,47.27962869026147,0.5210934831781069,90.62268541032297,3.360424410150056,-49.225623919040665
1976-10-01,1976,4,1976Q4,10463.2,2833.2716319793813,13296.57163197938,7940.0431604226815,1576.5716319793812,9516.61479240206,2523.1988687525773,1256.8,3779.9,10091.4,2129.7283680206187,12221.12836802062,1822.9568395773183,928.8283680206188,2751.785207597939,8268.501131247423,1200.9,9469.5,10139.3,2529.4,12668.8,7665.700000000001,1409.6999999999998,9075.4,2473.5,1119.8,3593.3,47.3,157.3,204.6,24.2,68.5,92.7,23.0,88.9,111.9,20554.6,4963.0,25517.7,9763.0,2505.4,12268.4,10791.7,2457.7,13249.4,627.7716319793815,303.87163197938145,323.9,441.2147924020618,166.87163197938145,274.34316042268034,186.6,137.0,49.69886875257732,52.10724960313578,49.64710769387523,4.721304478738997,47.892750396864216,50.904420421706085,49.32861743843227,3.095611285266458,49.09557957829392,57.08788297359221,50.96514205117872,10.725114688953791,42.91211702640779,77.5701378533636,73.97378631280363,4.636257766304904,22.429862146636392,81.32790290302859,78.51787360442488,3.4551847500042547,18.67209709697141,62.92694308211787,56.26646443681646,10.584462424322236,37.07305691788213,28.528839041767927,27.12047337992664,4.93663853541099,71.47116095823208,23.38092115934076,22.920392523884097,1.9696770384629851,76.61907884065924,51.13724213695732,45.562924685681736,10.900700190961173,48.86275786304268,3.464619327368364,49.04129881159568,46.85331293287699,0.300380769106086,91.9118755290858,3.464619327368364,-49.04129881159568
1977-01-01,1977,1,1977Q1,10448.092939567012,2820.2748920412373,13268.467831608248,7934.801562783505,1569.3031591752576,9504.104721958764,2513.391376783505,1250.9717328659794,3764.3631096494846,10160.907060432988,2167.2251079587627,12328.032168391752,1855.9984372164945,948.4968408247424,2804.3952780412365,8304.808623216495,1218.7282671340204,9523.636890350515,10108.7,2506.8,12615.6,7645.4,1394.6,9040.0,2463.4,1112.2,3575.6,48.6,150.8,199.4,27.5,68.5,95.9,21.2,82.4,103.5,20609.0,4987.5,25596.5,9790.8,2517.8,12308.5,10818.2,2469.7,13288.0,652.8678316082475,313.4748920412371,339.3929395670104,464.104721958763,174.70315917525775,289.4015627835052,188.76310964948453,138.77173286597937,49.99137678350516,51.8370395624724,49.28642587853808,4.920446278303366,48.1629604375276,50.69674869992242,49.04992964238925,3.2483721338439344,49.30325130007758,56.54686500333308,50.261654135338354,11.115047434768057,43.45313499666692,77.21578358011752,73.44518016005199,4.88320294794808,22.78421641988249,81.04344448649248,78.08759243371328,3.647243859769368,18.956555513507524,62.32834852550868,55.38962586384939,11.1325309041672,37.67165147449132,28.329042065393477,26.908488862131247,5.014476663146905,71.67095793460653,23.232990486250067,22.77088609935109,1.989000887218817,76.76700951374993,50.65278102060896,45.03380977446654,11.093114993737943,49.34721897939104,3.4217284771542347,48.88674151472405,46.53669129792074,0.1312737151988248,92.91225124745614,3.4217284771542347,-48.88674151472404
1977-04-01,1977,2,1977Q2,10435.280153257732,2774.0565905360822,13209.436743793814,7963.073929247423,1542.9818729896908,9506.055802237111,2472.206224010309,1231.074717546392,3703.280941556701,10242.219846742268,2240.4434094639178,12482.463256206189,1862.7260707525768,988.4181270103091,2851.044197762887,8379.493775989691,1252.025282453608,9631.519058443298,10113.5,2466.7,12580.3,7688.5,1372.5,9061.0,2425.0,1094.2,3519.2,46.7,154.2,200.8,28.1,69.2,97.3,18.6,84.8,103.5,20677.5,5014.5,25691.9,9825.8,2531.4,12357.1,10851.7,2483.1,13334.8,629.1367437938145,307.3565905360825,321.780153257732,445.0558022371134,170.48187298969074,274.57392924742265,184.08094155670105,136.87471754639174,47.20622401030929,51.41479121354907,48.96601652660954,4.762782516744339,48.58520878645093,50.466836673958326,48.910651674525454,3.083579439477504,49.53316332604168,55.32070177557249,49.19134509921228,11.0796799021568,44.67929822442752,76.92788601077206,73.32626587144233,4.681813482857695,23.07211398922795,81.04249963613572,78.24808158114352,3.4480896659636087,18.957500363864284,60.95369649165248,54.21900924389666,11.0488577976204,39.04630350834752,27.77155219093426,26.391096979332275,4.97075281248636,72.22844780906574,22.781741330946385,22.34672908392233,1.9094775974527456,77.21825866905361,49.57813690734936,44.065885385203984,11.118311146799565,50.42186309265064,3.5931229013623835,49.1563338198378,46.935168892110056,0.2889393296286648,94.49655953022237,3.5931229013623827,-49.1563338198378
1977-07-01,1977,3,1977Q3,10455.428685608247,2841.956012824742,13297.28469843299,7973.941864989691,1575.8645500618557,9549.706415051543,2481.4868206185565,1265.9914627628866,3747.5782833814433,10277.771314391754,2196.1439871752577,12474.01530156701,1880.6581350103097,967.4354499381444,2848.1935849484544,8397.113179381444,1228.908537237113,9625.821716618557,10121.9,2468.3,12590.1,7693.3,1373.1,9066.3,2428.6,1095.1,3523.8,55.5,197.0,252.5,30.4,87.9,118.3,25.0,109.1,134.1,20733.2,5038.1,25771.3,9854.6,2543.3,12397.9,10878.6,2494.9,13373.4,707.1846984329898,373.65601282474233,333.5286856082475,483.4064150515465,202.7645500618557,280.6418649896908,223.7782833814433,170.89146276288662,52.88682061855671,51.59726012437476,48.85318164004144,5.318263949904957,48.40273987562525,50.42843693018081,48.81976732969344,3.190004882988156,49.5715630698192,56.409281531226895,48.99267581032532,13.147846452885435,43.5907184687731,77.02680627405888,73.12770711168827,5.062002893509238,22.973193725941123,80.91593636463875,78.0681103241126,3.519487221519312,19.084063635361247,61.96141037478298,53.98891204340816,12.86687679178371,38.03858962521701,28.02262912484068,26.34932029252098,5.971277087760471,71.97737087515932,22.810718480489736,22.324563822550694,2.131255349781535,77.18928151951026,50.74317458667228,43.89354282736783,13.498626790889636,49.25682541332772,4.121575651185062,49.00417714921821,46.77838681916729,0.9092741942512328,93.8087405396156,4.121575651185061,-49.00417714921821
1977-10-01,1977,4,1977Q4,10495.916607216495,2850.682742319588,13346.499349536083,7960.904053762886,1584.800366597938,9545.704420360826,2534.9125534536083,1265.8823757216494,3800.6949291752576,10282.883392783504,2209.017257680412,12492.000650463917,1917.7959462371143,969.2996334020618,2887.0955796391736,8365.187446546392,1239.7176242783505,9605.005070824744,10133.1,2458.6000000000004,12591.6,7658.5,1369.1,9027.6,2474.5,1089.5,3563.9,54.5,205.1,259.6,31.0,93.4,124.5,23.5,111.6,135.1,20778.8,5059.7,25838.5,9878.7,2554.1,12432.8,10900.1,2505.6,13405.7,754.8993495360824,392.0827423195876,362.8166072164949,518.1044203608246,215.7003665979381,302.4040537628866,236.7949291752577,176.38237572164945,60.412553453608254,51.65353774226864,48.73193103314821,5.656159939514943,48.34646225773136,50.51262155281583,48.76653127225827,3.4567405667746955,49.48737844718417,56.340943975326375,48.591813743897866,13.753994315079469,43.65905602467363,76.77839601988954,72.61115758316711,5.427618513472057,23.221603980110466,80.58655545530166,77.52538289451041,3.798614475449544,19.413444544698336,62.04926849371356,53.60400924004541,13.610570210870035,37.95073150628643,28.35133509757236,26.58496012890039,6.230306130532862,71.64866490242765,23.25586511549076,22.701626590581736,2.3832204141046662,76.74413488450924,50.52212546781807,43.48259897828864,13.933551734701895,49.477874532181936,3.97889111126225,48.42706092231718,46.02619745426672,0.8026876170608057,93.59758183255845,3.97889111126225,-48.42706092231718
1978-01-01,1978,1,1978Q1,10488.7685448866,2837.748141896908,13326.416686783505,7948.17705156701,1577.641770515464,9525.818822082474,2540.591493319588,1260.0063713814434,3800.597864701031,10336.131455113402,2245.4518581030925,12581.683313216494,1954.9229484329896,988.458229484536,2943.3811779175267,8381.20850668041,1257.1936286185564,9638.302135298967,10078.7,2392.5,12471.1,7612.6,1333.4,8946.0,2466.1000000000004,1059.0,3525.1,59.0,215.1,274.1,29.8,95.3,125.1,29.2,119.9,149.0,20824.9,5083.2,25908.1,9903.1,2566.1,12469.2,10921.8,2517.2,13438.9,855.316686783505,445.2481418969072,410.0685448865979,579.8188220824742,244.24177051546388,335.5770515670103,275.4978647010309,201.00637138144327,74.49149331958765,51.43725972488722,48.13591116291816,6.418204584821114,48.56274027511278,50.366477365493225,48.3973512477851,3.9095966617216575,49.63352263450677,55.82601790008081,47.06680830972616,15.690192350871518,44.17398209991919,76.39478733264743,71.74477913579058,6.086813458370163,23.605212667352568,80.25948492458937,76.87087881572438,4.222063114470382,19.740515075410627,61.4801360241403,51.962121507345785,15.481446744127636,38.51986397585971,28.280572552076663,26.23056946625096,7.248803333280371,71.71942744792334,23.261655526740903,22.579611419363115,2.93205316618043,76.73834447325909,50.05587046644857,42.070554584458925,15.952805949787722,49.94412953355143,4.013250907566017,48.11421478057076,45.514209669539625,1.1619898749102076,94.41160072455486,4.013250907566018,-48.11421478057076
1978-04-01,1978,2,1978Q2,10474.86017415464,2796.0190783092785,13270.979252463918,7957.916074453607,1547.2575259381442,9505.173600391752,2516.944099701031,1248.861552371134,3765.805652072165,10422.939825845364,2318.380921690721,12741.220747536085,1982.483925546392,1034.642474061856,3017.126399608247,8440.455900298968,1283.638447628866,9724.094347927836,10051.4,2350.1,12401.6,7611.9,1300.1,8912.0,2439.5,1050.1,3489.6,60.5,235.5,296.1,30.1,109.9,140.0,30.4,125.6,156.0,20897.800000000003,5114.4,26012.2,9940.4,2581.9,12522.3,10957.4,2532.5,13489.9,869.3792524639175,445.9190783092784,423.4601741546392,593.1736003917526,247.15752593814435,346.01607445360827,276.2056520721649,198.761552371134,77.44409970103092,51.01828854331397,47.67609044986583,6.550980420698847,48.98171145668603,50.12422443584798,48.09788590186526,4.042633191414549,49.87577556415202,54.66954243526667,45.95064914750508,15.948356066973645,45.33045756473333,75.9059725481082,71.16903444255449,6.240534106260881,24.094027451891805,80.0562962703071,76.57538932034929,4.348073933129106,19.94370372969289,59.92708958279346,50.35439017777605,15.973910082504595,40.07291041720655,27.91574179254231,25.868242166361497,7.334570012134868,72.0842582074577,22.970267578997127,22.26349316443682,3.076909801462413,77.02973242100288,49.313388050192856,41.46495557749259,15.915419286770266,50.68661194980714,3.945041588448739,47.99023075556589,45.30079227619299,1.0940359058739872,96.00814307030525,3.945041588448739,-47.99023075556589
1978-07-01,1978,3,1978Q3,10468.06290771134,2859.1120831340204,13327.074990845362,7973.901051793814,1580.4756925360823,9554.276744329898,2494.161855917526,1278.636390597938,3772.798246515464,10476.537092288658,2280.0879168659803,12756.725009154638,1991.2989482061869,1014.1243074639178,3005.4232556701027,8485.338144082474,1265.9636094020618,9751.301753484537,10047.0,2347.6,12394.5,7632.2,1304.0,8936.1,2414.8,1043.6,3458.4,65.89999999999999,292.8,358.8,35.2,139.6,174.8,30.8,153.2,184.0,20944.6,5139.200000000001,26083.8,9965.2,2594.6000000000004,12559.7,10979.5,2544.6,13524.1,932.5749908453608,511.5120831340207,421.0629077113402,618.1767443298969,276.4756925360825,341.70105179381443,314.39824651546394,235.0363905979382,79.36185591752576,51.09330308791419,47.51799967796104,6.997596933205265,48.906696912085806,49.97977000139101,47.96940500176657,4.022357444959206,50.02022999860899,55.63340759522922,45.68026151930261,17.890592192990415,44.36659240477079,76.07089933939423,71.14899241223914,6.470157405653562,23.92910066060577,80.01747131812522,76.58852807771042,4.285243189930794,19.98252868187479,60.91404041224398,50.25822862869035,17.493194855305912,39.08595958775602,27.8968526298642,25.572126795868115,8.333290729390061,72.1031473701358,22.716534049068954,21.99371556081789,3.181904804182444,77.28346595093105,50.24901322793123,41.012339856951975,18.381800512343187,49.75098677206877,4.44778775576268,48.17404670953003,45.57686561637102,1.8631333237364995,95.72036638135143,4.44778775576268,-48.17404670953003
1978-10-01,1978,4,1978Q4,10488.673113195877,2840.295996453608,13329.069109649485,7955.431909701031,1569.7416027319591,9525.17351243299,2533.1412034948457,1270.6543937216495,3803.895597216495,10503.826886804123,2323.8040035463923,12827.530890350514,2035.1680902989688,1037.558397268041,3072.626487567009,8468.858796505154,1286.145606278351,9754.904402783504,10028.3,2297.1,12325.5,7576.1,1281.3000000000002,8857.4,2452.1000000000004,1015.9,3468.1,62.7,302.7,365.4,32.7,143.3,176.0,30.1,159.5,189.5,20992.5,5164.1,26156.6,9990.6,2607.3,12597.8,11002.0,2556.8,13558.8,1003.5691096494844,543.1959964536082,460.3731131958763,667.7735124329897,288.4416027319588,379.3319097010309,335.79559721649485,254.7543937216495,81.04120349484535,50.95872211850732,47.12195010054824,7.529176279256874,49.04127788149268,49.963906696181375,47.77087054900559,4.389240738341607,50.03609330381863,55.000793874123424,44.48209755814178,19.12462634640342,44.999206125876576,75.60981689210013,70.30910158916637,7.0106178282354685,24.39018310789987,79.62917051729657,75.83228234540468,4.768212637688031,20.37082948270343,60.2056381211199,49.14279139339547,18.375100859272543,39.79436187888011,28.054810139662028,25.57822226155707,8.827676486763036,71.94518986033796,23.02437014629018,22.287765860752597,3.199237507290827,76.97562985370982,49.6970585779744,39.733260325406754,20.049070382977497,50.3029414220256,4.357160494602833,47.5550067524381,44.7308793276093,1.817058658527567,96.23725996787063,4.357160494602833,-47.5550067524381
