fecha,año,trimestre,periodo,parados_ambos_sexos_total,diferencia_parados_ambos_sexos_total,parados_ambos_sexos_menos_de_25,diferencia_parados_ambos_sexos_menos_de_25,parados_ambos_sexos_25_o_mas,diferencia_parados_ambos_sexos_25_o_mas,parados_hombres_total,diferencia_parados_hombres_total,parados_hombres_menos_de_25,diferencia_parados_hombres_menos_de_25,parados_hombres_25_o_mas,diferencia_parados_hombres_25_o_mas,parados_mujeres_total,diferencia_parados_mujeres_total,parados_mujeres_menos_de_25,diferencia_parados_mujeres_menos_de_25,parados_mujeres_25_o_mas,diferencia_parados_mujeres_25_o_mas,tasa_paro_ambos_sexos_total,tasa_paro_ambos_sexos_25_o_mas,tasa_paro_ambos_sexos_menos_de_25,tasa_paro_hombres_total,tasa_paro_hombres_25_o_mas,tasa_paro_hombres_menos_de_25,tasa_paro_mujeres_total,tasa_paro_mujeres_25_o_mas,tasa_paro_mujeres_menos_de_25,brecha_genero_paro,tasa_paro_juvenil_ratio,ratio_paro_juvenil,brecha_genero_parados,ratio_feminizacion_paro,indice_relativo_paro
1976-07-01,1976,3,1976Q3,589.0,0.0,280.0,0.0,309.0,0.0,406.9,0.0,151.1,0.0,255.8,0.0,182.1,0.0,129.0,0.0,53.2,0.0,4.40660466995354,2.9351419126866523,9.863322530646752,4.258057764755127,3.2106637212571543,9.510322255790534,4.779151247933234,2.077800343696298,10.319174466042718,0.5210934831781069,3.360424410150056,47.53820033955857,-224.79999999999998,30.91680814940577,20.217852564509915
1976-10-01,1976,4,1976Q4,627.7716319793815,-0.2283680206185181,303.87163197938145,-0.1283680206185522,323.9,0.0,441.2147924020618,-0.1852075979381879,166.87163197938145,-0.1283680206185522,274.34316042268034,-0.0568395773196357,186.6,0.0,137.0,0.0,49.69886875257732,-0.0011312474226841,4.721304478738997,3.095611285266458,10.725114688953791,4.636257766304904,3.4551847500042547,10.584462424322236,4.93663853541099,1.9696770384629851,10.900700190961173,0.300380769106086,3.464619327368364,48.40480462955385,-254.6147924020618,29.724184798163783,21.548716977149255
1977-01-01,1977,1,1977Q1,652.8678316082475,-1.232168391752566,313.4748920412371,-0.6251079587628965,339.3929395670104,-0.5070604329896469,464.104721958763,-1.095278041237009,174.70315917525775,-0.5968408247422587,289.4015627835052,-0.4984372164947785,188.76310964948453,-0.1368903505154719,138.77173286597937,-0.2282671340206263,49.99137678350516,-0.0086232164948398,4.920446278303366,3.2483721338439344,11.115047434768057,4.88320294794808,3.647243859769368,11.1325309041672,5.014476663146905,1.989000887218817,11.093114993737943,0.1312737151988248,3.4217284771542347,48.01506168086673,-275.34161230927845,28.91291322846974,22.410162247142328
1977-04-01,1977,2,1977Q2,629.1367437938145,-2.263256206185474,307.3565905360825,-0.9434094639175328,321.780153257732,-1.319846742268055,445.0558022371134,-1.7441977628865857,170.48187298969074,-0.6181270103092515,274.57392924742265,-1.126070752577334,184.08094155670105,-0.5190584432989738,136.87471754639174,-0.4252824536082755,47.20622401030929,-0.1937759896907067,4.762782516744339,3.083579439477504,11.0796799021568,4.681813482857695,3.4480896659636087,11.0488577976204,4.97075281248636,1.9094775974527456,11.118311146799565,0.2889393296286648,3.5931229013623835,48.853702087508616,-260.97486068041235,29.259289553914446,21.595575431136144
1977-07-01,1977,3,1977Q3,707.1846984329898,-3.715301567010215,373.65601282474233,-1.9439871752576887,333.5286856082475,-1.871314391752492,483.4064150515465,-2.1935849484535765,202.7645500618557,-0.8354499381442793,280.6418649896908,-1.4581350103092632,223.7782833814433,-1.4217166185566723,170.89146276288662,-1.1085372371133817,52.88682061855671,-0.3131793814432981,5.318263949904957,3.190004882988156,13.147846452885435,5.062002893509238,3.519487221519312,12.86687679178371,5.971277087760471,2.131255349781535,13.498626790889636,0.9092741942512328,4.121575651185062,52.83711789193196,-259.62813167010324,31.643541478951796,24.274628130383007
1977-10-01,1977,4,1977Q4,754.8993495360824,-5.200650463917668,392.0827423195876,-2.7172576804124446,362.8166072164949,-2.483392783505167,518.1044203608246,-3.4955796391753893,215.7003665979381,-1.499633402061875,302.4040537628866,-1.995946237113401,236.7949291752577,-1.605070824742285,176.38237572164945,-1.2176242783505415,60.412553453608254,-0.4874465463917445,5.656159939514943,3.4567405667746955,13.753994315079469,5.427618513472057,3.798614475449544,13.610570210870035,6.230306130532862,2.3832204141046662,13.933551734701895,0.8026876170608057,3.97889111126225,51.93841305606358,-281.3094911855669,31.36774847147215,25.91246816632419
1978-01-01,1978,1,1978Q1,855.316686783505,-6.68331321649498,445.2481418969072,-3.251858103092843,410.0685448865979,-3.4314551134020803,579.8188220824742,-4.281177917525838,244.24177051546388,-1.6582294845361218,335.5770515670103,-2.622948432989688,275.4978647010309,-2.402135298969029,201.00637138144327,-1.5936286185567212,74.49149331958765,-0.80850668041235,6.418204584821114,3.9095966617216575,15.690192350871518,6.086813458370163,4.222063114470382,15.481446744127636,7.248803333280371,2.93205316618043,15.952805949787722,1.1619898749102076,4.013250907566017,52.05652465068847,-304.3209573814433,32.21004207658631,29.35936616189136
1978-04-01,1978,2,1978Q2,869.3792524639175,-8.220747536082513,445.9190783092784,-4.180921690721675,423.4601741546392,-3.939825845360815,593.1736003917526,-5.42639960824738,247.15752593814435,-2.24247406185566,346.01607445360827,-3.18392554639172,276.2056520721649,-2.7943479278350765,198.761552371134,-1.9384476288659869,77.44409970103092,-0.8559002989690754,6.550980420698847,4.042633191414549,15.948356066973645,6.240534106260881,4.348073933129106,15.973910082504595,7.334570012134868,3.076909801462413,15.915419286770266,1.0940359058739872,3.945041588448739,51.29166322355797,-316.9679483195877,31.7704444049438,29.842073937112605
1978-07-01,1978,3,1978Q3,932.5749908453608,-10.02500915463918,511.5120831340207,-4.987916865979287,421.0629077113402,-5.037092288659835,618.1767443298969,-6.323255670103094,276.4756925360825,-2.524307463917524,341.70105179381443,-3.898948206185594,314.39824651546394,-3.701753484536084,235.0363905979382,-2.463609402061792,79.36185591752576,-1.1381440824742413,6.997596933205265,4.022357444959206,17.890592192990415,6.470157405653562,4.285243189930794,17.493194855305912,8.333290729390061,3.181904804182444,18.381800512343187,1.8631333237364995,4.44778775576268,54.849431751364584,-303.77849781443297,33.712918489318284,32.01131353185176
1978-10-01,1978,4,1978Q4,1003.5691096494844,-12.730890350515438,543.1959964536082,-6.804003546391755,460.3731131958763,-6.026886804123706,667.7735124329897,-8.126487567010258,288.4416027319588,-3.3583972680412444,379.3319097010309,-4.768090298969128,335.79559721649485,-4.604402783505122,254.7543937216495,-3.445606278350482,81.04120349484535,-1.258796505154649,7.529176279256874,4.389240738341607,19.12462634640342,7.0106178282354685,4.768212637688031,18.375100859272543,8.827676486763036,3.199237507290827,20.049070382977497,1.817058658527567,4.357160494602833,54.12641652983219,-331.97791521649486,33.46013682443632,34.44823819556835
