fecha,año,trimestre,periodo,IPC_2021,IPC_1986,IPC_2001,IPC_2025
1976-07-01,1976,3,1976Q3,10.1,26.077975729408724,13.677605741885978,7.967341787129982
1976-08-01,1976,3,1976Q3,10.18,26.284533953008005,13.785943213108837,8.030449444849824
1976-09-01,1976,3,1976Q3,10.37,26.775109734056286,14.043244707263128,8.180330131934447
1976-10-01,1976,4,1976Q4,10.52,27.162406403304935,14.246377465805987,8.298656990159149
1976-11-01,1976,4,1976Q4,10.71,27.65298218435322,14.503678959960281,8.448537677243772
1976-12-01,1976,4,1976Q4,10.83,27.96281951975213,14.666185166794568,8.543199163823536
1977-01-01,1977,1,1977Q1,11.18,28.86651174799897,15.140161603394578,8.819295166347842
1977-02-01,1977,1,1977Q1,11.35,29.30544797314743,15.370378729743154,8.953398939002504
1977-03-01,1977,1,1977Q1,11.62,30.002581977794996,15.736017695120303,9.16638728380697
1977-04-01,1977,2,1977Q2,11.83,30.544797314743093,16.02040355708031,9.332044885321555
1977-05-01,1977,2,1977Q2,11.93,30.802995094242192,16.155825396108884,9.410929457471354
1977-06-01,1977,2,1977Q2,12.26,31.655047766589213,16.602717464903176,9.6712485455657
1977-07-01,1977,3,1977Q3,12.67,32.71365866253551,17.15794700492033,9.994675291379888
1977-08-01,1977,3,1977Q3,13.08,33.772269558481796,17.713176544937483,10.318102037194077
1977-09-01,1977,3,1977Q3,13.26,34.23702556158017,17.956935855188917,10.460094267063718
1977-10-01,1977,4,1977Q4,13.47,34.77924089852828,18.241321717148924,10.625751868578304
1977-11-01,1977,4,1977Q4,13.57,35.03743867802737,18.376743556177498,10.704636440728105
1977-12-01,1977,4,1977Q4,13.68,35.321456235476376,18.52570757910893,10.791409470092887
1978-01-01,1978,1,1978Q1,13.9,35.88949135037439,18.82363562497179,10.96495552882245
1978-02-01,1978,1,1978Q1,14.04,36.25096824167312,19.01322619961179,11.075393929832172
1978-03-01,1978,1,1978Q1,14.22,36.71572424477149,19.256985509863227,11.217386159701816
1978-04-01,1978,2,1978Q2,14.52,37.490317583268784,19.66325102694895,11.45403987615122
1978-05-01,1978,2,1978Q2,14.66,37.85179447456753,19.852841601588953,11.564478277160944
1978-06-01,1978,2,1978Q2,14.81,38.23909114381617,20.055974360131813,11.682805135385648
1978-07-01,1978,3,1978Q3,15.13,39.06532403821328,20.489324245023255,11.935235766265013
1978-08-01,1978,3,1978Q3,15.39,39.73663826491093,20.841421026497546,12.140335653854498
1978-09-01,1978,3,1978Q3,15.52,40.072295378259746,21.01746941723469,12.24288559764924
1978-10-01,1978,4,1978Q4,15.66,40.43377226955849,21.207059991874697,12.353323998658961
1978-11-01,1978,4,1978Q4,15.73,40.61451071520785,21.301855279194694,12.408543199163825
1978-12-01,1978,4,1978Q4,15.95,41.18254583010586,21.599783325057555,12.582089257893387
1979-01-01,1979,1,1979Q1,16.22,41.879679834753425,21.965422290434706,12.795077602697852
1979-02-01,1979,1,1979Q1,16.34,42.18951717015234,22.127928497268996,12.889739089277615
1979-03-01,1979,1,1979Q1,16.51,42.62845339530081,22.358145623617574,13.023842861932277
1979-04-01,1979,2,1979Q2,16.76,43.27394784404854,22.696700221189012,13.221054292306784
1979-05-01,1979,2,1979Q2,16.96,43.790343403046734,22.96754389924616,13.378823436606387
1979-06-01,1979,2,1979Q2,17.11,44.177640072295375,23.17067665778902,13.497150294831089
1979-07-01,1979,3,1979Q3,17.48,45.13297185644204,23.671737462194745,13.789023211785356
1979-08-01,1979,3,1979Q3,17.65,45.5719080815905,23.901954588543315,13.923126984440017
1979-09-01,1979,3,1979Q3,17.88,46.165762974438415,24.213424818309036,14.10456150038456
1979-10-01,1979,4,1979Q4,18.12,46.78543764523626,24.538437231977618,14.293884473544088
1979-11-01,1979,4,1979Q4,18.17,46.91453653498581,24.6061481514919,14.33332675961899
1979-12-01,1979,4,1979Q4,18.43,47.58585076168346,24.958244932966192,14.538426647208475
1980-01-01,1980,1,1980Q1,18.94,48.90265943712884,25.648896312011928,14.940737965172463
1980-02-01,1980,1,1980Q1,19.11,49.34159566227731,25.879113438360495,15.074841737827125
1980-03-01,1980,1,1980Q1,19.21,49.59979344177641,26.014535277389072,15.153726309976928
1980-04-01,1980,2,1980Q2,19.4,50.090369222824684,26.27183677154336,15.303606997061546
1980-05-01,1980,2,1980Q2,19.53,50.426026336173514,26.44788516228051,15.406156940856294
1980-06-01,1980,2,1980Q2,19.83,51.2006196746708,26.854150679366228,15.642810657305697
1980-07-01,1980,3,1980Q3,20.11,51.92357345726827,27.233331828646236,15.863687459325144
1980-08-01,1980,3,1980Q3,20.35,52.54324812806611,27.558344242314813,16.05301043248467
1980-09-01,1980,3,1980Q3,20.57,53.11128324296411,27.85627228817768,16.226556491214232
1980-10-01,1980,4,1980Q4,20.73,53.524399690162674,28.072947230623402,16.352771806653916
1980-11-01,1980,4,1980Q4,20.94,54.06661502711078,28.357333092583403,16.5184294081685
1980-12-01,1980,4,1980Q4,21.24,54.84120836560806,28.76359860966912,16.7550831246179
1981-01-01,1981,1,1981Q1,21.67,55.95145881745418,29.345912517491996,17.094286784862053
1981-02-01,1981,1,1981Q1,21.78,56.23547637490318,29.494876540423427,17.181059814226835
1981-03-01,1981,1,1981Q1,22.21,57.3457268267493,30.077190448246295,17.520263474470983
1981-04-01,1981,2,1981Q2,22.43,57.913761941647316,30.375118494109156,17.693809533200543
1981-05-01,1981,2,1981Q2,22.54,58.19777949909631,30.524082517040586,17.780582562565325
1981-06-01,1981,2,1981Q2,22.56,58.249419054996125,30.551166884846303,17.79635947699529
1981-07-01,1981,3,1981Q3,23.0,59.38548928479216,31.147022976572025,18.143451594454415
1981-08-01,1981,3,1981Q3,23.28,60.10844306738963,31.526204125852036,18.364328396473862
1981-09-01,1981,3,1981Q3,23.46,60.573199070488,31.76996343610347,18.506320626343506
