fecha,año,trimestre,mes,USD_heur,CAD_heur,GBP_heur,CHF_heur,SEK_heur,DKK_heur,NOK_heur,JPY_heur,eur_usd_yoy_pct,volatilidad_30d,spread_gbp_usd
1976-07-01,1976.0,3.0,7.989130434782608,0.40866269003592787,0.4181106327492806,0.7222435654257684,0.1648341348139125,0.09266179222275284,0.06723150084970377,0.07417351694097167,0.0014048024250907086,,0.7399852336327583,0.31358087538984053
1976-10-01,1976.0,4.0,11.0,0.4100353469961592,0.41335002388008113,0.6780052809763844,0.16764974626687207,0.09738731506287747,0.06976577931633149,0.0778424015519222,0.0013970160503140848,,0.8612365168156109,0.2679699339802252
1977-01-01,1977.0,1.0,2.0,0.41336176792454166,0.40141321231209864,0.7080780724192666,0.16410204669918044,0.09793382123550255,0.07022292236547648,0.07847374964028041,0.0014490545406813354,1.1064983328187807,1.1170045173408172,0.29471630449472486
1977-04-01,1977.0,2.0,5.0,0.41468474812285727,0.3940730982596645,0.7128051148973643,0.16511103681492348,0.0949184028549112,0.0689951325145252,0.07852599583815938,0.001506962225324388,1.467385613087656,0.8842768821500833,0.298120366774507
1977-07-01,1977.0,3.0,7.989130434782608,0.49947169870625907,0.46688514703400047,0.8667946534169512,0.20815645914643713,0.1100298011342864,0.08247973330806434,0.09341779310646844,0.0018766060745729046,21.61294400969438,24.08192069249722,0.36732295471069204
1977-10-01,1977.0,4.0,11.0,0.4980900923224895,0.45227427909040824,0.9028010950166856,0.22798505644985007,0.10413305644268898,0.08214463581004063,0.09226247920920479,0.002016890466578477,20.38392531226102,1.6136367553984328,0.404711002694196
1978-01-01,1978.0,1.0,2.0,0.4834453266623585,0.4344067102726577,0.931078805034501,0.25009753066620244,0.10420177571197045,0.085036034837431,0.09216073220931567,0.0020355114779849566,13.448905342021053,3.7822564712318063,0.4476334783721425
1978-04-01,1978.0,2.0,5.0,0.48235395363101724,0.42817835809555704,0.8848435116126354,0.25158472217247113,0.10436621374742375,0.0853416380145405,0.08924389131431981,0.002183771875954844,-5.096775972589911,2.479677844759665,0.40248955798161806
1978-07-01,1978.0,3.0,7.989130434782608,0.45287372549424054,0.39668036761671494,0.8738206695994873,0.2693119241129008,0.10132110293452241,0.08211860299807994,0.08558317630925588,0.002349378217801479,-8.220339665106307,3.860877754770605,0.42094694410524686
1978-10-01,1978.0,4.0,11.0,0.42480280293760825,0.3606612557245727,0.8427983531576533,0.2614141664935535,0.09773175410734913,0.08160303887419999,0.08449021643396361,0.002231698723451812,-11.90703701285067,8.687143924114325,0.41799555022004503
1979-01-01,1979.0,1.0,2.0,0.41711174795031264,0.35162997905220433,0.8406734628696104,0.24903297117352127,0.09568733738918826,0.08090083725509542,0.08201017200893547,0.0020718930621589746,-12.953790561884226,3.1426371784057783,0.4235617149192978
