fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros
1976-07-01,1976,7,,506547.2284017327,75645.29250816832,4738.041998019802,389085.81843539607,37078.07546014852,19156.953985148513,,1926.9789611386138,10319.589920544555
1976-08-01,1976,8,,500625.01826448913,71170.52462942043,4689.799775049116,388823.41784774064,35941.27601227898,19070.551536591352,,1920.6646036345774,8764.55302824165
1976-09-01,1976,9,,500806.4752798939,71717.39899710704,4884.900652603664,388323.88776084856,35880.30009378013,18770.95392526519,,1885.3273341369334,9365.636687560269
1976-10-01,1976,10,,504598.7206081274,73277.32676758556,5394.4873312737645,388428.03164686315,37498.86281226236,18819.06918013308,,1860.9758203422055,10031.502699619772
1976-11-01,1976,11,,507366.26428804855,76626.94122128852,5492.275914799253,387727.5009169001,37519.53439869281,18798.010503968253,,1827.6062189542486,9968.99146545285
1976-12-01,1976,12,,527215.0998273315,79675.83184556787,4458.903423591874,404398.0520353186,38682.312522853186,18974.461076177286,,1785.338221375808,9367.989492613113
1977-01-01,1977,1,,510136.02732871193,79816.8999588551,4308.55292665474,388773.40369364934,37237.170749552766,18382.013181574235,,1943.6360476296954,9376.474926878353
1977-02-01,1977,2,,507263.4237502202,81234.98181585904,4462.249506828194,384831.1712092511,36735.02121828194,18410.907536123348,,1913.7871680616738,8054.19265814978
1977-03-01,1977,3,,502583.7505402324,79575.3962183735,4835.29646170396,381127.263319062,37045.78363166954,18106.18456992255,,1866.820533562823,9058.727002151463
1977-04-01,1977,4,,502846.61697041406,81043.43788461536,4548.145719568891,379796.2872612002,37458.74610502957,17872.170788884185,,1833.7460021132706,9724.278131445475
1977-05-01,1977,5,,505542.78634220455,82123.92872485331,5084.6624891031015,381137.26345620287,37196.93167204527,18058.471351634536,,1817.163764459346,9725.149934828163
1977-06-01,1977,6,,503068.13821166405,83135.53273001633,4997.203801794454,377531.8546305058,37403.54704934747,17761.377881117456,,1767.134814029364,10823.287138866233
1977-07-01,1977,7,,506708.50751578534,83310.98066969219,4625.873142659826,373177.13595126284,45594.51775217048,17310.677431333857,,1708.6898275453827,10625.057533543804
1977-08-01,1977,8,,486719.6972754204,74460.22507148318,4527.470249044342,363219.222536315,44512.77941857798,16771.495317278284,,1654.6066261467888,8026.679684059633
1977-09-01,1977,9,,484144.1071851433,70228.03822266214,4520.418152337858,363473.913611991,45921.73719815234,16472.471050527904,,1630.874403657617,9840.188565422324
1977-10-01,1977,10,,479550.81795842614,69245.27403804752,4395.425432256867,360182.20144190796,45727.92645731254,16302.140511321455,,1601.8913494803264,10897.092406458796
1977-11-01,1977,11,,483953.68947697134,69667.05540438468,4969.0057476050115,364189.37920836406,45128.249116617546,16279.758865696393,,1589.3580407148122,11003.362949521004
1977-12-01,1977,12,,502213.146023209,73118.80826937134,4248.583109283625,378431.23378070164,46414.52086385233,16337.096696089178,,1613.3851697733915,10640.926963084794
1978-01-01,1978,1,,488463.08458992804,68693.90377553957,4412.758435071943,369951.02162859717,45405.40075071942,16083.348403597121,,1719.012899820144,11447.451808633094
1978-02-01,1978,2,,490811.1381355057,72795.7944528134,4857.253867521368,366578.57280039176,46579.526043803424,15966.54720548433,,1701.3841782407408,10738.335878027066
1978-03-01,1978,3,,493892.50946026726,71494.02620024614,5477.131581751055,368761.4602107947,48159.89146747539,15863.668903481013,,1678.83139011955,9887.294457102673
1978-04-01,1978,4,,485723.025251894,66567.44766425621,4900.585348657026,366448.7242391529,47806.267999827825,15581.978230371904,,1644.144791150138,12254.069439049588
1978-05-01,1978,5,,483587.89440978854,63858.58335334243,4840.953362380627,368228.54416268755,46659.82217854707,15507.694830832197,,1627.9765977148704,11379.518975784447
1978-06-01,1978,6,,492514.40328933153,62900.26166525996,5286.350262997975,374232.04010803514,50095.7598126266,15324.08509132343,,1611.128473160027,11639.345039500338
1978-07-01,1978,7,,493735.5671394581,67024.49081576339,4089.1693265036356,374857.82330717123,47764.083690019834,15096.308403833444,,1576.9525100793126,11744.811979015201
1978-08-01,1978,8,,480985.6552974334,62373.62965821962,4026.2725342755034,369050.8341569201,45534.91071101365,14834.54042251462,,1549.8171167966211,9218.402455328134
1978-09-01,1978,9,,483553.6894289627,60182.08649613403,4051.3079701997426,372560.88555428485,46759.40124033505,14666.003252899487,,1537.2764737435568,10462.851995006444
1978-10-01,1978,10,,478063.67748802697,55986.17020609836,4084.811505427843,373379.44026245223,44613.26360903578,14465.750272509582,,1523.241841794381,10960.483187739466
1978-11-01,1978,11,,482354.4959253019,57361.2541436745,4509.522117291799,375292.62099952315,45191.09866481245,14450.544042275904,,1516.4632703432928,10952.639469326128
1978-12-01,1978,12,,497939.5290865204,57638.956864420055,3755.131523197492,389370.5329523511,47174.91569435736,14600.786581191222,,1211.571439968652,14761.952184012538
1979-01-01,1979,1,,487780.6758033293,57367.72552635635,3806.8077046855738,381085.30103575834,45520.83372102343,14380.287928945747,,1702.7407473797782,14302.781560419236
1979-02-01,1979,2,,491301.8996069461,59417.79695425336,3831.5903570991427,382815.3902746328,45237.12202096083,14167.618035954712,,1660.6697662178701,14944.941760709913
1979-03-01,1979,3,,493363.59998485766,59976.36859418534,3991.256693670503,383412.0814368565,45983.88558192005,13914.034584191399,,1605.6397655966082,14437.942932313748
1979-04-01,1979,4,,489841.2151418556,56971.765136634844,3861.991553102625,384620.0225468377,44387.43590528043,13656.664287738662,,1541.5487713305488,15409.64097837112
1979-05-01,1979,5,,487053.449122494,54081.788539062494,4056.5599999999995,383713.1362354068,45201.97182252358,13386.319122051884,,1483.7926589033018,
1979-06-01,1979,6,,501096.33161528344,59905.37130713033,5753.081080362361,389755.9029193454,45681.97630844535,13288.464311513733,,1443.6677057276447,17106.9444257744
