fecha,año,mes,trimestre,periodo,ipi_constantes_2025_total_industria,ipi_constantes_2025_energia,ipi_constantes_2025_bienes_equipo,ipi_constantes_2025_bienes_intermedios,ipi_constantes_2025_bienes_consumo
1976-07-01,1976,7,3,1976T3,95.47576237499999,62.3640625,188.3457907916667,71.7174469,72.42125624999997
1976-08-01,1976,8,3,1976T3,62.56896403333333,51.994665100000006,141.66218762499997,46.519116966666665,51.432451499999985
1976-09-01,1976,9,3,1976T3,98.56481325833333,68.92043796666667,148.24678749999998,80.51429466666667,85.21039649999997
1976-10-01,1976,10,4,1976T4,100.57357461666663,77.15448986666667,169.76009895833332,83.49596786666667,79.093581
1976-11-01,1976,11,4,1976T4,102.27242713333331,79.28850493333331,201.51612133333327,78.57552321666667,73.67270549999999
1976-12-01,1976,12,4,1976T4,98.41048618333332,82.49085796666665,188.34579079166664,77.08468661666669,70.33716449999999
1977-01-01,1977,1,1,1977T1,94.70287230833334,85.84488040000001,176.49170174999995,76.48857993333333,68.80733925
1977-02-01,1977,2,1,1977T1,99.02904917499998,70.7497838,214.98045770833332,76.48857993333334,68.80733925
1977-03-01,1977,3,1,1977T1,108.29745651666667,77.4591591,194.63864641666672,90.95129065,82.56955274999999
1977-04-01,1977,4,2,1977T2,99.029049175,61.44872436666665,216.1508270833333,79.47025313333334,70.75348575
1977-05-01,1977,5,2,1977T2,104.43551556666667,66.93809229999998,187.90704362499997,89.31114243333336,82.15198874999999
1977-06-01,1977,6,2,1977T2,99.33770332499998,66.175754,214.1018325833333,78.42621160000002,70.33716449999999
1977-07-01,1977,7,3,1977T3,92.07680264999999,60.533386233333324,183.80905462499996,74.25118525,66.86119275000003
1977-08-01,1977,8,3,1977T3,63.49618117499999,68.92043796666664,38.634628083333325,70.52409375,66.86119275
1977-09-01,1977,9,3,1977T3,103.0453172,72.73212946666666,151.90602933333332,88.56572413333333,88.26880424999999
1977-10-01,1977,10,4,1977T4,103.0453172,65.4134157,216.8824492916666,80.36498304999999,76.17436124999999
1977-11-01,1977,11,4,1977T4,102.42675420833332,75.93448250000002,202.68762149999995,78.12872815,77.56499849999999
1977-12-01,1977,12,4,1977T4,103.66262549999998,85.99788023333332,183.37030745833334,82.89986118333334,80.9005395
1978-01-01,1978,1,1,1978T1,100.10933869999998,91.64024800000001,168.00397949999996,84.54000939999999,80.76259424999999
1978-02-01,1978,2,1,1978T1,100.41924754166666,73.64746760000001,217.9069465416666,79.02231828333335,74.50659075000002
1978-03-01,1978,3,1,1978T1,102.89099012499995,73.95213683333333,231.22428,79.61956475000001,76.73111324999999
1978-04-01,1978,4,2,1978T2,101.34646468333331,74.86747496666668,189.80903520833328,86.92557591666666,85.90509374999999
1978-05-01,1978,5,2,1978T2,102.27242713333331,69.37810703333334,205.32123529166665,85.88153438333336,83.95894724999998
1978-06-01,1978,6,2,1978T2,106.13562277500002,69.2251072,214.83345479166664,87.81916604999999,89.10268949999998
1978-07-01,1978,7,3,1978T3,95.32018060833335,61.448724366666674,206.93148262499997,72.4628652,74.36740274999998
1978-08-01,1978,8,3,1978T3,65.19503369166665,64.6510774,70.39178125,66.49837901666668,65.05423425
1978-09-01,1978,9,3,1978T3,105.36273270833331,66.32875383333331,199.17538258333335,82.89986118333334,89.93657474999999
1978-10-01,1978,10,4,1978T4,109.07034658333332,68.92043796666667,230.19978275000003,85.13611608333336,87.295731
1978-11-01,1978,11,4,1978T4,109.99756372499998,78.06849756666665,212.05396887499992,89.16183081666668,90.21495075
