Sexo;Ocupación;Situación profesional;Periodo;Total
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2010T3;1.915,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2010T2;1.898,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2010T1;1.897,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2009T4;1.906,6
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2009T3;1.951,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2009T2;1.944,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2009T1;1.948,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2008T4;2.140,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2008T3;2.148,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2008T2;2.156,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2008T1;2.178,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2007T4;2.215,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2007T3;2.231,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2007T2;2.177,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2007T1;2.127,8
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2006T4;2.121,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2006T3;2.090,1
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2006T2;2.125,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2006T1;2.073,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2005T4;2.085,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2005T3;2.091,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2005T2;2.083,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2005T1;2.101,7
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2004T4;1.966,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2004T3;1.929,0
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2004T2;1.941,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2004T1;1.900,5
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2003T4;1.861,2
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2003T3;1.855,0
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2003T2;1.847,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2003T1;1.876,9
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2002T4;1.861,4
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2002T3;1.854,3
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2002T2;1.909,0
Ambos sexos;Total;Empresario sin asalariados o trabajador independiente;2002T1;1.921,9
Ambos sexos;Total;Miembro de una cooperativa;2010T4;36,1
Ambos sexos;Total;Miembro de una cooperativa;2010T3;31,5
Ambos sexos;Total;Miembro de una cooperativa;2010T2;29,9
Ambos sexos;Total;Miembro de una cooperativa;2010T1;32,2
Ambos sexos;Total;Miembro de una cooperativa;2009T4;37,5
Ambos sexos;Total;Miembro de una cooperativa;2009T3;34,1
Ambos sexos;Total;Miembro de una cooperativa;2009T2;29,9
Ambos sexos;Total;Miembro de una cooperativa;2009T1;31,8
Ambos sexos;Total;Miembro de una cooperativa;2008T4;63,5
Ambos sexos;Total;Miembro de una cooperativa;2008T3;65,3
Ambos sexos;Total;Miembro de una cooperativa;2008T2;63,3
Ambos sexos;Total;Miembro de una cooperativa;2008T1;71,8
Ambos sexos;Total;Miembro de una cooperativa;2007T4;69,5
Ambos sexos;Total;Miembro de una cooperativa;2007T3;72,7
Ambos sexos;Total;Miembro de una cooperativa;2007T2;83,7
Ambos sexos;Total;Miembro de una cooperativa;2007T1;89,9
Ambos sexos;Total;Miembro de una cooperativa;2006T4;95,7
Ambos sexos;Total;Miembro de una cooperativa;2006T3;98,1
Ambos sexos;Total;Miembro de una cooperativa;2006T2;85,7
Ambos sexos;Total;Miembro de una cooperativa;2006T1;86,0
Ambos sexos;Total;Miembro de una cooperativa;2005T4;82,1
Ambos sexos;Total;Miembro de una cooperativa;2005T3;81,0
Ambos sexos;Total;Miembro de una cooperativa;2005T2;78,2
Ambos sexos;Total;Miembro de una cooperativa;2005T1;87,8
Ambos sexos;Total;Miembro de una cooperativa;2004T4;81,6
Ambos sexos;Total;Miembro de una cooperativa;2004T3;84,5
Ambos sexos;Total;Miembro de una cooperativa;2004T2;87,0
Ambos sexos;Total;Miembro de una cooperativa;2004T1;89,2
Ambos sexos;Total;Miembro de una cooperativa;2003T4;91,9
Ambos sexos;Total;Miembro de una cooperativa;2003T3;94,3
Ambos sexos;Total;Miembro de una cooperativa;2003T2;96,8
Ambos sexos;Total;Miembro de una cooperativa;2003T1;94,8
Ambos sexos;Total;Miembro de una cooperativa;2002T4;84,5
Ambos sexos;Total;Miembro de una cooperativa;2002T3;92,5
Ambos sexos;Total;Miembro de una cooperativa;2002T2;88,4
Ambos sexos;Total;Miembro de una cooperativa;2002T1;90,8
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2010T4;137,3
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2010T3;151,0
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2010T2;151,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2010T1;171,2
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2009T4;159,9
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2009T3;179,5
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2009T2;167,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2009T1;186,6
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T4;199,2
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T3;223,3
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T2;199,3
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2008T1;217,2
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T4;199,1
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T3;206,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T2;222,0
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2007T1;257,4
Ambos sexos;Total;Ayuda en la empresa o negocio familiar;2006T4;243,3
