Sexo;Ocupación;Situación profesional;Periodo;Total
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Asalariado sector privado;2002T3;2.262,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Asalariado sector privado;2002T2;2.236,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Asalariado sector privado;2002T1;2.201,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2010T4;0,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2010T3;..
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2010T2;..
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2010T1;..
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2009T4;0,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2009T3;0,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2009T2;0,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2009T1;0,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2008T4;0,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2008T3;1,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2008T2;0,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2008T1;0,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2007T4;..
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2007T3;..
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2007T2;0,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2007T1;0,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2006T4;..
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2006T3;0,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2006T2;1,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2006T1;6,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2005T4;3,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2005T3;0,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2005T2;0,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2005T1;1,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2004T4;1,7
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2004T3;1,5
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2004T2;3,6
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2004T1;3,3
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2003T4;2,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2003T3;2,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2003T2;2,2
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2003T1;0,9
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2002T4;2,4
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2002T3;5,1
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2002T2;3,8
Ambos sexos;7 Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto los  operadores de instalaciones y maquinaria;Otra situación;2002T1;2,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2010T4;1.604,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2010T3;1.627,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2010T2;1.601,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2010T1;1.563,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2009T4;1.570,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2009T3;1.587,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2009T2;1.627,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2009T1;1.695,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2008T4;1.795,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2008T3;1.881,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2008T2;1.916,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2008T1;1.952,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2007T4;1.936,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2007T3;1.876,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2007T2;1.876,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2007T1;1.867,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2006T4;1.861,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2006T3;1.826,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2006T2;1.818,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2006T1;1.784,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2005T4;1.820,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2005T3;1.774,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2005T2;1.756,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2005T1;1.749,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2004T4;1.774,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2004T3;1.737,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2004T2;1.711,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2004T1;1.684,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2003T4;1.704,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2003T3;1.691,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2003T2;1.657,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2003T1;1.643,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2002T4;1.662,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2002T3;1.678,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2002T2;1.649,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Total;2002T1;1.610,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2010T4;202,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2010T3;199,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2010T2;185,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2010T1;184,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2009T4;181,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2009T3;185,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2009T2;173,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2009T1;187,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2008T4;225,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2008T3;223,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2008T2;241,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2008T1;244,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2007T4;254,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2007T3;244,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2007T2;239,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2007T1;249,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2006T4;232,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2006T3;239,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2006T2;265,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2006T1;256,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2005T4;251,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2005T3;250,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2005T2;247,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2005T1;253,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2004T4;227,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2004T3;219,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2004T2;223,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2004T1;231,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2003T4;240,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2003T3;233,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2003T2;241,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2003T1;250,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2002T4;251,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2002T3;256,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2002T2;250,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Trabajador por cuenta propia;2002T1;240,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2010T4;34,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2010T3;36,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2010T2;34,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2010T1;33,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2009T4;27,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2009T3;33,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2009T2;29,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2009T1;29,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2008T4;31,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2008T3;33,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2008T2;39,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2008T1;30,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2007T4;33,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2007T3;32,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2007T2;39,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2007T1;38,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2006T4;31,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2006T3;30,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2006T2;29,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2006T1;37,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2005T4;38,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2005T3;40,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2005T2;40,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2005T1;37,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2004T4;29,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2004T3;32,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2004T2;31,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2004T1;30,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2003T4;30,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2003T3;28,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2003T2;30,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2003T1;25,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2002T4;25,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2002T3;31,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2002T2;26,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empleador;2002T1;26,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2010T4;156,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2010T3;152,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2010T2;140,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2010T1;140,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2009T4;138,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2009T3;137,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2009T2;135,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2009T1;147,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2008T4;180,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2008T3;177,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2008T2;189,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2008T1;197,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2007T4;203,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2007T3;196,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2007T2;182,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2007T1;186,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2006T4;177,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2006T3;182,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2006T2;211,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2006T1;199,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2005T4;195,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2005T3;190,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2005T2;183,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2005T1;194,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2004T4;180,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2004T3;170,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2004T2;174,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2004T1;182,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2003T4;189,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2003T3;184,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2003T2;188,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2003T1;201,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2002T4;202,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2002T3;199,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2002T2;199,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Empresario sin asalariados o trabajador independiente;2002T1;188,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2010T4;7,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2010T3;7,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2010T2;7,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2010T1;7,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2009T4;12,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2009T3;10,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2009T2;5,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2009T1;6,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2008T4;11,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2008T3;10,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2008T2;9,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2008T1;13,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2007T4;12,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2007T3;10,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2007T2;13,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2007T1;15,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2006T4;17,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2006T3;18,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2006T2;17,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2006T1;15,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2005T4;13,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2005T3;12,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2005T2;18,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2005T1;14,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2004T4;12,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2004T3;13,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2004T2;14,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2004T1;14,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2003T4;15,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2003T3;16,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2003T2;18,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2003T1;17,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2002T4;15,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2002T3;18,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2002T2;18,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Miembro de una cooperativa;2002T1;17,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2010T4;4,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2010T3;4,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2010T2;3,0
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2010T1;2,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2009T4;3,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2009T3;3,9
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2009T2;2,7
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2009T1;4,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2008T4;3,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2008T3;1,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2008T2;3,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2008T1;3,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2007T4;5,5
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2007T3;4,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2007T2;4,2
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2007T1;9,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2006T4;5,3
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2006T3;6,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2006T2;6,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2006T1;5,1
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2005T4;3,8
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2005T3;5,6
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2005T2;4,4
Ambos sexos;8 Operadores de instalaciones y maquinaria, y montadores;Ayuda en la empresa o negocio familiar;2005T1;8,1
