Sexo;Situación profesional;Periodo;Total
ambos sexos;empresario con o sin asalariados;1983TI;2.472,7
ambos sexos;empresario con o sin asalariados;1982TIV;2.463,0
ambos sexos;empresario con o sin asalariados;1982TIII;2.447,7
ambos sexos;empresario con o sin asalariados;1982TII;2.458,5
ambos sexos;empresario con o sin asalariados;1982TI;2.434,5
ambos sexos;empresario con o sin asalariados;1981TIV;2.445,7
ambos sexos;empresario con o sin asalariados;1981TIII;2.472,3
ambos sexos;empresario con o sin asalariados;1981TII;2.475,6
ambos sexos;empresario con o sin asalariados;1981TI;2.516,4
ambos sexos;empresario con o sin asalariados;1980TIV;2.521,5
ambos sexos;empresario con o sin asalariados;1980TIII;2.550,3
ambos sexos;empresario con o sin asalariados;1980TII;2.550,8
ambos sexos;empresario con o sin asalariados;1980TI;2.533,6
ambos sexos;empresario con o sin asalariados;1979TIV;2.570,4
ambos sexos;empresario con o sin asalariados;1979TIII;2.589,2
ambos sexos;empresario con o sin asalariados;1979TII;2.575,0
ambos sexos;empresario con o sin asalariados;1979TI;2.550,2
ambos sexos;empresario con o sin asalariados;1978TIV;2.553,5
ambos sexos;empresario con o sin asalariados;1978TIII;2.564,1
ambos sexos;empresario con o sin asalariados;1978TII;2.567,6
ambos sexos;empresario con o sin asalariados;1978TI;2.579,5
ambos sexos;empresario con o sin asalariados;1977TIV;2.586,5
ambos sexos;empresario con o sin asalariados;1977TIII;2.601,4
ambos sexos;empresario con o sin asalariados;1977TII;2.609,2
ambos sexos;empresario con o sin asalariados;1977TI;2.602,1
ambos sexos;empresario con o sin asalariados;1976TIV;2.632,1
ambos sexos;empresario con o sin asalariados;1976TIII;2.660,8
ambos sexos;miembro de cooperativa;1995TIV;113,4
ambos sexos;miembro de cooperativa;1995TIII;112,8
ambos sexos;miembro de cooperativa;1995TII;121,4
ambos sexos;miembro de cooperativa;1995TI;121,1
ambos sexos;miembro de cooperativa;1994TIV;122,8
ambos sexos;miembro de cooperativa;1994TIII;120,1
ambos sexos;miembro de cooperativa;1994TII;114,6
ambos sexos;miembro de cooperativa;1994TI;118,7
ambos sexos;miembro de cooperativa;1993TIV;124,6
ambos sexos;miembro de cooperativa;1993TIII;133,1
ambos sexos;miembro de cooperativa;1993TII;128,9
ambos sexos;miembro de cooperativa;1993TI;118,3
ambos sexos;miembro de cooperativa;1992TIV;105,2
ambos sexos;miembro de cooperativa;1992TIII;106,6
ambos sexos;miembro de cooperativa;1992TII;106,8
ambos sexos;miembro de cooperativa;1992TI;110,3
ambos sexos;miembro de cooperativa;1991TIV;100,3
ambos sexos;miembro de cooperativa;1991TIII;103,7
ambos sexos;miembro de cooperativa;1991TII;110,9
ambos sexos;miembro de cooperativa;1991TI;112,4
ambos sexos;miembro de cooperativa;1990TIV;100,7
ambos sexos;miembro de cooperativa;1990TIII;95,8
ambos sexos;miembro de cooperativa;1990TII;97,7
ambos sexos;miembro de cooperativa;1990TI;96,3
ambos sexos;miembro de cooperativa;1989TIV;93,3
ambos sexos;miembro de cooperativa;1989TIII;90,3
ambos sexos;miembro de cooperativa;1989TII;90,7
ambos sexos;miembro de cooperativa;1989TI;98,5
ambos sexos;miembro de cooperativa;1988TIV;91,0
ambos sexos;miembro de cooperativa;1988TIII;96,9
ambos sexos;miembro de cooperativa;1988TII;100,5
ambos sexos;miembro de cooperativa;1988TI;95,0
ambos sexos;miembro de cooperativa;1987TIV;86,3
ambos sexos;miembro de cooperativa;1987TIII;84,0
ambos sexos;miembro de cooperativa;1987TII;75,2
ambos sexos;miembro de cooperativa;1987TI;0,0
ambos sexos;miembro de cooperativa;1986TIV;0,0
ambos sexos;miembro de cooperativa;1986TIII;0,0
ambos sexos;miembro de cooperativa;1986TII;0,0
ambos sexos;miembro de cooperativa;1986TI;0,0
ambos sexos;miembro de cooperativa;1985TIV;0,0
ambos sexos;miembro de cooperativa;1985TIII;0,0
ambos sexos;miembro de cooperativa;1985TII;0,0
ambos sexos;miembro de cooperativa;1985TI;0,0
ambos sexos;miembro de cooperativa;1984TIV;0,0
ambos sexos;miembro de cooperativa;1984TIII;0,0
ambos sexos;miembro de cooperativa;1984TII;0,0
ambos sexos;miembro de cooperativa;1984TI;0,0
ambos sexos;miembro de cooperativa;1983TIV;0,0
ambos sexos;miembro de cooperativa;1983TIII;0,0
ambos sexos;miembro de cooperativa;1983TII;0,0
ambos sexos;miembro de cooperativa;1983TI;0,0
ambos sexos;miembro de cooperativa;1982TIV;0,0
ambos sexos;miembro de cooperativa;1982TIII;0,0
ambos sexos;miembro de cooperativa;1982TII;0,0
ambos sexos;miembro de cooperativa;1982TI;0,0
ambos sexos;miembro de cooperativa;1981TIV;0,0
ambos sexos;miembro de cooperativa;1981TIII;0,0
ambos sexos;miembro de cooperativa;1981TII;0,0
ambos sexos;miembro de cooperativa;1981TI;0,0
ambos sexos;miembro de cooperativa;1980TIV;0,0
ambos sexos;miembro de cooperativa;1980TIII;0,0
ambos sexos;miembro de cooperativa;1980TII;0,0
ambos sexos;miembro de cooperativa;1980TI;0,0
ambos sexos;miembro de cooperativa;1979TIV;0,0
ambos sexos;miembro de cooperativa;1979TIII;0,0
ambos sexos;miembro de cooperativa;1979TII;0,0
ambos sexos;miembro de cooperativa;1979TI;0,0
ambos sexos;miembro de cooperativa;1978TIV;0,0
ambos sexos;miembro de cooperativa;1978TIII;0,0
ambos sexos;miembro de cooperativa;1978TII;0,0
ambos sexos;miembro de cooperativa;1978TI;0,0
ambos sexos;miembro de cooperativa;1977TIV;0,0
ambos sexos;miembro de cooperativa;1977TIII;0,0
ambos sexos;miembro de cooperativa;1977TII;0,0
ambos sexos;miembro de cooperativa;1977TI;0,0
ambos sexos;miembro de cooperativa;1976TIV;0,0
ambos sexos;miembro de cooperativa;1976TIII;0,0
ambos sexos;ayuda familiar;1995TIV;472,5
ambos sexos;ayuda familiar;1995TIII;471,8
ambos sexos;ayuda familiar;1995TII;455,9
ambos sexos;ayuda familiar;1995TI;462,5
ambos sexos;ayuda familiar;1994TIV;487,1
ambos sexos;ayuda familiar;1994TIII;503,6
ambos sexos;ayuda familiar;1994TII;501,9
ambos sexos;ayuda familiar;1994TI;522,5
ambos sexos;ayuda familiar;1993TIV;534,9
ambos sexos;ayuda familiar;1993TIII;552,9
ambos sexos;ayuda familiar;1993TII;548,5
ambos sexos;ayuda familiar;1993TI;537,9
ambos sexos;ayuda familiar;1992TIV;556,9
ambos sexos;ayuda familiar;1992TIII;575,7
ambos sexos;ayuda familiar;1992TII;577,4
ambos sexos;ayuda familiar;1992TI;608,9
ambos sexos;ayuda familiar;1991TIV;625,4
ambos sexos;ayuda familiar;1991TIII;647,7
ambos sexos;ayuda familiar;1991TII;636,4
ambos sexos;ayuda familiar;1991TI;652,4
ambos sexos;ayuda familiar;1990TIV;671,6
ambos sexos;ayuda familiar;1990TIII;690,6
ambos sexos;ayuda familiar;1990TII;681,9
ambos sexos;ayuda familiar;1990TI;720,5
ambos sexos;ayuda familiar;1989TIV;731,4
ambos sexos;ayuda familiar;1989TIII;758,1
ambos sexos;ayuda familiar;1989TII;737,4
ambos sexos;ayuda familiar;1989TI;734,7
ambos sexos;ayuda familiar;1988TIV;754,1
ambos sexos;ayuda familiar;1988TIII;795,3
ambos sexos;ayuda familiar;1988TII;761,1
ambos sexos;ayuda familiar;1988TI;791,0
ambos sexos;ayuda familiar;1987TIV;798,3
ambos sexos;ayuda familiar;1987TIII;805,5
ambos sexos;ayuda familiar;1987TII;756,1
ambos sexos;ayuda familiar;1987TI;691,4
ambos sexos;ayuda familiar;1986TIV;709,9
ambos sexos;ayuda familiar;1986TIII;719,5
ambos sexos;ayuda familiar;1986TII;736,5
ambos sexos;ayuda familiar;1986TI;749,8
ambos sexos;ayuda familiar;1985TIV;793,7
ambos sexos;ayuda familiar;1985TIII;810,0
ambos sexos;ayuda familiar;1985TII;791,5
ambos sexos;ayuda familiar;1985TI;803,4
ambos sexos;ayuda familiar;1984TIV;835,9
ambos sexos;ayuda familiar;1984TIII;852,1
ambos sexos;ayuda familiar;1984TII;831,4
ambos sexos;ayuda familiar;1984TI;863,9
ambos sexos;ayuda familiar;1983TIV;884,9
ambos sexos;ayuda familiar;1983TIII;892,4
ambos sexos;ayuda familiar;1983TII;858,8
ambos sexos;ayuda familiar;1983TI;870,6
ambos sexos;ayuda familiar;1982TIV;885,9
ambos sexos;ayuda familiar;1982TIII;919,4
ambos sexos;ayuda familiar;1982TII;888,2
ambos sexos;ayuda familiar;1982TI;886,5
ambos sexos;ayuda familiar;1981TIV;911,3
ambos sexos;ayuda familiar;1981TIII;945,8
ambos sexos;ayuda familiar;1981TII;924,0
ambos sexos;ayuda familiar;1981TI;921,8
ambos sexos;ayuda familiar;1980TIV;938,3
ambos sexos;ayuda familiar;1980TIII;972,3
ambos sexos;ayuda familiar;1980TII;944,5
ambos sexos;ayuda familiar;1980TI;955,7
ambos sexos;ayuda familiar;1979TIV;989,9
ambos sexos;ayuda familiar;1979TIII;1.029,5
ambos sexos;ayuda familiar;1979TII;991,5
ambos sexos;ayuda familiar;1979TI;995,4
ambos sexos;ayuda familiar;1978TIV;1.003,5
ambos sexos;ayuda familiar;1978TIII;1.035,6
ambos sexos;ayuda familiar;1978TII;1.039,3
ambos sexos;ayuda familiar;1978TI;1.044,8
ambos sexos;ayuda familiar;1977TIV;1.061,1
ambos sexos;ayuda familiar;1977TIII;1.090,4
ambos sexos;ayuda familiar;1977TII;1.062,7
ambos sexos;ayuda familiar;1977TI;1.105,7
ambos sexos;ayuda familiar;1976TIV;1.135,3
ambos sexos;ayuda familiar;1976TIII;1.191,8
ambos sexos;asalariados sector público;1995TIV;2.230,0
ambos sexos;asalariados sector público;1995TIII;2.255,3
ambos sexos;asalariados sector público;1995TII;2.222,9
ambos sexos;asalariados sector público;1995TI;2.189,8
ambos sexos;asalariados sector público;1994TIV;2.153,4
ambos sexos;asalariados sector público;1994TIII;2.154,8
ambos sexos;asalariados sector público;1994TII;2.150,0
ambos sexos;asalariados sector público;1994TI;2.187,5
ambos sexos;asalariados sector público;1993TIV;2.212,2
ambos sexos;asalariados sector público;1993TIII;2.226,6
ambos sexos;asalariados sector público;1993TII;2.218,2
ambos sexos;asalariados sector público;1993TI;2.194,0
ambos sexos;asalariados sector público;1992TIV;2.233,7
ambos sexos;asalariados sector público;1992TIII;2.282,3
ambos sexos;asalariados sector público;1992TII;2.253,3
ambos sexos;asalariados sector público;1992TI;2.257,7
ambos sexos;asalariados sector público;1991TIV;2.274,5
ambos sexos;asalariados sector público;1991TIII;2.272,5
ambos sexos;asalariados sector público;1991TII;2.227,8
ambos sexos;asalariados sector público;1991TI;2.193,5
ambos sexos;asalariados sector público;1990TIV;2.207,8
ambos sexos;asalariados sector público;1990TIII;2.207,3
ambos sexos;asalariados sector público;1990TII;2.148,2
ambos sexos;asalariados sector público;1990TI;2.167,5
ambos sexos;asalariados sector público;1989TIV;2.152,1
ambos sexos;asalariados sector público;1989TIII;2.131,1
ambos sexos;asalariados sector público;1989TII;2.038,9
ambos sexos;asalariados sector público;1989TI;2.001,1
ambos sexos;asalariados sector público;1988TIV;2.006,8
ambos sexos;asalariados sector público;1988TIII;1.928,6
ambos sexos;asalariados sector público;1988TII;1.933,2
ambos sexos;asalariados sector público;1988TI;1.898,2
ambos sexos;asalariados sector público;1987TIV;1.907,7
ambos sexos;asalariados sector público;1987TIII;1.889,8
ambos sexos;asalariados sector público;1987TII;1.869,3
ambos sexos;asalariados sector público;1987TI;1.915,0
ambos sexos;asalariados sector público;1986TIV;1.999,1
ambos sexos;asalariados sector público;1986TIII;1.995,7
ambos sexos;asalariados sector público;1986TII;1.965,9
ambos sexos;asalariados sector público;1986TI;1.939,8
ambos sexos;asalariados sector público;1985TIV;1.958,3
ambos sexos;asalariados sector público;1985TIII;1.908,9
ambos sexos;asalariados sector público;1985TII;1.814,8
ambos sexos;asalariados sector público;1985TI;1.792,1
ambos sexos;asalariados sector público;1984TIV;1.830,7
ambos sexos;asalariados sector público;1984TIII;1.804,9
ambos sexos;asalariados sector público;1984TII;1.786,1
ambos sexos;asalariados sector público;1984TI;1.794,6
ambos sexos;asalariados sector público;1983TIV;1.911,5
ambos sexos;asalariados sector público;1983TIII;1.878,8
ambos sexos;asalariados sector público;1983TII;1.832,7
ambos sexos;asalariados sector público;1983TI;1.757,7
ambos sexos;asalariados sector público;1982TIV;1.773,0
ambos sexos;asalariados sector público;1982TIII;1.750,4
ambos sexos;asalariados sector público;1982TII;1.709,1
ambos sexos;asalariados sector público;1982TI;1.686,1
ambos sexos;asalariados sector público;1981TIV;1.655,9
ambos sexos;asalariados sector público;1981TIII;1.646,5
ambos sexos;asalariados sector público;1981TII;1.623,3
ambos sexos;asalariados sector público;1981TI;1.625,6
ambos sexos;asalariados sector público;1980TIV;1.624,7
ambos sexos;asalariados sector público;1980TIII;1.586,9
ambos sexos;asalariados sector público;1980TII;1.582,5
ambos sexos;asalariados sector público;1980TI;1.567,1
ambos sexos;asalariados sector público;1979TIV;1.560,3
ambos sexos;asalariados sector público;1979TIII;1.545,6
ambos sexos;asalariados sector público;1979TII;1.513,0
ambos sexos;asalariados sector público;1979TI;1.507,9
ambos sexos;asalariados sector público;1978TIV;1.532,8
ambos sexos;asalariados sector público;1978TIII;1.504,2
