Sexo;Situación profesional;Periodo;Total
ambos sexos;asalariados sector público;1998TIV;2.305,2
ambos sexos;asalariados sector público;1998TIII;2.338,3
ambos sexos;asalariados sector público;1998TII;2.330,1
ambos sexos;asalariados sector público;1998TI;2.339,2
ambos sexos;asalariados sector público;1997TIV;2.371,9
ambos sexos;asalariados sector público;1997TIII;2.394,1
ambos sexos;asalariados sector público;1997TII;2.357,4
ambos sexos;asalariados sector público;1997TI;2.330,6
ambos sexos;asalariados sector público;1996TIV;2.337,2
ambos sexos;asalariados sector público;1996TIII;2.355,9
ambos sexos;asalariados sector público;1996TII;2.334,8
ambos sexos;asalariados sector público;1996TI;2.264,9
ambos sexos;asalariados sector privado;2001TIV;10.600,5
ambos sexos;asalariados sector privado;2001TIII;10.570,1
ambos sexos;asalariados sector privado;2001TII;10.383,6
ambos sexos;asalariados sector privado;2001TI;10.220,7
ambos sexos;asalariados sector privado;2000TIV;10.153,4
ambos sexos;asalariados sector privado;2000TIII;10.073,5
ambos sexos;asalariados sector privado;2000TII;9.907,4
ambos sexos;asalariados sector privado;2000TI;9.612,3
ambos sexos;asalariados sector privado;1999TIV;9.511,1
ambos sexos;asalariados sector privado;1999TIII;9.321,0
ambos sexos;asalariados sector privado;1999TII;9.135,8
ambos sexos;asalariados sector privado;1999TI;8.844,9
ambos sexos;asalariados sector privado;1998TIV;8.653,5
ambos sexos;asalariados sector privado;1998TIII;8.509,9
ambos sexos;asalariados sector privado;1998TII;8.329,3
ambos sexos;asalariados sector privado;1998TI;8.146,3
ambos sexos;asalariados sector privado;1997TIV;8.032,2
ambos sexos;asalariados sector privado;1997TIII;7.904,2
ambos sexos;asalariados sector privado;1997TII;7.756,2
ambos sexos;asalariados sector privado;1997TI;7.626,0
ambos sexos;asalariados sector privado;1996TIV;7.549,0
ambos sexos;asalariados sector privado;1996TIII;7.451,6
ambos sexos;asalariados sector privado;1996TII;7.265,0
ambos sexos;asalariados sector privado;1996TI;7.165,7
ambos sexos;otra situación;2001TIV;18,3
ambos sexos;otra situación;2001TIII;18,9
ambos sexos;otra situación;2001TII;19,1
ambos sexos;otra situación;2001TI;21,5
ambos sexos;otra situación;2000TIV;16,8
ambos sexos;otra situación;2000TIII;17,4
ambos sexos;otra situación;2000TII;17,1
ambos sexos;otra situación;2000TI;12,6
ambos sexos;otra situación;1999TIV;17,8
ambos sexos;otra situación;1999TIII;20,3
ambos sexos;otra situación;1999TII;17,6
ambos sexos;otra situación;1999TI;22,7
ambos sexos;otra situación;1998TIV;19,2
ambos sexos;otra situación;1998TIII;22,9
ambos sexos;otra situación;1998TII;23,2
ambos sexos;otra situación;1998TI;25,2
ambos sexos;otra situación;1997TIV;28,4
ambos sexos;otra situación;1997TIII;23,6
ambos sexos;otra situación;1997TII;27,7
ambos sexos;otra situación;1997TI;30,9
ambos sexos;otra situación;1996TIV;22,8
ambos sexos;otra situación;1996TIII;29,5
ambos sexos;otra situación;1996TII;30,3
ambos sexos;otra situación;1996TI;33,1
varones;total;2001TIV;10.247,4
varones;total;2001TIII;10.254,0
varones;total;2001TII;10.129,9
varones;total;2001TI;9.970,8
varones;total;2000TIV;9.962,9
varones;total;2000TIII;9.952,1
varones;total;2000TII;9.774,5
varones;total;2000TI;9.595,0
varones;total;1999TIV;9.539,6
varones;total;1999TIII;9.560,1
varones;total;1999TII;9.402,7
varones;total;1999TI;9.232,7
varones;total;1998TIV;9.167,0
varones;total;1998TIII;9.147,5
varones;total;1998TII;8.979,6
varones;total;1998TI;8.837,4
varones;total;1997TIV;8.780,5
varones;total;1997TIII;8.743,5
varones;total;1997TII;8.611,9
varones;total;1997TI;8.526,0
varones;total;1996TIV;8.508,0
varones;total;1996TIII;8.506,0
varones;total;1996TII;8.359,5
varones;total;1996TI;8.262,9
varones;empresario con o sin asalariados;2001TIV;2.047,0
varones;empresario con o sin asalariados;2001TIII;2.035,3
varones;empresario con o sin asalariados;2001TII;2.044,6
varones;empresario con o sin asalariados;2001TI;2.026,0
varones;empresario con o sin asalariados;2000TIV;2.009,8
varones;empresario con o sin asalariados;2000TIII;1.999,6
varones;empresario con o sin asalariados;2000TII;1.976,8
varones;empresario con o sin asalariados;2000TI;1.969,7
varones;empresario con o sin asalariados;1999TIV;1.962,7
varones;empresario con o sin asalariados;1999TIII;1.973,6
varones;empresario con o sin asalariados;1999TII;1.999,9
varones;empresario con o sin asalariados;1999TI;1.982,5
varones;empresario con o sin asalariados;1998TIV;1.983,1
varones;empresario con o sin asalariados;1998TIII;1.987,0
varones;empresario con o sin asalariados;1998TII;1.972,0
varones;empresario con o sin asalariados;1998TI;1.964,9
varones;empresario con o sin asalariados;1997TIV;1.963,0
varones;empresario con o sin asalariados;1997TIII;1.959,5
varones;empresario con o sin asalariados;1997TII;1.951,5
varones;empresario con o sin asalariados;1997TI;1.965,3
varones;empresario con o sin asalariados;1996TIV;1.951,7
varones;empresario con o sin asalariados;1996TIII;1.941,3
varones;empresario con o sin asalariados;1996TII;1.922,4
varones;empresario con o sin asalariados;1996TI;1.887,5
varones;miembro de cooperativa;2001TIV;62,1
varones;miembro de cooperativa;2001TIII;61,3
varones;miembro de cooperativa;2001TII;70,9
varones;miembro de cooperativa;2001TI;61,4
varones;miembro de cooperativa;2000TIV;60,7
varones;miembro de cooperativa;2000TIII;55,8
varones;miembro de cooperativa;2000TII;64,6
varones;miembro de cooperativa;2000TI;68,3
varones;miembro de cooperativa;1999TIV;65,4
varones;miembro de cooperativa;1999TIII;65,1
varones;miembro de cooperativa;1999TII;67,1
varones;miembro de cooperativa;1999TI;68,2
varones;miembro de cooperativa;1998TIV;62,1
varones;miembro de cooperativa;1998TIII;60,9
varones;miembro de cooperativa;1998TII;59,9
varones;miembro de cooperativa;1998TI;58,9
varones;miembro de cooperativa;1997TIV;60,4
varones;miembro de cooperativa;1997TIII;67,6
varones;miembro de cooperativa;1997TII;69,5
varones;miembro de cooperativa;1997TI;72,1
varones;miembro de cooperativa;1996TIV;80,8
varones;miembro de cooperativa;1996TIII;81,6
varones;miembro de cooperativa;1996TII;78,1
varones;miembro de cooperativa;1996TI;82,2
varones;ayuda familiar;2001TIV;105,2
varones;ayuda familiar;2001TIII;104,8
varones;ayuda familiar;2001TII;104,8
varones;ayuda familiar;2001TI;100,6
varones;ayuda familiar;2000TIV;111,4
varones;ayuda familiar;2000TIII;112,8
varones;ayuda familiar;2000TII;113,6
varones;ayuda familiar;2000TI;125,1
varones;ayuda familiar;1999TIV;121,0
varones;ayuda familiar;1999TIII;127,8
varones;ayuda familiar;1999TII;130,1
varones;ayuda familiar;1999TI;143,0
varones;ayuda familiar;1998TIV;152,6
varones;ayuda familiar;1998TIII;155,3
varones;ayuda familiar;1998TII;148,8
varones;ayuda familiar;1998TI;148,8
varones;ayuda familiar;1997TIV;147,6
varones;ayuda familiar;1997TIII;150,0
varones;ayuda familiar;1997TII;152,8
varones;ayuda familiar;1997TI;156,1
varones;ayuda familiar;1996TIV;161,4
varones;ayuda familiar;1996TIII;174,6
varones;ayuda familiar;1996TII;178,1
varones;ayuda familiar;1996TI;193,1
varones;asalariados sector público;2001TIV;1.320,7
varones;asalariados sector público;2001TIII;1.319,9
varones;asalariados sector público;2001TII;1.277,5
varones;asalariados sector público;2001TI;1.278,4
varones;asalariados sector público;2000TIV;1.294,7
varones;asalariados sector público;2000TIII;1.307,7
varones;asalariados sector público;2000TII;1.268,2
varones;asalariados sector público;2000TI;1.256,0
varones;asalariados sector público;1999TIV;1.254,8
varones;asalariados sector público;1999TIII;1.281,5
varones;asalariados sector público;1999TII;1.243,8
varones;asalariados sector público;1999TI;1.237,1
varones;asalariados sector público;1998TIV;1.231,0
varones;asalariados sector público;1998TIII;1.262,7
varones;asalariados sector público;1998TII;1.261,3
varones;asalariados sector público;1998TI;1.259,2
varones;asalariados sector público;1997TIV;1.285,2
varones;asalariados sector público;1997TIII;1.301,1
varones;asalariados sector público;1997TII;1.289,5
varones;asalariados sector público;1997TI;1.295,9
varones;asalariados sector público;1996TIV;1.310,5
varones;asalariados sector público;1996TIII;1.338,1
varones;asalariados sector público;1996TII;1.329,1
varones;asalariados sector público;1996TI;1.301,8
varones;asalariados sector privado;2001TIV;6.702,4
varones;asalariados sector privado;2001TIII;6.719,7
varones;asalariados sector privado;2001TII;6.619,0
varones;asalariados sector privado;2001TI;6.489,5
varones;asalariados sector privado;2000TIV;6.475,8
varones;asalariados sector privado;2000TIII;6.463,7
varones;asalariados sector privado;2000TII;6.341,4
varones;asalariados sector privado;2000TI;6.168,0
varones;asalariados sector privado;1999TIV;6.125,7
varones;asalariados sector privado;1999TIII;6.099,3
varones;asalariados sector privado;1999TII;5.950,0
varones;asalariados sector privado;1999TI;5.786,4
varones;asalariados sector privado;1998TIV;5.729,8
varones;asalariados sector privado;1998TIII;5.672,3
varones;asalariados sector privado;1998TII;5.528,6
varones;asalariados sector privado;1998TI;5.394,4
varones;asalariados sector privado;1997TIV;5.312,1
varones;asalariados sector privado;1997TIII;5.253,8
varones;asalariados sector privado;1997TII;5.137,2
varones;asalariados sector privado;1997TI;5.021,0
varones;asalariados sector privado;1996TIV;4.992,7
varones;asalariados sector privado;1996TIII;4.956,1
varones;asalariados sector privado;1996TII;4.837,8
varones;asalariados sector privado;1996TI;4.781,4
varones;otra situación;2001TIV;10,1
varones;otra situación;2001TIII;13,1
varones;otra situación;2001TII;13,1
varones;otra situación;2001TI;15,0
varones;otra situación;2000TIV;10,5
varones;otra situación;2000TIII;12,5
varones;otra situación;2000TII;10,0
varones;otra situación;2000TI;7,8
varones;otra situación;1999TIV;10,0
varones;otra situación;1999TIII;12,9
varones;otra situación;1999TII;11,7
varones;otra situación;1999TI;15,4
varones;otra situación;1998TIV;8,3
varones;otra situación;1998TIII;9,3
varones;otra situación;1998TII;9,0
varones;otra situación;1998TI;11,2
varones;otra situación;1997TIV;12,2
varones;otra situación;1997TIII;11,4
varones;otra situación;1997TII;11,4
varones;otra situación;1997TI;15,7
varones;otra situación;1996TIV;10,9
varones;otra situación;1996TIII;14,3
varones;otra situación;1996TII;14,0
varones;otra situación;1996TI;16,8
mujeres;total;2001TIV;6.100,8
mujeres;total;2001TIII;6.040,3
mujeres;total;2001TII;5.946,4
mujeres;total;2001TI;5.895,5
mujeres;total;2000TIV;5.819,4
mujeres;total;2000TIII;5.729,7
mujeres;total;2000TII;5.665,7
mujeres;total;2000TI;5.524,3
mujeres;total;1999TIV;5.420,2
mujeres;total;1999TIII;5.288,7
mujeres;total;1999TII;5.223,7
mujeres;total;1999TI;5.091,6
mujeres;total;1998TIV;4.955,1
mujeres;total;1998TIII;4.900,1
mujeres;total;1998TII;4.834,6
mujeres;total;1998TI;4.795,5
mujeres;total;1997TIV;4.753,9
mujeres;total;1997TIII;4.702,3
mujeres;total;1997TII;4.663,7
mujeres;total;1997TI;4.600,5
mujeres;total;1996TIV;4.556,4
mujeres;total;1996TIII;4.501,8
mujeres;total;1996TII;4.427,6
mujeres;total;1996TI;4.363,9
mujeres;empresario con o sin asalariados;2001TIV;748,9
mujeres;empresario con o sin asalariados;2001TIII;735,8
mujeres;empresario con o sin asalariados;2001TII;753,0
mujeres;empresario con o sin asalariados;2001TI;735,5
mujeres;empresario con o sin asalariados;2000TIV;709,3
mujeres;empresario con o sin asalariados;2000TIII;709,2
mujeres;empresario con o sin asalariados;2000TII;706,1
mujeres;empresario con o sin asalariados;2000TI;703,0
mujeres;empresario con o sin asalariados;1999TIV;685,0
mujeres;empresario con o sin asalariados;1999TIII;695,3
mujeres;empresario con o sin asalariados;1999TII;687,2
mujeres;empresario con o sin asalariados;1999TI;687,7
mujeres;empresario con o sin asalariados;1998TIV;697,1
mujeres;empresario con o sin asalariados;1998TIII;715,0
mujeres;empresario con o sin asalariados;1998TII;693,1
mujeres;empresario con o sin asalariados;1998TI;677,2
mujeres;empresario con o sin asalariados;1997TIV;671,8
mujeres;empresario con o sin asalariados;1997TIII;678,0
