FRECUENCIA,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL,MENSUAL
FUENTE,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística,Instituto Nacional de Estadística
fecha,Estadísticas Generales. IPRI. Base 2021. Mercado interior. Total industria,Estadísticas generales. INE. IPRI.  Mercado interior. Industrias extractivas. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Industria manufacturera. Base 2021. Índice. Mensual,"Estadísticas generales. INE. IPRI.  Mercado interior. Suministro de energía eléctrica, gas, vapor y aire acondicionado. Base 2021. Índice. Mensual","Estadísticas generales. INE. IPRI.  Mercado interior. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación. Base 2021. Índice. Mensual",Estadísticas generales. INE. IPRI.  Mercado interior. Energía. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de equipo. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes intermedios. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo duradero. Base 2021. Índice. Mensual,Estadísticas generales. INE. IPRI.  Mercado interior. Bienes de consumo no duradero. Base 2021. Índice. Mensual
8/1/2010,79.95,94.4,85.08,64.13,84.39,68.95,91.77,82.27,86.75,90.37,86.18
9/1/2010,80.11,95.22,85.45,63.44,84.5,68.82,91.92,82.73,86.93,90.46,86.37
10/1/2010,80.41,94.72,85.52,64.71,84.64,69.54,91.86,82.85,87.1,90.51,86.56
11/1/2010,80.85,95.73,86.09,64.65,84.79,70.35,91.96,83.41,87.18,90.63,86.63
12/1/2010,81.79,96.82,87.2,65.03,84.8,72.43,91.98,84.11,87.58,90.56,87.09
1/1/2011,83.37,96.65,88.39,68.46,85.82,75.9,92.23,85.68,87.98,90.83,87.51
2/1/2011,84.18,96.78,89.41,68.56,85.97,76.96,92.29,86.96,88.45,90.93,88.04
3/1/2011,84.84,96.37,90.26,68.54,86.53,78.74,92.39,87.36,88.58,90.96,88.18
4/1/2011,85.31,95.98,90.82,68.74,86.73,79.6,92.5,87.83,88.84,91.07,88.46
5/1/2011,85.1,96.36,90.51,68.89,86.86,78.49,92.51,88.07,88.94,91.16,88.56
6/1/2011,85.13,95.83,90.56,68.83,86.87,78.59,92.59,87.99,88.99,91.12,88.62
7/1/2011,85.79,95.96,90.84,71.15,86.92,80.57,92.71,88.09,89.18,91.25,88.83
8/1/2011,85.46,96.84,90.5,70.75,86.74,79.36,92.79,87.94,89.33,91.36,88.99
9/1/2011,85.62,96.41,90.73,70.7,86.68,80.18,92.73,87.72,89.34,91.45,88.98
10/1/2011,85.75,96.71,90.61,71.87,86.61,80.97,92.84,87.38,89.31,91.45,88.95
11/1/2011,85.86,97.05,90.74,71.88,86.73,81.69,92.78,86.95,89.46,91.59,89.09
12/1/2011,85.87,96.48,90.54,72.74,87.1,82.13,92.64,86.59,89.48,91.65,89.11
1/1/2012,87.39,96.47,91.38,77.24,88.73,86.65,92.89,87.13,89.67,91.73,89.32
2/1/2012,88.04,97.79,91.98,78.1,89.01,87.96,92.95,87.85,89.86,91.82,89.51
3/1/2012,88.64,97.26,92.85,77.71,89.67,89.32,92.91,88.39,90.07,91.77,89.77
4/1/2012,88.04,97.52,93.01,73.92,89.4,86.44,92.93,88.8,90.4,91.87,90.14
5/1/2012,87.97,97.33,92.51,75.54,89.48,85.88,92.93,88.94,90.55,91.95,90.29
6/1/2012,87.41,97.79,91.69,75.95,89.9,84.27,93.16,88.52,90.56,91.88,90.31
7/1/2012,88.28,97.58,92.33,77.91,90.08,86.81,93.16,88.4,91.18,92.12,90.99
8/1/2012,89.37,97.23,93.55,78.7,90,89.65,93.14,88.84,91.74,92.14,91.62
9/1/2012,89.3,97.62,93.99,76.52,90.02,88.27,93.2,89.15,92.5,92.31,92.47
10/1/2012,89.12,97.11,93.73,76.61,90.21,87.75,93.09,89.05,92.52,92.22,92.5
11/1/2012,88.65,97.17,93.18,76.32,91.24,86.28,93.13,88.91,92.48,92.23,92.46
12/1/2012,88.67,96.7,92.85,77.76,91.54,86.03,93.17,89.06,92.61,92.24,92.6
1/1/2013,89.72,97.14,93.35,81.12,92.62,89.13,93.12,89.3,93.09,92.26,93.12
2/1/2013,89.93,98.56,93.92,79.89,92.6,89.62,93.17,89.43,93.2,92.3,93.24
3/1/2013,88.59,97.78,93.57,74.32,93.61,84.84,93.17,89.31,93.26,92.25,93.31
4/1/2013,87.52,97.78,92.81,71.72,94.87,81.5,93.26,88.85,93.19,92.19,93.24
5/1/2013,88.54,97.82,92.65,77.6,95.31,85.63,92.96,88.6,93.15,92.16,93.2
6/1/2013,88.57,97.14,92.47,78.47,95.4,86.04,92.72,88.25,93.33,92.1,93.4
7/1/2013,89.38,97.53,92.74,81.55,95.29,89.28,92.94,87.87,93.32,92.17,93.38
8/1/2013,89.28,97.05,92.79,80.89,95.28,89.07,93.11,87.64,93.35,92.14,93.42
9/1/2013,89.43,97.07,92.72,81.96,95.34,89.73,92.98,87.53,93.41,92.02,93.49
10/1/2013,88.97,97.89,92.15,81.79,95.37,88.75,92.94,87.26,93.03,92.02,93.08
11/1/2013,88.21,98.08,91.87,78.98,95.35,86.4,92.82,87.13,92.85,91.93,92.89
12/1/2013,89.21,97.84,91.79,84.45,95.68,90.42,92.8,86.99,92.59,92.05,92.59
1/1/2014,88,97.69,91.75,77.93,96.26,85.7,93.02,87.13,92.5,92.24,92.48
2/1/2014,87.12,97.61,91.66,73.43,96.65,82.84,92.88,86.91,92.36,92.35,92.33
3/1/2014,87.25,97.65,91.53,74.57,98.11,83.36,93.12,86.73,92.4,92.56,92.35
4/1/2014,87.36,97.68,91.69,74.53,97.53,83.49,93.11,86.88,92.53,92.47,92.5
5/1/2014,88.1,98.05,91.75,78.35,97.5,86.05,93.15,86.89,92.69,92.57,92.66
6/1/2014,88.85,97.81,91.98,81.52,97.4,88.74,93.1,87.03,92.69,92.65,92.65
7/1/2014,88.9,98.66,92,81.67,97.2,88.66,93.29,87.03,92.86,92.67,92.83
8/1/2014,88.13,98.11,91.87,78.03,97.09,85.74,93.31,86.84,93.1,92.66,93.1
9/1/2014,88.63,97.72,91.86,80.81,97.23,87.59,93.5,86.9,92.95,92.77,92.92
10/1/2014,87.9,97.79,91.23,79.53,97.34,85.21,93.38,86.83,92.76,92.83,92.72
11/1/2014,86.89,97.81,90.68,76.29,97.52,81.69,93.29,86.58,92.8,92.78,92.76
12/1/2014,85.97,97.16,89.33,77.07,97.73,78.37,93.4,86.29,92.94,92.8,92.91
1/1/2015,85.56,97.56,88.34,78.9,98.02,76.77,93.59,86.04,93.3,92.64,93.32
2/1/2015,85.76,97.99,89.44,75.48,97.99,77.54,93.61,85.91,93.39,92.64,93.41
3/1/2015,86.15,97.49,90.08,74.92,98.31,78.25,93.59,86.4,93.52,92.72,93.55
4/1/2015,86.55,97.48,90.57,75.03,98.29,79,93.67,86.89,93.62,92.79,93.65
5/1/2015,86.85,97.92,91.06,74.58,98.18,79.62,93.96,87.07,93.72,92.76,93.76
6/1/2015,87.63,97.41,91,78.97,98.21,82.2,94.03,87.13,93.77,92.64,93.83
7/1/2015,87.72,97.09,90.6,81.06,98.21,82.41,94.1,86.93,94.04,92.78,94.11
8/1/2015,86.2,97.01,89.56,77.32,98.34,77.28,94.14,86.53,94.34,92.94,94.42
9/1/2015,85.42,97.08,88.99,75.52,98.24,75.06,94.38,86.08,94.19,92.93,94.25
10/1/2015,84.77,96.85,88.43,74.42,98.42,73.78,94.16,85.57,93.84,92.99,93.88
11/1/2015,84.64,96.31,88.17,74.82,98.55,74.05,94.2,85.05,93.63,93.08,93.64
12/1/2015,84.06,96.22,87.18,75.78,98.62,72.24,94.21,84.89,93.57,93.1,93.57
1/1/2016,81.93,95.99,86.24,68.32,99.02,65.24,94.3,84.54,93.71,93.47,93.69
2/1/2016,81.04,96.67,85.72,65.67,98.99,62.86,94.32,84.04,93.56,93.58,93.52
3/1/2016,81.49,96.75,86.51,64.81,99.06,64.43,94.2,84.09,93.51,93.65,93.45
4/1/2016,81.37,95.38,86.95,62.39,99.35,63.62,94.3,84.39,93.57,93.71,93.52
5/1/2016,82.02,95.18,87.73,62.62,99.42,65.27,94.37,84.87,93.6,93.86,93.54
6/1/2016,83.67,95.12,88.57,67.94,99.31,70.14,94.46,85.18,93.99,93.95,93.95
7/1/2016,83.68,95.54,88.31,69.06,99.19,69.66,94.63,85.47,94.18,94.09,94.15
8/1/2016,83.46,95.6,88.19,68.44,98.61,69.17,94.61,85.27,94.12,94.07,94.09
9/1/2016,83.73,95.57,88.25,69.65,98.26,70.32,94.55,85.1,94.06,94.09,94.02
10/1/2016,84.99,95.07,88.96,73.44,98.15,74.34,94.87,85.01,94.25,94.14,94.22
11/1/2016,85.14,95.15,88.85,74.68,98.25,74.2,94.8,85.59,94.37,94.12,94.35
12/1/2016,86.5,95.49,89.99,77.16,98.35,78.26,94.76,85.86,94.67,94.12,94.68
1/1/2017,88.1,95.88,90.94,81.76,98.5,82.6,95.08,86.76,95.04,93.77,95.11
2/1/2017,87.05,95.53,91.3,74.7,98.68,77.72,95.16,87.41,95.32,93.74,95.42
3/1/2017,86.19,95.74,91.19,70.58,98.69,73.9,95.34,87.79,95.46,93.9,95.56
4/1/2017,86.27,96.01,91.18,71.03,98.66,73.82,95.31,87.84,95.78,94.05,95.89
5/1/2017,86.33,96.23,91.09,71.75,98.54,73.91,95.33,87.75,96.03,93.92,96.17
6/1/2017,86.32,96.53,90.63,73.55,98.4,74.06,95.42,87.56,96,93.99,96.13
7/1/2017,86.23,96.37,90.67,72.95,98.2,73.68,95.35,87.64,96.02,93.99,96.15
8/1/2017,86.18,96.21,90.9,71.75,98.31,73.39,95.41,87.73,95.99,94.06,96.12
9/1/2017,86.69,96.21,91.33,72.7,98.23,74.9,95.42,88.09,95.94,94.17,96.05
10/1/2017,87.37,95.99,91.56,75.33,98.2,77.26,95.35,88.37,95.77,94.15,95.87
11/1/2017,87.82,96.26,91.89,76.33,98.27,78.88,95.5,88.43,95.63,94.16,95.72
12/1/2017,87.99,96.11,92.11,76.36,98.41,79.14,95.51,88.75,95.67,94.29,95.75
1/1/2018,88.13,96.65,92.81,74.84,98.74,78.93,95.87,89.15,95.88,94.41,95.97
2/1/2018,88.14,96.96,92.36,76.17,98.98,78.6,95.88,89.56,95.91,94.72,95.97
3/1/2018,87.25,97.22,92.51,72.12,99.07,75.84,96.17,89.68,95.91,94.89,95.96
4/1/2018,87.85,97.2,93.28,72.3,99.18,77.47,96.14,89.85,95.89,94.96,95.94
5/1/2018,88.97,97.31,93.96,74.82,98.93,80.8,96.17,90.03,95.55,95.2,95.57
6/1/2018,89.81,97.07,94.16,77.62,98.96,82.89,96.15,90.51,95.51,95.19,95.53
7/1/2018,90.25,97.21,94.01,79.83,98.84,84.24,96.24,90.38,95.5,95.07,95.53
8/1/2018,90.62,96.99,94.09,81.07,98.71,85.32,96.18,90.38,95.5,95.13,95.52
9/1/2018,91.33,96.78,94.29,83.32,98.68,87.45,96.29,90.45,95.27,95.03,95.29
10/1/2018,91.37,97.24,94.8,81.98,98.88,87.4,96.38,90.67,95.21,95.09,95.22
11/1/2018,90.4,97.38,93.99,80.46,98.94,84.81,96.34,90.52,95.13,95.14,95.13
12/1/2018,89.49,97.45,92.56,81.02,99.03,82.62,96.37,89.98,95.12,95.23,95.11
1/1/2019,89.63,97.57,92.44,81.92,99.11,82.81,96.79,90.03,95.14,95.63,95.11
2/1/2019,89.63,98.01,93.16,79.72,99.13,82.7,96.76,90.3,95.03,95.79,94.99
3/1/2019,89.37,97.6,93.76,76.8,99.12,81.68,96.92,90.44,95.15,95.97,95.1
4/1/2019,89.97,97.66,94.42,77.31,99.16,82.99,96.98,90.65,95.47,95.96,95.45
5/1/2019,90.01,97.75,94.66,76.75,98.96,83.21,97.07,90.38,95.6,96.13,95.57
6/1/2019,89.05,97.54,93.56,76.1,98.89,80.39,97.21,90.19,95.76,96.21,95.73
7/1/2019,89.66,97.92,93.82,77.82,98.85,82.25,97.27,89.88,95.94,96.32,95.91
8/1/2019,88.26,98.21,92.7,75.41,98.85,78.45,97.21,89.62,95.89,96.42,95.86
9/1/2019,88.33,98.02,93.43,73.51,98.88,78.72,97.29,89.46,95.95,96.53,95.92
10/1/2019,88.78,97.88,93.4,75.48,98.86,80.21,97.28,89.12,96.06,96.58,96.04
11/1/2019,88.27,97.94,93.3,73.67,98.92,78.84,97.3,88.83,96.22,96.52,96.2
12/1/2019,87.94,97.8,93.52,71.59,99.01,77.61,97.43,88.74,96.59,96.61,96.59
1/1/2020,88.77,99.06,94.02,73.37,99.15,79.2,97.73,89.19,97.04,96.96,97.04
2/1/2020,87.62,99,93.38,70.74,99.29,75.96,97.74,89,97.24,97.11,97.25
3/1/2020,84.97,99.13,91.12,66.89,99.31,69.1,97.7,88.28,97.25,97.26,97.25
4/1/2020,82.41,99.23,89.19,62.46,99.63,62.42,97.73,87.73,97.12,97.4,97.1
5/1/2020,82.1,99.36,88.64,62.78,99.75,62.23,97.88,87.47,96.38,97.45,96.32
6/1/2020,83.77,98.8,89.52,66.64,99.65,66.98,97.95,87.47,96.23,97.38,96.16
7/1/2020,85.29,99.08,90.43,69.92,99.5,70.84,98.05,87.85,96.34,97.53,96.27
8/1/2020,85.14,99.18,90.47,69.25,99.56,70.41,98.04,87.81,96.41,97.64,96.34
9/1/2020,85.45,98.96,90.17,71.21,99.6,70.99,98.14,88.01,96.56,97.67,96.49
10/1/2020,85.05,99.1,90.4,69.08,99.71,69.38,98.21,88.21,96.98,97.67,96.95
11/1/2020,85.85,99.43,90.73,71.19,99.8,71.02,98.25,88.83,97.15,97.95,97.11
12/1/2020,86.66,99.19,91.68,71.7,99.94,72.57,98.21,89.87,97.09,97.83,97.05
1/1/2021,89.62,99.45,93.18,78.92,100.13,79.35,98.56,91.36,97.62,98.15,97.59
2/1/2021,88.1,99.69,94.85,68.37,100.23,73.12,98.92,93.1,98.2,98.38,98.18
3/1/2021,90.41,99.89,96.61,72.36,100.15,77.7,98.94,94.93,98.94,98.64,98.96
4/1/2021,93.12,99.67,97.53,80.27,100.17,83.46,99.33,96.58,99.7,99.16,99.73
5/1/2021,94.59,99.63,99.04,81.76,99.93,85.48,99.66,98.6,100.38,99.57,100.43
6/1/2021,96.7,100.27,99.7,88.08,99.9,90.87,99.92,99.41,100.26,99.85,100.28
7/1/2021,98.59,99.88,100.79,92.36,99.81,95.07,100.22,100.89,100.18,100.13,100.19
8/1/2021,100.38,99.87,100.84,99.12,99.7,99.41,100.37,101.92,100.07,100.38,100.05
9/1/2021,105.78,99.96,101.89,117.09,99.84,113.81,100.61,102.82,100.39,100.81,100.36
10/1/2021,112.08,100.24,104.09,135.29,99.95,129.67,100.91,105.01,100.82,101.14,100.8
11/1/2021,113.5,100.59,105.68,136.29,100.04,131.61,101.27,107.01,101.39,101.82,101.36
12/1/2021,117.15,100.86,105.8,150.08,100.15,140.46,101.29,108.38,102.06,101.95,102.07
1/1/2022,121.93,103.55,108.26,165.86,100.81,152.79,102.69,111.29,103.66,103.65,103.66
2/1/2022,124.55,104.89,110.78,168.69,100.85,158.9,103.46,113.41,104.51,105.14,104.47
3/1/2022,132.88,104.59,116.81,187.68,101.02,183.78,103.95,116.5,107.36,105.94,107.44
4/1/2022,134.58,106.81,120.18,180.84,100.9,181.11,104.93,121.46,109.47,106.33,109.65
5/1/2022,135.85,107.4,122.22,178.19,100.8,182.66,105.3,123.34,110.19,107.06,110.36
6/1/2022,138.85,107.85,125.13,181.31,100.68,193.13,105.84,123.74,110.53,107.75,110.69
7/1/2022,139.64,108.6,123.74,192.85,100.72,195.97,106.05,122.91,111.48,107.93,111.68
8/1/2022,143.47,108.73,121.89,224.66,100.96,210.36,106.16,122.43,112.4,108.13,112.64
9/1/2022,143.41,109.9,121.81,224.65,101.19,209.63,106.27,121.89,113.3,108.67,113.55
10/1/2022,140.06,110.11,123.48,196.5,101.58,194.95,106.45,121.63,114.77,109.07,115.09
11/1/2022,136.79,110.11,122.56,181.86,101.53,181.48,106.62,121.22,115.69,108.97,116.07
12/1/2022,134.56,110.17,120.16,180.64,101.58,173.12,106.87,119.92,116.6,109.08,117.02
1/1/2023,131.47,112.01,121.76,155.85,102.08,156.72,107.8,120.91,119.14,109.61,119.67
2/1/2023,134.47,114.07,121.55,173.52,102.39,166.92,108.16,120.87,120.07,109.93,120.64
3/1/2023,131.06,114.69,121.51,154.69,102.42,153.07,108.35,120.56,121.06,110.3,121.66
4/1/2023,128.55,114.65,120.66,144.57,102.54,144.23,108.73,119.58,121.27,110.37,121.88
5/1/2023,126.66,114.62,119.32,140.26,102.78,137.75,109.14,118.4,121.69,110.52,122.32
6/1/2023,127.81,114.92,119.27,146.91,102.86,143.39,109.03,117.2,121.91,110.65,122.54
7/1/2023,127.57,115.5,119.42,144.86,102.71,143.51,108.73,115.78,122.64,110.85,123.3
8/1/2023,129.2,115.71,121.21,145.65,102.7,149.25,108.75,115.37,123.45,110.97,124.15
9/1/2023,131.2,115.61,122.45,151.02,102.93,156.32,108.8,115.4,123.82,110.9,124.55
10/1/2023,129.31,114.74,121.63,144.26,102.98,149.24,109.26,114.97,123.95,110.89,124.68
11/1/2023,126.46,114.4,120.55,133.42,102.98,138.83,109.33,114.53,124.02,110.62,124.77
12/1/2023,126.12,114.55,119.68,135.55,102.98,137.41,109.81,114.05,124.41,110.69,125.18
1/1/2024,126.33,114.76,120.28,134.23,103.53,136.64,110.69,114.08,125.5,110.48,126.36
2/1/2024,123.01,115.76,121.3,114.61,103.51,125.08,110.86,114.39,125.45,110.87,126.28
3/1/2024,120.27,116.42,121.42,101.13,103.91,115.22,110.85,114.71,125.78,111.11,126.62
4/1/2024,119.92,116.36,121.56,98.93,104.15,114.37,110.87,114.83,125.32,110.83,126.14
5/1/2024,121,116.26,120.91,106.45,104.35,117.51,110.99,114.72,125.88,110.86,126.73
6/1/2024,123.7,116.61,120.8,119.65,104.71,126.4,111,114.79,126.03,110.94,126.89
7/1/2024,125.58,115.9,120.79,128.59,105.16,133.25,111.09,114.49,125.76,110.75,126.61
8/1/2024,127.38,115.81,119.84,140.64,105.52,140.03,111.2,114.02,125.46,110.89,126.29
9/1/2024,124.37,115.53,118.76,130.39,106.13,129.98,111.27,113.74,125.62,110.82,126.46
10/1/2024,124.33,115.98,119.02,129.23,106.1,130,111.24,113.54,125.72,110.99,126.55
11/1/2024,127.92,115.97,118.69,147.48,106.05,143.15,111.37,113.47,124.61,111.01,125.37
12/1/2024,129.06,116.11,118.51,153.52,106.08,147.86,111.64,113.55,123.44,111.23,124.11
1/1/2025,129.57,117.72,119.77,150.63,107.4,148.13,112.34,114.22,123.86,111.1,124.57
2/1/2025,131.24,119.8,120.08,157.89,107.55,153.14,112.45,115.04,123.8,111.61,124.47
3/1/2025,125.82,121.04,119.36,132.55,108.13,133.43,112.78,115.36,123.77,112.48,124.38
4/1/2025,121.85,120.97,118.35,116.05,108.48,119.59,112.85,114.97,123.91,112.42,124.54
5/1/2025,120.9,120.97,118.07,112.25,108.52,116.83,112.99,114.35,123.91,112.54,124.53
6/1/2025,124.89,121.01,118.34,131.97,108.63,131.44,112.94,113.96,123.91,112.63,124.53
7/1/2025,126.05,121.07,119,135.16,109.04,135.72,113.15,113.59,124.06,112.61,124.68
8/1/2025,125.3,120.93,118.55,133.23,108.93,133.06,113.07,113.41,124.3,112.72,124.94
9/1/2025,124.67,121.32,118.79,128.83,109.29,130.41,113.29,113.22,124.81,112.74,125.47
10/1/2025,125.34,121.42,118.55,133.33,109.26,132.75,113.54,112.94,125.01,112.9,125.67
11/1/2025,124.77,121.48,119.27,127.26,109.47,130.27,113.7,113.22,125.06,112.83,125.73
12/1/2025,125.23,121.32,118.42,133.3,109.61,131.75,113.85,113.46,124.9,112.98,125.56
1/1/2026,125.89,123.08,118.97,134.24,110.04,132.4,114.56,114.48,125.07,114.5,125.64
2/1/2026,122.13,124.44,119.81,113.53,110.31,119.26,114.73,115.12,125.22,114.58,125.79
3/1/2026,130.04,124.61,126.27,126.6,110.2,143.91,114.83,116.26,125.3,114.96,125.85
