Sexo;Edad;Clase principal de la inactividad;Periodo;Total
Ambos sexos;Total;Estudiante;2025T4;3.543,2
Ambos sexos;Total;Estudiante;2025T3;3.208,1
Ambos sexos;Total;Estudiante;2025T2;3.567,3
Ambos sexos;Total;Estudiante;2025T1;3.647
Ambos sexos;Total;Estudiante;2024T4;3.577,3
Ambos sexos;Total;Estudiante;2024T3;3.127,4
Ambos sexos;Total;Estudiante;2024T2;3.403,9
Ambos sexos;Total;Estudiante;2024T1;3.466,1
Ambos sexos;Total;Estudiante;2023T4;3.362,9
Ambos sexos;Total;Estudiante;2023T3;3.040,9
Ambos sexos;Total;Estudiante;2023T2;3.304,2
Ambos sexos;Total;Estudiante;2023T1;3.423,1
Ambos sexos;Total;Estudiante;2022T4;3.326,4
Ambos sexos;Total;Estudiante;2022T3;3.009,3
Ambos sexos;Total;Estudiante;2022T2;3.220
Ambos sexos;Total;Estudiante;2022T1;3.275,3
Ambos sexos;Total;Estudiante;2021T4;3.260,3
Ambos sexos;Total;Estudiante;2021T3;2.899,2
Ambos sexos;Total;Estudiante;2021T2;3.083,4
Ambos sexos;Total;Estudiante;2021T1;3.227,8
Ambos sexos;Total;Estudiante;2020T4;3.010,5
Ambos sexos;Total;Estudiante;2020T3;2.779
Ambos sexos;Total;Estudiante;2020T2;3.009,8
Ambos sexos;Total;Estudiante;2020T1;2.894,2
Ambos sexos;Total;Estudiante;2019T4;2.899,4
Ambos sexos;Total;Estudiante;2019T3;2.629,1
Ambos sexos;Total;Estudiante;2019T2;2.812,7
Ambos sexos;Total;Estudiante;2019T1;2.881,8
Ambos sexos;Total;Estudiante;2018T4;2.776,5
Ambos sexos;Total;Estudiante;2018T3;2.557
Ambos sexos;Total;Estudiante;2018T2;2.708,8
Ambos sexos;Total;Estudiante;2018T1;2.735,6
Ambos sexos;Total;Estudiante;2017T4;2.623,5
Ambos sexos;Total;Estudiante;2017T3;2.422
Ambos sexos;Total;Estudiante;2017T2;2.594,5
Ambos sexos;Total;Estudiante;2017T1;2.671
Ambos sexos;Total;Estudiante;2016T4;2.635,3
Ambos sexos;Total;Estudiante;2016T3;2.396
Ambos sexos;Total;Estudiante;2016T2;2.572,4
Ambos sexos;Total;Estudiante;2016T1;2.603,8
Ambos sexos;Total;Estudiante;2015T4;2.571
Ambos sexos;Total;Estudiante;2015T3;2.356,3
Ambos sexos;Total;Estudiante;2015T2;2.501,1
Ambos sexos;Total;Estudiante;2015T1;2.538,4
Ambos sexos;Total;Estudiante;2014T4;2.460,6
Ambos sexos;Total;Estudiante;2014T3;2.320,1
Ambos sexos;Total;Estudiante;2014T2;2.473,6
Ambos sexos;Total;Estudiante;2014T1;2.236,1
Ambos sexos;Total;Estudiante;2013T4;2.132,5
Ambos sexos;Total;Estudiante;2013T3;2.069,7
Ambos sexos;Total;Estudiante;2013T2;2.507,4
Ambos sexos;Total;Estudiante;2013T1;2.511,2
Ambos sexos;Total;Estudiante;2012T4;2.492,4
Ambos sexos;Total;Estudiante;2012T3;2.274,9
Ambos sexos;Total;Estudiante;2012T2;2.501,8
Ambos sexos;Total;Estudiante;2012T1;2.573,5
Ambos sexos;Total;Estudiante;2011T4;2.574,7
Ambos sexos;Total;Estudiante;2011T3;2.289,7
Ambos sexos;Total;Estudiante;2011T2;2.487,2
Ambos sexos;Total;Estudiante;2011T1;2.557,5
Ambos sexos;Total;Estudiante;2010T4;2.516
Ambos sexos;Total;Estudiante;2010T3;2.250,3
Ambos sexos;Total;Estudiante;2010T2;2.454,3
Ambos sexos;Total;Estudiante;2010T1;2.519
Ambos sexos;Total;Estudiante;2009T4;2.464,2
Ambos sexos;Total;Estudiante;2009T3;2.164,5
Ambos sexos;Total;Estudiante;2009T2;2.375,3
Ambos sexos;Total;Estudiante;2009T1;2.360,2
Ambos sexos;Total;Estudiante;2008T4;2.301,3
Ambos sexos;Total;Estudiante;2008T3;2.021,3
Ambos sexos;Total;Estudiante;2008T2;2.323,6
Ambos sexos;Total;Estudiante;2008T1;2.390,7
Ambos sexos;Total;Estudiante;2007T4;2.370,9
Ambos sexos;Total;Estudiante;2007T3;2.065,6
Ambos sexos;Total;Estudiante;2007T2;2.347,1
Ambos sexos;Total;Estudiante;2007T1;2.410,9
Ambos sexos;Total;Estudiante;2006T4;2.362,5
Ambos sexos;Total;Estudiante;2006T3;2.161,8
Ambos sexos;Total;Estudiante;2006T2;2.417,7
Ambos sexos;Total;Estudiante;2006T1;2.477,6
Ambos sexos;Total;Estudiante;2005T4;2.473,2
Ambos sexos;Total;Estudiante;2005T3;2.198,1
Ambos sexos;Total;Estudiante;2005T2;2.444,9
Ambos sexos;Total;Estudiante;2005T1;2.535,5
Ambos sexos;Total;Estudiante;2004T4;2.600,7
Ambos sexos;Total;Estudiante;2004T3;2.443,4
Ambos sexos;Total;Estudiante;2004T2;2.690,6
Ambos sexos;Total;Estudiante;2004T1;2.716,4
Ambos sexos;Total;Estudiante;2003T4;2.690
Ambos sexos;Total;Estudiante;2003T3;2.533
Ambos sexos;Total;Estudiante;2003T2;2.814,9
Ambos sexos;Total;Estudiante;2003T1;2.812,4
Ambos sexos;Total;Estudiante;2002T4;2.779,5
Ambos sexos;Total;Estudiante;2002T3;2.634,8
Ambos sexos;Total;Estudiante;2002T2;2.882,3
Ambos sexos;Total;Estudiante;2002T1;2.857,8
Ambos sexos;Total;Jubilado o prejubilado;2026T1;7.455,7
Ambos sexos;Total;Jubilado o prejubilado;2025T4;7.440,7
Ambos sexos;Total;Jubilado o prejubilado;2025T3;7.363,8
Ambos sexos;Total;Jubilado o prejubilado;2025T2;7.318,6
Ambos sexos;Total;Jubilado o prejubilado;2025T1;7.288,5
Ambos sexos;Total;Jubilado o prejubilado;2024T4;7.259,2
Ambos sexos;Total;Jubilado o prejubilado;2024T3;7.174,4
Ambos sexos;Total;Jubilado o prejubilado;2024T2;7.091,8
Ambos sexos;Total;Jubilado o prejubilado;2024T1;7.077,9
Ambos sexos;Total;Jubilado o prejubilado;2023T4;7.013,4
Ambos sexos;Total;Jubilado o prejubilado;2023T3;6.925,9
Ambos sexos;Total;Jubilado o prejubilado;2023T2;6.896,4
Ambos sexos;Total;Jubilado o prejubilado;2023T1;6.860,4
Ambos sexos;Total;Jubilado o prejubilado;2022T4;6.825,6
Ambos sexos;Total;Jubilado o prejubilado;2022T3;6.829,2
Ambos sexos;Total;Jubilado o prejubilado;2022T2;6.747,2
Ambos sexos;Total;Jubilado o prejubilado;2022T1;6.688,7
Ambos sexos;Total;Jubilado o prejubilado;2021T4;6.690,2
Ambos sexos;Total;Jubilado o prejubilado;2021T3;6.654,3
Ambos sexos;Total;Jubilado o prejubilado;2021T2;6.590,2
Ambos sexos;Total;Jubilado o prejubilado;2021T1;6.579,1
Ambos sexos;Total;Jubilado o prejubilado;2020T4;6.500,5
Ambos sexos;Total;Jubilado o prejubilado;2020T3;6.493,3
Ambos sexos;Total;Jubilado o prejubilado;2020T2;6.517,5
Ambos sexos;Total;Jubilado o prejubilado;2020T1;6.434,6
Ambos sexos;Total;Jubilado o prejubilado;2019T4;6.470,4
Ambos sexos;Total;Jubilado o prejubilado;2019T3;6.457,3
Ambos sexos;Total;Jubilado o prejubilado;2019T2;6.421,3
Ambos sexos;Total;Jubilado o prejubilado;2019T1;6.428,9
Ambos sexos;Total;Jubilado o prejubilado;2018T4;6.354,3
Ambos sexos;Total;Jubilado o prejubilado;2018T3;6.278,2
Ambos sexos;Total;Jubilado o prejubilado;2018T2;6.274,6
Ambos sexos;Total;Jubilado o prejubilado;2018T1;6.253,5
Ambos sexos;Total;Jubilado o prejubilado;2017T4;6.237,1
Ambos sexos;Total;Jubilado o prejubilado;2017T3;6.234,6
Ambos sexos;Total;Jubilado o prejubilado;2017T2;6.215,5
Ambos sexos;Total;Jubilado o prejubilado;2017T1;6.221,5
Ambos sexos;Total;Jubilado o prejubilado;2016T4;6.138,1
Ambos sexos;Total;Jubilado o prejubilado;2016T3;6.126,2
Ambos sexos;Total;Jubilado o prejubilado;2016T2;6.062
Ambos sexos;Total;Jubilado o prejubilado;2016T1;6.033,3
Ambos sexos;Total;Jubilado o prejubilado;2015T4;5.990,1
Ambos sexos;Total;Jubilado o prejubilado;2015T3;5.964,3
Ambos sexos;Total;Jubilado o prejubilado;2015T2;5.970,4
Ambos sexos;Total;Jubilado o prejubilado;2015T1;5.950,1
Ambos sexos;Total;Jubilado o prejubilado;2014T4;5.955,9
Ambos sexos;Total;Jubilado o prejubilado;2014T3;5.858,9
Ambos sexos;Total;Jubilado o prejubilado;2014T2;5.858,6
Ambos sexos;Total;Jubilado o prejubilado;2014T1;5.869,2
Ambos sexos;Total;Jubilado o prejubilado;2013T4;5.824,7
Ambos sexos;Total;Jubilado o prejubilado;2013T3;5.742,2
Ambos sexos;Total;Jubilado o prejubilado;2013T2;5.738,2
Ambos sexos;Total;Jubilado o prejubilado;2013T1;5.714,4
Ambos sexos;Total;Jubilado o prejubilado;2012T4;5.622
Ambos sexos;Total;Jubilado o prejubilado;2012T3;5.592,2
Ambos sexos;Total;Jubilado o prejubilado;2012T2;5.559,8
Ambos sexos;Total;Jubilado o prejubilado;2012T1;5.587,7
Ambos sexos;Total;Jubilado o prejubilado;2011T4;5.566,5
Ambos sexos;Total;Jubilado o prejubilado;2011T3;5.566,3
Ambos sexos;Total;Jubilado o prejubilado;2011T2;5.519,7
Ambos sexos;Total;Jubilado o prejubilado;2011T1;5.513,9
Ambos sexos;Total;Jubilado o prejubilado;2010T4;5.453,1
Ambos sexos;Total;Jubilado o prejubilado;2010T3;5.392,3
Ambos sexos;Total;Jubilado o prejubilado;2010T2;5.350,5
Ambos sexos;Total;Jubilado o prejubilado;2010T1;5.342,3
Ambos sexos;Total;Jubilado o prejubilado;2009T4;5.306,4
Ambos sexos;Total;Jubilado o prejubilado;2009T3;5.264,7
Ambos sexos;Total;Jubilado o prejubilado;2009T2;5.226,7
Ambos sexos;Total;Jubilado o prejubilado;2009T1;5.218
Ambos sexos;Total;Jubilado o prejubilado;2008T4;5.207,5
Ambos sexos;Total;Jubilado o prejubilado;2008T3;5.208,8
Ambos sexos;Total;Jubilado o prejubilado;2008T2;5.185,8
Ambos sexos;Total;Jubilado o prejubilado;2008T1;5.123,2
Ambos sexos;Total;Jubilado o prejubilado;2007T4;5.118,5
Ambos sexos;Total;Jubilado o prejubilado;2007T3;5.144,5
Ambos sexos;Total;Jubilado o prejubilado;2007T2;5.099
Ambos sexos;Total;Jubilado o prejubilado;2007T1;5.112,7
Ambos sexos;Total;Jubilado o prejubilado;2006T4;4.988,5
Ambos sexos;Total;Jubilado o prejubilado;2006T3;4.970,7
Ambos sexos;Total;Jubilado o prejubilado;2006T2;4.902,2
Ambos sexos;Total;Jubilado o prejubilado;2006T1;4.918,6
Ambos sexos;Total;Jubilado o prejubilado;2005T4;4.977,6
Ambos sexos;Total;Jubilado o prejubilado;2005T3;4.930,3
Ambos sexos;Total;Jubilado o prejubilado;2005T2;4.950,9
Ambos sexos;Total;Jubilado o prejubilado;2005T1;4.912,8
Ambos sexos;Total;Jubilado o prejubilado;2004T4;4.688,8
Ambos sexos;Total;Jubilado o prejubilado;2004T3;4.637,3
Ambos sexos;Total;Jubilado o prejubilado;2004T2;4.650,6
Ambos sexos;Total;Jubilado o prejubilado;2004T1;4.636
Ambos sexos;Total;Jubilado o prejubilado;2003T4;4.627,4
Ambos sexos;Total;Jubilado o prejubilado;2003T3;4.592,5
Ambos sexos;Total;Jubilado o prejubilado;2003T2;4.582,8
Ambos sexos;Total;Jubilado o prejubilado;2003T1;4.591
Ambos sexos;Total;Jubilado o prejubilado;2002T4;4.563,3
Ambos sexos;Total;Jubilado o prejubilado;2002T3;4.526,9
Ambos sexos;Total;Jubilado o prejubilado;2002T2;4.508,6
Ambos sexos;Total;Jubilado o prejubilado;2002T1;4.487,4
Ambos sexos;Total;Labores del hogar;2026T1;3.344
Ambos sexos;Total;Labores del hogar;2025T4;3.342,6
Ambos sexos;Total;Labores del hogar;2025T3;3.505,1
Ambos sexos;Total;Labores del hogar;2025T2;3.266,5
Ambos sexos;Total;Labores del hogar;2025T1;3.312,4
Ambos sexos;Total;Labores del hogar;2024T4;3.387,2
Ambos sexos;Total;Labores del hogar;2024T3;3.523,7
Ambos sexos;Total;Labores del hogar;2024T2;3.336,7
Ambos sexos;Total;Labores del hogar;2024T1;3.366,6
Ambos sexos;Total;Labores del hogar;2023T4;3.343,9
Ambos sexos;Total;Labores del hogar;2023T3;3.497,1
Ambos sexos;Total;Labores del hogar;2023T2;3.430
Ambos sexos;Total;Labores del hogar;2023T1;3.404,9
Ambos sexos;Total;Labores del hogar;2022T4;3.480,3
Ambos sexos;Total;Labores del hogar;2022T3;3.555,9
Ambos sexos;Total;Labores del hogar;2022T2;3.458,6
Ambos sexos;Total;Labores del hogar;2022T1;3.502,4
Ambos sexos;Total;Labores del hogar;2021T4;3.434,9
Ambos sexos;Total;Labores del hogar;2021T3;3.532
Ambos sexos;Total;Labores del hogar;2021T2;3.498,6
Ambos sexos;Total;Labores del hogar;2021T1;3.679,9
Ambos sexos;Total;Labores del hogar;2020T4;3.704,6
Ambos sexos;Total;Labores del hogar;2020T3;3.910,8
Ambos sexos;Total;Labores del hogar;2020T2;4.367,1
Ambos sexos;Total;Labores del hogar;2020T1;3.733,5
Ambos sexos;Total;Labores del hogar;2019T4;3.600,6
Ambos sexos;Total;Labores del hogar;2019T3;3.723,1
Ambos sexos;Total;Labores del hogar;2019T2;3.594,6
Ambos sexos;Total;Labores del hogar;2019T1;3.658,2
Ambos sexos;Total;Labores del hogar;2018T4;3.681,3
Ambos sexos;Total;Labores del hogar;2018T3;3.821
Ambos sexos;Total;Labores del hogar;2018T2;3.651
Ambos sexos;Total;Labores del hogar;2018T1;3.701,5
Ambos sexos;Total;Labores del hogar;2017T4;3.707,7
Ambos sexos;Total;Labores del hogar;2017T3;3.814,4
Ambos sexos;Total;Labores del hogar;2017T2;3.766,5
Ambos sexos;Total;Labores del hogar;2017T1;3.756,4
Ambos sexos;Total;Labores del hogar;2016T4;3.752,9
Ambos sexos;Total;Labores del hogar;2016T3;3.862,6
Ambos sexos;Total;Labores del hogar;2016T2;3.758
Ambos sexos;Total;Labores del hogar;2016T1;3.764,8
Ambos sexos;Total;Labores del hogar;2015T4;3.765,9
Ambos sexos;Total;Labores del hogar;2015T3;3.883,9
Ambos sexos;Total;Labores del hogar;2015T2;3.729,6
Ambos sexos;Total;Labores del hogar;2015T1;3.788,3
Ambos sexos;Total;Labores del hogar;2014T4;3.816,1
Ambos sexos;Total;Labores del hogar;2014T3;3.981,9
Ambos sexos;Total;Labores del hogar;2014T2;3.860,6
Ambos sexos;Total;Labores del hogar;2014T1;4.099,6
Ambos sexos;Total;Labores del hogar;2013T4;4.119,8
Ambos sexos;Total;Labores del hogar;2013T3;4.115,2
Ambos sexos;Total;Labores del hogar;2013T2;3.814,3
Ambos sexos;Total;Labores del hogar;2013T1;3.842,2
Ambos sexos;Total;Labores del hogar;2012T4;3.920,6
Ambos sexos;Total;Labores del hogar;2012T3;4.011,3
Ambos sexos;Total;Labores del hogar;2012T2;3.926
Ambos sexos;Total;Labores del hogar;2012T1;3.928,7
Ambos sexos;Total;Labores del hogar;2011T4;3.970,9
Ambos sexos;Total;Labores del hogar;2011T3;4.169
Ambos sexos;Total;Labores del hogar;2011T2;4.041,1
Ambos sexos;Total;Labores del hogar;2011T1;4.035,1
Ambos sexos;Total;Labores del hogar;2010T4;4.135,9
Ambos sexos;Total;Labores del hogar;2010T3;4.369,6
Ambos sexos;Total;Labores del hogar;2010T2;4.207
Ambos sexos;Total;Labores del hogar;2010T1;4.271,6
Ambos sexos;Total;Labores del hogar;2009T4;4.323,3
Ambos sexos;Total;Labores del hogar;2009T3;4.534,1
Ambos sexos;Total;Labores del hogar;2009T2;4.373,4
Ambos sexos;Total;Labores del hogar;2009T1;4.385,5
Ambos sexos;Total;Labores del hogar;2008T4;4.466,2
Ambos sexos;Total;Labores del hogar;2008T3;4.725,3
Ambos sexos;Total;Labores del hogar;2008T2;4.594,6
Ambos sexos;Total;Labores del hogar;2008T1;4.639,2
Ambos sexos;Total;Labores del hogar;2007T4;4.714,5
Ambos sexos;Total;Labores del hogar;2007T3;4.861,8
Ambos sexos;Total;Labores del hogar;2007T2;4.717,1
Ambos sexos;Total;Labores del hogar;2007T1;4.634,8
Ambos sexos;Total;Labores del hogar;2006T4;4.647,6
Ambos sexos;Total;Labores del hogar;2006T3;4.856,9
Ambos sexos;Total;Labores del hogar;2006T2;4.729
Ambos sexos;Total;Labores del hogar;2006T1;4.731,4
Ambos sexos;Total;Labores del hogar;2005T4;4.826
Ambos sexos;Total;Labores del hogar;2005T3;5.020
Ambos sexos;Total;Labores del hogar;2005T2;4.814,2
Ambos sexos;Total;Labores del hogar;2005T1;4.690,9
Ambos sexos;Total;Labores del hogar;2004T4;4.867
Ambos sexos;Total;Labores del hogar;2004T3;4.989,7
Ambos sexos;Total;Labores del hogar;2004T2;4.911
Ambos sexos;Total;Labores del hogar;2004T1;4.950,1
Ambos sexos;Total;Labores del hogar;2003T4;4.953,9
Ambos sexos;Total;Labores del hogar;2003T3;5.028
Ambos sexos;Total;Labores del hogar;2003T2;4.947,2
Ambos sexos;Total;Labores del hogar;2003T1;4.991,9
Ambos sexos;Total;Labores del hogar;2002T4;5.039,7
Ambos sexos;Total;Labores del hogar;2002T3;5.092,8
Ambos sexos;Total;Labores del hogar;2002T2;5.027,4
Ambos sexos;Total;Labores del hogar;2002T1;5.107
Ambos sexos;Total;Incapacitado permanente;2026T1;828,5
Ambos sexos;Total;Incapacitado permanente;2025T4;814,6
Ambos sexos;Total;Incapacitado permanente;2025T3;841,7
Ambos sexos;Total;Incapacitado permanente;2025T2;837,4
Ambos sexos;Total;Incapacitado permanente;2025T1;832,7
Ambos sexos;Total;Incapacitado permanente;2024T4;855,3
Ambos sexos;Total;Incapacitado permanente;2024T3;912
Ambos sexos;Total;Incapacitado permanente;2024T2;944,1
Ambos sexos;Total;Incapacitado permanente;2024T1;921,9
Ambos sexos;Total;Incapacitado permanente;2023T4;924,5
Ambos sexos;Total;Incapacitado permanente;2023T3;856,8
Ambos sexos;Total;Incapacitado permanente;2023T2;898,2
Ambos sexos;Total;Incapacitado permanente;2023T1;937,4
Ambos sexos;Total;Incapacitado permanente;2022T4;890,8
Ambos sexos;Total;Incapacitado permanente;2022T3;930,5
Ambos sexos;Total;Incapacitado permanente;2022T2;927,4
Ambos sexos;Total;Incapacitado permanente;2022T1;894,2
Ambos sexos;Total;Incapacitado permanente;2021T4;954,3
Ambos sexos;Total;Incapacitado permanente;2021T3;1.005,5
Ambos sexos;Total;Incapacitado permanente;2021T2;1.277,8
Ambos sexos;Total;Incapacitado permanente;2021T1;1.215,9
Ambos sexos;Total;Incapacitado permanente;2020T4;1.251,6
Ambos sexos;Total;Incapacitado permanente;2020T3;1.276,6
Ambos sexos;Total;Incapacitado permanente;2020T2;1.230,9
Ambos sexos;Total;Incapacitado permanente;2020T1;1.248,3
Ambos sexos;Total;Incapacitado permanente;2019T4;1.253,7
Ambos sexos;Total;Incapacitado permanente;2019T3;1.256,3
Ambos sexos;Total;Incapacitado permanente;2019T2;1.283,6
Ambos sexos;Total;Incapacitado permanente;2019T1;1.232,5
Ambos sexos;Total;Incapacitado permanente;2018T4;1.268,3
Ambos sexos;Total;Incapacitado permanente;2018T3;1.252,6
Ambos sexos;Total;Incapacitado permanente;2018T2;1.255
Ambos sexos;Total;Incapacitado permanente;2018T1;1.275,3
Ambos sexos;Total;Incapacitado permanente;2017T4;1.267,9
Ambos sexos;Total;Incapacitado permanente;2017T3;1.247
Ambos sexos;Total;Incapacitado permanente;2017T2;1.271,5
Ambos sexos;Total;Incapacitado permanente;2017T1;1.242,4
Ambos sexos;Total;Incapacitado permanente;2016T4;1.247,7
Ambos sexos;Total;Incapacitado permanente;2016T3;1.215,4
Ambos sexos;Total;Incapacitado permanente;2016T2;1.206,5
Ambos sexos;Total;Incapacitado permanente;2016T1;1.163,5
Ambos sexos;Total;Incapacitado permanente;2015T4;1.189,3
Ambos sexos;Total;Incapacitado permanente;2015T3;1.199,6
Ambos sexos;Total;Incapacitado permanente;2015T2;1.226,4
Ambos sexos;Total;Incapacitado permanente;2015T1;1.215,4
Ambos sexos;Total;Incapacitado permanente;2014T4;1.211,4
Ambos sexos;Total;Incapacitado permanente;2014T3;1.286,8
Ambos sexos;Total;Incapacitado permanente;2014T2;1.290,6
Ambos sexos;Total;Incapacitado permanente;2014T1;1.302,8
Ambos sexos;Total;Incapacitado permanente;2013T4;1.299,2
Ambos sexos;Total;Incapacitado permanente;2013T3;1.302
Ambos sexos;Total;Incapacitado permanente;2013T2;1.301,6
Ambos sexos;Total;Incapacitado permanente;2013T1;1.235,1
Ambos sexos;Total;Incapacitado permanente;2012T4;1.214
Ambos sexos;Total;Incapacitado permanente;2012T3;1.213,1
Ambos sexos;Total;Incapacitado permanente;2012T2;1.186
Ambos sexos;Total;Incapacitado permanente;2012T1;1.139,8
Ambos sexos;Total;Incapacitado permanente;2011T4;1.173,7
Ambos sexos;Total;Incapacitado permanente;2011T3;1.146,3
Ambos sexos;Total;Incapacitado permanente;2011T2;1.165,7
Ambos sexos;Total;Incapacitado permanente;2011T1;1.154
Ambos sexos;Total;Incapacitado permanente;2010T4;1.150
Ambos sexos;Total;Incapacitado permanente;2010T3;1.161,5
Ambos sexos;Total;Incapacitado permanente;2010T2;1.184,7
Ambos sexos;Total;Incapacitado permanente;2010T1;1.204,1
Ambos sexos;Total;Incapacitado permanente;2009T4;1.201,5
Ambos sexos;Total;Incapacitado permanente;2009T3;1.167,7
Ambos sexos;Total;Incapacitado permanente;2009T2;1.193,3
Ambos sexos;Total;Incapacitado permanente;2009T1;1.155,1
Ambos sexos;Total;Incapacitado permanente;2008T4;1.163,4
Ambos sexos;Total;Incapacitado permanente;2008T3;1.111,4
Ambos sexos;Total;Incapacitado permanente;2008T2;1.058,7
Ambos sexos;Total;Incapacitado permanente;2008T1;1.066
Ambos sexos;Total;Incapacitado permanente;2007T4;1.057,6
Ambos sexos;Total;Incapacitado permanente;2007T3;1.043
Ambos sexos;Total;Incapacitado permanente;2007T2;1.044,8
Ambos sexos;Total;Incapacitado permanente;2007T1;1.012,4
Ambos sexos;Total;Incapacitado permanente;2006T4;1.039,1
Ambos sexos;Total;Incapacitado permanente;2006T3;1.021,9
Ambos sexos;Total;Incapacitado permanente;2006T2;1.012,5
Ambos sexos;Total;Incapacitado permanente;2006T1;1.007,9
Ambos sexos;Total;Incapacitado permanente;2005T4;890,4
Ambos sexos;Total;Incapacitado permanente;2005T3;887,3
Ambos sexos;Total;Incapacitado permanente;2005T2;855,3
Ambos sexos;Total;Incapacitado permanente;2005T1;897,2
