Edad;Sexo;Unidad;Periodo;Total
Total;Ambos sexos;Valor absoluto;2003T1;15.712,8
Total;Ambos sexos;Valor absoluto;2002T4;15.758,1
Total;Ambos sexos;Valor absoluto;2002T3;15.689,5
Total;Ambos sexos;Valor absoluto;2002T2;15.769,2
Total;Ambos sexos;Valor absoluto;2002T1;15.835,5
Total;Ambos sexos;Porcentaje;2026T1;100,0
Total;Ambos sexos;Porcentaje;2025T4;100,0
Total;Ambos sexos;Porcentaje;2025T3;100,0
Total;Ambos sexos;Porcentaje;2025T2;100,0
Total;Ambos sexos;Porcentaje;2025T1;100,0
Total;Ambos sexos;Porcentaje;2024T4;100,0
Total;Ambos sexos;Porcentaje;2024T3;100,0
Total;Ambos sexos;Porcentaje;2024T2;100,0
Total;Ambos sexos;Porcentaje;2024T1;100,0
Total;Ambos sexos;Porcentaje;2023T4;100,0
Total;Ambos sexos;Porcentaje;2023T3;100,0
Total;Ambos sexos;Porcentaje;2023T2;100,0
Total;Ambos sexos;Porcentaje;2023T1;100,0
Total;Ambos sexos;Porcentaje;2022T4;100,0
Total;Ambos sexos;Porcentaje;2022T3;100,0
Total;Ambos sexos;Porcentaje;2022T2;100,0
Total;Ambos sexos;Porcentaje;2022T1;100,0
Total;Ambos sexos;Porcentaje;2021T4;100,0
Total;Ambos sexos;Porcentaje;2021T3;100,0
Total;Ambos sexos;Porcentaje;2021T2;100,0
Total;Ambos sexos;Porcentaje;2021T1;100,0
Total;Ambos sexos;Porcentaje;2020T4;100,0
Total;Ambos sexos;Porcentaje;2020T3;100,0
Total;Ambos sexos;Porcentaje;2020T2;100,0
Total;Ambos sexos;Porcentaje;2020T1;100,0
Total;Ambos sexos;Porcentaje;2019T4;100,0
Total;Ambos sexos;Porcentaje;2019T3;100,0
Total;Ambos sexos;Porcentaje;2019T2;100,0
Total;Ambos sexos;Porcentaje;2019T1;100,0
Total;Ambos sexos;Porcentaje;2018T4;100,0
Total;Ambos sexos;Porcentaje;2018T3;100,0
Total;Ambos sexos;Porcentaje;2018T2;100,0
Total;Ambos sexos;Porcentaje;2018T1;100,0
Total;Ambos sexos;Porcentaje;2017T4;100,0
Total;Ambos sexos;Porcentaje;2017T3;100,0
Total;Ambos sexos;Porcentaje;2017T2;100,0
Total;Ambos sexos;Porcentaje;2017T1;100,0
Total;Ambos sexos;Porcentaje;2016T4;100,0
Total;Ambos sexos;Porcentaje;2016T3;100,0
Total;Ambos sexos;Porcentaje;2016T2;100,0
Total;Ambos sexos;Porcentaje;2016T1;100,0
Total;Ambos sexos;Porcentaje;2015T4;100,0
Total;Ambos sexos;Porcentaje;2015T3;100,0
Total;Ambos sexos;Porcentaje;2015T2;100,0
Total;Ambos sexos;Porcentaje;2015T1;100,0
Total;Ambos sexos;Porcentaje;2014T4;100,0
Total;Ambos sexos;Porcentaje;2014T3;100,0
Total;Ambos sexos;Porcentaje;2014T2;100,0
Total;Ambos sexos;Porcentaje;2014T1;100,0
Total;Ambos sexos;Porcentaje;2013T4;100,0
Total;Ambos sexos;Porcentaje;2013T3;100,0
Total;Ambos sexos;Porcentaje;2013T2;100,0
Total;Ambos sexos;Porcentaje;2013T1;100,0
Total;Ambos sexos;Porcentaje;2012T4;100,0
Total;Ambos sexos;Porcentaje;2012T3;100,0
Total;Ambos sexos;Porcentaje;2012T2;100,0
Total;Ambos sexos;Porcentaje;2012T1;100,0
Total;Ambos sexos;Porcentaje;2011T4;100,0
Total;Ambos sexos;Porcentaje;2011T3;100,0
Total;Ambos sexos;Porcentaje;2011T2;100,0
Total;Ambos sexos;Porcentaje;2011T1;100,0
Total;Ambos sexos;Porcentaje;2010T4;100,0
Total;Ambos sexos;Porcentaje;2010T3;100,0
Total;Ambos sexos;Porcentaje;2010T2;100,0
Total;Ambos sexos;Porcentaje;2010T1;100,0
Total;Ambos sexos;Porcentaje;2009T4;100,0
Total;Ambos sexos;Porcentaje;2009T3;100,0
Total;Ambos sexos;Porcentaje;2009T2;100,0
Total;Ambos sexos;Porcentaje;2009T1;100,0
Total;Ambos sexos;Porcentaje;2008T4;100,0
Total;Ambos sexos;Porcentaje;2008T3;100,0
Total;Ambos sexos;Porcentaje;2008T2;100,0
Total;Ambos sexos;Porcentaje;2008T1;100,0
Total;Ambos sexos;Porcentaje;2007T4;100,0
Total;Ambos sexos;Porcentaje;2007T3;100,0
Total;Ambos sexos;Porcentaje;2007T2;100,0
Total;Ambos sexos;Porcentaje;2007T1;100,0
Total;Ambos sexos;Porcentaje;2006T4;100,0
Total;Ambos sexos;Porcentaje;2006T3;100,0
Total;Ambos sexos;Porcentaje;2006T2;100,0
Total;Ambos sexos;Porcentaje;2006T1;100,0
Total;Ambos sexos;Porcentaje;2005T4;100,0
Total;Ambos sexos;Porcentaje;2005T3;100,0
Total;Ambos sexos;Porcentaje;2005T2;100,0
Total;Ambos sexos;Porcentaje;2005T1;100,0
Total;Ambos sexos;Porcentaje;2004T4;100,0
Total;Ambos sexos;Porcentaje;2004T3;100,0
Total;Ambos sexos;Porcentaje;2004T2;100,0
Total;Ambos sexos;Porcentaje;2004T1;100,0
Total;Ambos sexos;Porcentaje;2003T4;100,0
Total;Ambos sexos;Porcentaje;2003T3;100,0
Total;Ambos sexos;Porcentaje;2003T2;100,0
Total;Ambos sexos;Porcentaje;2003T1;100,0
Total;Ambos sexos;Porcentaje;2002T4;100,0
Total;Ambos sexos;Porcentaje;2002T3;100,0
Total;Ambos sexos;Porcentaje;2002T2;100,0
Total;Ambos sexos;Porcentaje;2002T1;100,0
Total;Hombres;Valor absoluto;2026T1;7.520,2
Total;Hombres;Valor absoluto;2025T4;7.453,6
Total;Hombres;Valor absoluto;2025T3;7.364,5
Total;Hombres;Valor absoluto;2025T2;7.381,1
Total;Hombres;Valor absoluto;2025T1;7.473,9
Total;Hombres;Valor absoluto;2024T4;7.383,0
Total;Hombres;Valor absoluto;2024T3;7.232,5
Total;Hombres;Valor absoluto;2024T2;7.283,7
Total;Hombres;Valor absoluto;2024T1;7.286,5
Total;Hombres;Valor absoluto;2023T4;7.255,8
Total;Hombres;Valor absoluto;2023T3;7.068,9
Total;Hombres;Valor absoluto;2023T2;7.138,6
Total;Hombres;Valor absoluto;2023T1;7.254,4
Total;Hombres;Valor absoluto;2022T4;7.164,6
Total;Hombres;Valor absoluto;2022T3;6.998,2
Total;Hombres;Valor absoluto;2022T2;7.060,7
Total;Hombres;Valor absoluto;2022T1;7.082,6
Total;Hombres;Valor absoluto;2021T4;7.044,8
Total;Hombres;Valor absoluto;2021T3;6.903,6
Total;Hombres;Valor absoluto;2021T2;7.038,7
Total;Hombres;Valor absoluto;2021T1;7.194,1
Total;Hombres;Valor absoluto;2020T4;7.071,0
Total;Hombres;Valor absoluto;2020T3;7.038,4
Total;Hombres;Valor absoluto;2020T2;7.434,1
Total;Hombres;Valor absoluto;2020T1;6.988,5
Total;Hombres;Valor absoluto;2019T4;6.855,5
Total;Hombres;Valor absoluto;2019T3;6.796,3
Total;Hombres;Valor absoluto;2019T2;6.783,7
Total;Hombres;Valor absoluto;2019T1;6.848,6
Total;Hombres;Valor absoluto;2018T4;6.744,3
Total;Hombres;Valor absoluto;2018T3;6.648,1
Total;Hombres;Valor absoluto;2018T2;6.681,8
Total;Hombres;Valor absoluto;2018T1;6.734,7
Total;Hombres;Valor absoluto;2017T4;6.671,0
Total;Hombres;Valor absoluto;2017T3;6.574,8
Total;Hombres;Valor absoluto;2017T2;6.632,9
Total;Hombres;Valor absoluto;2017T1;6.645,2
Total;Hombres;Valor absoluto;2016T4;6.610,4
Total;Hombres;Valor absoluto;2016T3;6.517,5
Total;Hombres;Valor absoluto;2016T2;6.521,0
Total;Hombres;Valor absoluto;2016T1;6.512,1
Total;Hombres;Valor absoluto;2015T4;6.490,4
