Edad;Sexo;Unidad;Periodo;Total
De 20 a 24 años;Mujeres;Porcentaje;2026T1;6,5
De 20 a 24 años;Mujeres;Porcentaje;2025T4;6,2
De 20 a 24 años;Mujeres;Porcentaje;2025T3;5,7
De 20 a 24 años;Mujeres;Porcentaje;2025T2;6,2
De 20 a 24 años;Mujeres;Porcentaje;2025T1;6,6
De 20 a 24 años;Mujeres;Porcentaje;2024T4;6,4
De 20 a 24 años;Mujeres;Porcentaje;2024T3;5,8
De 20 a 24 años;Mujeres;Porcentaje;2024T2;6,4
De 20 a 24 años;Mujeres;Porcentaje;2024T1;6,4
De 20 a 24 años;Mujeres;Porcentaje;2023T4;6,2
De 20 a 24 años;Mujeres;Porcentaje;2023T3;5,7
De 20 a 24 años;Mujeres;Porcentaje;2023T2;6,2
De 20 a 24 años;Mujeres;Porcentaje;2023T1;6,2
De 20 a 24 años;Mujeres;Porcentaje;2022T4;6,1
De 20 a 24 años;Mujeres;Porcentaje;2022T3;5,7
De 20 a 24 años;Mujeres;Porcentaje;2022T2;5,8
De 20 a 24 años;Mujeres;Porcentaje;2022T1;6,2
De 20 a 24 años;Mujeres;Porcentaje;2021T4;6,2
De 20 a 24 años;Mujeres;Porcentaje;2021T3;5,7
De 20 a 24 años;Mujeres;Porcentaje;2021T2;5,8
De 20 a 24 años;Mujeres;Porcentaje;2021T1;6,3
De 20 a 24 años;Mujeres;Porcentaje;2020T4;6,3
De 20 a 24 años;Mujeres;Porcentaje;2020T3;5,9
De 20 a 24 años;Mujeres;Porcentaje;2020T2;6,5
De 20 a 24 años;Mujeres;Porcentaje;2020T1;6,1
De 20 a 24 años;Mujeres;Porcentaje;2019T4;6,0
De 20 a 24 años;Mujeres;Porcentaje;2019T3;5,5
De 20 a 24 años;Mujeres;Porcentaje;2019T2;5,9
De 20 a 24 años;Mujeres;Porcentaje;2019T1;5,9
De 20 a 24 años;Mujeres;Porcentaje;2018T4;5,7
De 20 a 24 años;Mujeres;Porcentaje;2018T3;5,5
De 20 a 24 años;Mujeres;Porcentaje;2018T2;5,8
De 20 a 24 años;Mujeres;Porcentaje;2018T1;6,0
De 20 a 24 años;Mujeres;Porcentaje;2017T4;5,5
De 20 a 24 años;Mujeres;Porcentaje;2017T3;5,3
De 20 a 24 años;Mujeres;Porcentaje;2017T2;5,6
De 20 a 24 años;Mujeres;Porcentaje;2017T1;5,8
De 20 a 24 años;Mujeres;Porcentaje;2016T4;5,9
De 20 a 24 años;Mujeres;Porcentaje;2016T3;5,4
De 20 a 24 años;Mujeres;Porcentaje;2016T2;5,7
De 20 a 24 años;Mujeres;Porcentaje;2016T1;5,9
De 20 a 24 años;Mujeres;Porcentaje;2015T4;5,8
De 20 a 24 años;Mujeres;Porcentaje;2015T3;5,2
De 20 a 24 años;Mujeres;Porcentaje;2015T2;5,5
De 20 a 24 años;Mujeres;Porcentaje;2015T1;5,9
De 20 a 24 años;Mujeres;Porcentaje;2014T4;5,6
De 20 a 24 años;Mujeres;Porcentaje;2014T3;5,5
De 20 a 24 años;Mujeres;Porcentaje;2014T2;5,7
De 20 a 24 años;Mujeres;Porcentaje;2014T1;5,7
De 20 a 24 años;Mujeres;Porcentaje;2013T4;5,6
De 20 a 24 años;Mujeres;Porcentaje;2013T3;5,4
De 20 a 24 años;Mujeres;Porcentaje;2013T2;5,6
De 20 a 24 años;Mujeres;Porcentaje;2013T1;5,5
De 20 a 24 años;Mujeres;Porcentaje;2012T4;5,6
De 20 a 24 años;Mujeres;Porcentaje;2012T3;5,2
De 20 a 24 años;Mujeres;Porcentaje;2012T2;5,4
De 20 a 24 años;Mujeres;Porcentaje;2012T1;5,5
De 20 a 24 años;Mujeres;Porcentaje;2011T4;5,3
De 20 a 24 años;Mujeres;Porcentaje;2011T3;4,9
De 20 a 24 años;Mujeres;Porcentaje;2011T2;5,3
De 20 a 24 años;Mujeres;Porcentaje;2011T1;5,3
De 20 a 24 años;Mujeres;Porcentaje;2010T4;5,3
De 20 a 24 años;Mujeres;Porcentaje;2010T3;4,9
De 20 a 24 años;Mujeres;Porcentaje;2010T2;5,4
De 20 a 24 años;Mujeres;Porcentaje;2010T1;5,4
De 20 a 24 años;Mujeres;Porcentaje;2009T4;5,2
De 20 a 24 años;Mujeres;Porcentaje;2009T3;4,9
De 20 a 24 años;Mujeres;Porcentaje;2009T2;5,3
De 20 a 24 años;Mujeres;Porcentaje;2009T1;5,3
De 20 a 24 años;Mujeres;Porcentaje;2008T4;5,1
De 20 a 24 años;Mujeres;Porcentaje;2008T3;4,9
De 20 a 24 años;Mujeres;Porcentaje;2008T2;5,2
De 20 a 24 años;Mujeres;Porcentaje;2008T1;5,5
De 20 a 24 años;Mujeres;Porcentaje;2007T4;5,3
De 20 a 24 años;Mujeres;Porcentaje;2007T3;4,9
De 20 a 24 años;Mujeres;Porcentaje;2007T2;5,4
De 20 a 24 años;Mujeres;Porcentaje;2007T1;5,6
De 20 a 24 años;Mujeres;Porcentaje;2006T4;5,3
De 20 a 24 años;Mujeres;Porcentaje;2006T3;5,1
De 20 a 24 años;Mujeres;Porcentaje;2006T2;5,3
De 20 a 24 años;Mujeres;Porcentaje;2006T1;5,4
De 20 a 24 años;Mujeres;Porcentaje;2005T4;5,5
De 20 a 24 años;Mujeres;Porcentaje;2005T3;5,2
De 20 a 24 años;Mujeres;Porcentaje;2005T2;5,6
De 20 a 24 años;Mujeres;Porcentaje;2005T1;5,8
De 20 a 24 años;Mujeres;Porcentaje;2004T4;6,1
De 20 a 24 años;Mujeres;Porcentaje;2004T3;5,8
De 20 a 24 años;Mujeres;Porcentaje;2004T2;6,1
De 20 a 24 años;Mujeres;Porcentaje;2004T1;6,3
De 20 a 24 años;Mujeres;Porcentaje;2003T4;6,3
De 20 a 24 años;Mujeres;Porcentaje;2003T3;6,1
De 20 a 24 años;Mujeres;Porcentaje;2003T2;6,4
De 20 a 24 años;Mujeres;Porcentaje;2003T1;6,5
De 20 a 24 años;Mujeres;Porcentaje;2002T4;6,4
De 20 a 24 años;Mujeres;Porcentaje;2002T3;6,3
De 20 a 24 años;Mujeres;Porcentaje;2002T2;6,6
De 20 a 24 años;Mujeres;Porcentaje;2002T1;6,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2026T1;466,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T4;429,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T3;421,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T2;442,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2025T1;414,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T4;445,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T3;419,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T2;422,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2024T1;425,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T4;389,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T3;412,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T2;385,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2023T1;410,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T4;416,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T3;407,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T2;394,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2022T1;396,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T4;385,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T3;367,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T2;382,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2021T1;430,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T4;383,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T3;441,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T2;556,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2020T1;432,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T4;399,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T3;408,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T2;422,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2019T1;427,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T4;408,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T3;397,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T2;389,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2018T1;389,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T4;385,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T3;367,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T2;363,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2017T1;386,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T4;373,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T3;356,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T2;380,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2016T1;391,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T4;380,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T3;383,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T2;387,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2015T1;374,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T4;347,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T3;344,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T2;352,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2014T1;366,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T4;359,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T3;344,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T2;380,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2013T1;369,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T4;364,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T3;373,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T2;378,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2012T1;398,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T4;401,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T3;407,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T2;408,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2011T1;442,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T4;419,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T3;415,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T2;436,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2010T1;420,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T4;437,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T3;476,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T2;469,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2009T1;439,5
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T4;457,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T3;476,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T2;479,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2008T1;492,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T4;498,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T3;497,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T2;507,4
De 25 a 29 años;Ambos sexos;Valor absoluto;2007T1;517,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T4;496,7
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T3;502,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T2;522,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2006T1;530,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T4;534,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T3;549,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T2;565,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2005T1;533,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T4;530,1
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T3;531,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T2;549,0
De 25 a 29 años;Ambos sexos;Valor absoluto;2004T1;554,3
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T4;536,9
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T3;532,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T2;567,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2003T1;576,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T4;595,8
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T3;585,2
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T2;608,6
De 25 a 29 años;Ambos sexos;Valor absoluto;2002T1;606,6
De 25 a 29 años;Ambos sexos;Porcentaje;2026T1;2,7
De 25 a 29 años;Ambos sexos;Porcentaje;2025T4;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2025T3;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2025T2;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2025T1;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2024T4;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2024T3;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2024T2;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2024T1;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2023T4;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2023T3;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2023T2;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2023T1;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2022T4;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2022T3;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2022T2;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2022T1;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2021T4;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2021T3;2,2
De 25 a 29 años;Ambos sexos;Porcentaje;2021T2;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2021T1;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2020T4;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2020T3;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2020T2;3,2
De 25 a 29 años;Ambos sexos;Porcentaje;2020T1;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2019T4;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2019T3;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2019T2;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2019T1;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2018T4;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2018T3;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2018T2;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2018T1;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2017T4;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2017T3;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2017T2;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2017T1;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2016T4;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2016T3;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2016T2;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2016T1;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2015T4;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2015T3;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2015T2;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2015T1;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2014T4;2,2
De 25 a 29 años;Ambos sexos;Porcentaje;2014T3;2,2
De 25 a 29 años;Ambos sexos;Porcentaje;2014T2;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2014T1;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2013T4;2,3
De 25 a 29 años;Ambos sexos;Porcentaje;2013T3;2,2
De 25 a 29 años;Ambos sexos;Porcentaje;2013T2;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2013T1;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2012T4;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2012T3;2,4
De 25 a 29 años;Ambos sexos;Porcentaje;2012T2;2,5
De 25 a 29 años;Ambos sexos;Porcentaje;2012T1;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2011T4;2,6
De 25 a 29 años;Ambos sexos;Porcentaje;2011T3;2,7
De 25 a 29 años;Ambos sexos;Porcentaje;2011T2;2,7
De 25 a 29 años;Ambos sexos;Porcentaje;2011T1;2,9
De 25 a 29 años;Ambos sexos;Porcentaje;2010T4;2,7
De 25 a 29 años;Ambos sexos;Porcentaje;2010T3;2,7
De 25 a 29 años;Ambos sexos;Porcentaje;2010T2;2,8
De 25 a 29 años;Ambos sexos;Porcentaje;2010T1;2,7
De 25 a 29 años;Ambos sexos;Porcentaje;2009T4;2,8
De 25 a 29 años;Ambos sexos;Porcentaje;2009T3;3,1
De 25 a 29 años;Ambos sexos;Porcentaje;2009T2;3,1
De 25 a 29 años;Ambos sexos;Porcentaje;2009T1;2,9
De 25 a 29 años;Ambos sexos;Porcentaje;2008T4;3,0
De 25 a 29 años;Ambos sexos;Porcentaje;2008T3;3,1
De 25 a 29 años;Ambos sexos;Porcentaje;2008T2;3,1
De 25 a 29 años;Ambos sexos;Porcentaje;2008T1;3,2
De 25 a 29 años;Ambos sexos;Porcentaje;2007T4;3,2
De 25 a 29 años;Ambos sexos;Porcentaje;2007T3;3,2
De 25 a 29 años;Ambos sexos;Porcentaje;2007T2;3,3
De 25 a 29 años;Ambos sexos;Porcentaje;2007T1;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2006T4;3,2
De 25 a 29 años;Ambos sexos;Porcentaje;2006T3;3,3
De 25 a 29 años;Ambos sexos;Porcentaje;2006T2;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2006T1;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2005T4;3,5
De 25 a 29 años;Ambos sexos;Porcentaje;2005T3;3,6
De 25 a 29 años;Ambos sexos;Porcentaje;2005T2;3,7
De 25 a 29 años;Ambos sexos;Porcentaje;2005T1;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2004T4;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2004T3;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2004T2;3,5
De 25 a 29 años;Ambos sexos;Porcentaje;2004T1;3,5
De 25 a 29 años;Ambos sexos;Porcentaje;2003T4;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2003T3;3,4
De 25 a 29 años;Ambos sexos;Porcentaje;2003T2;3,6
De 25 a 29 años;Ambos sexos;Porcentaje;2003T1;3,7
De 25 a 29 años;Ambos sexos;Porcentaje;2002T4;3,8
De 25 a 29 años;Ambos sexos;Porcentaje;2002T3;3,7
De 25 a 29 años;Ambos sexos;Porcentaje;2002T2;3,9
De 25 a 29 años;Ambos sexos;Porcentaje;2002T1;3,8
De 25 a 29 años;Hombres;Valor absoluto;2026T1;205,3
De 25 a 29 años;Hombres;Valor absoluto;2025T4;187,0
De 25 a 29 años;Hombres;Valor absoluto;2025T3;178,8
De 25 a 29 años;Hombres;Valor absoluto;2025T2;195,9
De 25 a 29 años;Hombres;Valor absoluto;2025T1;200,5
De 25 a 29 años;Hombres;Valor absoluto;2024T4;214,2
De 25 a 29 años;Hombres;Valor absoluto;2024T3;176,7
De 25 a 29 años;Hombres;Valor absoluto;2024T2;193,1
De 25 a 29 años;Hombres;Valor absoluto;2024T1;199,0
De 25 a 29 años;Hombres;Valor absoluto;2023T4;173,6
De 25 a 29 años;Hombres;Valor absoluto;2023T3;185,3
De 25 a 29 años;Hombres;Valor absoluto;2023T2;160,8
De 25 a 29 años;Hombres;Valor absoluto;2023T1;177,6
De 25 a 29 años;Hombres;Valor absoluto;2022T4;166,5
De 25 a 29 años;Hombres;Valor absoluto;2022T3;165,8
De 25 a 29 años;Hombres;Valor absoluto;2022T2;167,2
De 25 a 29 años;Hombres;Valor absoluto;2022T1;181,1
De 25 a 29 años;Hombres;Valor absoluto;2021T4;175,9
De 25 a 29 años;Hombres;Valor absoluto;2021T3;172,5
De 25 a 29 años;Hombres;Valor absoluto;2021T2;182,2
De 25 a 29 años;Hombres;Valor absoluto;2021T1;206,8
De 25 a 29 años;Hombres;Valor absoluto;2020T4;179,3
De 25 a 29 años;Hombres;Valor absoluto;2020T3;221,5
De 25 a 29 años;Hombres;Valor absoluto;2020T2;258,0
De 25 a 29 años;Hombres;Valor absoluto;2020T1;190,5
De 25 a 29 años;Hombres;Valor absoluto;2019T4;167,0
De 25 a 29 años;Hombres;Valor absoluto;2019T3;176,5
De 25 a 29 años;Hombres;Valor absoluto;2019T2;178,7
De 25 a 29 años;Hombres;Valor absoluto;2019T1;167,6
De 25 a 29 años;Hombres;Valor absoluto;2018T4;159,4
De 25 a 29 años;Hombres;Valor absoluto;2018T3;163,3
De 25 a 29 años;Hombres;Valor absoluto;2018T2;177,7
De 25 a 29 años;Hombres;Valor absoluto;2018T1;174,7
De 25 a 29 años;Hombres;Valor absoluto;2017T4;167,8
De 25 a 29 años;Hombres;Valor absoluto;2017T3;161,5
De 25 a 29 años;Hombres;Valor absoluto;2017T2;161,9
De 25 a 29 años;Hombres;Valor absoluto;2017T1;170,2
De 25 a 29 años;Hombres;Valor absoluto;2016T4;162,7
De 25 a 29 años;Hombres;Valor absoluto;2016T3;147,0
De 25 a 29 años;Hombres;Valor absoluto;2016T2;163,6
De 25 a 29 años;Hombres;Valor absoluto;2016T1;167,2
De 25 a 29 años;Hombres;Valor absoluto;2015T4;162,1
De 25 a 29 años;Hombres;Valor absoluto;2015T3;154,5
De 25 a 29 años;Hombres;Valor absoluto;2015T2;165,9
De 25 a 29 años;Hombres;Valor absoluto;2015T1;149,1
De 25 a 29 años;Hombres;Valor absoluto;2014T4;133,9
De 25 a 29 años;Hombres;Valor absoluto;2014T3;135,9
De 25 a 29 años;Hombres;Valor absoluto;2014T2;145,3
De 25 a 29 años;Hombres;Valor absoluto;2014T1;155,1
De 25 a 29 años;Hombres;Valor absoluto;2013T4;151,7
De 25 a 29 años;Hombres;Valor absoluto;2013T3;138,7
De 25 a 29 años;Hombres;Valor absoluto;2013T2;148,0
De 25 a 29 años;Hombres;Valor absoluto;2013T1;152,6
De 25 a 29 años;Hombres;Valor absoluto;2012T4;139,4
De 25 a 29 años;Hombres;Valor absoluto;2012T3;146,5
De 25 a 29 años;Hombres;Valor absoluto;2012T2;148,3
De 25 a 29 años;Hombres;Valor absoluto;2012T1;156,3
De 25 a 29 años;Hombres;Valor absoluto;2011T4;159,9
De 25 a 29 años;Hombres;Valor absoluto;2011T3;158,8
De 25 a 29 años;Hombres;Valor absoluto;2011T2;165,4
De 25 a 29 años;Hombres;Valor absoluto;2011T1;189,7
De 25 a 29 años;Hombres;Valor absoluto;2010T4;180,0
De 25 a 29 años;Hombres;Valor absoluto;2010T3;176,3
De 25 a 29 años;Hombres;Valor absoluto;2010T2;187,8
De 25 a 29 años;Hombres;Valor absoluto;2010T1;179,6
De 25 a 29 años;Hombres;Valor absoluto;2009T4;180,8
De 25 a 29 años;Hombres;Valor absoluto;2009T3;190,3
De 25 a 29 años;Hombres;Valor absoluto;2009T2;190,3
De 25 a 29 años;Hombres;Valor absoluto;2009T1;169,5
De 25 a 29 años;Hombres;Valor absoluto;2008T4;184,3
De 25 a 29 años;Hombres;Valor absoluto;2008T3;187,0
De 25 a 29 años;Hombres;Valor absoluto;2008T2;182,2
De 25 a 29 años;Hombres;Valor absoluto;2008T1;187,4
De 25 a 29 años;Hombres;Valor absoluto;2007T4;182,8
De 25 a 29 años;Hombres;Valor absoluto;2007T3;166,6
De 25 a 29 años;Hombres;Valor absoluto;2007T2;174,9
De 25 a 29 años;Hombres;Valor absoluto;2007T1;190,4
De 25 a 29 años;Hombres;Valor absoluto;2006T4;174,5
De 25 a 29 años;Hombres;Valor absoluto;2006T3;172,0
De 25 a 29 años;Hombres;Valor absoluto;2006T2;187,8
De 25 a 29 años;Hombres;Valor absoluto;2006T1;191,5
De 25 a 29 años;Hombres;Valor absoluto;2005T4;188,1
De 25 a 29 años;Hombres;Valor absoluto;2005T3;192,4
De 25 a 29 años;Hombres;Valor absoluto;2005T2;209,0
De 25 a 29 años;Hombres;Valor absoluto;2005T1;187,9
De 25 a 29 años;Hombres;Valor absoluto;2004T4;190,5
De 25 a 29 años;Hombres;Valor absoluto;2004T3;183,0
De 25 a 29 años;Hombres;Valor absoluto;2004T2;199,6
De 25 a 29 años;Hombres;Valor absoluto;2004T1;196,7
De 25 a 29 años;Hombres;Valor absoluto;2003T4;187,9
De 25 a 29 años;Hombres;Valor absoluto;2003T3;182,6
De 25 a 29 años;Hombres;Valor absoluto;2003T2;204,3
De 25 a 29 años;Hombres;Valor absoluto;2003T1;203,2
De 25 a 29 años;Hombres;Valor absoluto;2002T4;199,8
De 25 a 29 años;Hombres;Valor absoluto;2002T3;191,4
De 25 a 29 años;Hombres;Valor absoluto;2002T2;203,6
De 25 a 29 años;Hombres;Valor absoluto;2002T1;208,9
De 25 a 29 años;Hombres;Porcentaje;2026T1;2,7
De 25 a 29 años;Hombres;Porcentaje;2025T4;2,5
De 25 a 29 años;Hombres;Porcentaje;2025T3;2,4
De 25 a 29 años;Hombres;Porcentaje;2025T2;2,7
De 25 a 29 años;Hombres;Porcentaje;2025T1;2,7
De 25 a 29 años;Hombres;Porcentaje;2024T4;2,9
De 25 a 29 años;Hombres;Porcentaje;2024T3;2,4
De 25 a 29 años;Hombres;Porcentaje;2024T2;2,7
De 25 a 29 años;Hombres;Porcentaje;2024T1;2,7
De 25 a 29 años;Hombres;Porcentaje;2023T4;2,4
De 25 a 29 años;Hombres;Porcentaje;2023T3;2,6
De 25 a 29 años;Hombres;Porcentaje;2023T2;2,3
De 25 a 29 años;Hombres;Porcentaje;2023T1;2,4
De 25 a 29 años;Hombres;Porcentaje;2022T4;2,3
De 25 a 29 años;Hombres;Porcentaje;2022T3;2,4
De 25 a 29 años;Hombres;Porcentaje;2022T2;2,4
De 25 a 29 años;Hombres;Porcentaje;2022T1;2,6
De 25 a 29 años;Hombres;Porcentaje;2021T4;2,5
De 25 a 29 años;Hombres;Porcentaje;2021T3;2,5
De 25 a 29 años;Hombres;Porcentaje;2021T2;2,6
De 25 a 29 años;Hombres;Porcentaje;2021T1;2,9
De 25 a 29 años;Hombres;Porcentaje;2020T4;2,5
De 25 a 29 años;Hombres;Porcentaje;2020T3;3,1
De 25 a 29 años;Hombres;Porcentaje;2020T2;3,5
De 25 a 29 años;Hombres;Porcentaje;2020T1;2,7
De 25 a 29 años;Hombres;Porcentaje;2019T4;2,4
De 25 a 29 años;Hombres;Porcentaje;2019T3;2,6
De 25 a 29 años;Hombres;Porcentaje;2019T2;2,6
De 25 a 29 años;Hombres;Porcentaje;2019T1;2,4
De 25 a 29 años;Hombres;Porcentaje;2018T4;2,4
De 25 a 29 años;Hombres;Porcentaje;2018T3;2,5
De 25 a 29 años;Hombres;Porcentaje;2018T2;2,7
De 25 a 29 años;Hombres;Porcentaje;2018T1;2,6
De 25 a 29 años;Hombres;Porcentaje;2017T4;2,5
