Sexo;Edad;Motivos de la jornada parcial;Periodo;Total
Ambos sexos;Total;Total;2025T4;3.089,7
Ambos sexos;Total;Total;2025T3;2.897,8
Ambos sexos;Total;Total;2025T2;3.093,9
Ambos sexos;Total;Total;2025T1;3.075,9
Ambos sexos;Total;Total;2024T4;3.059
Ambos sexos;Total;Total;2024T3;2.793,9
Ambos sexos;Total;Total;2024T2;2.942,6
Ambos sexos;Total;Total;2024T1;2.941,5
Ambos sexos;Total;Total;2023T4;2.881,6
Ambos sexos;Total;Total;2023T3;2.689,8
Ambos sexos;Total;Total;2023T2;2.876,3
Ambos sexos;Total;Total;2023T1;2.826,8
Ambos sexos;Total;Total;2022T4;2.804,8
Ambos sexos;Total;Total;2022T3;2.664,1
Ambos sexos;Total;Total;2022T2;2.838,2
Ambos sexos;Total;Total;2022T1;2.832,5
Ambos sexos;Total;Total;2021T4;2.747,7
Ambos sexos;Total;Total;2021T3;2.703,7
Ambos sexos;Total;Total;2021T2;2.845,1
Ambos sexos;Total;Total;2021T1;2.707,9
Ambos sexos;Total;Total;2020T4;2.799,1
Ambos sexos;Total;Total;2020T3;2.654,7
Ambos sexos;Total;Total;2020T2;2.486,1
Ambos sexos;Total;Total;2020T1;2.848,3
Ambos sexos;Total;Total;2019T4;2.944,8
Ambos sexos;Total;Total;2019T3;2.789,2
Ambos sexos;Total;Total;2019T2;2.951,5
Ambos sexos;Total;Total;2019T1;2.900,7
Ambos sexos;Total;Total;2018T4;2.894,8
Ambos sexos;Total;Total;2018T3;2.713,8
Ambos sexos;Total;Total;2018T2;2.899,7
Ambos sexos;Total;Total;2018T1;2.814,3
Ambos sexos;Total;Total;2017T4;2.805,4
Ambos sexos;Total;Total;2017T3;2.725,8
Ambos sexos;Total;Total;2017T2;2.870,1
Ambos sexos;Total;Total;2017T1;2.874,3
Ambos sexos;Total;Total;2016T4;2.833
Ambos sexos;Total;Total;2016T3;2.697,1
Ambos sexos;Total;Total;2016T2;2.801,1
Ambos sexos;Total;Total;2016T1;2.830,8
Ambos sexos;Total;Total;2015T4;2.843,7
Ambos sexos;Total;Total;2015T3;2.750,4
Ambos sexos;Total;Total;2015T2;2.818,1
Ambos sexos;Total;Total;2015T1;2.836,6
Ambos sexos;Total;Total;2014T4;2.820,4
Ambos sexos;Total;Total;2014T3;2.624,5
Ambos sexos;Total;Total;2014T2;2.844,1
Ambos sexos;Total;Total;2014T1;2.746,1
Ambos sexos;Total;Total;2013T4;2.753,9
Ambos sexos;Total;Total;2013T3;2.613,7
Ambos sexos;Total;Total;2013T2;2.771,1
Ambos sexos;Total;Total;2013T1;2.690,4
Ambos sexos;Total;Total;2012T4;2.616
Ambos sexos;Total;Total;2012T3;2.495,4
Ambos sexos;Total;Total;2012T2;2.606
Ambos sexos;Total;Total;2012T1;2.501,4
Ambos sexos;Total;Total;2011T4;2.452,6
Ambos sexos;Total;Total;2011T3;2.395,3
Ambos sexos;Total;Total;2011T2;2.586,5
Ambos sexos;Total;Total;2011T1;2.557,9
Ambos sexos;Total;Total;2010T4;2.466
Ambos sexos;Total;Total;2010T3;2.361,3
Ambos sexos;Total;Total;2010T2;2.482,5
Ambos sexos;Total;Total;2010T1;2.442,8
Ambos sexos;Total;Total;2009T4;2.457,4
Ambos sexos;Total;Total;2009T3;2.300,5
Ambos sexos;Total;Total;2009T2;2.425,3
Ambos sexos;Total;Total;2009T1;2.403,6
Ambos sexos;Total;Total;2008T4;2.459,3
Ambos sexos;Total;Total;2008T3;2.298,8
Ambos sexos;Total;Total;2008T2;2.431,7
Ambos sexos;Total;Total;2008T1;2.434,2
Ambos sexos;Total;Total;2007T4;2.368,9
Ambos sexos;Total;Total;2007T3;2.265,4
Ambos sexos;Total;Total;2007T2;2.420,8
Ambos sexos;Total;Total;2007T1;2.483,1
Ambos sexos;Total;Total;2006T4;2.362,2
Ambos sexos;Total;Total;2006T3;2.239,6
Ambos sexos;Total;Total;2006T2;2.396,6
Ambos sexos;Total;Total;2006T1;2.400,8
Ambos sexos;Total;Total;2005T4;2.306,1
Ambos sexos;Total;Total;2005T3;2.223,6
Ambos sexos;Total;Total;2005T2;2.416,2
Ambos sexos;Total;Total;2005T1;2.427,4
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2025T4;416,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2025T3;281,9
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2025T2;432,4
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2025T1;403,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2024T4;412,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2024T3;261,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2024T2;384,9
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2024T1;383,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2023T4;354,8
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2023T3;222,6
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2023T2;342,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2023T1;332
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2022T4;295,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2022T3;181,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2022T2;287,4
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2022T1;279,2
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2021T4;268,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2021T3;189,6
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2021T2;214,8
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2021T1;220,2
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2020T4;196,2
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2020T3;145,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2020T2;177,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2020T1;251,2
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2019T4;264,9
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2019T3;191,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2019T2;250,8
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2019T1;254,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2018T4;227,8
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2018T3;172,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2018T2;241
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2018T1;235,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2017T4;205,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2017T3;139,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2017T2;197,6
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2017T1;184,8
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2016T4;163,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2016T3;122,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2016T2;159,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2016T1;160,6
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2015T4;153,9
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2015T3;111,4
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2015T2;142,9
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2015T1;158,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2014T4;147,9
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2014T3;100,4
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2014T2;141
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2014T1;137,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2013T4;141,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2013T3;117,9
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2013T2;146,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2013T1;158,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2012T4;139,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2012T3;113,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2012T2;163,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2012T1;154,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2011T4;156,8
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2011T3;138,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2011T2;189,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2011T1;195
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2010T4;196,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2010T3;149,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2010T2;200,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2010T1;217,3
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2009T4;218,2
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2009T3;176,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2009T2;218,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2009T1;250,4
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2008T4;287
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2008T3;239
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2008T2;296
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2008T1;294
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2007T4;290
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2007T3;223,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2007T2;303,1
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2007T1;329,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2006T4;318,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2006T3;243,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2006T2;292,6
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2006T1;338,6
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2005T4;308,5
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2005T3;211,7
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2005T2;284
Ambos sexos;Total;Seguir cursos de enseñanza o formación;2005T1;290,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2025T4;46,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2025T3;67,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2025T2;68,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2025T1;64,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2024T4;66,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2024T3;65,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2024T2;61,1
Ambos sexos;Total;Enfermedad o incapacidad propia;2024T1;45,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2023T4;54,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2023T3;48,1
Ambos sexos;Total;Enfermedad o incapacidad propia;2023T2;56,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2023T1;45,1
Ambos sexos;Total;Enfermedad o incapacidad propia;2022T4;55,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2022T3;42,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2022T2;37,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2022T1;49,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2021T4;48,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2021T3;45,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2021T2;36,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2021T1;40,9
Ambos sexos;Total;Enfermedad o incapacidad propia;2020T4;41,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2020T3;34,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2020T2;37,9
Ambos sexos;Total;Enfermedad o incapacidad propia;2020T1;40,1
Ambos sexos;Total;Enfermedad o incapacidad propia;2019T4;41,3
Ambos sexos;Total;Enfermedad o incapacidad propia;2019T3;37,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2019T2;38,1
Ambos sexos;Total;Enfermedad o incapacidad propia;2019T1;38,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2018T4;38,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2018T3;34,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2018T2;36,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2018T1;35,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2017T4;32,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2017T3;34
Ambos sexos;Total;Enfermedad o incapacidad propia;2017T2;36,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2017T1;31,1
Ambos sexos;Total;Enfermedad o incapacidad propia;2016T4;32,7
Ambos sexos;Total;Enfermedad o incapacidad propia;2016T3;31,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2016T2;26,7
Ambos sexos;Total;Enfermedad o incapacidad propia;2016T1;26,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2015T4;27,9
Ambos sexos;Total;Enfermedad o incapacidad propia;2015T3;24,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2015T2;19,9
Ambos sexos;Total;Enfermedad o incapacidad propia;2015T1;25
Ambos sexos;Total;Enfermedad o incapacidad propia;2014T4;26
Ambos sexos;Total;Enfermedad o incapacidad propia;2014T3;27,3
Ambos sexos;Total;Enfermedad o incapacidad propia;2014T2;26,9
Ambos sexos;Total;Enfermedad o incapacidad propia;2014T1;29,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2013T4;28,9
Ambos sexos;Total;Enfermedad o incapacidad propia;2013T3;29,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2013T2;28,7
Ambos sexos;Total;Enfermedad o incapacidad propia;2013T1;24,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2012T4;31,3
Ambos sexos;Total;Enfermedad o incapacidad propia;2012T3;27
Ambos sexos;Total;Enfermedad o incapacidad propia;2012T2;27,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2012T1;29,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2011T4;28,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2011T3;29,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2011T2;24,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2011T1;34,1
Ambos sexos;Total;Enfermedad o incapacidad propia;2010T4;30,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2010T3;25,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2010T2;30,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2010T1;35,7
Ambos sexos;Total;Enfermedad o incapacidad propia;2009T4;38,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2009T3;34
Ambos sexos;Total;Enfermedad o incapacidad propia;2009T2;34,8
Ambos sexos;Total;Enfermedad o incapacidad propia;2009T1;38,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2008T4;43,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2008T3;42,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2008T2;44,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2008T1;46,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2007T4;39,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2007T3;35,9
Ambos sexos;Total;Enfermedad o incapacidad propia;2007T2;39,2
Ambos sexos;Total;Enfermedad o incapacidad propia;2007T1;46,3
Ambos sexos;Total;Enfermedad o incapacidad propia;2006T4;46,5
Ambos sexos;Total;Enfermedad o incapacidad propia;2006T3;45,4
Ambos sexos;Total;Enfermedad o incapacidad propia;2006T2;41,3
Ambos sexos;Total;Enfermedad o incapacidad propia;2006T1;48,7
Ambos sexos;Total;Enfermedad o incapacidad propia;2005T4;37,3
Ambos sexos;Total;Enfermedad o incapacidad propia;2005T3;39,6
Ambos sexos;Total;Enfermedad o incapacidad propia;2005T2;44,7
Ambos sexos;Total;Enfermedad o incapacidad propia;2005T1;51,2
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2025T4;414,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2025T3;407,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2025T2;433,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2025T1;399,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2024T4;419,6
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2024T3;384,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2024T2;389,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2024T1;394,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2023T4;374
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2023T3;386,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2023T2;370,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2023T1;370,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2022T4;351,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2022T3;336,9
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2022T2;345,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2022T1;362,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2021T4;350,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2021T3;344,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2021T2;335,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2021T1;322
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2020T4;293,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2020T3;327,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2020T2;286,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2020T1;306,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2019T4;306,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2019T3;315,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2019T2;318,9
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2019T1;323,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2018T4;343,2
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2018T3;301,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2018T2;308,9
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2018T1;296,2
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2017T4;281,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2017T3;264,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2017T2;259,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2017T1;281,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2016T4;260,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2016T3;270,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2016T2;279,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2016T1;265,2
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2015T4;261,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2015T3;266,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2015T2;274
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2015T1;277,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2014T4;260,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2014T3;245
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2014T2;256,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2014T1;260,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2013T4;258,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2013T3;255,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2013T2;253,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2013T1;281,9
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2012T4;271,2
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2012T3;271,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2012T2;287,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2012T1;276,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2011T4;282,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2011T3;286,2
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2011T2;295,9
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2011T1;304,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2010T4;280,9
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2010T3;284,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2010T2;296,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2010T1;293,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2009T4;303,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2009T3;296,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2009T2;330,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2009T1;335,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2008T4;337,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2008T3;336,2
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2008T2;346,4
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2008T1;334,5
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2007T4;318,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2007T3;326,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2007T2;321,9
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2007T1;326,3
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2006T4;287,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2006T3;279,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2006T2;281,6
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2006T1;280,1
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2005T4;292,8
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2005T3;250,6
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2005T2;265,7
Ambos sexos;Total;Cuidado de niños o de adultos enfermos, incapacitados o mayores;2005T1;279,1
Ambos sexos;Total;Otras obligaciones familiares o personales;2025T4;219,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2025T3;232,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2025T2;201,8
Ambos sexos;Total;Otras obligaciones familiares o personales;2025T1;214
Ambos sexos;Total;Otras obligaciones familiares o personales;2024T4;211,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2024T3;215,8
Ambos sexos;Total;Otras obligaciones familiares o personales;2024T2;182,1
Ambos sexos;Total;Otras obligaciones familiares o personales;2024T1;194,7
Ambos sexos;Total;Otras obligaciones familiares o personales;2023T4;196,4
Ambos sexos;Total;Otras obligaciones familiares o personales;2023T3;163,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2023T2;149,1
Ambos sexos;Total;Otras obligaciones familiares o personales;2023T1;187,4
Ambos sexos;Total;Otras obligaciones familiares o personales;2022T4;168
Ambos sexos;Total;Otras obligaciones familiares o personales;2022T3;171,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2022T2;180,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2022T1;173,1
Ambos sexos;Total;Otras obligaciones familiares o personales;2021T4;157,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2021T3;166,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2021T2;159,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2021T1;167,8
Ambos sexos;Total;Otras obligaciones familiares o personales;2020T4;150,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2020T3;162,7
Ambos sexos;Total;Otras obligaciones familiares o personales;2020T2;150,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2020T1;190,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2019T4;193,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2019T3;181,7
Ambos sexos;Total;Otras obligaciones familiares o personales;2019T2;175,4
Ambos sexos;Total;Otras obligaciones familiares o personales;2019T1;182,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2018T4;165,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2018T3;152,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2018T2;168,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2018T1;156,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2017T4;142,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2017T3;158
Ambos sexos;Total;Otras obligaciones familiares o personales;2017T2;170,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2017T1;155,6
Ambos sexos;Total;Otras obligaciones familiares o personales;2016T4;143,7
Ambos sexos;Total;Otras obligaciones familiares o personales;2016T3;136,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2016T2;144,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2016T1;135,6
Ambos sexos;Total;Otras obligaciones familiares o personales;2015T4;144,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2015T3;142,2
Ambos sexos;Total;Otras obligaciones familiares o personales;2015T2;128,1
Ambos sexos;Total;Otras obligaciones familiares o personales;2015T1;124,6
Ambos sexos;Total;Otras obligaciones familiares o personales;2014T4;134,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2014T3;115
Ambos sexos;Total;Otras obligaciones familiares o personales;2014T2;117,3
Ambos sexos;Total;Otras obligaciones familiares o personales;2014T1;131,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2013T4;118,9
Ambos sexos;Total;Otras obligaciones familiares o personales;2013T3;124,6
Ambos sexos;Total;Otras obligaciones familiares o personales;2013T2;127,5
Ambos sexos;Total;Otras obligaciones familiares o personales;2013T1;108,2
