Sexo;Ocupación CNO-11;Tiempo que llevan trabajando en el empleo actual;Periodo;Total
Ambos sexos;Total;De 2 a menos de 3 años;2020T3;1.247,4
Ambos sexos;Total;De 2 a menos de 3 años;2020T2;1.200,3
Ambos sexos;Total;De 2 a menos de 3 años;2020T1;1.295,4
Ambos sexos;Total;De 2 a menos de 3 años;2019T4;1.389,7
Ambos sexos;Total;De 2 a menos de 3 años;2019T3;1.291,4
Ambos sexos;Total;De 2 a menos de 3 años;2019T2;1.261,1
Ambos sexos;Total;De 2 a menos de 3 años;2019T1;1.209,5
Ambos sexos;Total;De 2 a menos de 3 años;2018T4;1.268,4
Ambos sexos;Total;De 2 a menos de 3 años;2018T3;1.243,8
Ambos sexos;Total;De 2 a menos de 3 años;2018T2;1.217,5
Ambos sexos;Total;De 2 a menos de 3 años;2018T1;1.149,4
Ambos sexos;Total;De 2 a menos de 3 años;2017T4;1.183,6
Ambos sexos;Total;De 2 a menos de 3 años;2017T3;1.129,3
Ambos sexos;Total;De 2 a menos de 3 años;2017T2;1.083,8
Ambos sexos;Total;De 2 a menos de 3 años;2017T1;1.055,2
Ambos sexos;Total;De 2 a menos de 3 años;2016T4;1.026
Ambos sexos;Total;De 2 a menos de 3 años;2016T3;971,3
Ambos sexos;Total;De 2 a menos de 3 años;2016T2;933,1
Ambos sexos;Total;De 2 a menos de 3 años;2016T1;892,6
Ambos sexos;Total;De 2 a menos de 3 años;2015T4;926,1
Ambos sexos;Total;De 2 a menos de 3 años;2015T3;883,5
Ambos sexos;Total;De 2 a menos de 3 años;2015T2;874,5
Ambos sexos;Total;De 2 a menos de 3 años;2015T1;854,8
Ambos sexos;Total;De 2 a menos de 3 años;2014T4;885,5
Ambos sexos;Total;De 2 a menos de 3 años;2014T3;856,4
Ambos sexos;Total;De 2 a menos de 3 años;2014T2;859
Ambos sexos;Total;De 2 a menos de 3 años;2014T1;853,1
Ambos sexos;Total;De 2 a menos de 3 años;2013T4;942,4
Ambos sexos;Total;De 2 a menos de 3 años;2013T3;932,4
Ambos sexos;Total;De 2 a menos de 3 años;2013T2;944,4
Ambos sexos;Total;De 2 a menos de 3 años;2013T1;929,3
Ambos sexos;Total;De 2 a menos de 3 años;2012T4;997,9
Ambos sexos;Total;De 2 a menos de 3 años;2012T3;969,7
Ambos sexos;Total;De 2 a menos de 3 años;2012T2;1.008,5
Ambos sexos;Total;De 2 a menos de 3 años;2012T1;998,8
Ambos sexos;Total;De 2 a menos de 3 años;2011T4;1.108,1
Ambos sexos;Total;De 2 a menos de 3 años;2011T3;1.090,5
Ambos sexos;Total;De 2 a menos de 3 años;2011T2;1.106,7
Ambos sexos;Total;De 2 a menos de 3 años;2011T1;1.172,4
Ambos sexos;Total;De 3 a menos de 6 años;2025T4;3.618
Ambos sexos;Total;De 3 a menos de 6 años;2025T3;3.494,1
Ambos sexos;Total;De 3 a menos de 6 años;2025T2;3.352,2
Ambos sexos;Total;De 3 a menos de 6 años;2025T1;3.177,4
Ambos sexos;Total;De 3 a menos de 6 años;2024T4;3.215,2
Ambos sexos;Total;De 3 a menos de 6 años;2024T3;3.137,7
Ambos sexos;Total;De 3 a menos de 6 años;2024T2;3.087,4
Ambos sexos;Total;De 3 a menos de 6 años;2024T1;3.015,4
Ambos sexos;Total;De 3 a menos de 6 años;2023T4;3.147,8
Ambos sexos;Total;De 3 a menos de 6 años;2023T3;3.110,6
Ambos sexos;Total;De 3 a menos de 6 años;2023T2;3.141,6
Ambos sexos;Total;De 3 a menos de 6 años;2023T1;3.173,2
Ambos sexos;Total;De 3 a menos de 6 años;2022T4;3.320,1
Ambos sexos;Total;De 3 a menos de 6 años;2022T3;3.236,9
Ambos sexos;Total;De 3 a menos de 6 años;2022T2;3.210,5
Ambos sexos;Total;De 3 a menos de 6 años;2022T1;3.037,7
Ambos sexos;Total;De 3 a menos de 6 años;2021T4;3.049,2
Ambos sexos;Total;De 3 a menos de 6 años;2021T3;2.946,9
Ambos sexos;Total;De 3 a menos de 6 años;2021T2;2.868,9
Ambos sexos;Total;De 3 a menos de 6 años;2021T1;2.785,5
Ambos sexos;Total;De 3 a menos de 6 años;2020T4;2.951,3
Ambos sexos;Total;De 3 a menos de 6 años;2020T3;2.797,4
Ambos sexos;Total;De 3 a menos de 6 años;2020T2;2.678,6
Ambos sexos;Total;De 3 a menos de 6 años;2020T1;2.768,7
Ambos sexos;Total;De 3 a menos de 6 años;2019T4;2.782,6
Ambos sexos;Total;De 3 a menos de 6 años;2019T3;2.739,3
Ambos sexos;Total;De 3 a menos de 6 años;2019T2;2.706,5
Ambos sexos;Total;De 3 a menos de 6 años;2019T1;2.562,8
Ambos sexos;Total;De 3 a menos de 6 años;2018T4;2.579,5
Ambos sexos;Total;De 3 a menos de 6 años;2018T3;2.456,3
Ambos sexos;Total;De 3 a menos de 6 años;2018T2;2.351,2
Ambos sexos;Total;De 3 a menos de 6 años;2018T1;2.276,8
Ambos sexos;Total;De 3 a menos de 6 años;2017T4;2.232,3
Ambos sexos;Total;De 3 a menos de 6 años;2017T3;2.174,5
Ambos sexos;Total;De 3 a menos de 6 años;2017T2;2.136,7
Ambos sexos;Total;De 3 a menos de 6 años;2017T1;2.042,1
Ambos sexos;Total;De 3 a menos de 6 años;2016T4;2.135,3
Ambos sexos;Total;De 3 a menos de 6 años;2016T3;2.128
Ambos sexos;Total;De 3 a menos de 6 años;2016T2;2.154,7
Ambos sexos;Total;De 3 a menos de 6 años;2016T1;2.103,1
Ambos sexos;Total;De 3 a menos de 6 años;2015T4;2.256,9
Ambos sexos;Total;De 3 a menos de 6 años;2015T3;2.278,2
Ambos sexos;Total;De 3 a menos de 6 años;2015T2;2.289,2
Ambos sexos;Total;De 3 a menos de 6 años;2015T1;2.275,7
Ambos sexos;Total;De 3 a menos de 6 años;2014T4;2.364,7
Ambos sexos;Total;De 3 a menos de 6 años;2014T3;2.327,8
Ambos sexos;Total;De 3 a menos de 6 años;2014T2;2.429,2
Ambos sexos;Total;De 3 a menos de 6 años;2014T1;2.415,1
Ambos sexos;Total;De 3 a menos de 6 años;2013T4;2.575,4
Ambos sexos;Total;De 3 a menos de 6 años;2013T3;2.572,9
Ambos sexos;Total;De 3 a menos de 6 años;2013T2;2.580,7
Ambos sexos;Total;De 3 a menos de 6 años;2013T1;2.620,2
Ambos sexos;Total;De 3 a menos de 6 años;2012T4;2.839,5
Ambos sexos;Total;De 3 a menos de 6 años;2012T3;2.927,7
Ambos sexos;Total;De 3 a menos de 6 años;2012T2;3.002,3
Ambos sexos;Total;De 3 a menos de 6 años;2012T1;3.079,6
Ambos sexos;Total;De 3 a menos de 6 años;2011T4;3.289,7
Ambos sexos;Total;De 3 a menos de 6 años;2011T3;3.364,7
Ambos sexos;Total;De 3 a menos de 6 años;2011T2;3.404,6
Ambos sexos;Total;De 3 a menos de 6 años;2011T1;3.399,9
Ambos sexos;Total;6 años o más;2025T4;11.303,4
Ambos sexos;Total;6 años o más;2025T3;11.189,1
Ambos sexos;Total;6 años o más;2025T2;11.312,5
Ambos sexos;Total;6 años o más;2025T1;11.269,8
Ambos sexos;Total;6 años o más;2024T4;11.137,1
Ambos sexos;Total;6 años o más;2024T3;11.066,5
Ambos sexos;Total;6 años o más;2024T2;11.113,1
Ambos sexos;Total;6 años o más;2024T1;11.112,8
Ambos sexos;Total;6 años o más;2023T4;11.004,1
Ambos sexos;Total;6 años o más;2023T3;10.968,5
Ambos sexos;Total;6 años o más;2023T2;11.023,5
Ambos sexos;Total;6 años o más;2023T1;10.958,1
Ambos sexos;Total;6 años o más;2022T4;10.816,8
Ambos sexos;Total;6 años o más;2022T3;10.856,7
Ambos sexos;Total;6 años o más;2022T2;10.832,4
Ambos sexos;Total;6 años o más;2022T1;10.878,2
Ambos sexos;Total;6 años o más;2021T4;10.824,1
Ambos sexos;Total;6 años o más;2021T3;10.736,3
