Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;Total;Central;2021T3;496,3
Ambos sexos;Total;Central;2021T2;519,1
Ambos sexos;Total;Central;2021T1;519
Ambos sexos;Total;Central;2020T4;554,8
Ambos sexos;Total;Central;2020T3;564,4
Ambos sexos;Total;Central;2020T2;534,8
Ambos sexos;Total;Central;2020T1;554,4
Ambos sexos;Total;Central;2019T4;537,2
Ambos sexos;Total;Central;2019T3;542,2
Ambos sexos;Total;Central;2019T2;526,9
Ambos sexos;Total;Central;2019T1;538,5
Ambos sexos;Total;Central;2018T4;544,2
Ambos sexos;Total;Central;2018T3;517,4
Ambos sexos;Total;Central;2018T2;535
Ambos sexos;Total;Central;2018T1;532,2
Ambos sexos;Total;Central;2017T4;519,8
Ambos sexos;Total;Central;2017T3;498,6
Ambos sexos;Total;Central;2017T2;480,1
Ambos sexos;Total;Central;2017T1;485,9
Ambos sexos;Total;Central;2016T4;498
Ambos sexos;Total;Central;2016T3;495,7
Ambos sexos;Total;Central;2016T2;498,7
Ambos sexos;Total;Central;2016T1;512,9
Ambos sexos;Total;Central;2015T4;528,8
Ambos sexos;Total;Central;2015T3;521,2
Ambos sexos;Total;Central;2015T2;530,9
Ambos sexos;Total;Central;2015T1;542,4
Ambos sexos;Total;Central;2014T4;542,5
Ambos sexos;Total;Central;2014T3;541,1
Ambos sexos;Total;Central;2014T2;531,8
Ambos sexos;Total;Central;2014T1;523,4
Ambos sexos;Total;Central;2013T4;510,6
Ambos sexos;Total;Central;2013T3;520,9
Ambos sexos;Total;Central;2013T2;526,7
Ambos sexos;Total;Central;2013T1;526,8
Ambos sexos;Total;Central;2012T4;537,5
Ambos sexos;Total;Central;2012T3;548,5
Ambos sexos;Total;Central;2012T2;539,7
Ambos sexos;Total;Central;2012T1;563,7
Ambos sexos;Total;Central;2011T4;552,4
Ambos sexos;Total;Central;2011T3;564,9
Ambos sexos;Total;Central;2011T2;569,2
Ambos sexos;Total;Central;2011T1;579,8
Ambos sexos;Total;Central;2010T4;576,1
Ambos sexos;Total;Central;2010T3;550,7
Ambos sexos;Total;Central;2010T2;543,8
Ambos sexos;Total;Central;2010T1;535,9
Ambos sexos;Total;Central;2009T4;517,1
Ambos sexos;Total;Central;2009T3;530,9
Ambos sexos;Total;Central;2009T2;538,8
Ambos sexos;Total;Central;2009T1;553,9
Ambos sexos;Total;Central;2008T4;541,1
Ambos sexos;Total;Central;2008T3;525,1
Ambos sexos;Total;Central;2008T2;537
Ambos sexos;Total;Central;2008T1;513,3
Ambos sexos;Total;Central;2007T4;526,9
Ambos sexos;Total;Central;2007T3;512,6
Ambos sexos;Total;Central;2007T2;520,8
Ambos sexos;Total;Central;2007T1;523,6
Ambos sexos;Total;Central;2006T4;483,3
