Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2021T3;32,7
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2021T2;33,3
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2021T1;28,8
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2020T4;28,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2020T3;30
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2020T2;25,8
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2020T1;18
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2019T4;17,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2019T3;19,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2019T2;16,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2019T1;15,3
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2018T4;15,4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2018T3;17
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2018T2;17
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2018T1;15,8
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2017T4;15,8
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2017T3;16,8
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2017T2;13,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2017T1;10,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2016T4;9,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2016T3;8,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2016T2;9,7
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2016T1;8,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2015T4;9,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2015T3;10,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2015T2;11,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2015T1;11,4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2014T4;10,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2014T3;10,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2014T2;8,6
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2014T1;8,7
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2013T4;8,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2013T3;9,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2013T2;11,3
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2013T1;13,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2012T4;15,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2012T3;14,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2012T2;17,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2012T1;17,7
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2011T4;19,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2011T3;18,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2011T2;18,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2011T1;17,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2010T4;19,3
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2010T3;15,4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2010T2;16,3
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2010T1;16,9
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2009T4;17,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2009T3;15,9
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2009T2;16,3
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2009T1;14,6
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2008T4;11,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2008T3;12,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2008T2;13,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2008T1;11,6
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2007T4;10,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2007T3;8,9
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2007T2;8,8
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2007T1;7,4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2006T4;6,7
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2006T3;8,6
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2006T2;7,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2006T1;7,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2005T4;6,6
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2005T3;7,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2005T2;7,1
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2005T1;6,9
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2004T4;9,4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2004T3;10
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2004T2;9,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2004T1;8,4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2003T4;7,4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2003T3;6,6
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2003T2;5,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2003T1;5,2
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2002T4;4
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2002T3;5,5
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2002T2;5,8
Ambos sexos;De 65 a 69 años;Comunidad Autónoma;2002T1;6,4
Ambos sexos;De 65 a 69 años;Local;2025T4;13,7
Ambos sexos;De 65 a 69 años;Local;2025T3;9,3
Ambos sexos;De 65 a 69 años;Local;2025T2;14
Ambos sexos;De 65 a 69 años;Local;2025T1;11,8
Ambos sexos;De 65 a 69 años;Local;2024T4;9,5
Ambos sexos;De 65 a 69 años;Local;2024T3;12,8
Ambos sexos;De 65 a 69 años;Local;2024T2;12,9
Ambos sexos;De 65 a 69 años;Local;2024T1;8,1
Ambos sexos;De 65 a 69 años;Local;2023T4;8,2
Ambos sexos;De 65 a 69 años;Local;2023T3;8,9
Ambos sexos;De 65 a 69 años;Local;2023T2;9,3
Ambos sexos;De 65 a 69 años;Local;2023T1;10,2
Ambos sexos;De 65 a 69 años;Local;2022T4;10,7
Ambos sexos;De 65 a 69 años;Local;2022T3;12,1
Ambos sexos;De 65 a 69 años;Local;2022T2;9
Ambos sexos;De 65 a 69 años;Local;2022T1;7,2
Ambos sexos;De 65 a 69 años;Local;2021T4;6,7
Ambos sexos;De 65 a 69 años;Local;2021T3;8
Ambos sexos;De 65 a 69 años;Local;2021T2;6,8
Ambos sexos;De 65 a 69 años;Local;2021T1;6,9
Ambos sexos;De 65 a 69 años;Local;2020T4;5,4
Ambos sexos;De 65 a 69 años;Local;2020T3;5,3
Ambos sexos;De 65 a 69 años;Local;2020T2;4,1
Ambos sexos;De 65 a 69 años;Local;2020T1;4,8
Ambos sexos;De 65 a 69 años;Local;2019T4;3,1
Ambos sexos;De 65 a 69 años;Local;2019T3;3,5
Ambos sexos;De 65 a 69 años;Local;2019T2;3,2
Ambos sexos;De 65 a 69 años;Local;2019T1;3,7
Ambos sexos;De 65 a 69 años;Local;2018T4;2,9
Ambos sexos;De 65 a 69 años;Local;2018T3;3
Ambos sexos;De 65 a 69 años;Local;2018T2;2,8
Ambos sexos;De 65 a 69 años;Local;2018T1;2,8
Ambos sexos;De 65 a 69 años;Local;2017T4;3,7
Ambos sexos;De 65 a 69 años;Local;2017T3;3,5
Ambos sexos;De 65 a 69 años;Local;2017T2;2,8
Ambos sexos;De 65 a 69 años;Local;2017T1;1,9
Ambos sexos;De 65 a 69 años;Local;2016T4;1,8
Ambos sexos;De 65 a 69 años;Local;2016T3;1,6
Ambos sexos;De 65 a 69 años;Local;2016T2;2,2
Ambos sexos;De 65 a 69 años;Local;2016T1;2,5
Ambos sexos;De 65 a 69 años;Local;2015T4;1,4
Ambos sexos;De 65 a 69 años;Local;2015T3;1,8
Ambos sexos;De 65 a 69 años;Local;2015T2;3,6
Ambos sexos;De 65 a 69 años;Local;2015T1;2,5
Ambos sexos;De 65 a 69 años;Local;2014T4;3,4
Ambos sexos;De 65 a 69 años;Local;2014T3;4,1
Ambos sexos;De 65 a 69 años;Local;2014T2;4,6
Ambos sexos;De 65 a 69 años;Local;2014T1;2,5
Ambos sexos;De 65 a 69 años;Local;2013T4;1,6
Ambos sexos;De 65 a 69 años;Local;2013T3;2
Ambos sexos;De 65 a 69 años;Local;2013T2;2,3
Ambos sexos;De 65 a 69 años;Local;2013T1;1,9
Ambos sexos;De 65 a 69 años;Local;2012T4;2,3
Ambos sexos;De 65 a 69 años;Local;2012T3;3,1
Ambos sexos;De 65 a 69 años;Local;2012T2;2,5
Ambos sexos;De 65 a 69 años;Local;2012T1;1,8
Ambos sexos;De 65 a 69 años;Local;2011T4;3
Ambos sexos;De 65 a 69 años;Local;2011T3;2,1
Ambos sexos;De 65 a 69 años;Local;2011T2;3,1
Ambos sexos;De 65 a 69 años;Local;2011T1;4,1
Ambos sexos;De 65 a 69 años;Local;2010T4;4,2
Ambos sexos;De 65 a 69 años;Local;2010T3;4,6
Ambos sexos;De 65 a 69 años;Local;2010T2;5,5
Ambos sexos;De 65 a 69 años;Local;2010T1;5,1
Ambos sexos;De 65 a 69 años;Local;2009T4;3,6
Ambos sexos;De 65 a 69 años;Local;2009T3;2,1
Ambos sexos;De 65 a 69 años;Local;2009T2;3,4
Ambos sexos;De 65 a 69 años;Local;2009T1;2,9
Ambos sexos;De 65 a 69 años;Local;2008T4;1,7
Ambos sexos;De 65 a 69 años;Local;2008T3;2,1
Ambos sexos;De 65 a 69 años;Local;2008T2;1,9
Ambos sexos;De 65 a 69 años;Local;2008T1;1,9
Ambos sexos;De 65 a 69 años;Local;2007T4;2
Ambos sexos;De 65 a 69 años;Local;2007T3;1,3
Ambos sexos;De 65 a 69 años;Local;2007T2;2,4
Ambos sexos;De 65 a 69 años;Local;2007T1;1,8
Ambos sexos;De 65 a 69 años;Local;2006T4;1,9
Ambos sexos;De 65 a 69 años;Local;2006T3;2,8
Ambos sexos;De 65 a 69 años;Local;2006T2;2
Ambos sexos;De 65 a 69 años;Local;2006T1;2,3
Ambos sexos;De 65 a 69 años;Local;2005T4;1,1
Ambos sexos;De 65 a 69 años;Local;2005T3;2,9
Ambos sexos;De 65 a 69 años;Local;2005T2;3,6
Ambos sexos;De 65 a 69 años;Local;2005T1;1,9
Ambos sexos;De 65 a 69 años;Local;2004T4;3,5
Ambos sexos;De 65 a 69 años;Local;2004T3;3,3
Ambos sexos;De 65 a 69 años;Local;2004T2;2,6
Ambos sexos;De 65 a 69 años;Local;2004T1;1,7
Ambos sexos;De 65 a 69 años;Local;2003T4;1,7
Ambos sexos;De 65 a 69 años;Local;2003T3;2,6
Ambos sexos;De 65 a 69 años;Local;2003T2;2,1
Ambos sexos;De 65 a 69 años;Local;2003T1;2,6
Ambos sexos;De 65 a 69 años;Local;2002T4;2,4
Ambos sexos;De 65 a 69 años;Local;2002T3;3,2
Ambos sexos;De 65 a 69 años;Local;2002T2;2,7
Ambos sexos;De 65 a 69 años;Local;2002T1;3,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2025T4;4,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2025T3;2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2025T2;1,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2025T1;0,7
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2024T4;1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2024T3;1,7
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2024T2;0,7
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2024T1;0,8
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2023T4;0,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2023T3;0,9
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2023T2;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2023T1;0,5
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2022T4;1,4
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2022T3;1,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2022T2;0,8
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2022T1;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2021T4;0,4
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2021T3;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2021T2;0,7
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2021T1;0,8
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2020T4;1,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2020T3;1,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2020T2;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2020T1;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2019T4;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2019T3;1,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2019T2;1,9
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2019T1;1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2018T4;0,9
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2018T3;1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2018T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2018T1;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2017T4;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2017T3;0,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2017T2;0,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2017T1;0,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2016T4;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2016T3;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2016T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2016T1;0,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2015T4;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2015T3;0,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2015T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2015T1;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2014T4;0,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2014T3;0,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2014T2;0,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2014T1;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2013T4;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2013T3;0,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2013T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2013T1;0,7
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2012T4;0,8
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2012T3;0,7
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2012T2;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2012T1;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2011T4;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2011T3;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2011T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2011T1;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2010T4;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2010T3;0,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2010T2;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2010T1;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2009T4;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2009T3;0,3
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2009T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2009T1;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2008T4;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2008T3;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2008T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2008T1;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2007T4;0,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2007T3;0,4
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2007T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2007T1;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2006T4;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2006T3;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2006T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2006T1;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2005T4;1,1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2005T3;1,5
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2005T2;0,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2005T1;0,2
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2004T4;0,4
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2004T3;0,5
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2004T2;1
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2004T1;0,5
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2003T4;0,5
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2003T3;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2003T2;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2003T1;..
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2002T4;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2002T3;0,6
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2002T2;0,5
Ambos sexos;De 65 a 69 años;Empresa e Institución Pública;2002T1;0,9
Ambos sexos;De 65 a 69 años;Otro tipo;2025T4;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2025T3;0,7
Ambos sexos;De 65 a 69 años;Otro tipo;2025T2;0,6
Ambos sexos;De 65 a 69 años;Otro tipo;2025T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2024T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2024T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2024T2;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2024T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2023T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2023T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2023T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2023T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2022T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2022T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2022T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2022T1;0,4
Ambos sexos;De 65 a 69 años;Otro tipo;2021T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2021T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2021T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2021T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2020T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2020T3;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2020T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2020T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2019T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2019T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2019T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2019T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2018T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2018T3;0,4
Ambos sexos;De 65 a 69 años;Otro tipo;2018T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2018T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2017T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2017T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2017T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2017T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2016T4;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2016T3;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2016T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2016T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2015T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2015T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2015T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2015T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2014T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2014T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2014T2;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2014T1;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2013T4;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2013T3;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2013T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2013T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2012T4;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2012T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2012T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2012T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2011T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2011T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2011T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2011T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2010T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2010T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2010T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2010T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2009T4;0,3
Ambos sexos;De 65 a 69 años;Otro tipo;2009T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2009T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2009T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2008T4;..
Ambos sexos;De 65 a 69 años;Otro tipo;2008T3;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2008T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2008T1;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2007T4;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2007T3;..
Ambos sexos;De 65 a 69 años;Otro tipo;2007T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2007T1;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2006T4;1,1
Ambos sexos;De 65 a 69 años;Otro tipo;2006T3;0,2
Ambos sexos;De 65 a 69 años;Otro tipo;2006T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2006T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2005T4;1,1
Ambos sexos;De 65 a 69 años;Otro tipo;2005T3;0,5
Ambos sexos;De 65 a 69 años;Otro tipo;2005T2;..
Ambos sexos;De 65 a 69 años;Otro tipo;2005T1;..
Ambos sexos;De 65 a 69 años;Otro tipo;2004T4;0
Ambos sexos;De 65 a 69 años;Otro tipo;2004T3;0
Ambos sexos;De 65 a 69 años;Otro tipo;2004T2;0
Ambos sexos;De 65 a 69 años;Otro tipo;2004T1;0,4
Ambos sexos;De 65 a 69 años;Otro tipo;2003T4;0
Ambos sexos;De 65 a 69 años;Otro tipo;2003T3;0,1
Ambos sexos;De 65 a 69 años;Otro tipo;2003T2;0,5
Ambos sexos;De 65 a 69 años;Otro tipo;2003T1;0,5
Ambos sexos;De 65 a 69 años;Otro tipo;2002T4;0
Ambos sexos;De 65 a 69 años;Otro tipo;2002T3;0
Ambos sexos;De 65 a 69 años;Otro tipo;2002T2;0
Ambos sexos;De 65 a 69 años;Otro tipo;2002T1;0
Ambos sexos;De 65 a 69 años;No sabe;2025T4;..
Ambos sexos;De 65 a 69 años;No sabe;2025T3;..
Ambos sexos;De 65 a 69 años;No sabe;2025T2;..
Ambos sexos;De 65 a 69 años;No sabe;2025T1;..
Ambos sexos;De 65 a 69 años;No sabe;2024T4;..
Ambos sexos;De 65 a 69 años;No sabe;2024T3;..
Ambos sexos;De 65 a 69 años;No sabe;2024T2;..
Ambos sexos;De 65 a 69 años;No sabe;2024T1;..
Ambos sexos;De 65 a 69 años;No sabe;2023T4;..
Ambos sexos;De 65 a 69 años;No sabe;2023T3;..
Ambos sexos;De 65 a 69 años;No sabe;2023T2;..
Ambos sexos;De 65 a 69 años;No sabe;2023T1;..
Ambos sexos;De 65 a 69 años;No sabe;2022T4;..
Ambos sexos;De 65 a 69 años;No sabe;2022T3;..
Ambos sexos;De 65 a 69 años;No sabe;2022T2;..
Ambos sexos;De 65 a 69 años;No sabe;2022T1;..
Ambos sexos;De 65 a 69 años;No sabe;2021T4;..
Ambos sexos;De 65 a 69 años;No sabe;2021T3;..
Ambos sexos;De 65 a 69 años;No sabe;2021T2;..
Ambos sexos;De 65 a 69 años;No sabe;2021T1;..
Ambos sexos;De 65 a 69 años;No sabe;2020T4;..
Ambos sexos;De 65 a 69 años;No sabe;2020T3;..
Ambos sexos;De 65 a 69 años;No sabe;2020T2;..
Ambos sexos;De 65 a 69 años;No sabe;2020T1;..
Ambos sexos;De 65 a 69 años;No sabe;2019T4;..
Ambos sexos;De 65 a 69 años;No sabe;2019T3;..
Ambos sexos;De 65 a 69 años;No sabe;2019T2;..
Ambos sexos;De 65 a 69 años;No sabe;2019T1;..
Ambos sexos;De 65 a 69 años;No sabe;2018T4;..
Ambos sexos;De 65 a 69 años;No sabe;2018T3;0,3
Ambos sexos;De 65 a 69 años;No sabe;2018T2;..
Ambos sexos;De 65 a 69 años;No sabe;2018T1;..
Ambos sexos;De 65 a 69 años;No sabe;2017T4;..
Ambos sexos;De 65 a 69 años;No sabe;2017T3;..
Ambos sexos;De 65 a 69 años;No sabe;2017T2;..
Ambos sexos;De 65 a 69 años;No sabe;2017T1;..
Ambos sexos;De 65 a 69 años;No sabe;2016T4;..
Ambos sexos;De 65 a 69 años;No sabe;2016T3;0,1
Ambos sexos;De 65 a 69 años;No sabe;2016T2;..
Ambos sexos;De 65 a 69 años;No sabe;2016T1;..
Ambos sexos;De 65 a 69 años;No sabe;2015T4;..
Ambos sexos;De 65 a 69 años;No sabe;2015T3;..
Ambos sexos;De 65 a 69 años;No sabe;2015T2;..
