Tipo de sector;Sexo;Unidad;Periodo;Total
Empleo privado;Mujeres;Valor absoluto;2023T2;7.824,7
Empleo privado;Mujeres;Valor absoluto;2023T1;7.527
Empleo privado;Mujeres;Valor absoluto;2022T4;7.496,3
Empleo privado;Mujeres;Valor absoluto;2022T3;7.471,8
Empleo privado;Mujeres;Valor absoluto;2022T2;7.508,2
Empleo privado;Mujeres;Valor absoluto;2022T1;7.282,9
Empleo privado;Mujeres;Valor absoluto;2021T4;7.312,2
Empleo privado;Mujeres;Valor absoluto;2021T3;7.217,5
Empleo privado;Mujeres;Valor absoluto;2021T2;7.089,2
Empleo privado;Mujeres;Valor absoluto;2021T1;6.849,5
Empleo privado;Mujeres;Valor absoluto;2020T4;6.954,1
Empleo privado;Mujeres;Valor absoluto;2020T3;6.869,7
Empleo privado;Mujeres;Valor absoluto;2020T2;6.667,1
Empleo privado;Mujeres;Valor absoluto;2020T1;7.193,6
Empleo privado;Mujeres;Valor absoluto;2019T4;7.316,2
Empleo privado;Mujeres;Valor absoluto;2019T3;7.239,8
Empleo privado;Mujeres;Valor absoluto;2019T2;7.270,9
Empleo privado;Mujeres;Valor absoluto;2019T1;7.075,9
Empleo privado;Mujeres;Valor absoluto;2018T4;7.127,9
Empleo privado;Mujeres;Valor absoluto;2018T3;7.106,2
Empleo privado;Mujeres;Valor absoluto;2018T2;7.073,3
Empleo privado;Mujeres;Valor absoluto;2018T1;6.854,2
Empleo privado;Mujeres;Valor absoluto;2017T4;6.939,8
Empleo privado;Mujeres;Valor absoluto;2017T3;6.932,2
Empleo privado;Mujeres;Valor absoluto;2017T2;6.892
Empleo privado;Mujeres;Valor absoluto;2017T1;6.746,2
Empleo privado;Mujeres;Valor absoluto;2016T4;6.800,5
Empleo privado;Mujeres;Valor absoluto;2016T3;6.763,1
Empleo privado;Mujeres;Valor absoluto;2016T2;6.672
Empleo privado;Mujeres;Valor absoluto;2016T1;6.521,5
Empleo privado;Mujeres;Valor absoluto;2015T4;6.592,5
Empleo privado;Mujeres;Valor absoluto;2015T3;6.539,9
Empleo privado;Mujeres;Valor absoluto;2015T2;6.507
Empleo privado;Mujeres;Valor absoluto;2015T1;6.340,6
Empleo privado;Mujeres;Valor absoluto;2014T4;6.441,3
Empleo privado;Mujeres;Valor absoluto;2014T3;6.341,2
Empleo privado;Mujeres;Valor absoluto;2014T2;6.348,9
Empleo privado;Mujeres;Valor absoluto;2014T1;6.208,5
Empleo privado;Mujeres;Valor absoluto;2013T4;6.246
Empleo privado;Mujeres;Valor absoluto;2013T3;6.267,7
Empleo privado;Mujeres;Valor absoluto;2013T2;6.214,1
Empleo privado;Mujeres;Valor absoluto;2013T1;6.186,7
Empleo privado;Mujeres;Valor absoluto;2012T4;6.249,8
Empleo privado;Mujeres;Valor absoluto;2012T3;6.307,8
Empleo privado;Mujeres;Valor absoluto;2012T2;6.354,4
Empleo privado;Mujeres;Valor absoluto;2012T1;6.322,7
Empleo privado;Mujeres;Valor absoluto;2011T4;6.404,4
Empleo privado;Mujeres;Valor absoluto;2011T3;6.505,2
Empleo privado;Mujeres;Valor absoluto;2011T2;6.608,9
Empleo privado;Mujeres;Valor absoluto;2011T1;6.462,8
Empleo privado;Mujeres;Valor absoluto;2010T4;6.556
Empleo privado;Mujeres;Valor absoluto;2010T3;6.552,4
Empleo privado;Mujeres;Valor absoluto;2010T2;6.582
Empleo privado;Mujeres;Valor absoluto;2010T1;6.582,4
Empleo privado;Mujeres;Valor absoluto;2009T4;6.665,5
Empleo privado;Mujeres;Valor absoluto;2009T3;6.717,8
Empleo privado;Mujeres;Valor absoluto;2009T2;6.737,7
Empleo privado;Mujeres;Valor absoluto;2009T1;6.758,8
Empleo privado;Mujeres;Valor absoluto;2008T4;7.001,7
Empleo privado;Mujeres;Valor absoluto;2008T3;7.076,5
Empleo privado;Mujeres;Valor absoluto;2008T2;7.093,7
Empleo privado;Mujeres;Valor absoluto;2008T1;7.029,4
Empleo privado;Mujeres;Valor absoluto;2007T4;7.057,8
Empleo privado;Mujeres;Valor absoluto;2007T3;7.006,7
Empleo privado;Mujeres;Valor absoluto;2007T2;6.962,8
Empleo privado;Mujeres;Valor absoluto;2007T1;6.790,8
Empleo privado;Mujeres;Valor absoluto;2006T4;6.748,5
Empleo privado;Mujeres;Valor absoluto;2006T3;6.635,3
Empleo privado;Mujeres;Valor absoluto;2006T2;6.612,1
Empleo privado;Mujeres;Valor absoluto;2006T1;6.423,5
Empleo privado;Mujeres;Valor absoluto;2005T4;6.379,5
Empleo privado;Mujeres;Valor absoluto;2005T3;6.278,2
Empleo privado;Mujeres;Valor absoluto;2005T2;6.235,3
Empleo privado;Mujeres;Valor absoluto;2005T1;5.993,6
Empleo privado;Mujeres;Valor absoluto;2004T4;5.837,1
Empleo privado;Mujeres;Valor absoluto;2004T3;5.740,6
Empleo privado;Mujeres;Valor absoluto;2004T2;5.652,4
Empleo privado;Mujeres;Valor absoluto;2004T1;5.540,1
Empleo privado;Mujeres;Valor absoluto;2003T4;5.517,1
Empleo privado;Mujeres;Valor absoluto;2003T3;5.444,7
Empleo privado;Mujeres;Valor absoluto;2003T2;5.368,5
Empleo privado;Mujeres;Valor absoluto;2003T1;5.230,6
Empleo privado;Mujeres;Valor absoluto;2002T4;5.213,4
Empleo privado;Mujeres;Valor absoluto;2002T3;5.146,4
Empleo privado;Mujeres;Valor absoluto;2002T2;5.112,7
Empleo privado;Mujeres;Valor absoluto;2002T1;4.972,8
Empleo privado;Mujeres;Porcentaje;2025T4;79,6
Empleo privado;Mujeres;Porcentaje;2025T3;80,2
Empleo privado;Mujeres;Porcentaje;2025T2;80,4
Empleo privado;Mujeres;Porcentaje;2025T1;80,1
Empleo privado;Mujeres;Porcentaje;2024T4;79,7
Empleo privado;Mujeres;Porcentaje;2024T3;80
Empleo privado;Mujeres;Porcentaje;2024T2;79,9
Empleo privado;Mujeres;Porcentaje;2024T1;79,3
Empleo privado;Mujeres;Porcentaje;2023T4;79,3
Empleo privado;Mujeres;Porcentaje;2023T3;79,5
Empleo privado;Mujeres;Porcentaje;2023T2;79,6
Empleo privado;Mujeres;Porcentaje;2023T1;78,9
Empleo privado;Mujeres;Porcentaje;2022T4;78,9
Empleo privado;Mujeres;Porcentaje;2022T3;79
Empleo privado;Mujeres;Porcentaje;2022T2;79,2
Empleo privado;Mujeres;Porcentaje;2022T1;78,4
Empleo privado;Mujeres;Porcentaje;2021T4;78,3
Empleo privado;Mujeres;Porcentaje;2021T3;78,2
Empleo privado;Mujeres;Porcentaje;2021T2;78,4
Empleo privado;Mujeres;Porcentaje;2021T1;77,9
Empleo privado;Mujeres;Porcentaje;2020T4;78,4
Empleo privado;Mujeres;Porcentaje;2020T3;78,8
Empleo privado;Mujeres;Porcentaje;2020T2;78,7
Empleo privado;Mujeres;Porcentaje;2020T1;79,8
Empleo privado;Mujeres;Porcentaje;2019T4;79,9
Empleo privado;Mujeres;Porcentaje;2019T3;80
Empleo privado;Mujeres;Porcentaje;2019T2;80,3
Empleo privado;Mujeres;Porcentaje;2019T1;79,8
Empleo privado;Mujeres;Porcentaje;2018T4;80
Empleo privado;Mujeres;Porcentaje;2018T3;80,2
Empleo privado;Mujeres;Porcentaje;2018T2;80,2
Empleo privado;Mujeres;Porcentaje;2018T1;79,8
Empleo privado;Mujeres;Porcentaje;2017T4;80,1
Empleo privado;Mujeres;Porcentaje;2017T3;80,3
Empleo privado;Mujeres;Porcentaje;2017T2;80,5
Empleo privado;Mujeres;Porcentaje;2017T1;80,4
Empleo privado;Mujeres;Porcentaje;2016T4;80,6
Empleo privado;Mujeres;Porcentaje;2016T3;80,4
Empleo privado;Mujeres;Porcentaje;2016T2;80,1
Empleo privado;Mujeres;Porcentaje;2016T1;79,7
Empleo privado;Mujeres;Porcentaje;2015T4;80,1
Empleo privado;Mujeres;Porcentaje;2015T3;80,2
Empleo privado;Mujeres;Porcentaje;2015T2;80,3
Empleo privado;Mujeres;Porcentaje;2015T1;79,9
Empleo privado;Mujeres;Porcentaje;2014T4;80,4
Empleo privado;Mujeres;Porcentaje;2014T3;80,3
Empleo privado;Mujeres;Porcentaje;2014T2;80,2
Empleo privado;Mujeres;Porcentaje;2014T1;79,7
Empleo privado;Mujeres;Porcentaje;2013T4;79,8
Empleo privado;Mujeres;Porcentaje;2013T3;79,9
Empleo privado;Mujeres;Porcentaje;2013T2;79,4
Empleo privado;Mujeres;Porcentaje;2013T1;79,4
Empleo privado;Mujeres;Porcentaje;2012T4;79,1
Empleo privado;Mujeres;Porcentaje;2012T3;78,6
Empleo privado;Mujeres;Porcentaje;2012T2;78,5
Empleo privado;Mujeres;Porcentaje;2012T1;78,3
Empleo privado;Mujeres;Porcentaje;2011T4;78,4
Empleo privado;Mujeres;Porcentaje;2011T3;78,6
Empleo privado;Mujeres;Porcentaje;2011T2;78,7
Empleo privado;Mujeres;Porcentaje;2011T1;78,5
Empleo privado;Mujeres;Porcentaje;2010T4;78,7
Empleo privado;Mujeres;Porcentaje;2010T3;78,9
Empleo privado;Mujeres;Porcentaje;2010T2;79,5
Empleo privado;Mujeres;Porcentaje;2010T1;79,5
Empleo privado;Mujeres;Porcentaje;2009T4;79,9
Empleo privado;Mujeres;Porcentaje;2009T3;80
Empleo privado;Mujeres;Porcentaje;2009T2;80,4
Empleo privado;Mujeres;Porcentaje;2009T1;80,6
Empleo privado;Mujeres;Porcentaje;2008T4;81
Empleo privado;Mujeres;Porcentaje;2008T3;81,2
Empleo privado;Mujeres;Porcentaje;2008T2;81,6
Empleo privado;Mujeres;Porcentaje;2008T1;81,7
Empleo privado;Mujeres;Porcentaje;2007T4;81,8
Empleo privado;Mujeres;Porcentaje;2007T3;81,7
Empleo privado;Mujeres;Porcentaje;2007T2;81,9
Empleo privado;Mujeres;Porcentaje;2007T1;81,4
Empleo privado;Mujeres;Porcentaje;2006T4;81,3
Empleo privado;Mujeres;Porcentaje;2006T3;81,3
Empleo privado;Mujeres;Porcentaje;2006T2;81,4
Empleo privado;Mujeres;Porcentaje;2006T1;80,9
Empleo privado;Mujeres;Porcentaje;2005T4;80,9
Empleo privado;Mujeres;Porcentaje;2005T3;80,5
Empleo privado;Mujeres;Porcentaje;2005T2;80,7
Empleo privado;Mujeres;Porcentaje;2005T1;80,2
Empleo privado;Mujeres;Porcentaje;2004T4;79,6
Empleo privado;Mujeres;Porcentaje;2004T3;79,5
Empleo privado;Mujeres;Porcentaje;2004T2;79,7
Empleo privado;Mujeres;Porcentaje;2004T1;79,5
Empleo privado;Mujeres;Porcentaje;2003T4;79,6
Empleo privado;Mujeres;Porcentaje;2003T3;79,7
Empleo privado;Mujeres;Porcentaje;2003T2;79,8
Empleo privado;Mujeres;Porcentaje;2003T1;79,8
Empleo privado;Mujeres;Porcentaje;2002T4;80,1
Empleo privado;Mujeres;Porcentaje;2002T3;80,1
Empleo privado;Mujeres;Porcentaje;2002T2;80,3
Empleo privado;Mujeres;Porcentaje;2002T1;79,9
