Sector económico (4);Sexo;Periodo;Total
agricultura;varones;1991TIV;0,9
agricultura;varones;1991TIII;1,6
agricultura;varones;1991TII;1,7
agricultura;varones;1991TI;1,7
agricultura;varones;1990TIV;0,9
agricultura;varones;1990TIII;1,7
agricultura;varones;1990TII;2,2
agricultura;varones;1990TI;1,1
agricultura;varones;1989TIV;0,4
agricultura;varones;1989TIII;2,7
agricultura;varones;1989TII;1,9
agricultura;varones;1989TI;1,0
agricultura;varones;1988TIV;1,9
agricultura;varones;1988TIII;1,8
agricultura;varones;1988TII;2,6
agricultura;varones;1988TI;3,6
agricultura;varones;1987TIV;1,8
agricultura;varones;1987TIII;5,0
agricultura;varones;1987TII;6,5
agricultura;mujeres;1995TIV;0,4
agricultura;mujeres;1995TIII;1,6
agricultura;mujeres;1995TII;0,3
agricultura;mujeres;1995TI;0,1
agricultura;mujeres;1994TIV;0,5
agricultura;mujeres;1994TIII;0,5
agricultura;mujeres;1994TII;0,4
agricultura;mujeres;1994TI;0,6
agricultura;mujeres;1993TIV;0,4
agricultura;mujeres;1993TIII;0,4
agricultura;mujeres;1993TII;0,4
agricultura;mujeres;1993TI;0,0
agricultura;mujeres;1992TIV;0,0
agricultura;mujeres;1992TIII;0,1
agricultura;mujeres;1992TII;0,5
agricultura;mujeres;1992TI;0,4
agricultura;mujeres;1991TIV;0,0
agricultura;mujeres;1991TIII;0,0
agricultura;mujeres;1991TII;0,0
agricultura;mujeres;1991TI;0,0
agricultura;mujeres;1990TIV;0,0
agricultura;mujeres;1990TIII;0,5
agricultura;mujeres;1990TII;0,8
agricultura;mujeres;1990TI;0,1
agricultura;mujeres;1989TIV;0,7
agricultura;mujeres;1989TIII;0,2
agricultura;mujeres;1989TII;0,3
agricultura;mujeres;1989TI;1,0
agricultura;mujeres;1988TIV;0,5
agricultura;mujeres;1988TIII;0,5
agricultura;mujeres;1988TII;0,3
agricultura;mujeres;1988TI;0,7
agricultura;mujeres;1987TIV;0,6
agricultura;mujeres;1987TIII;1,1
agricultura;mujeres;1987TII;2,9
industria;ambos sexos;1995TIV;3,8
industria;ambos sexos;1995TIII;5,2
industria;ambos sexos;1995TII;5,6
industria;ambos sexos;1995TI;6,5
industria;ambos sexos;1994TIV;5,9
industria;ambos sexos;1994TIII;2,8
industria;ambos sexos;1994TII;2,5
industria;ambos sexos;1994TI;4,5
industria;ambos sexos;1993TIV;4,4
industria;ambos sexos;1993TIII;3,5
industria;ambos sexos;1993TII;2,6
industria;ambos sexos;1993TI;2,7
industria;ambos sexos;1992TIV;1,2
industria;ambos sexos;1992TIII;3,4
industria;ambos sexos;1992TII;4,4
industria;ambos sexos;1992TI;2,0
